_id,product_asin,product_availability,product_best_seller_rank,product_bought_together,product_brand,product_category,product_description,product_details,product_fullfilled,product_icons,product_important_information,product_name,product_offers,product_original_price,product_rating,product_sale_price,product_subscription_discount,product_total_reviews,product_variations
{'$oid': '61fd1f241cfba6a787367ee0'},B096NTB9XT,In stock,"#1,334 in Home & Kitchen  (See Top 100 in Home & Kitchen) #11 in Water Coolers, Filters & Cartridges",[],Eureka Forbes,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Brand': 'Eureka Forbes', 'Manufacturer': 'Eureka Forbes Ltd, Eureka Forbes Ltd, Khasra No. 3946, 3947 & 3962, 3963 Industrial Area, Lal Tappar, Majri Grant, Rishikesh District, Dehradun, Uttarakhand- 248140 Contact number: Ph-7302000716/17, 7455001674, 6399041114/15/16/17/18/19.', 'Country of Origin': 'India', 'Model Number': 'GWPDARUUF00000', 'Colour': 'Black', 'Number of Memory Sticks': '1', 'Special Feature': 'UV, UF, RO', 'Item Weight': '6 kg 600 g', 'Product Dimensions': '31.6 x 25.1 x 46.2 cm; 6.6 Kilograms', 'Item model number': 'GWPDARUUF00000', 'Item Height': '46.2 Centimeters', 'Item Width': '25.1 Centimeters', 'Included Components': 'Plumbing kit, accassories, product, power supply adapter & bracket for adapter', 'ASIN': 'B096NTB9XT', 'Date First Available': '5 June 2021', 'Packer': 'Eureka Forbes Ltd', 'Importer': 'Eureka Forbes Ltd, Khasra No. 3946, 3947 & 3962, 3963 Industrial Area, Lal Tappar, Majri Grant, Rishikesh District, Dehradun, Uttarakhand- 248140 Contact number: Ph-7302000716/17, 7455001674, 6399041114/15/16/17/18/19.', 'Item Dimensions LxWxH': '31.6 x 25.1 x 46.2 Centimeters', 'Net Quantity': '1 count', 'Generic Name': 'Water Purifiers', 'Customer Reviews': '4.1 out of 5 stars 4,833 ratings', 'Best Sellers Rank': '#1,334 in Home & Kitchen  (See Top 100 in Home & Kitchen) #11 in Water Coolers, Filters & Cartridges'}",Fulfilled,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,"Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV E-boiling Technology, Water Purifier (Black & Copper), 7 Liter",4.0,24500.0,4.1 out of 5 stars,17499.0,,"4,833 ratings",[]
{'$oid': '61fd1f241cfba6a787367ee2'},B09NQ1K1D9,In stock,,[],AO Smith,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Manufacturer': 'A.O. Smith, A.O. Smith India Water Products Pvt. Ltd. Plot No. 300, Phase - 2, KIADB Industrial Area, Harohalli, Karnataka 562112; 1800 103 2468', 'Country of Origin': 'India', 'Item model number': 'IRO005081OZBNN2', 'Product Dimensions': '27 x 38 x 46 cm; 8.5 Kilograms', 'ASIN': 'B09NQ1K1D9', 'Packer': 'A.O. Smith India Water Products Pvt. Ltd. Plot No. 300, Phase - 2, KIADB Industrial Area, Harohalli, Karnataka 562112; 1800 103 2468', 'Importer': 'A.O. Smith', 'Item Weight': '8 kg 500 g', 'Item Dimensions LxWxH': '27 x 38 x 46 Centimeters', 'Net Quantity': '1 count', 'Included Components': 'Water Purifier, Manual, Mounting screws, Tubes & Connectors', 'Generic Name': 'Water Purifier'}",,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,"AO Smith Z5 Water Purifier, Baby Safe Water with 8 Stage Purification, 100% RO+SCMT (Silver Charged Membrane Tech), Digital Display, Alkaline Mineralizer Tech, Wall Mount Water Purifier, White & Black",3.0,20475.0,4.6 out of 5 stars,14499.0,,229 ratings,[]
{'$oid': '61fd1f251cfba6a787367ee4'},B009DA69W6,In stock,,"['KENT 11054 Alkaline Water Filter Pitcher 3.5 L | Alkaline water purifier gives Chem...', 'P-zone Aquagem Gravity Based Water Purifier | Non Electric Water Purifier Filter - ...', 'KENT Gold+ 20-litres Gravity Based Water Purifier, White and Blue, 54 x 36 x 38 cm ...', 'TATA Swach Cristella Advance Blue Water Purifier - 18 Liters', 'KENT Supreme Lite 2020 (11110), Wall Mountable, RO + UF + TDS Control, 8 L Tank, Wh...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'NEXQUA Dew Non-Electric Ultra Filtration (UF) Based Gravity Water Filter and Purifi...', 'ALTON ABS 15-Stage Replacement Filter Cartridge for SHR20170, SHR20180 (White)', 'Purella Gravity UF Portable Non-Electric Water Purifier with 3 Stage Filtration Sys...', 'Tata Swach Desire + 27 Litre Gravity Based Water Purifier (Blooming Magenta)']",KENT,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Manufacturer': 'KENT RO SYSTEMS LTD, Kent RO Systems Ltd.- Khasra No. 93, Village- Bantakhedi, Tehsil- Roorkee, District- Haridwar, Uttrakhand- 247668, India', 'Country of Origin': 'India', 'Imported By': 'KENT RO SYSTEM LTD- A-06, PHASE-2,NOIDA, UTTAR PRADESH, INDIA PIN-201305', 'Item model number': 'Gold Optima', 'Product Dimensions': '52 x 23 x 28 cm; 1.72 Kilograms', 'ASIN': 'B009DA69W6', 'Packer': 'Kent RO Systems Ltd.- Khasra No. 93, Village- Bantakhedi, Tehsil- Roorkee, District- Haridwar, Uttrakhand- 247668, India', 'Importer': 'KENT RO SYSTEM LTD- A-06, PHASE-2,NOIDA, UTTAR PRADESH, INDIA PIN-201305', 'Item Weight': '1 kg 720 g', 'Item Dimensions LxWxH': '52 x 23 x 28 Centimeters', 'Net Quantity': '4 N', 'Included Components': 'Bottom Tank-01, Top Tank-01, Middle Partition-01, To Cover-01, Top Lid 01, Carbon Assembly with Inlet Funnel- 01 Set,Hollow Fiber UF Membrane Cartridge-01 , Spare Sediment Filter- 1 Pair, Tap-01, 50 ml Backwash Syringe-01, Y-Fork-01, Instruction mannual', 'Generic Name': 'Gravity Water Purifier'}",Fulfilled,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",WE SHALL HAVE FULL RIGHT TO CANCEL THE ORDER WHICH ARE NOT SERVICEABLE WITH OUR COURIER PARTNER .SO KINDLY COOPERATE WITH US.,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,3.0,1900.0,3.6 out of 5 stars,1750.0,,"9,594 ratings",[]
{'$oid': '61fd1f251cfba6a787367ee6'},B08B27R8MP,In stock,,"['HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'HUL Pureit Advanced Plus 5 L RO + UV + Minerals Water Purifier with Minerals (Black...', 'HUL Pureit Copper+ Mineral RO + UV + MF 7 stage Table top / Wall Mountable Black & ...', 'HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 ...', 'HUL Pureit Copper UV Countertop/Wall-mount Water Purifier (White) with Copper enric...', 'HUL Pureit Classic G2 Mineral RO+MF 6L Water Purifier', 'Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV E-boiling...', 'Sure From Aquaguard Delight NXT RO+UV e-boiling+MTDS Water Purifier By Eureka Forbe...', 'AO Smith Z9 Hot+ normal RO |10 L|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineral...', 'Blue Star Aristo RO+UVÂ\xa0 7-Litre Water Purifier, AR4BLAM01']",HUL Pureit,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Manufacturer': 'HUL Pureit, 1860-210-1000', 'Country of Origin': 'India', 'Item model number': 'WCUR300', 'Product Dimensions': '30 x 22.2 x 36 cm; 7 Kilograms', 'ASIN': 'B08B27R8MP', 'Item Weight': '7 kg', 'Item Dimensions LxWxH': '30 x 22.2 x 36 Centimeters', 'Included Components': 'Water purifier, Installation Kit, Warranty Card', 'Generic Name': 'HUL Pureit Advanced Pro Mineral RO+UV Water Purifier'}",,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Water Purifier,3.0,16000.0,4.4 out of 5 stars,10599.0,,"3,523 ratings",[]
{'$oid': '61fd1f251cfba6a787367ee8'},B07YC8JHMB,In stock,,"['Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV E-boiling...', 'Sure From Aquaguard Delight NXT RO+UV e-boiling+MTDS Water Purifier By Eureka Forbe...', 'Aquaguard Marvel NXT RO+UV+MTDS|Patented Active Copper & Zinc Booster|UV e-boiling|...', 'Blue Star Excella 6 L RO + UV Water Purifier, Black, EX4BLAM02', 'KEEL BLACK CAMRY RO+UV+TDS 10 LTR Advance Technology Electric Water Purifier', 'HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Wat...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'Faber FWP Galaxy PRO Reverse Osmosis Water Purifier 7L, black, ro+mat', 'AO Smith Z8 Hot+ normal RO |10 L storage|100%RO+SCMT(Silver Charged Membrane Tech.)...', 'KEEL RO+UV+TDS 10 LTR Advance Technology Electric Water Purifier']",Eureka Forbes,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Manufacturer': 'Eureka Forbes, Eureka Forbes LTD', 'Country of Origin': 'India', 'Item model number': 'AquaSure Amaze RO+UV+MTDS', 'Product Dimensions': '23.8 x 30 x 43 cm; 4.7 Kilograms', 'ASIN': 'B07YC8JHMB', 'Packer': 'Eureka Forbes LTD', 'Item Weight': '4 kg 700 g', 'Item Dimensions LxWxH': '23.8 x 30 x 43 Centimeters', 'Net Quantity': '1 Count', 'Included Components': 'Water Purifier, User Manual', 'Generic Name': 'Water purifier'}",Fulfilled,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,Eureka forbes Aquasure From Aquaguard Amaze RO+UV+MTDS 7L Water Purifier,3.0,,3.9 out of 5 stars,8999.0,,"14,402 ratings",[]
{'$oid': '61fd1f251cfba6a787367eea'},B08KHPDG3N,In stock,"#1,723 in Home & Kitchen  (See Top 100 in Home & Kitchen) #14 in Water Coolers, Filters & Cartridges","['Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV E-boiling...', 'Sure From Aquaguard Delight NXT RO+UV e-boiling+MTDS Water Purifier By Eureka Forbe...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'Faber RO+ MAT+Vitamin C,7 Liters Water purifier with 7Stage, Upto 2500 TDS, Black', 'HUL Pureit Copper+ Mineral RO + UV + MF 7 stage Table top / Wall Mountable Black & ...', 'HUL Pureit Copper UV Countertop/Wall-mount Water Purifier (White) with Copper enric...', 'HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 ...', 'Faber FWP Galaxy PRO Reverse Osmosis Water Purifier 7L, black, ro+mat', 'HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Wat...', 'Livpure Bolt DX Ecocare with water saving Technology , Wall Mountable, RO+UF+Minera...']",Eureka Forbes,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Brand': 'Eureka Forbes', 'Manufacturer': 'Eureka Forbes Ltd, Eureka Forbes Ltd.', 'Country of Origin': 'India', 'Model Number': 'GWPDAURUF00000', 'Colour': 'Black', 'Number of Memory Sticks': '1', 'Special Feature': 'UV', 'Item Weight': '6 kg 400 g', 'Product Dimensions': '25.1 x 31.6 x 46.2 cm; 6.4 Kilograms', 'Item model number': 'GWPDAURUF00000', 'Item Height': '46.2 Centimeters', 'Item Width': '31.6 Centimeters', 'Included Components': 'Plumbing kit, accassories, product, power supply adapter & bracket for adapter', 'Input Type': 'Soft', 'ASIN': 'B08KHPDG3N', 'Date First Available': '1 October 2020', 'Packer': 'Eureka Forbes Ltd.', 'Item Dimensions LxWxH': '25.1 x 31.6 x 46.2 Centimeters', 'Net Quantity': '1 Count', 'Generic Name': 'Water Purifiers', 'Customer Reviews': '4.0 out of 5 stars 4,566 ratings', 'Best Sellers Rank': '#1,723 in Home & Kitchen  (See Top 100 in Home & Kitchen) #14 in Water Coolers, Filters & Cartridges'}",,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,Aquaguard Aura UV+UF (TDS: Up to 200PPM)|Patented Active Copper & Zinc Booster|Wall or Countertop Installation|7L storage by Eureka Forbes,4.0,16500.0,4.0 out of 5 stars,11499.0,,"4,566 ratings",[]
{'$oid': '61fd1f261cfba6a787367eec'},B0755D9T1M,In stock,,"['AO Smith Z9 Hot+ normal RO |10 L|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineral...', 'Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV E-boiling...', 'AO Smith Z5 Water Purifier, Baby Safe Water with 8 Stage Purification, 100% RO+SCMT...', 'Aquaguard Marvel NXT RO+UV+MTDS|Patented Active Copper & Zinc Booster|UV e-boiling|...', 'Havells Digi Touch Alkaline 6 L Absolutely Safe RO + UV Purified pH Balanced Water ...', 'Sure From Aquaguard Delight NXT RO+UV e-boiling+MTDS Water Purifier By Eureka Forbe...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Wat...', 'Livpure Bolt DX Ecocare with water saving Technology , Wall Mountable, RO+UF+Minera...', 'HUL Pureit Copper+ Mineral RO + UV + MF 7 stage Table top / Wall Mountable Black & ...']",AO Smith,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Manufacturer': 'A.O. Smith, A.O. Smith India Water Products Pvt. Ltd. Plot No. 300, Phase - 2, KIADB Industrial Area, Harohalli, Karnataka 562112; 1800 103 2468', 'Item model number': 'Z8', 'Product Dimensions': '36.9 x 32.6 x 48.2 cm; 15.2 Kilograms', 'ASIN': 'B0755D9T1M', 'Packer': 'A.O. Smith India Water Products Pvt. Ltd. Plot No. 300, Phase - 2, KIADB Industrial Area, Harohalli, Karnataka 562112; 1800 103 2468', 'Importer': 'A.O. Smith', 'Item Weight': '15 kg 200 g', 'Item Dimensions LxWxH': '36.9 x 32.6 x 48.2 Centimeters', 'Net Quantity': '1 Piece', 'Included Components': 'Water Purifier, Manual, Mounting screws, Tubes & Connectors', 'Generic Name': 'Water Purifier'}",,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,AO Smith Z8 Hot+ normal RO |10 L storage|100%RO+SCMT(Silver Charged Membrane Tech.)|Mineralizer Tech.| Water saving |suitable for Â more than 200 TDS | Wall mount Water Purifier for home,3.0,29950.0,4.4 out of 5 stars,23599.0,,"1,933 ratings",[]
{'$oid': '61fd1f261cfba6a787367eee'},B083GFQV47,In stock,"#12,674 in Home & Kitchen  (See Top 100 in Home & Kitchen) #51 in Water Coolers, Filters & Cartridges","['HUL Pureit Copper+ Mineral RO + UV + MF 7 stage Table top / Wall Mountable Black & ...', 'HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 ...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...', 'AQUA LIBRA WITH DEVICE Maroon Color Water Purifier with RO+COPPER Purifier for Home...', 'Eureka Forbes Aquaguard Aura High Recovery RO+UV e-boiling+Active Copper+MTDS+Miner...', 'KENT Supreme 2020 (11111), Wall Mountable, RO + UF + TDS Control + UV in Tank, 8 L ...', 'HUL Pureit Advanced Pro Mineral RO+UV 6 stage wall mounted counter top black 7L Wat...', 'Blue Star Aristo RO+UVÂ\xa0 7-Litre Water Purifier, AR4BLAM01', 'Aqua Space Shower Filter for Hard Water, Water Filter with Multi- Stage Filtered Ca...', 'AQUA LIBRA Water Purifier with RO+COPPER+UF+TDS CONTROLLER Water Purifier for Home ...']",Prestige,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Product Dimensions                                                                                                                ': '31 x 31 x 39 cm; 2.9 Kilograms', 'Date First Available                                                                                                                ': '3 January 2020', 'Manufacturer                                                                                                                ': 'TTK Prestige Ltd, TTK PRESTIGEÂ\xa0LIMITED, REGISTERED OFFICE: PLOT NO . 38. SIPCOT INDUSTRIAL COMPLEX, HOSUR- 635 126, INDIA', 'ASIN                                                                                                                ': 'B083GFQV47', 'Item model number                                                                                                                ': 'Tattva 2.1', 'Country of Origin                                                                                                                ': 'India', 'Item Weight                                                                                                                ': '2 kg 900 g', 'Item Dimensions LxWxH                                                                                                                ': '31 x 31 x 39 Centimeters', 'Included Components                                                                                                                ': '1 x Prestige Tattva 2.1 Copper 16-Liter Water Purifier (Brown)', 'Generic Name                                                                                                                ': 'Water Purifier', 'Best Sellers Rank': '#12,674 in Home & Kitchen  (See Top 100 in Home & Kitchen) #51 in Water Coolers, Filters & Cartridges', 'Customer Reviews': '3.6 out of 5 stars 2,385 ratings'}",Fulfilled,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '1 Year Warranty']",,Prestige Tattva 2.1 Copper 16 Liter Water Purifier (Brown),3.0,4495.0,3.6 out of 5 stars,3520.0,,"2,385 ratings",[]
{'$oid': '61fd1f281cfba6a787367ef0'},B096FGV3KH,In stock,"#23,776 in Home & Kitchen  (See Top 100 in Home & Kitchen) #84 in Water Coolers, Filters & Cartridges","['Amazon Brand - Solimo 2000-Watts Room Heater (ISI certified, White colour, Ideal for small to medium room/area)', ""GUIDE Men's Regular Fit Printed Three Fourth Capri"", 'Vedaka Gold Tea, 1kg', 'Tata Swach Bulb 6000-Litre Cartridge , 1 Piece', 'BRETON Professional Salon Barber Hair Cutting Scissors And Folding Razor Scissor For Men And Women, Silver Combo Of 2 (Razor Random Color Plastic Handle)', 'KENT Gold 20-Litres UF technology based Gravity Water Purifier, White', 'Konvio Neer Amrit RO + UV + UF + TDS Adjuster Water Purifier With 7 Stage of Purifi...', 'Konvio Neer Amrit RO+UV+UF+TDS Adjuster Water Purifier with High 3000 TDS Membrane ...', 'Konvio Neer AquaPious RO + UV + UF + TDS Adjuster Water Purifier with Advance UV an...', 'Eureka Forbes Aquaguard Aura High Recovery RO+UV e-boiling+Active Copper+MTDS+Miner...', 'Home-Pro Stainless Steel None Electric Water Filter with 1 Candle - 13 liters', 'ALTON ABS 15-Stage Replacement Filter Cartridge for SHR20170, SHR20180 (White)', 'Konvio Neer Jeeone RO + UV + UF + TDS Adjuster Water Purifier With High 3000 TDS Me...', 'Nexqua Dew Stainless Steel Water Filter and Purifier Ceramic Candle Filter Catridge...', 'Home-Pro Stainless Steel None Electric Water Filter with 3 Candle - 27 liters', 'MACMILLAN AQUA FRESH ? Water Cartridge, 9 Inch Sediment for Guard, Set of 8 Pieces']",KONVIO NEER,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Is Discontinued By Manufacturer                                                                                                                ': 'No', 'Product Dimensions                                                                                                                ': '25 x 25 x 25 cm; 3.9 Kilograms', 'Date First Available                                                                                                                ': '2 June 2021', 'Manufacturer                                                                                                                ': 'Konvio Neer, KONVIO RO SYSTEMS PRIVATE LIMITED PLOT NO. 11/24, BASEMENT AND GROUND FLOOR SITE-IV, INDUSTRIAL AREA SAHIBABAD Ghaziabad UTTAR PRADESH India 201010, PH: 92053-52917', 'ASIN                                                                                                                ': 'B096FGV3KH', 'Item part number                                                                                                                ': '206202101', 'Country of Origin                                                                                                                ': 'India', 'Packer                                                                                                                ': 'KONVIO RO SYSTEMS PRIVATE LIMITED PLOT NO. 11/24, BASEMENT AND GROUND FLOOR SITE-IV, INDUSTRIAL AREA SAHIBABAD Ghaziabad UTTAR PRADESH India 201010, PH: 92053-52917', 'Item Weight                                                                                                                ': '3 kg 900 g', 'Item Dimensions LxWxH                                                                                                                ': '25 x 25 x 25 Centimeters', 'Included Components                                                                                                                ': 'Steel Gravity_ 4 Ceramic Candles', 'Best Sellers Rank': '#23,776 in Home & Kitchen  (See Top 100 in Home & Kitchen) #84 in Water Coolers, Filters & Cartridges', 'Customer Reviews': '3.8 out of 5 stars 109 ratings'}",Fulfilled,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', '6 Month Warranty']",,"Konvio Neer Stainless Steel Non-electric Gravity Water Filter and Purifier With 18 Litre Storage, Includes 2 + 2 Ceramic Candles and Plastic Tap.",3.0,4499.0,3.8 out of 5 stars,2199.0,,109 ratings,[]
{'$oid': '61fd1f291cfba6a787367ef2'},B08HJQD9WC,In stock,"#18,238 in Home & Kitchen  (See Top 100 in Home & Kitchen) #66 in Water Coolers, Filters & Cartridges","['Amazon Brand - Solimo Plastic & Metal Shoe Rack, (Brown, 21 x 13 x 32 inch) 4 Racks', 'AQUA LIBRA WITH DEVICE Water Purifier with Active Copper RO+UV+UF+TDS Water Filter for Home', 'Amazon Brand - Solimo PVC Top Load Fully Automatic Washing Machine Cover, Leaf, Red', 'AQUA LIBRA WITH DEVICE Water Purifier with Active Copper RO+UV+UF+TDS Water Filter for', 'Ionix Spun Filter 10 inch 5 Micron pre Filter Cartridge for Water Purifier (Pack of 2 Spun Filter)', 'Aptechdeals TDS Meter/Digital Tds Meter with Temperature And Water Quality Measurement For Ro Purifier (TDS)', 'AQUA LIBRA WITH DEVICE Maroon Color Water Purifier with RO+COPPER Purifier for Home...', 'AQUA LIBRA WITH DEVICE Black Water Purifier with RO+UV+UF+TDS Water Filter for Home...', 'AQUA LIBRA WITH DEVICE Water Purifier with Active Copper RO+UV+UF+TDS Water Filter ...', 'AQUA LIBRA WITH DEVICE Water Purifier with Active Copper RO+UV+UF+TDS Water Filter ...', 'AQUA LIBRA Water Purifier with RO+COPPER+UF+TDS CONTROLLER Water Purifier for Home ...', 'AQUA LIBRA WITH DEVICE Water Purifier FOR RO+UV+UF+ACTIVE COPPER Water Filter for H...', 'HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L W...']",AQUA LIBRA WITH DEVICE,"['Home & Kitchen', 'Kitchen & Home Appliances', 'Water Purifiers & Accessories', 'Water Filters & Purifiers']",,"{'Product Dimensions                                                                                                                ': '30 x 26 x 32 cm; 4 Kilograms', 'Date First Available                                                                                                                ': '13 October 2020', 'Manufacturer                                                                                                                ': 'AQUA LIBRA', 'ASIN                                                                                                                ': 'B08HJQD9WC', 'Item model number                                                                                                                ': 'BLACK SILVER', 'Country of Origin                                                                                                                ': 'India', 'Item Weight                                                                                                                ': '4 kg', 'Item Dimensions LxWxH                                                                                                                ': '30 x 26 x 32 Centimeters', 'Included Components                                                                                                                ': '1 Water Purifier, Warranty Card, User Manual Guide', 'Best Sellers Rank': '#18,238 in Home & Kitchen  (See Top 100 in Home & Kitchen) #66 in Water Coolers, Filters & Cartridges', 'Customer Reviews': '3.5 out of 5 stars 1,099 ratings'}",,"['Pay on Delivery', '10 days Replacement', 'Amazon Delivered', 'No-Contact Delivery']",,"AQUA LIBRA with DEVICE Aqua Libra RO+UV+Uf+Tds Control with Active Copper Premium Water Purifier, (Silver), 15 Liter",3.0,14999.0,3.5 out of 5 stars,5099.0,,"1,099 ratings",[]
