ASIN,Question,Answer,Votes,Date
B07MHXGXTW,Is it side open?,No,0,26-03-2021
B07MHXGXTW,Is it side open?,No.,0,27-03-2021
B07MHXGXTW,Included pant or not????,"Only kurta, no bottom wear",0,27-03-2021
B07MHXGXTW,Does it come with lining?,Yes.,0,07-12-2020
B07MHXGXTW,Can I return it?,Yes,0,27-03-2021
B07MHXGXTW,Lining is there,Yes it has a lining,0,27-03-2021
B07MHXGXTW,Pant will come with the kurti or not,No pants.Only kurta.,0,27-03-2021
B07MHXGXTW,Is this stiched?,Yes.,0,27-03-2021
B07V6CZZTL,Is the design printed or woven ?,Printed,0,27-06-2021
B07V6CZZTL,Is it transparent? Is the cloth having netted fabric or woollen fabric like appearance?,"No, it is not transparent. My wife finds it elegant and quite trendy plus value for money.Has a knitted fabric look.",0,18-02-2021
B07V6CZZTL,Printed kurti?,Print very nice,0,27-06-2021
B07V6CZZTL,Is this a winter kurta,Colour and print very nice,0,27-06-2021
B09BD123Z1,Which size to take for chest 40?,42 will be best,0,24-01-2023
B099NBTRBD,Is this printed design or the embroided all over the top?,Zari oven in front of kurta,0,26-09-2022
B083YKPKLL,What is site 12? Size L?,Yes 12 size is L,0,03-06-2022
B083YKPKLL,Is it 100% cotton or cotton blend/mix?,Yes .it is 100% cotton.,0,03-06-2022
B083YKPKLL,doeS It has side pockets?,No,0,09-12-2020
B083YKPKLL,Pl.give colour name?,Rani pink,0,17-10-2020
B083YKPKLL,Buttons openable?,Yes,0,28-09-2020
B083YKPKLL,Is there pocket in the kurti??,No,0,09-12-2020
B083YKPKLL,Does it is come with plazzo?,No,0,27-08-2020
B083YKPKLL,Is this shrink after wash? Please confirm,No,0,28-09-2020
B083YKPKLL,100 cotton or mixing,100% cotton,0,06-07-2020
B083YKPKLL,Refund policy?,30days,0,09-12-2020
B083YL3DYJ,Is this made of 100% cotton or cotton blend?,Yes it's cotton. Not sure whether it's 100% though. Ok kind of material.,0,03-06-2022
B083YKV9CV,It's original kurta from W,Yes,0,09-12-2020
B083YKXJ6Y,Is it cotton,Yes,0,17-05-2021
B083YKXJ6Y,Will i get pant also?,No,0,17-05-2021
B083YKXJ6Y,Is it front open,No,0,17-05-2021
B08358W4MP,Will the dress shrink after wash?,No,0,23-12-2022
B08358W4MP,What is size L in this brand?,36,0,05-11-2021
B08358W4MP,What size number is medium?,34,0,05-11-2021
B07TYLMC7V,What is the size of dress  no option to select the size ?,Select Option h,0,10-12-2020
B084CJMHZ7,what is the colour,Blue as shown in picture.,0,01-05-2021
B084CJMHZ7,Size chart is not available is it possible to have a size chart?,See size chart on w official site,0,11-05-2021
B0822RM84G,Does the pant have elastic?,"Yes, the back side has a portion of elastic",0,07-12-2022
B0822RM84G,Is it 3 piece set or top and pant,Top and pant with dupatta,0,13-09-2022
B0822RM84G,Is it a lehenga choli set or what because description and picture shown are different,It is not lehenga choli set,0,13-09-2022
B083YL4MDR,Does it shrinks after wash ?,It doesn’t shrink,0,17-01-2023
B083YL4MDR,How much its length,IT'S BELOW KNEE BUT NO TOO LONG. GOOD STUFF. WORTH FOR MONEY,0,03-02-2021
B08T1K7WJ1,Is it sleeveless dress?,Yes it is but you get extra sleeves.,0,20-06-2022
B08T1K7WJ1,Do we get sleeves to attach later?,Yes,0,20-06-2022
B09NP726YR,Will I get the whole set or is the price only for kurti?,Kurta and dhoti,0,26-09-2022
B08359X7C4,Is it transparent,It has got a lining to it. Not very transparent,0,26-03-2022
B08T1JDY6X,Is this ready suit or suit clothes that we have to tie up ??,It is a ready to wear top,0,14-02-2022
B08KQVWH88,Does it have a side pockets,No,0,29-05-2021
B08KQVWH88,Size 38 means bust size 38???,No it doesn't have a side pocket,0,29-05-2021
B08T17GMY5,Shall i know the length of kurta ?,Floor length,0,06-12-2022
B08KQWJ76X,Buttons are openable or not?,Buttons are for show behind them are silver hooks which are openable,0,09-08-2021
B08KQWJ76X,Dupatta is there,No,0,05-05-2021
B08359CFWH,Wht is the length of the top,Length is 51 inches.,0,30-03-2021
B08359CFWH,Length of this kurta?,It's long..calf length,0,26-03-2022
B08G2BVDR7,What is the size of the given product? It is Not mentioned in details,It's  xxl size,0,28-05-2022
B08G2BVDR7,Is the kurta pure cotton?,"Near to cotton, not that typical cotton.",0,26-03-2022
B08G2BVDR7,Is the size chart measurement that of body or garment?,Yes.. little looser kind of style.. good for office and home.,0,25-02-2022
B08G2BVDR7,This dress for kides are dultsloo Wkz],Adults,0,30-01-2022
B08G2BVDR7,Which size is best for bust size 40?,It will suitable to choose size 38 to get perfect fitting,0,16-02-2021
B08G2BVDR7,Which size,My size is 34,0,16-02-2021
B08KQTK4HP,Does it contain both kurta and plazzo,Yes it has both kurta and plazo,0,26-09-2022
B08KQTK4HP,Is the colour fast?,No..using it since 6months,0,28-06-2022
B08T1X7JQD,What all items will be sent as part of suit set?,"Kurta, skirt and dupatta.",0,25-10-2021
B0835BC683,Does it have skirt or palazzo as bottom,Palazzo (flared),0,13-06-2020
B07SXG98HX,Neck peice is wid kurta?,"Yes, it’s pretty",0,24-08-2020
B07SXG98HX,Neck piece attached?,Yes,0,24-08-2020
B07SXG98HX,Is the necklace with dress?,Yes,0,24-08-2020
B07V5GD43Y,Does it have sleev,"Yes, small one attached inside.",0,26-12-2022
B07V5GD43Y,Dress  have sleeves,No,0,26-12-2022
B07V5GD43Y,Hands cloth is inside?,Yes,0,26-12-2022
B07V5GD43Y,Are there pocket in this dress,No,0,26-12-2022
B07V5GD43Y,How to select size,Size 34 will fir M size,0,26-12-2022
B07V5GD43Y,Hands is ther,No,0,26-12-2022
B07V5GD43Y,Whether sleeves included with this dress?,Yes,0,26-12-2022
B07V5GD43Y,Do this have sleeves,Yes,0,26-12-2022
B07V5GD43Y,Does this dress have sleeves?,Yes,0,26-12-2022
B07V5GD43Y,Does this dress provided with sleeves to attach,Yes,0,26-12-2022
