ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09VS6S3WD,Amit Rana,1.0 out of 5 stars,Fabindia  Sucks,22/01/2023 00:00,India,,I do not care about the product quality or anything else when you have this bed cumsumer relation..,product quality,0.397290796,-0.300000012,0.300000012,Quality
B09VS6S3WD,Amit Rana,1.0 out of 5 stars,Fabindia  Sucks,22/01/2023 00:00,India,,I do not care about the product quality or anything else when you have this bed cumsumer relation..,anything,0.401790708,-0.400000006,0.400000006,
B09VS6S3WD,Amit Rana,1.0 out of 5 stars,Fabindia  Sucks,22/01/2023 00:00,India,,I do not care about the product quality or anything else when you have this bed cumsumer relation..,bed cumsumer relation,0.200918496,-0.300000012,0.300000012,
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,cloth,0.31131497,0.699999988,0.699999988,
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,kurtha,0.216256857,0.600000024,0.600000024,
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,persons,0.166423157,0.5,0.5,
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,colour,0.150486887,0.699999988,0.699999988,Colour
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,The,0.099498615,0.5,0.5,
B09VRVSWL6,Roy Mathew,5.0 out of 5 stars,Good looking,01/01/2023 00:00,India,,Have been using it for one month... The cloth is very soft and comfy....this kurtha is apt for the The persons looking for good looking comfortable wear... The colour is also good and not fading while washing..,wear,0.056019519,0.5,0.5,
B09VRVSWL6,Amazon Customer,1.0 out of 5 stars,Purple kurts,16/11/2022 00:00,India,,Colour of the kurta is not as shown in the picture..,Colour,0.601209819,0,0,Colour
B09VRVSWL6,Amazon Customer,1.0 out of 5 stars,Purple kurts,16/11/2022 00:00,India,,Colour of the kurta is not as shown in the picture..,kurta,0.262249023,-0.100000001,0.100000001,
B09VRVSWL6,Amazon Customer,1.0 out of 5 stars,Purple kurts,16/11/2022 00:00,India,,Colour of the kurta is not as shown in the picture..,picture,0.136541173,-0.100000001,0.100000001,
B09S3PPNGK,vinita,5.0 out of 5 stars,Perfect as expected from fabindia,21/11/2022 00:00,India 🇮🇳,,Fabindia has alwaya been my first choice as it fits perfectly,choice,0.129560128,0.300000012,0.300000012,
B09S3PPNGK,vinita,5.0 out of 5 stars,Perfect as expected from fabindia,21/11/2022 00:00,India 🇮🇳,,Fabindia has alwaya been my first choice as it fits perfectly,Fabindia,0.870439887,0.600000024,1.200000048,
B09S3MVNCY,vinita,5.0 out of 5 stars,Perfect as expected from fabindia,21/11/2022 00:00,India 🇮🇳,,Fabindia has alwaya been my first choice as it fits perfectly,choice,0.129560128,0.300000012,0.300000012,
B09S3MVNCY,vinita,5.0 out of 5 stars,Perfect as expected from fabindia,21/11/2022 00:00,India 🇮🇳,,Fabindia has alwaya been my first choice as it fits perfectly,Fabindia,0.870439887,0.600000024,1.200000048,
B09QH2SN27,Mukta,5.0 out of 5 stars,Beautiful just beautiful,20/06/2022 00:00,India,,"Beautiful dress, go for it",dress,1,0.800000012,0.800000012,
B09NTQXJY7,Kamal kumar,5.0 out of 5 stars,Fitting and material is good,30/10/2022 00:00,India,,Material and pattern is good,Material,0.742308557,0.800000012,0.800000012,Material
B09NTQXJY7,Kamal kumar,5.0 out of 5 stars,Fitting and material is good,30/10/2022 00:00,India,,Material and pattern is good,pattern,0.257691443,0.800000012,0.800000012,Pattern
