ASIN,Category,Latest BSR,Last Day BSR
B09VRVNFZ2,Clothing & Accessories,200363.0,189646.0
B09VRVNFZ2,Women's Kurtas & Kurtis,15236.0,14345.0
B099X7WJC7,Clothing & Accessories,450432.0,442841.0
B099X7WJC7,Women's Kurtas & Kurtis,33486.0,32923.0
B099J4L5FP,Clothing & Accessories,2233368.0,2233046.0
B099J4L5FP,Women's Dresses,67887.0,67858.0
B09VRR36SL,Clothing & Accessories,1063224.0,1053676.0
B09VRR36SL,Women's Kurtas & Kurtis,74268.0,73628.0
B09S3NY3NP,Clothing & Accessories,321852.0,306922.0
B09S3NY3NP,Women's Kurtas & Kurtis,24420.0,23305.0
B09VRSPB2L,Clothing & Accessories,115456.0,99538.0
B09VRSPB2L,Women's Kurtas & Kurtis,8728.0,7460.0
B09VS4D4M6,Clothing & Accessories,98348.0,82967.0
B09VS4D4M6,Women's Kurtas & Kurtis,7434.0,6207.0
B09VS5R43G,Clothing & Accessories,1436633.0,1436482.0
B09VS5R43G,Women's Kurtas & Kurtis,99050.0,99014.0
B099JWLT4R,Clothing & Accessories,36310.0,126688.0
B099JWLT4R,Women's Kurtas & Kurtis,2786.0,9649.0
B09TPN6LM6,Clothing & Accessories,556632.0,548770.0
B09TPN6LM6,Women's Kurtas & Kurtis,40664.0,40116.0
B099JHJBT3,Clothing & Accessories,1511339.0,1509092.0
B099JHJBT3,Women's Dresses,45993.0,45902.0
B09TPNFWK7,Clothing & Accessories,116028.0,98886.0
B09TPNFWK7,Women's Kurtas & Kurtis,8782.0,7409.0
B09SFYVRCY,Clothing & Accessories,276999.0,260293.0
B09SFYVRCY,Women's Kurtas & Kurtis,21199.0,19900.0
B09VRVM443,Clothing & Accessories,320447.0,316533.0
B09VRVM443,Women's Kurtas & Kurtis,24344.0,23974.0
B09VYBLT9D,Clothing & Accessories,633704.0,628357.0
B09VYBLT9D,Women's Kurtas & Kurtis,45780.0,45420.0
B09VRRVV79,Clothing & Accessories,507620.0,498680.0
B09VRRVV79,Women's Salwar Suits,4112.0,4048.0
B09VS5H5WD,Clothing & Accessories,401044.0,393411.0
B09VS5H5WD,Women's Kurtas & Kurtis,30031.0,29464.0
B09S338P67,Clothing & Accessories,200170.0,189606.0
B09S338P67,Women's Kurtas & Kurtis,15220.0,14342.0
B09TPPQHFV,Clothing & Accessories,174944.0,162472.0
B09TPPQHFV,Women's Kurtas & Kurtis,13232.0,12244.0
B099JRXK5C,Clothing & Accessories,133400.0,119922.0
B099JRXK5C,Women's Kurtas & Kurtis,10026.0,8996.0
B09VSCGWC4,Clothing & Accessories,1177252.0,1165160.0
B09VSCGWC4,Women's Kurtas & Kurtis,81752.0,80972.0
B09VS1R258,Clothing & Accessories,93360.0,75320.0
B09VS1R258,Women's Kurtas & Kurtis,7036.0,5624.0
B09SVCVRLM,Clothing & Accessories,113581.0,192673.0
B09SVCVRLM,Women's Kurtas & Kurtis,8646.0,14602.0
B099J9VQN8,Clothing & Accessories,139666.0,124529.0
B099J9VQN8,Women's Kurtas & Kurtis,10509.0,9330.0
B09VRPWNWZ,Clothing & Accessories,187745.0,175518.0
B09VRPWNWZ,Women's Kurtas & Kurtis,14274.0,13280.0
B09VRR7QDZ,Clothing & Accessories,1162871.0,1150411.0
B09VRR7QDZ,Women's Kurtas & Kurtis,80840.0,80009.0
B09VYDVY1D,Clothing & Accessories,162126.0,147470.0
B09VYDVY1D,Women's Kurtas & Kurtis,12264.0,11074.0
B09SY2C649,Clothing & Accessories,986780.0,979786.0
B09SY2C649,Women's Kurtas & Kurtis,69242.0,68778.0
B09VRTHWYD,Clothing & Accessories,275000.0,266095.0
B09VRTHWYD,Women's Kurtas & Kurtis,21042.0,20330.0
