ASIN,Date,Category,BSR,Last Known BSR
B09VRVNFZ2,2023-01-31,Clothing & Accessories,189646.0,
B09VRVNFZ2,2023-02-01,Clothing & Accessories,200363.0,189646.0
B09VRVNFZ2,2023-01-31,Women's Kurtas & Kurtis,14345.0,
B09VRVNFZ2,2023-02-01,Women's Kurtas & Kurtis,15236.0,14345.0
B099X7WJC7,2023-01-31,Clothing & Accessories,442841.0,
B099X7WJC7,2023-02-01,Clothing & Accessories,450432.0,442841.0
B099X7WJC7,2023-01-31,Women's Kurtas & Kurtis,32923.0,
B099X7WJC7,2023-02-01,Women's Kurtas & Kurtis,33486.0,32923.0
B099J4L5FP,2023-01-31,Clothing & Accessories,2233046.0,
B099J4L5FP,2023-02-01,Clothing & Accessories,2233368.0,2233046.0
B099J4L5FP,2023-01-31,Women's Dresses,67858.0,
B099J4L5FP,2023-02-01,Women's Dresses,67887.0,67858.0
B09VRR36SL,2023-01-31,Clothing & Accessories,1053676.0,
B09VRR36SL,2023-02-01,Clothing & Accessories,1063224.0,1053676.0
B09VRR36SL,2023-01-31,Women's Kurtas & Kurtis,73628.0,
B09VRR36SL,2023-02-01,Women's Kurtas & Kurtis,74268.0,73628.0
B09S3NY3NP,2023-01-31,Clothing & Accessories,306922.0,
B09S3NY3NP,2023-02-01,Clothing & Accessories,321852.0,306922.0
B09S3NY3NP,2023-01-31,Women's Kurtas & Kurtis,23305.0,
B09S3NY3NP,2023-02-01,Women's Kurtas & Kurtis,24420.0,23305.0
B09VRSPB2L,2023-01-31,Clothing & Accessories,99538.0,
B09VRSPB2L,2023-02-01,Clothing & Accessories,115456.0,99538.0
B09VRSPB2L,2023-01-31,Women's Kurtas & Kurtis,7460.0,
B09VRSPB2L,2023-02-01,Women's Kurtas & Kurtis,8728.0,7460.0
B09VS4D4M6,2023-01-31,Clothing & Accessories,82967.0,
B09VS4D4M6,2023-02-01,Clothing & Accessories,98348.0,82967.0
B09VS4D4M6,2023-01-31,Women's Kurtas & Kurtis,6207.0,
B09VS4D4M6,2023-02-01,Women's Kurtas & Kurtis,7434.0,6207.0
B09VS5R43G,2023-01-31,Clothing & Accessories,1436482.0,
B09VS5R43G,2023-02-01,Clothing & Accessories,1436633.0,1436482.0
B09VS5R43G,2023-01-31,Women's Kurtas & Kurtis,99014.0,
B09VS5R43G,2023-02-01,Women's Kurtas & Kurtis,99050.0,99014.0
B099JWLT4R,2023-01-31,Clothing & Accessories,126688.0,
B099JWLT4R,2023-02-01,Clothing & Accessories,36310.0,126688.0
B099JWLT4R,2023-01-31,Women's Kurtas & Kurtis,9649.0,
B099JWLT4R,2023-02-01,Women's Kurtas & Kurtis,2786.0,9649.0
B09TPN6LM6,2023-01-31,Clothing & Accessories,548770.0,
B09TPN6LM6,2023-02-01,Clothing & Accessories,556632.0,548770.0
B09TPN6LM6,2023-01-31,Women's Kurtas & Kurtis,40116.0,
B09TPN6LM6,2023-02-01,Women's Kurtas & Kurtis,40664.0,40116.0
B099JHJBT3,2023-01-31,Clothing & Accessories,1509092.0,
B099JHJBT3,2023-02-01,Clothing & Accessories,1511339.0,1509092.0
B099JHJBT3,2023-01-31,Women's Dresses,45902.0,
B099JHJBT3,2023-02-01,Women's Dresses,45993.0,45902.0
B09TPNFWK7,2023-01-31,Clothing & Accessories,98886.0,
B09TPNFWK7,2023-02-01,Clothing & Accessories,116028.0,98886.0
B09TPNFWK7,2023-01-31,Women's Kurtas & Kurtis,7409.0,
B09TPNFWK7,2023-02-01,Women's Kurtas & Kurtis,8782.0,7409.0
B09SFYVRCY,2023-01-31,Clothing & Accessories,260293.0,
B09SFYVRCY,2023-02-01,Clothing & Accessories,276999.0,260293.0
B09SFYVRCY,2023-01-31,Women's Kurtas & Kurtis,19900.0,
B09SFYVRCY,2023-02-01,Women's Kurtas & Kurtis,21199.0,19900.0
B09VRVM443,2023-01-31,Clothing & Accessories,316533.0,
B09VRVM443,2023-02-01,Clothing & Accessories,320447.0,316533.0
B09VRVM443,2023-01-31,Women's Kurtas & Kurtis,23974.0,
B09VRVM443,2023-02-01,Women's Kurtas & Kurtis,24344.0,23974.0
B09VYBLT9D,2023-01-31,Clothing & Accessories,628357.0,
B09VYBLT9D,2023-02-01,Clothing & Accessories,633704.0,628357.0
B09VYBLT9D,2023-01-31,Women's Kurtas & Kurtis,45420.0,
B09VYBLT9D,2023-02-01,Women's Kurtas & Kurtis,45780.0,45420.0
B09VRRVV79,2023-01-31,Clothing & Accessories,498680.0,
B09VRRVV79,2023-02-01,Clothing & Accessories,507620.0,498680.0
B09VRRVV79,2023-01-31,Women's Salwar Suits,4048.0,
B09VRRVV79,2023-02-01,Women's Salwar Suits,4112.0,4048.0
B09VS5H5WD,2023-01-31,Clothing & Accessories,393411.0,
B09VS5H5WD,2023-02-01,Clothing & Accessories,401044.0,393411.0
B09VS5H5WD,2023-01-31,Women's Kurtas & Kurtis,29464.0,
B09VS5H5WD,2023-02-01,Women's Kurtas & Kurtis,30031.0,29464.0
B09S338P67,2023-01-31,Clothing & Accessories,189606.0,
B09S338P67,2023-02-01,Clothing & Accessories,200170.0,189606.0
B09S338P67,2023-01-31,Women's Kurtas & Kurtis,14342.0,
B09S338P67,2023-02-01,Women's Kurtas & Kurtis,15220.0,14342.0
B09TPPQHFV,2023-01-31,Clothing & Accessories,162472.0,
B09TPPQHFV,2023-02-01,Clothing & Accessories,174944.0,162472.0
B09TPPQHFV,2023-01-31,Women's Kurtas & Kurtis,12244.0,
B09TPPQHFV,2023-02-01,Women's Kurtas & Kurtis,13232.0,12244.0
B099JRXK5C,2023-01-31,Clothing & Accessories,119922.0,
B099JRXK5C,2023-02-01,Clothing & Accessories,133400.0,119922.0
B099JRXK5C,2023-01-31,Women's Kurtas & Kurtis,8996.0,
B099JRXK5C,2023-02-01,Women's Kurtas & Kurtis,10026.0,8996.0
B09VSCGWC4,2023-01-31,Clothing & Accessories,1165160.0,
B09VSCGWC4,2023-02-01,Clothing & Accessories,1177252.0,1165160.0
B09VSCGWC4,2023-01-31,Women's Kurtas & Kurtis,80972.0,
B09VSCGWC4,2023-02-01,Women's Kurtas & Kurtis,81752.0,80972.0
B09VS1R258,2023-01-31,Clothing & Accessories,75320.0,
B09VS1R258,2023-02-01,Clothing & Accessories,93360.0,75320.0
B09VS1R258,2023-01-31,Women's Kurtas & Kurtis,5624.0,
B09VS1R258,2023-02-01,Women's Kurtas & Kurtis,7036.0,5624.0
B09SVCVRLM,2023-01-31,Clothing & Accessories,192673.0,
B09SVCVRLM,2023-02-01,Clothing & Accessories,113581.0,192673.0
B09SVCVRLM,2023-01-31,Women's Kurtas & Kurtis,14602.0,
B09SVCVRLM,2023-02-01,Women's Kurtas & Kurtis,8646.0,14602.0
B099J9VQN8,2023-01-31,Clothing & Accessories,124529.0,
B099J9VQN8,2023-02-01,Clothing & Accessories,139666.0,124529.0
B099J9VQN8,2023-01-31,Women's Kurtas & Kurtis,9330.0,
B099J9VQN8,2023-02-01,Women's Kurtas & Kurtis,10509.0,9330.0
B09VRPWNWZ,2023-01-31,Clothing & Accessories,175518.0,
B09VRPWNWZ,2023-02-01,Clothing & Accessories,187745.0,175518.0
B09VRPWNWZ,2023-01-31,Women's Kurtas & Kurtis,13280.0,
B09VRPWNWZ,2023-02-01,Women's Kurtas & Kurtis,14274.0,13280.0
B09VRR7QDZ,2023-01-31,Clothing & Accessories,1150411.0,
B09VRR7QDZ,2023-02-01,Clothing & Accessories,1162871.0,1150411.0
B09VRR7QDZ,2023-01-31,Women's Kurtas & Kurtis,80009.0,
B09VRR7QDZ,2023-02-01,Women's Kurtas & Kurtis,80840.0,80009.0
B09VYDVY1D,2023-01-31,Clothing & Accessories,147470.0,
B09VYDVY1D,2023-02-01,Clothing & Accessories,162126.0,147470.0
B09VYDVY1D,2023-01-31,Women's Kurtas & Kurtis,11074.0,
B09VYDVY1D,2023-02-01,Women's Kurtas & Kurtis,12264.0,11074.0
B09SY2C649,2023-01-31,Clothing & Accessories,979786.0,
B09SY2C649,2023-02-01,Clothing & Accessories,986780.0,979786.0
B09SY2C649,2023-01-31,Women's Kurtas & Kurtis,68778.0,
B09SY2C649,2023-02-01,Women's Kurtas & Kurtis,69242.0,68778.0
B09VRTHWYD,2023-01-31,Clothing & Accessories,266095.0,
B09VRTHWYD,2023-02-01,Clothing & Accessories,275000.0,266095.0
B09VRTHWYD,2023-01-31,Women's Kurtas & Kurtis,20330.0,
B09VRTHWYD,2023-02-01,Women's Kurtas & Kurtis,21042.0,20330.0
B09TPMMH6L,2023-01-31,Clothing & Accessories,162046.0,
B09TPMMH6L,2023-02-01,Clothing & Accessories,173793.0,162046.0
B09TPMMH6L,2023-01-31,Women's Kurtas & Kurtis,12206.0,
B09TPMMH6L,2023-02-01,Women's Kurtas & Kurtis,13127.0,12206.0
B099JB8KMQ,2023-01-31,Clothing & Accessories,1771266.0,
B099JB8KMQ,2023-02-01,Clothing & Accessories,1771654.0,1771266.0
B099JB8KMQ,2023-01-31,Women's Kurtas & Kurtis,121609.0,
B099JB8KMQ,2023-02-01,Women's Kurtas & Kurtis,121662.0,121609.0
B09VS6SJB2,2023-01-31,Clothing & Accessories,112586.0,
B09VS6SJB2,2023-02-01,Clothing & Accessories,128763.0,112586.0
B09VS6SJB2,2023-01-31,Women's Kurtas & Kurtis,8434.0,
B09VS6SJB2,2023-02-01,Women's Kurtas & Kurtis,9713.0,8434.0
B09S3NHBLJ,2023-01-31,Clothing & Accessories,83180.0,
B09S3NHBLJ,2023-02-01,Clothing & Accessories,100082.0,83180.0
B09S3NHBLJ,2023-01-31,Women's Kurtas & Kurtis,6220.0,
B09S3NHBLJ,2023-02-01,Women's Kurtas & Kurtis,7572.0,6220.0
B09S3PLKX7,2023-01-31,Clothing & Accessories,156394.0,
B09S3PLKX7,2023-02-01,Clothing & Accessories,170724.0,156394.0
B09S3PLKX7,2023-01-31,Women's Kurtas & Kurtis,11765.0,
B09S3PLKX7,2023-02-01,Women's Kurtas & Kurtis,12910.0,11765.0
B09S3N8XBK,2023-01-31,Clothing & Accessories,153710.0,
B09S3N8XBK,2023-02-01,Clothing & Accessories,163842.0,153710.0
B09S3N8XBK,2023-01-31,Women's Kurtas & Kurtis,11576.0,
B09S3N8XBK,2023-02-01,Women's Kurtas & Kurtis,12401.0,11576.0
B09VSDKN9B,2023-01-31,Clothing & Accessories,106797.0,
B09VSDKN9B,2023-02-01,Clothing & Accessories,123557.0,106797.0
B09VSDKN9B,2023-01-31,Women's Kurtas & Kurtis,8001.0,
B09VSDKN9B,2023-02-01,Women's Kurtas & Kurtis,9352.0,8001.0
B09VRQNZ5W,2023-01-31,Clothing & Accessories,1359692.0,
B09VRQNZ5W,2023-02-01,Clothing & Accessories,1369060.0,1359692.0
B09VRQNZ5W,2023-01-31,Women's Kurtas & Kurtis,93792.0,
B09VRQNZ5W,2023-02-01,Women's Kurtas & Kurtis,94428.0,93792.0
B09SY35CJ3,2023-01-31,Clothing & Accessories,62612.0,
B09SY35CJ3,2023-02-01,Clothing & Accessories,77581.0,62612.0
B09SY35CJ3,2023-01-31,Women's Kurtas & Kurtis,4690.0,
B09SY35CJ3,2023-02-01,Women's Kurtas & Kurtis,5884.0,4690.0
B09VYF8VJK,2023-01-31,Clothing & Accessories,213148.0,
B09VYF8VJK,2023-02-01,Clothing & Accessories,219990.0,213148.0
B09VYF8VJK,2023-01-31,Women's Kurtas & Kurtis,16211.0,
B09VYF8VJK,2023-02-01,Women's Kurtas & Kurtis,16772.0,16211.0
B09VS3VW56,2023-01-31,Clothing & Accessories,359522.0,
B09VS3VW56,2023-02-01,Clothing & Accessories,369248.0,359522.0
B09VS3VW56,2023-01-31,Women's Kurtas & Kurtis,27082.0,
B09VS3VW56,2023-02-01,Women's Kurtas & Kurtis,27824.0,27082.0
B09VRMY2SJ,2023-01-31,Clothing & Accessories,188500.0,
B09VRMY2SJ,2023-02-01,Clothing & Accessories,202981.0,188500.0
B09VRMY2SJ,2023-01-31,Women's Kurtas & Kurtis,14259.0,
B09VRMY2SJ,2023-02-01,Women's Kurtas & Kurtis,15422.0,14259.0
B09VRN8LBR,2023-01-31,Clothing & Accessories,213148.0,
B09VRN8LBR,2023-02-01,Clothing & Accessories,219990.0,213148.0
B09VRN8LBR,2023-01-31,Women's Kurtas & Kurtis,16211.0,
