ASIN,Details Tag,Present
B09VRXC7MK,Generic Name,True
B09VRXC7MK,Item Weight,True
B09VRXC7MK,Item Model Number,False
B09VRXC7MK,Importer,False
B09VRXC7MK,Packer,False
B09VRXC7MK,Net Quantity,False
B09VRXC7MK,Country Of Origin,False
B09VRXC7MK,Included Components,False
B09VRXC7MK,Customer Reviews,True
B09VRXC7MK,Asin,True
B09VRXC7MK,Product Dimensions,True
B09VRXC7MK,Department,True
B09VRXC7MK,Manufacturer,True
B09VRXC7MK,Best Sellers Rank,False
B09VRXC7MK,Date First Available,True
B09VRXC7MK,Item Dimensions Lxwxh,True
B09VRVNFZ2,Generic Name,True
B09VRVNFZ2,Item Weight,True
B09VRVNFZ2,Item Model Number,False
B09VRVNFZ2,Importer,False
B09VRVNFZ2,Packer,False
B09VRVNFZ2,Net Quantity,False
B09VRVNFZ2,Country Of Origin,False
B09VRVNFZ2,Included Components,False
B09VRVNFZ2,Customer Reviews,True
B09VRVNFZ2,Asin,True
B09VRVNFZ2,Product Dimensions,True
B09VRVNFZ2,Department,True
B09VRVNFZ2,Manufacturer,True
B09VRVNFZ2,Best Sellers Rank,True
B09VRVNFZ2,Date First Available,True
B09VRVNFZ2,Item Dimensions Lxwxh,True
B099X7WJC7,Generic Name,True
B099X7WJC7,Item Weight,True
B099X7WJC7,Item Model Number,False
B099X7WJC7,Importer,False
B099X7WJC7,Packer,False
B099X7WJC7,Net Quantity,False
B099X7WJC7,Country Of Origin,False
B099X7WJC7,Included Components,False
B099X7WJC7,Customer Reviews,True
B099X7WJC7,Asin,True
B099X7WJC7,Product Dimensions,True
B099X7WJC7,Department,True
B099X7WJC7,Manufacturer,True
B099X7WJC7,Best Sellers Rank,True
B099X7WJC7,Date First Available,True
B099X7WJC7,Item Dimensions Lxwxh,True
B099J4L5FP,Generic Name,True
B099J4L5FP,Item Weight,True
B099J4L5FP,Item Model Number,True
B099J4L5FP,Importer,False
B099J4L5FP,Packer,True
B099J4L5FP,Net Quantity,False
B099J4L5FP,Country Of Origin,True
B099J4L5FP,Included Components,False
B099J4L5FP,Customer Reviews,True
B099J4L5FP,Asin,True
B099J4L5FP,Product Dimensions,True
B099J4L5FP,Department,True
B099J4L5FP,Manufacturer,True
B099J4L5FP,Best Sellers Rank,True
B099J4L5FP,Date First Available,True
B099J4L5FP,Item Dimensions Lxwxh,True
B09VRR36SL,Generic Name,True
B09VRR36SL,Item Weight,True
B09VRR36SL,Item Model Number,False
B09VRR36SL,Importer,False
B09VRR36SL,Packer,False
B09VRR36SL,Net Quantity,False
B09VRR36SL,Country Of Origin,False
B09VRR36SL,Included Components,False
B09VRR36SL,Customer Reviews,True
B09VRR36SL,Asin,True
B09VRR36SL,Product Dimensions,True
B09VRR36SL,Department,True
B09VRR36SL,Manufacturer,True
B09VRR36SL,Best Sellers Rank,True
B09VRR36SL,Date First Available,True
B09VRR36SL,Item Dimensions Lxwxh,True
B09S3NY3NP,Generic Name,True
B09S3NY3NP,Item Weight,True
B09S3NY3NP,Item Model Number,False
B09S3NY3NP,Importer,False
B09S3NY3NP,Packer,False
B09S3NY3NP,Net Quantity,False
B09S3NY3NP,Country Of Origin,False
B09S3NY3NP,Included Components,False
B09S3NY3NP,Customer Reviews,True
B09S3NY3NP,Asin,True
B09S3NY3NP,Product Dimensions,True
B09S3NY3NP,Department,True
B09S3NY3NP,Manufacturer,True
B09S3NY3NP,Best Sellers Rank,True
B09S3NY3NP,Date First Available,True
B09S3NY3NP,Item Dimensions Lxwxh,True
B09VRSPB2L,Generic Name,True
B09VRSPB2L,Item Weight,True
B09VRSPB2L,Item Model Number,False
B09VRSPB2L,Importer,False
B09VRSPB2L,Packer,False
B09VRSPB2L,Net Quantity,False
B09VRSPB2L,Country Of Origin,False
B09VRSPB2L,Included Components,False
B09VRSPB2L,Customer Reviews,True
B09VRSPB2L,Asin,True
B09VRSPB2L,Product Dimensions,True
B09VRSPB2L,Department,True
B09VRSPB2L,Manufacturer,True
B09VRSPB2L,Best Sellers Rank,True
B09VRSPB2L,Date First Available,True
B09VRSPB2L,Item Dimensions Lxwxh,True
B09SY4DKCP,Generic Name,True
B09SY4DKCP,Item Weight,True
B09SY4DKCP,Item Model Number,False
B09SY4DKCP,Importer,False
B09SY4DKCP,Packer,False
B09SY4DKCP,Net Quantity,False
B09SY4DKCP,Country Of Origin,False
B09SY4DKCP,Included Components,False
B09SY4DKCP,Customer Reviews,True
B09SY4DKCP,Asin,True
B09SY4DKCP,Product Dimensions,True
B09SY4DKCP,Department,True
B09SY4DKCP,Manufacturer,True
B09SY4DKCP,Best Sellers Rank,False
B09SY4DKCP,Date First Available,True
B09SY4DKCP,Item Dimensions Lxwxh,True
B09VS4D4M6,Generic Name,True
B09VS4D4M6,Item Weight,True
B09VS4D4M6,Item Model Number,False
B09VS4D4M6,Importer,False
B09VS4D4M6,Packer,False
B09VS4D4M6,Net Quantity,False
B09VS4D4M6,Country Of Origin,False
B09VS4D4M6,Included Components,False
B09VS4D4M6,Customer Reviews,True
B09VS4D4M6,Asin,True
B09VS4D4M6,Product Dimensions,True
B09VS4D4M6,Department,True
B09VS4D4M6,Manufacturer,True
B09VS4D4M6,Best Sellers Rank,True
B09VS4D4M6,Date First Available,True
B09VS4D4M6,Item Dimensions Lxwxh,True
B09VS5R43G,Generic Name,True
B09VS5R43G,Item Weight,True
B09VS5R43G,Item Model Number,False
B09VS5R43G,Importer,False
B09VS5R43G,Packer,False
B09VS5R43G,Net Quantity,False
B09VS5R43G,Country Of Origin,False
B09VS5R43G,Included Components,False
B09VS5R43G,Customer Reviews,True
B09VS5R43G,Asin,True
B09VS5R43G,Product Dimensions,True
B09VS5R43G,Department,True
B09VS5R43G,Manufacturer,True
B09VS5R43G,Best Sellers Rank,True
B09VS5R43G,Date First Available,True
B09VS5R43G,Item Dimensions Lxwxh,True
B099JWLT4R,Generic Name,True
B099JWLT4R,Item Weight,True
B099JWLT4R,Item Model Number,True
B099JWLT4R,Importer,False
B099JWLT4R,Packer,True
B099JWLT4R,Net Quantity,False
B099JWLT4R,Country Of Origin,False
B099JWLT4R,Included Components,False
B099JWLT4R,Customer Reviews,True
B099JWLT4R,Asin,True
B099JWLT4R,Product Dimensions,True
B099JWLT4R,Department,True
B099JWLT4R,Manufacturer,True
B099JWLT4R,Best Sellers Rank,True
B099JWLT4R,Date First Available,True
B099JWLT4R,Item Dimensions Lxwxh,True
B09TPN6LM6,Generic Name,True
B09TPN6LM6,Item Weight,True
B09TPN6LM6,Item Model Number,False
B09TPN6LM6,Importer,False
B09TPN6LM6,Packer,False
B09TPN6LM6,Net Quantity,False
B09TPN6LM6,Country Of Origin,False
B09TPN6LM6,Included Components,False
B09TPN6LM6,Customer Reviews,True
B09TPN6LM6,Asin,True
B09TPN6LM6,Product Dimensions,True
B09TPN6LM6,Department,True
B09TPN6LM6,Manufacturer,True
B09TPN6LM6,Best Sellers Rank,True
B09TPN6LM6,Date First Available,True
B09TPN6LM6,Item Dimensions Lxwxh,True
B099JHJBT3,Generic Name,True
B099JHJBT3,Item Weight,True
B099JHJBT3,Item Model Number,True
B099JHJBT3,Importer,False
B099JHJBT3,Packer,True
B099JHJBT3,Net Quantity,False
B099JHJBT3,Country Of Origin,True
B099JHJBT3,Included Components,False
B099JHJBT3,Customer Reviews,True
B099JHJBT3,Asin,True
B099JHJBT3,Product Dimensions,True
B099JHJBT3,Department,True
B099JHJBT3,Manufacturer,True
B099JHJBT3,Best Sellers Rank,True
B099JHJBT3,Date First Available,True
B099JHJBT3,Item Dimensions Lxwxh,True
B09TPNFWK7,Generic Name,True
B09TPNFWK7,Item Weight,True
B09TPNFWK7,Item Model Number,False
B09TPNFWK7,Importer,False
B09TPNFWK7,Packer,False
B09TPNFWK7,Net Quantity,False
B09TPNFWK7,Country Of Origin,False
B09TPNFWK7,Included Components,False
B09TPNFWK7,Customer Reviews,True
B09TPNFWK7,Asin,True
B09TPNFWK7,Product Dimensions,True
B09TPNFWK7,Department,True
B09TPNFWK7,Manufacturer,True
B09TPNFWK7,Best Sellers Rank,True
B09TPNFWK7,Date First Available,True
B09TPNFWK7,Item Dimensions Lxwxh,True
B09SFYVRCY,Generic Name,True
B09SFYVRCY,Item Weight,True
B09SFYVRCY,Item Model Number,False
B09SFYVRCY,Importer,False
B09SFYVRCY,Packer,False
