ASIN,Title,Brand,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Lowest Original Price,Highest Original Price,Latest Lowest Selling Price,Latest Hightest Selling Price,Last Day Lowest Selling Price,Last Day Highest Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B09VRXC7MK,Fabindia womens Kurta,Fabindia,,,,NA,NA,2524,2953,2524,2953,2524,2953,,0,NA,1,Kurtas & Kurtis,
B09VRVNFZ2,Fabindia womens Kurta,Fabindia,15631,,,NA,NA,2677,2898,2677,2898,2677,2898,14841,0,NA,1,Kurtas & Kurtis,
B099X7WJC7,Fabindia Men Kurta,Fabindia,33769,,,NA,NA,1174,1174,1174,1174,1174,1174,33202,0,Fulfilled,1,Kurtas & Kurtis,
B099J4L5FP,Fabindia Cotton Silk Layered Long Kurta,Fabindia,,,,NA,NA,4990,4990,4990,4990,4990,4990,,0,Fulfilled,1,Kurtas & Kurtis,
B09VRR36SL,Fabindia womens Kurta,Fabindia,74611,,,NA,NA,4560,4638,4560,4638,4560,4638,73925,0,NA,1,Kurtas & Kurtis,
B09S3NY3NP,Fabindia Women Kurta,Fabindia,24969,,,NA,NA,2411,2411,2411,2411,2411,2411,23870,0,NA,1,Kurtas & Kurtis,
B09VRSPB2L,Fabindia mens Kurta,Fabindia,9286,1,5,NA,NA,1265,1347,1265,1347,1265,1347,8169,0,NA,1,Kurtas,
B09SY4DKCP,Fabindia Women Kurta,Fabindia,,2,3,NA,NA,1456,1666,1456,1666,1456,1666,,0,NA,1,Kurtas & Kurtis,
B09VS4D4M6,Fabindia womens Kurta,Fabindia,7922,,,NA,NA,2983,3223,2983,3223,2983,3223,6947,0,NA,1,Kurtas & Kurtis,
B09VS5R43G,Fabindia boys Kurta,Fabindia,99076,,,NA,NA,1355,1477,1355,1477,1355,1477,99023,0,NA,1,Kurtas & Kurtis,
B099JWLT4R,Fabindia Women's Regular Dress Shirt,Fabindia,2401,2,3,NA,NA,609,988,609,988,609,988,3170,0,NA,1,Dresses,
B09TPN6LM6,Fabindia Women Kurta Set,Fabindia,40938,,,NA,NA,6251,7061,6251,7061,6251,7061,40389,0,NA,1,Kurtas & Kurtis,
B099JHJBT3,Fabindia Women's Cotton Regular Dress Shirt,Fabindia,,,,NA,NA,4490,4490,3417,3417,3417,3417,,0,Fulfilled,1,Kurtas & Kurtis,
B09TPNFWK7,Fabindia Women Kurta,Fabindia,9385,,,NA,NA,1635,1723,1635,1723,1635,1723,8178,0,NA,1,Kurtas & Kurtis,
B09SFYVRCY,Fabindia Men Kurta,Fabindia,21823,,,NA,NA,1152,1153,1152,1153,1152,1153,20575,0,NA,1,Kurtas,
B09VRVM443,Fabindia Men Kurta,Fabindia,24520,,,NA,NA,850.26,1308,850.26,1308,850.26,1308,24167,0,NA,1,Kurtas,
B09VYBLT9D,Fabindia mens Kurta,Fabindia,45968,1,5,NA,NA,2097,2242,2097,2242,2097,2242,45592,0,NA,1,Kurtas,
B09VRRVV79,Fabindia womens Kurta Set,Fabindia,4147,,,NA,NA,4638,4969,4638,4969,4638,4969,4077,0,NA,1,Kurtas & Kurtis,
B09VS5H5WD,Fabindia Women Tunic,Fabindia,30302,,,NA,NA,1499,1499,1477,1477,1477,1477,29760,0,Fulfilled,1,Kurtas & Kurtis,
B09S338P67,Fabindia Women Tunic Shirt,Fabindia,15608,,,NA,NA,1308,1455,1308,1455,1289,1443,14832,0,NA,1,Kurtas & Kurtis,
B09TPPQHFV,Fabindia Women Kurta,Fabindia,13646,,,NA,NA,1757,1848,1757,1848,1757,1848,12817,0,NA,1,Kurtas & Kurtis,
