ASIN,Date,Lowest Selling Price,Highest Selling Price,Last Known Lowest Selling Price,Last Known Highest Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B09VRXC7MK,2023-01-31,,,2524.0,2953.0,,,0.0,1.0
B09VRXC7MK,2023-02-01,2524.0,2953.0,2524.0,2953.0,,,0.0,1.0
B09VRVNFZ2,2023-01-31,,,2677.0,2898.0,14345.0,,0.0,1.0
B09VRVNFZ2,2023-02-01,2677.0,2898.0,2677.0,2898.0,15236.0,14345.0,0.0,1.0
B099X7WJC7,2023-01-31,1174.0,1174.0,1174.0,1174.0,32923.0,,0.0,1.0
B099X7WJC7,2023-02-01,1174.0,1174.0,1174.0,1174.0,33486.0,32923.0,0.0,1.0
B099J4L5FP,2023-01-31,4990.0,4990.0,4990.0,4990.0,,,0.0,1.0
B099J4L5FP,2023-02-01,4990.0,4990.0,4990.0,4990.0,,,0.0,1.0
B09VRR36SL,2023-01-31,,,4560.0,4638.0,73628.0,,0.0,1.0
B09VRR36SL,2023-02-01,4560.0,4638.0,4560.0,4638.0,74268.0,73628.0,0.0,1.0
B09S3NY3NP,2023-01-31,2411.0,2411.0,2411.0,2411.0,23305.0,,0.0,1.0
B09S3NY3NP,2023-02-01,2411.0,2411.0,2411.0,2411.0,24420.0,23305.0,0.0,1.0
B09VRSPB2L,2023-01-31,,,1265.0,1347.0,7460.0,,0.0,1.0
B09VRSPB2L,2023-02-01,1265.0,1347.0,1265.0,1347.0,8728.0,7460.0,0.0,1.0
B09SY4DKCP,2023-01-31,,,1456.0,1666.0,,,0.0,1.0
B09SY4DKCP,2023-02-01,1456.0,1666.0,1456.0,1666.0,,,0.0,1.0
B09VS4D4M6,2023-01-31,,,2983.0,3223.0,6207.0,,0.0,1.0
B09VS4D4M6,2023-02-01,2983.0,3223.0,2983.0,3223.0,7434.0,6207.0,0.0,1.0
B09VS5R43G,2023-01-31,,,1355.0,1477.0,99014.0,,0.0,1.0
B09VS5R43G,2023-02-01,1355.0,1477.0,1355.0,1477.0,99050.0,99014.0,0.0,1.0
B099JWLT4R,2023-01-31,,,609.0,988.0,9649.0,,0.0,1.0
B099JWLT4R,2023-02-01,609.0,988.0,609.0,988.0,2786.0,9649.0,0.0,1.0
B09TPN6LM6,2023-01-31,,,6251.0,7061.0,40116.0,,0.0,1.0
B09TPN6LM6,2023-02-01,6251.0,7061.0,6251.0,7061.0,40664.0,40116.0,0.0,1.0
B099JHJBT3,2023-01-31,,,3417.0,3417.0,,,0.0,1.0
