ASIN,Sentiment Score
B09S3MVNCY,5.0
B09VRVSWL6,3.0
B09VS6S3WD,1.0
B09S3PPNGK,5.0
B08T25J1V8,2.0
B0957SPNDT,2.0
B07SXCDC5Y,4.2
B07V6CZZTL,3.857142857142857
B07MHXGXTW,4.375
B08T1JDY6X,5.0
B08T17SWJP,5.0
B08T1MGD5M,5.0
B08T1ZC9PQ,4.5
B09BD123Z1,3.6666666666666665
B0957QPNBT,5.0
B084KVSZZ4,3.0
B0835916GG,5.0
B08KQVWH88,4.0
B0835BGQK1,3.0
B08359QWNP,3.3333333333333335
B09NP78FFW,5.0
B099NBTRBD,4.25
B083YKPW4B,2.5
B08FD46ZTN,3.0
B082NWW8TB,3.6
B083YL3DYJ,3.6666666666666665
B07LDQ2JP4,3.8
B083YKPKLL,1.6
B08359TS9P,4.222222222222222
B08T23192S,3.857142857142857
B08359CFWH,3.25
B08359QWD7,4.666666666666667
B08T1X7JQD,5.0
B0835BC683,3.8
B0835934M9,4.75
B07V5GD43Y,4.285714285714286
B08T1YLHY8,5.0
B08KQTK4HP,4.666666666666667
B08358W4MP,4.0
B08C35D2PV,3.3333333333333335
B07TWFDTSR,3.3333333333333335
B07TYLMC7V,5.0
B08C3BHV3T,5.0
B084CJMHZ7,3.111111111111111
B084CJS3DQ,3.0
B07SVNJ877,5.0
B07SXG98HX,3.888888888888889
B08359NKHY,2.6
B08T1KTZST,3.1666666666666665
B083YKV9CV,4.0
B083YKXJ6Y,4.25
B083YKN6DK,3.8
B07J9RWFDS,4.0
B07JCQQ7KY,3.0
B083YL4CX2,4.0
B083YL4MDR,3.8
B08T1K7WJ1,4.0
B08T15KKFQ,4.0
B09BCZT25P,5.0
B09QH2SN27,5.0
B08G2BVDR7,3.9
B08359QWF7,3.857142857142857
B0822RM84G,4.428571428571429
B07V5GDXK5,4.0
B09BD297JB,5.0
B083YK9Q68,4.0
B08359X7C4,3.4
B083597D9V,3.0
B098XFSSYD,4.0
B08T1QRRDM,3.857142857142857
B09NTQXJY7,4.0
B01I1V5C5C,4.0
B083594BXL,3.7142857142857144
B09CH1F8FD,5.0
B08KQWJ76X,3.4285714285714284
B08ZHXYQNR,3.3333333333333335
B099J9VQN8,2.0
B083YL77JQ,3.5
B09C6LMC85,2.0
B083YKDFL2,3.0
B098XB17D4,4.0
B08T17GMY5,3.0
B083YK9Q5C,3.0
B08358ST4J,4.0
B083594VBT,3.3333333333333335
