Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Latest Lowest Selling Price,Latest Highest Selling Price,Original Price,Lowest Original Price,Highest Original Price,Fulfilled,Sponsored,Present
kurti,1,B0BS9V5TC8,KGN Women Reyon Regular Embroidered-Women-Kurti-Set/Kurti-Set | KGN41 |,,549,549,549,549,549,549,NA,False,True
kurti,2,B0BS9TJFKT,KGN Women Reyon Kurta and Patiala/Kurta and Patiala | KGN43 |,,499,499,499,499,499,499,NA,False,True
kurti,3,B0BS9V7NXG,KGN Women Cotton Blend Kurti/Kurti | KGN45 |,,499,499,499,499,499,499,NA,False,True
kurti,4,B0BGPZQLY5,Shama Fashion Women Rayon Prinetd Tie Dye Embroidery Kaftan Kurta Kurti,,549,549,549,549,549,549,NA,False,True
kurti,5,B0B3J43JQZ,EthnicJunction Women's Georgette Chikankari Embroidery Anarkali Kurta,,549,549,549,549,549,549,NA,False,True
kurti,6,B0B6JJW9TL,Pinkmint Women Fashion Vest,,189-199,189,199,189-199,189,199,NA,False,True
kurti,7,B07TZCDNJT,Vaamsi Crepe Digital Printed Kurti(VPK1670_Beige_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,8,B083CMZY8N,Vaamsi Crepe Digital Printed Kurti(VPK1675_Green_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,9,B08JM5NJ6X,SIRIL Women's Rayon Foil Print Straight Kurta,,399,399,399,399,399,399,NA,False,True
kurti,10,B0BDLN4HJZ,ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant & Dupatta (Rapat),,659,659,659,659,659,659,NA,False,True
kurti,11,B09XT8B9YK,ANNI DESIGNER Women's Cotton Blend Anarkali Kurta (Fulkali),,469-607,469,607,469-607,469,607,NA,False,True
kurti,12,B081S5GB26,Vaamsi Crepe Printed Kurti(VPK1767_Blue_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,13,B07RP37L7H,Vaamsi Crepe Digital Printed Kurti(VPK1603A_Orange_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,14,B081S78TK4,Vaamsi Women's Crepe Regular Kurta,,189,189,189,189,189,189,NA,False,True
kurti,15,B08NZLLKXR,Vaamsi Women's Crepe Straight Kurta (PK1969_Purple),,189,189,189,189,189,189,NA,False,True
kurti,16,B07N8JBYFR,Vaamsi Women Kurta,,189,189,189,189,189,189,NA,False,True
kurti,17,B081S7QJRF,Vaamsi Crepe Printed Kurti(VPK1773_Beige_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,18,B0BN3G9SMV,Keshubaba Art Silk Print Perfect Short Length Art Silk Kurti for Modern Woman,,649,649,649,649,649,649,NA,False,True
kurti,19,B07TX4HZMX,Vaamsi Crepe Digital Printed Kurti(VPK1691_Pink_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,20,B083CW5KKW,Vaamsi Women Kurta,,189-299,189,299,189-299,189,299,NA,False,True
kurti,21,B07FTHS39L,Janasya Women's Poly Crepe Frontslit Kurta,,345-349,345,349,345-349,345,349,NA,False,True
kurti,22,B0BBRYZTYB,Kurti_scart_,,2200,2200,2200,2800,2800,2800,NA,False,True
kurti,23,B0BMW592F7,Grab The Fab Women's Lavender Rayon Straight Kurta,,444,444,444,444,444,444,NA,False,True
kurti,24,B09Q8Z967Y,Women's Cotton Anarkali Hand Block Printed Kurti with Pant and Duptta Set_Yellow,,849-869,849,869,849-869,849,869,NA,False,True
kurti,25,B0B5L4FY77,Pinkmint Women's Digital Printed Kurta,,189,189,189,189,189,189,NA,False,True
kurti,26,B09WVX97FZ,LookMark Womens Cotton Blend Straight Solid Kurti,,279,279,279,279,279,279,NA,False,True
kurti,27,B081S6ZTM4,Vaamsi Crepe Printed Kurti(VPK1777_Maroon),,189,189,189,189,189,189,NA,False,True
kurti,28,B083CMKS1J,Vaamsi Women's Crepe Regular Kurta,,189,189,189,189,189,189,NA,False,True
kurti,29,B07PP9KNPB,Vaamsi Cotton Blend Printed Kurti(VCK1066_Blue),,379,379,379,379,379,379,NA,False,True
kurti,30,B081S3MC1X,Vaamsi Crepe Printed Kurti(VPK1774_Blue_Free Size),,189,189,189,189,189,189,NA,False,True
kurti,31,B081SLT2NB,Vaamsi Women's Crepe Regular Kurta,,189,189,189,189,189,189,NA,False,True
kurti,32,B09W2XLWDF,Jaipuri Fashionista Women's White Colour Printed Straight Kurti with Palazzo Pant and Dupatta Set,,598,598,598,598,598,598,NA,False,True
kurti,33,B09Q8ZPGV8,Women's Cotton Anarkali Hand Block Printed Kurti with Pant and Duptta Set_Yellow,,849-869,849,869,849-869,849,869,NA,False,True
kurti,34,B0B4WPF188,Pinkmint Women's Crepe Regular Kurta,,199,199,199,199,199,199,NA,False,True
kurti,35,B09PBZZ1BS,NAINVISH Women/Girl's Pure Cotton Paisley Printed Kurti with Pant,,468-699,468,699,468-699,468,699,NA,False,True
kurti,36,B0BS6FDS6X,AnjuShree Choice Women Plus Size Anarkali Kurti,,799,799,799,799,799,799,NA,False,True
kurti,37,B07RN36QN9,Vaamsi Women Kurta,,189,189,189,189,189,189,NA,False,True
kurti,38,B09CTZ1JLM,Rajnandini Women's Maroon Pure Cambric Cotton Jaipuri Printed Kurti (JOPLJPR43),,499-549,499,549,499-549,499,549,NA,False,True
