ASIN,String,Rating,Frequency
B09S3MVNCY,perfect,5.0,1
B09S3MVNCY,perfect expected,5.0,1
B09S3MVNCY,expected,5.0,1
B09S3MVNCY,expected fabindia,5.0,1
B09S3MVNCY,fabindia,5.0,3
B09S3MVNCY,fabindia alwaya,5.0,1
B09S3MVNCY,alwaya,5.0,1
B09S3MVNCY,alwaya first,5.0,1
B09S3MVNCY,first,5.0,1
B09S3MVNCY,first choice,5.0,1
B09S3MVNCY,choice,5.0,1
B09S3MVNCY,choice fit,5.0,1
B09S3MVNCY,fit,5.0,1
B09S3MVNCY,fit perfectly,5.0,1
B09S3MVNCY,perfectly,5.0,2
B09VRYQY18,kurta,1.0,1
B09VRYQY18,kurta transparent,1.0,1
B09VRYQY18,transparent,1.0,1
B09VRYQY18,transparent worth,1.0,1
B09VRYQY18,worth,1.0,1
B09VRYQY18,worth price,1.0,1
B09VRYQY18,price,1.0,2
B09VRYQY18,poor,1.0,1
B09VRYQY18,poor cloth,1.0,1
B09VRYQY18,cloth,1.0,1
B09VRYQY18,cloth quality,1.0,1
B09VRYQY18,quality,1.0,2
B09VRVSWL6,good,5.0,3
B09VRVSWL6,good looking,5.0,2
B09VRVSWL6,looking,5.0,4
B09VRVSWL6,using,5.0,1
B09VRVSWL6,using one,5.0,1
B09VRVSWL6,one,5.0,1
B09VRVSWL6,one month...,5.0,1
B09VRVSWL6,month...,5.0,1
B09VRVSWL6,month... cloth,5.0,1
B09VRVSWL6,cloth,5.0,1
B09VRVSWL6,cloth soft,5.0,1
B09VRVSWL6,soft,5.0,1
B09VRVSWL6,soft comfy....this,5.0,1
B09VRVSWL6,comfy....this,5.0,1
B09VRVSWL6,comfy....this kurtha,5.0,1
B09VRVSWL6,kurtha,5.0,1
B09VRVSWL6,kurtha apt,5.0,1
B09VRVSWL6,apt,5.0,1
B09VRVSWL6,apt person,5.0,1
B09VRVSWL6,person,5.0,1
B09VRVSWL6,person looking,5.0,1
B09VRVSWL6,looking good,5.0,1
B09VRVSWL6,looking comfortable,5.0,1
B09VRVSWL6,comfortable,5.0,1
B09VRVSWL6,comfortable wear...,5.0,1
B09VRVSWL6,wear...,5.0,1
B09VRVSWL6,wear... colour,5.0,1
B09VRVSWL6,colour,5.0,1
B09VRVSWL6,colour also,5.0,1
B09VRVSWL6,also,5.0,1
B09VRVSWL6,also good,5.0,1
B09VRVSWL6,good fading,5.0,1
B09VRVSWL6,fading,5.0,1
B09VRVSWL6,fading washing..,5.0,1
B09VRVSWL6,washing..,5.0,2
B09VRVSWL6,purple,1.0,1
B09VRVSWL6,purple kurts,1.0,1
B09VRVSWL6,kurts,1.0,2
B09VRVSWL6,colour,1.0,1
B09VRVSWL6,colour kurta,1.0,1
B09VRVSWL6,kurta,1.0,1
B09VRVSWL6,kurta shown,1.0,1
B09VRVSWL6,shown,1.0,1
B09VRVSWL6,shown picture..,1.0,1
B09VRVSWL6,picture..,1.0,2
B09VS6S3WD,fabindia,1.0,1
B09VS6S3WD,fabindia suck,1.0,1
B09VS6S3WD,suck,1.0,2
B09VS6S3WD,care,1.0,1
B09VS6S3WD,care product,1.0,1
B09VS6S3WD,product,1.0,1
B09VS6S3WD,product quality,1.0,1
B09VS6S3WD,quality,1.0,1
B09VS6S3WD,quality anything,1.0,1
B09VS6S3WD,anything,1.0,1
B09VS6S3WD,anything else,1.0,1
B09VS6S3WD,else,1.0,1
B09VS6S3WD,else bed,1.0,1
B09VS6S3WD,bed,1.0,1
B09VS6S3WD,bed cumsumer,1.0,1
B09VS6S3WD,cumsumer,1.0,1
B09VS6S3WD,cumsumer relation..,1.0,1
B09VS6S3WD,relation..,1.0,2
B09S3PPNGK,perfect,5.0,1
B09S3PPNGK,perfect expected,5.0,1
B09S3PPNGK,expected,5.0,1
B09S3PPNGK,expected fabindia,5.0,1
B09S3PPNGK,fabindia,5.0,3
B09S3PPNGK,fabindia alwaya,5.0,1
B09S3PPNGK,alwaya,5.0,1
B09S3PPNGK,alwaya first,5.0,1
B09S3PPNGK,first,5.0,1
B09S3PPNGK,first choice,5.0,1
B09S3PPNGK,choice,5.0,1
B09S3PPNGK,choice fit,5.0,1
B09S3PPNGK,fit,5.0,1
B09S3PPNGK,fit perfectly,5.0,1
B09S3PPNGK,perfectly,5.0,2
B08T25J1V8,beautiful,5.0,1
B08T25J1V8,beautiful kurta!!!,5.0,1
B08T25J1V8,kurta!!!,5.0,2
B08T25J1V8,biba,5.0,1
B08T25J1V8,biba good.,5.0,1
B08T25J1V8,good.,5.0,2
B0957SPNDT,long,3.0,2
B0957SPNDT,neck,3.0,1
B0957SPNDT,neck also,3.0,1
B0957SPNDT,also,3.0,1
B0957SPNDT,also good,3.0,1
B0957SPNDT,good,3.0,2
B07SXCDC5Y,good,5.0,7
B07SXCDC5Y,good fabric,5.0,2
B07SXCDC5Y,fabric,5.0,4
B07SXCDC5Y,loved,5.0,4
B07SXCDC5Y,loved it!,5.0,1
B07SXCDC5Y,it!,5.0,2
B07SXCDC5Y,great,5.0,1
B07SXCDC5Y,great buy,5.0,1
B07SXCDC5Y,buy,5.0,2
B07SXCDC5Y,it’s,5.0,1
B07SXCDC5Y,it’s lovely,5.0,1
B07SXCDC5Y,lovely,5.0,1
B07SXCDC5Y,lovely kurta.,5.0,1
B07SXCDC5Y,kurta.,5.0,1
B07SXCDC5Y,kurta. good,5.0,1
B07SXCDC5Y,good material.,5.0,1
B07SXCDC5Y,material.,5.0,1
B07SXCDC5Y,material. see-through.,5.0,1
B07SXCDC5Y,see-through.,5.0,1
B07SXCDC5Y,see-through. even,5.0,1
B07SXCDC5Y,even,5.0,1
B07SXCDC5Y,even white,5.0,1
B07SXCDC5Y,white,5.0,2
B07SXCDC5Y,white one,5.0,1
B07SXCDC5Y,one,5.0,1
B07SXCDC5Y,one see-through,5.0,1
B07SXCDC5Y,see-through,5.0,1
B07SXCDC5Y,see-through .,5.0,1
B07SXCDC5Y,.,5.0,1
B07SXCDC5Y,. good,5.0,1
B07SXCDC5Y,good stitch.,5.0,1
B07SXCDC5Y,stitch.,5.0,1
B07SXCDC5Y,stitch. good,5.0,1
B07SXCDC5Y,good fit.,5.0,1
B07SXCDC5Y,fit.,5.0,1
B07SXCDC5Y,fit. purchased,5.0,1
B07SXCDC5Y,purchased,5.0,1
B07SXCDC5Y,purchased three,5.0,1
B07SXCDC5Y,three,5.0,1
B07SXCDC5Y,three red,5.0,1
B07SXCDC5Y,red,5.0,1
B07SXCDC5Y,"red ,",5.0,1
B07SXCDC5Y,",",5.0,1
B07SXCDC5Y,", white",5.0,1
B07SXCDC5Y,white yellow.,5.0,1
B07SXCDC5Y,yellow.,5.0,1
B07SXCDC5Y,yellow. dignified,5.0,1
B07SXCDC5Y,dignified,5.0,1
B07SXCDC5Y,dignified kurta,5.0,1
B07SXCDC5Y,kurta,5.0,2
B07SXCDC5Y,kurta reasonable,5.0,1
B07SXCDC5Y,reasonable,5.0,1
B07SXCDC5Y,reasonable cost.,5.0,1
B07SXCDC5Y,cost.,5.0,2
B07SXCDC5Y,nice,5.0,3
B07SXCDC5Y,nice product,5.0,1
B07SXCDC5Y,product,5.0,2
B07SXCDC5Y,fit,5.0,1
B07SXCDC5Y,fit perfectly,5.0,1
B07SXCDC5Y,perfectly,5.0,1
B07SXCDC5Y,perfectly material,5.0,1
B07SXCDC5Y,material,5.0,3
B07SXCDC5Y,material really,5.0,1
B07SXCDC5Y,really,5.0,2
B07SXCDC5Y,really soft.,5.0,1
B07SXCDC5Y,soft.,5.0,2
B07SXCDC5Y,really nice!,5.0,1
B07SXCDC5Y,nice!,5.0,2
B07SXCDC5Y,loved colour,5.0,1
B07SXCDC5Y,colour,5.0,1
B07SXCDC5Y,colour material,5.0,1
B07SXCDC5Y,fitting,5.0,1
B07SXCDC5Y,fitting superb,5.0,1
B07SXCDC5Y,superb,5.0,2
B07SXCDC5Y,best,5.0,1
B07SXCDC5Y,best kurta,5.0,1
B07SXCDC5Y,kurta black,5.0,1
B07SXCDC5Y,black,5.0,1
B07SXCDC5Y,black color,5.0,1
B07SXCDC5Y,color,5.0,2
B07SXCDC5Y,different,1.0,1
B07SXCDC5Y,different image,1.0,1
B07SXCDC5Y,image,1.0,2
B07SXCDC5Y,colour,1.0,1
B07SXCDC5Y,colour change,1.0,1
B07SXCDC5Y,change,1.0,2
B07SXCDC5Y,dull,3.0,2
B07SXCDC5Y,dull..,3.0,1
B07SXCDC5Y,dull.. good,3.0,1
B07SXCDC5Y,good,3.0,1
B07SXCDC5Y,good pic,3.0,1
B07SXCDC5Y,pic,3.0,2
B07SXCDC5Y,nice,4.0,2
B07SXCDC5Y,nice fabric,4.0,1
B07SXCDC5Y,fabric,4.0,3
B07SXCDC5Y,nice fabric.,4.0,1
B07SXCDC5Y,fabric.,4.0,1
B07SXCDC5Y,fabric. fabric,4.0,1
B07SXCDC5Y,fabric white.l,4.0,1
B07SXCDC5Y,white.l,4.0,1
B07SXCDC5Y,white.l ordered,4.0,1
B07SXCDC5Y,ordered,4.0,1
B07SXCDC5Y,ordered xl,4.0,1
B07SXCDC5Y,xl,4.0,2
B07SXCDC5Y,xl size,4.0,2
B07SXCDC5Y,size,4.0,4
B07SXCDC5Y,size alter,4.0,1
B07SXCDC5Y,alter,4.0,2
B07SXCDC5Y,alter loose,4.0,1
B07SXCDC5Y,loose,4.0,2
B07SXCDC5Y,loose me.,4.0,1
B07SXCDC5Y,me.,4.0,1
B07SXCDC5Y,me. generally,4.0,1
B07SXCDC5Y,generally,4.0,1
B07SXCDC5Y,generally wear,4.0,1
B07SXCDC5Y,wear,4.0,1
B07SXCDC5Y,wear xl,4.0,1
B07SXCDC5Y,size one,4.0,1
B07SXCDC5Y,one,4.0,1
B07SXCDC5Y,one loose,4.0,1
B07SXCDC5Y,loose .l,4.0,1
B07SXCDC5Y,.l,4.0,1
B07SXCDC5Y,.l return,4.0,1
B07SXCDC5Y,return,4.0,1
B07SXCDC5Y,return alter,4.0,1
B07SXCDC5Y,alter fit,4.0,1
B07SXCDC5Y,fit,4.0,1
B07SXCDC5Y,fit well.l,4.0,1
B07SXCDC5Y,well.l,4.0,1
B07SXCDC5Y,well.l think,4.0,1
B07SXCDC5Y,think,4.0,1
B07SXCDC5Y,think l,4.0,1
B07SXCDC5Y,l,4.0,2
B07SXCDC5Y,l order,4.0,1
B07SXCDC5Y,order,4.0,1
B07SXCDC5Y,order l,4.0,1
