ASIN,Category,Latest BSR,Last Day BSR
B00U2DT3H6,Health & Personal Care,3311.0,3107.0
B00U2DT3H6,Toothpastes,109.0,95.0
B09DGBS1HV,Health & Personal Care,1357.0,1000.0
B09DGBS1HV,Toothpastes,52.0,41.0
B092K383WY,Health & Personal Care,396.0,324.0
B092K383WY,Toothpastes,15.0,13.0
B092K383WY,Personal Care,110.0,93.0
B00DRDYGHK,Health & Personal Care,9722.0,10516.0
B00DRDYGHK,Toothpastes,222.0,244.0
B00DRDYGHK,Personal Care,2397.0,2586.0
B07CHSCH9C,Health & Personal Care,478.0,538.0
B07CHSCH9C,Toothpastes,18.0,20.0
B07CHSCH9C,Personal Care,134.0,150.0
B00DRDZPIO,Health & Personal Care,1790.0,1982.0
B00DRDZPIO,Toothpastes,63.0,71.0
B00DRDZPIO,Personal Care,522.0,578.0
B00DRDZP4I,Health & Personal Care,1364.0,1305.0
B00DRDZP4I,Toothpastes,53.0,49.0
B00DRDZP4I,Personal Care,391.0,387.0
B082LF3CPD,Health & Personal Care,294.0,286.0
B082LF3CPD,Toothpastes,12.0,11.0
B0755FMSWZ,Health & Personal Care,3015.0,2742.0
B0755FMSWZ,Toothpastes,99.0,87.0
B09QSBPKTF,Health & Personal Care,1094.0,1203.0
B09QSBPKTF,Toothpastes,44.0,45.0
B09QRTXCWD,Health & Personal Care,153.0,147.0
B09QRTXCWD,Toothpastes,8.0,7.0
B00I6F50PQ,Health & Personal Care,766.0,823.0
B00I6F50PQ,Toothpastes,31.0,31.0
B00I6F50PQ,Personal Care,222.0,244.0
B01I6IQ02Y,Health & Personal Care,338.0,331.0
B01I6IQ02Y,Toothpastes,14.0,14.0
B01I6IQ02Y,Personal Care,87.0,94.0
B09VKSDFM1,Health & Personal Care,4393.0,3612.0
B09VKSDFM1,Toothpastes,126.0,114.0
B09QRQQL51,Health & Personal Care,764.0,696.0
B09QRQQL51,Toothpastes,30.0,27.0
B00I6F64T2,Health & Personal Care,286.0,260.0
B00I6F64T2,Toothpastes,11.0,10.0
B00I6F64T2,Personal Care,75.0,72.0
B07XC1SJD3,Health & Personal Care,1182.0,1337.0
B07XC1SJD3,Toothpastes,46.0,50.0
B09PNV9C37,Health & Personal Care,784.0,777.0
B09PNV9C37,Toothpastes,30.0,29.0
B082LDRTD1,Health & Personal Care,31.0,35.0
B082LDRTD1,Toothpastes,2.0,2.0
B071D9RYQM,Health & Personal Care,1233.0,991.0
B071D9RYQM,Toothpastes,48.0,39.0
B0B2PVXWZS,Health & Personal Care,1094.0,1203.0
B0B2PVXWZS,Toothpastes,44.0,45.0
B0755J7HRX,Health & Personal Care,50.0,48.0
B0755J7HRX,Toothpastes,3.0,3.0
B0755J7HRX,Personal Care,13.0,13.0
B082LD6Q8T,Health & Personal Care,467.0,489.0
B082LD6Q8T,Toothpastes,16.0,17.0
B07QL37M78,Health & Personal Care,1621.0,1790.0
B07QL37M78,Toothpastes,60.0,67.0
B07QL37M78,Personal Care,471.0,524.0
B01MQQFYCY,Health & Personal Care,52842.0,44372.0
B01MQQFYCY,Toothpastes,845.0,757.0
B00AN66R1M,Health & Personal Care,10137.0,7814.0
B00AN66R1M,Toothpastes,231.0,192.0
B00DRE33UU,Health & Personal Care,3024.0,2925.0
B00DRE33UU,Toothpastes,101.0,91.0
B07GYRWTDZ,Health & Personal Care,2320.0,1670.0
B07GYRWTDZ,Toothpastes,78.0,61.0
B07GYRWTDZ,Personal Care,662.0,493.0
B00QWZPEIU,Health & Personal Care,49731.0,42432.0
B00QWZPEIU,Toothpastes,784.0,697.0
B00QX1MXAU,Health & Personal Care,60816.0,52818.0
B00QX1MXAU,Toothpastes,933.0,844.0
B01LADWHNS,Health & Personal Care,90945.0,85363.0
B01LADWHNS,Toothpastes,1291.0,1233.0
B00U2DT1EQ,Health & Personal Care,3453.0,3384.0
B00U2DT1EQ,Toothpastes,112.0,106.0
B014FD91MU,Health & Personal Care,33991.0,85954.0
B014FD91MU,Toothpastes,577.0,1238.0
B00U2DW14I,Health & Personal Care,9254.0,8072.0
B00U2DW14I,Toothpastes,212.0,198.0
B00U2DW14I,Personal Care,2290.0,2060.0
B00R1BOIJU,Health & Personal Care,260.0,252.0
B00R1BOIJU,Fabric Deodorizer,1.0,1.0
B00R1BOIJU,Toothpastes,10.0,9.0
B08DHMMJFS,Health & Personal Care,42849.0,42889.0
B08DHMMJFS,Toothpastes,704.0,700.0
B010B6KWS2,Health & Personal Care,31451.0,31638.0
B010B6KWS2,Toothpastes,551.0,551.0
B010B6K59S,Health & Personal Care,60992.0,54614.0
B010B6K59S,Toothpastes,936.0,868.0
B00NOSVCC0,Health & Personal Care,46566.0,37976.0
B00NOSVCC0,Toothpastes,747.0,651.0
B01NBABUUK,Health & Personal Care,56640.0,49500.0
B01NBABUUK,Toothpastes,877.0,799.0
B011B8ZBNK,Health & Personal Care,10254.0,9343.0
B011B8ZBNK,Toothpastes,234.0,225.0
B0105Z61UW,Health & Personal Care,34130.0,23358.0
B0105Z61UW,Toothpastes,579.0,455.0
B07G4CMNPQ,Health & Personal Care,10244.0,11624.0
B07G4CMNPQ,Toothpastes,233.0,262.0
B07JN8GJ1D,Health & Personal Care,9914.0,9736.0
B07JN8GJ1D,Toothpastes,227.0,229.0
B07JN8GJ1D,Personal Care,2431.0,2416.0
B079H16264,Health & Personal Care,3180.0,3013.0
B079H16264,Toothpastes,99.0,98.0
B09QRL1M8Y,Health & Personal Care,1083.0,1091.0
B09QRL1M8Y,Toothpastes,43.0,43.0
B012RIL1M8,Health & Personal Care,2028.0,2405.0
B012RIL1M8,Toothpastes,71.0,78.0
B012RIL1M8,Personal Care,586.0,681.0
B0895C4PZS,Health & Personal Care,47140.0,39261.0
B0895C4PZS,Toothpastes,758.0,675.0
B09HQS6FNG,Health & Personal Care,3905.0,5991.0
B09HQS6FNG,Toothpastes,118.0,151.0
