Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Paste,1,B07991F7KY,"Dabur Red Paste - India's No.1 Ayurvedic Paste, Provides Protection Plaque Removal, Toothache, Yellow Teeth, Bad Breath- 600g (150gm*4)",Dabur,199.00,212.00,Fulfilled,True,True
Paste,2,B08FFKWB58,Dabur Dant Rakshak Ayurvedic Paste - With Goodness Of 32 Ayurvedic Herbs For Germ Kill & Longevity Of Teeth & Gums - 175g (Pack of 3),Dabur,235.00,235.00,Fulfilled,True,True
Paste,3,B08K8GHBTZ,Dabur Herb'l Neem - Germ Protection Toothpaste with No added Fluoride and Parabens - 200 g (Pack of 3),Dabur,183.00,240.00,Fulfilled,True,True
Paste,4,B097YMKHTY,"Sensodyne Toothpaste Repair & Protect Combo pack, tooth paste for deep repair of sensitive teeth, 140 gm multi-pack (70 gm x 2)",Sensodyne,,370.00,Fulfilled,True,True
Paste,5,B07991F7KY,"Dabur Red Paste - India's No.1 Ayurvedic Paste, Provides Protection Plaque Removal, Toothache, Yellow Teeth, Bad Breath- 600g (150gm*4)",Dabur,199.00,212.00,Fulfilled,False,True
Paste,6,B0755J7HRX,"Colgate MaxFresh Anticavity Toothpaste Gel, Spicy Fresh - 300gm (Saver Pack)",Colgate,160.00,178.00,Fulfilled,False,True
Paste,7,B01I6IQ02Y,"Colgate MaxFresh Toothpaste, Blue Gel Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Saver Pack)",Colgate,178.00,178.00,Fulfilled,False,True
Paste,8,B082LDRTD1,"Colgate Strong Teeth Cavity Protection Toothpaste, Colgate Toothpaste with Calcium Boost, 500gm Saver Pack, India's No.1 Toothpaste",Colgate,,217.00,Fulfilled,False,True
Paste,9,B074H2JMDQ,"Dabur Meswak: India's No-1 Fluoride Free Toothpaste with Antibacterial, Anti Inflammatory & Astringent benefits,Cavity Protection|Helps fight Plaque, Tartar, Cavity and Tooth Decay- 400 gram(200gm*2)",Dabur,163.00,163.00,Fulfilled,False,True
Paste,10,B01MQI6YLE,"Himalaya Complete Care Toothpaste | For Healthy Gums & Strong Teeth | With Neem, Miswak & Triphala | 150g",Himalaya,75.00,85.00,Fulfilled,False,True
Paste,11,B089ZM3LFT,Dabur Herb'l Clove - Cavity Protection Toothpaste | No added fluoride & parabens - 200 g,Dabur,85.00,95.00,Fulfilled,False,True
Paste,12,B07JFW4CY4,"Colgate MaxFresh Breath Freshener Toothpaste, 600g (150g x 4), Peppermint Ice, Blue Gel Paste with Menthol, Cooling crystals for bad breath control",Colgate,308.00,368.00,Fulfilled,False,True
Paste,13,B082LD6Q8T,"Colgate Swarna Vedshakti Ayurvedic Cavity Protection, Bad Breath Treatment Toothpaste - 400gm",Colgate,157.00,184.00,Fulfilled,False,True
Paste,14,B08FFKWB58,Dabur Dant Rakshak Ayurvedic Paste - With Goodness Of 32 Ayurvedic Herbs For Germ Kill & Longevity Of Teeth & Gums - 175g (Pack of 3),Dabur,235.00,235.00,Fulfilled,False,True
Paste,15,B082LF3CPD,"Colgate Charcoal Clean Black Gel Toothpaste, Pack of 240g (120g X 2) Deep Clean Colgate Toothpaste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal, Tingling Fresh Mouth Experience",Colgate,204.00,250.00,Fulfilled,False,True
Paste,16,B01MSL83O4,Himalaya Sparkling White Toothpaste | For Whiter & Stronger Teeth | No Chemical Bleach | With Papaya & Pineapple Enzymes | 150g,Himalaya,80.00,95.00,Fulfilled,False,True
Paste,17,B005F1RM3C,Dabur Red Ayurvedic Paste - 200 Gm,Dabur,95.00,97.00,Fulfilled,False,True
Paste,18,B07XC1SJD3,"Colgate Charcoal Clean Black Gel Toothpaste , Pack of 120g Deep Clean Colgate Toothpaste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal, Deep Clean & Tingling Fresh Mouth Experience",Colgate,120.00,120.00,Fulfilled,False,True
Paste,19,B00DRDZP4I,Colgate Toothpaste Maxfresh Peppermint Ice - 80 g (Blue Gel),Colgate,61.00,62.00,NA,False,True
Paste,20,B00OKR0CO8,"Pepsodent Germicheck 12h Germ Protection Toothpaste, 100g",Pepsodent,33.00,47.00,NA,False,True
Paste,21,B082LD6Q8T,"Colgate Swarna Vedshakti Ayurvedic Cavity Protection, Bad Breath Treatment Toothpaste - 400gm",Colgate,157.00,184.00,Fulfilled,True,True
Paste,22,B08K8FXM81,Dabur Herb'l Clove - Cavity Protection Toothpaste with No added Fluoride and Parabens- 200 g (Pack of 3),Dabur,175.00,240.00,Fulfilled,True,True
Paste,23,B07JFW4CY4,"Colgate MaxFresh Breath Freshener Toothpaste, 600g (150g x 4), Peppermint Ice, Blue Gel Paste with Menthol, Cooling crystals for bad breath control",Colgate,308.00,368.00,Fulfilled,True,True
Paste,24,B092K383WY,"Colgate Total Whole Mouth Health, Antibacterial Cavity Protection Toothpaste, 120gm + 120gm (Advanced Health, Saver Pack)",Colgate,230.00,240.00,NA,True,True
Paste,25,B08ZZZSN6P,"Parodontax Ultra Clean Toothpaste For Daily Protection Against Gum Problems, Maintains Oral Hygiene With Strong Teeth And Fresh Breath, 75g",Parodontax,104.00,115.00,Fulfilled,False,True
Paste,26,B00I6F64T2,"Colgate Visible White Teeth Whitening Toothpaste, Pack of 200g ​ (100g X 2), with Whitening Accelerators for Tobacco Stain Removal & Teeth Whitening, Colgate Toothpaste with Minty Flavor for Everyday Fresh Breath",Colgate,196.00,250.00,Fulfilled,False,True
Paste,27,B00I6F50PQ,"Colgate Active Salt Toothpaste, Daily Germ Protection, Pack of 200g + 100g, Colgate Toothpaste with Salt and Mint, Healthy Gums & Teeth, Toothpaste that Fights Germs & Eliminates Bad Breath",Colgate,114.00,164.00,Fulfilled,False,True
Paste,28,B00UFF48GW,Closeup Ever Fresh Lemon Mint Gel Toothpaste 150 g,Closeup,95.00,95.00,NA,False,True
Paste,29,B07FW8H9C1,"Dabur Red Gel Controls bad breath, plaque, gingivitis, toothache - 150 G (Pack Of 2)",Dabur,145.00,170.00,Fulfilled,False,True
Paste,30,B077VHCRTB,"Pepsodent Germicheck 8 Actions, Whole Mouth Toothpaste Fights Teeth, Gum & Tongue Germs, Prevents Cavity, Promotes Oral Hygiene, Family Pack, 500 g",Pepsodent,175.00,245.00,NA,False,True
Paste,31,B01MV5G8K6,"Himalaya Complete Care Toothpaste | For Healthy Gums & Strong Teeth | With Neem, Miswak & Triphala | 150g | Pack of 2",Himalaya,149.00,149.00,Fulfilled,False,True
Paste,32,B01F3E7KOG,"Sensodyne Toothpaste Whitening, Sensitive tooth paste to restore natural whiteness, 70 gm",Sensodyne,134.00,135.00,Fulfilled,False,True
Paste,33,B079GXSW6S,"Colgate Active Salt Toothpaste, Daily Germ Protection, Pack of 200g, Colgate Toothpaste with Salt and Mint ,Healthy Gums & Teeth, Toothpaste that Fights Germs & Eliminates Bad Breath",Colgate,103.99,115.00,NA,False,True
Paste,34,B071D9RYQM,Colgate Total Advanced Health Cavity Protection Toothpaste - 120g,Colgate,102.00,120.00,Fulfilled,False,True
Paste,35,B012RIL1M8,"Colgate Active Salt Neem Toothpaste, Germ Fighting Toothpaste For Healthy, Tight Gums, Oral Care 200G",Colgate,100.00,100.00,Fulfilled,False,True
Paste,36,B00U2DT3H6,"Pepsodent Expert Protection Gum Care+ Toothpaste, Reduces Gum Problems With Advanced Anti Bacterial Zinc Technology, Improves Gum Health, 140 g",Pepsodent,92.00,98.00,NA,False,True
