ASIN,Category,Latest BSR,Last Day BSR
B00U2DT3H6,Health & Personal Care,3107.0,3282.0
B00U2DT3H6,Toothpastes,95.0,107.0
B09DGBS1HV,Health & Personal Care,1357.0,1000.0
B09DGBS1HV,Toothpastes,52.0,41.0
B092K383WY,Health & Personal Care,324.0,402.0
B092K383WY,Toothpastes,13.0,13.0
B092K383WY,Personal Care,93.0,112.0
B00DRDYGHK,Health & Personal Care,10516.0,15178.0
B00DRDYGHK,Toothpastes,244.0,344.0
B00DRDYGHK,Personal Care,2586.0,3536.0
B07CHSCH9C,Health & Personal Care,538.0,501.0
B07CHSCH9C,Toothpastes,20.0,17.0
B07CHSCH9C,Personal Care,150.0,135.0
B00DRDZPIO,Health & Personal Care,1982.0,2115.0
B00DRDZPIO,Toothpastes,71.0,71.0
B00DRDZPIO,Personal Care,578.0,611.0
B00DRDZP4I,Health & Personal Care,1305.0,1242.0
B00DRDZP4I,Toothpastes,49.0,46.0
B00DRDZP4I,Personal Care,387.0,364.0
B082LF3CPD,Health & Personal Care,286.0,263.0
B082LF3CPD,Toothpastes,11.0,9.0
B0755FMSWZ,Health & Personal Care,2742.0,3440.0
B0755FMSWZ,Toothpastes,87.0,110.0
B09QSBPKTF,Health & Personal Care,1203.0,1065.0
B09QSBPKTF,Toothpastes,45.0,43.0
B09QRTXCWD,Health & Personal Care,147.0,148.0
B09QRTXCWD,Toothpastes,7.0,7.0
B00I6F50PQ,Health & Personal Care,823.0,785.0
B00I6F50PQ,Toothpastes,31.0,30.0
B00I6F50PQ,Personal Care,244.0,232.0
B01I6IQ02Y,Health & Personal Care,331.0,380.0
B01I6IQ02Y,Toothpastes,14.0,12.0
B01I6IQ02Y,Personal Care,94.0,105.0
B09VKSDFM1,Health & Personal Care,3612.0,3588.0
B09VKSDFM1,Toothpastes,114.0,112.0
B09QRQQL51,Health & Personal Care,696.0,884.0
B09QRQQL51,Toothpastes,27.0,35.0
B00I6F64T2,Health & Personal Care,260.0,276.0
B00I6F64T2,Toothpastes,10.0,10.0
B00I6F64T2,Personal Care,72.0,72.0
B07XC1SJD3,Health & Personal Care,1337.0,1368.0
B07XC1SJD3,Toothpastes,50.0,51.0
B09PNV9C37,Health & Personal Care,784.0,777.0
B09PNV9C37,Toothpastes,30.0,29.0
B082LDRTD1,Health & Personal Care,35.0,29.0
B082LDRTD1,Toothpastes,2.0,2.0
B071D9RYQM,Health & Personal Care,991.0,886.0
B071D9RYQM,Toothpastes,39.0,36.0
B0B2PVXWZS,Health & Personal Care,1203.0,1065.0
B0B2PVXWZS,Toothpastes,45.0,43.0
B0755J7HRX,Health & Personal Care,48.0,37.0
B0755J7HRX,Toothpastes,3.0,3.0
B0755J7HRX,Personal Care,13.0,11.0
B082LD6Q8T,Health & Personal Care,489.0,499.0
B082LD6Q8T,Toothpastes,17.0,16.0
B07QL37M78,Health & Personal Care,1790.0,1927.0
B07QL37M78,Toothpastes,67.0,65.0
B07QL37M78,Personal Care,524.0,565.0
B01MQQFYCY,Health & Personal Care,52842.0,44372.0
B01MQQFYCY,Toothpastes,845.0,757.0
B00AN66R1M,Health & Personal Care,7814.0,6157.0
B00AN66R1M,Toothpastes,192.0,155.0
B00DRE33UU,Health & Personal Care,2925.0,2545.0
B00DRE33UU,Toothpastes,91.0,81.0
B07GYRWTDZ,Health & Personal Care,1670.0,1464.0
B07GYRWTDZ,Toothpastes,61.0,55.0
B07GYRWTDZ,Personal Care,493.0,442.0
B00QWZPEIU,Health & Personal Care,42432.0,32019.0
B00QWZPEIU,Toothpastes,697.0,578.0
B00QX1MXAU,Health & Personal Care,52818.0,44410.0
B00QX1MXAU,Toothpastes,844.0,759.0
