ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B00U2DT3H6,2022-08-05,92.0,,82.0,,46.0,1.0
B00U2DT3H6,2022-08-06,92.0,92.0,94.0,82.0,36.0,1.0
B00U2DT3H6,2022-08-07,92.0,92.0,102.0,94.0,40.0,1.0
B00U2DT3H6,2022-08-08,92.0,92.0,93.0,102.0,36.0,1.0
B00U2DT3H6,2022-08-09,92.0,92.0,87.0,93.0,43.0,1.0
B00U2DT3H6,2022-08-10,92.0,92.0,92.0,87.0,36.0,1.0
B00U2DT3H6,2022-08-11,92.0,92.0,100.0,92.0,40.0,1.0
B00U2DT3H6,2022-08-18,92.0,92.0,95.0,100.0,36.0,1.0
B00U2DT3H6,2022-08-22,92.0,92.0,107.0,95.0,40.0,1.0
B00U2DT3H6,2022-08-23,90.0,92.0,95.0,107.0,36.0,1.0
B09DGBS1HV,2022-08-05,210.0,,39.0,,70.0,1.0
B09DGBS1HV,2022-08-06,205.0,210.0,40.0,39.0,70.0,1.0
B09DGBS1HV,2022-08-07,205.0,205.0,51.0,40.0,57.0,1.0
B09DGBS1HV,2022-08-08,205.0,205.0,48.0,51.0,60.0,1.0
B09DGBS1HV,2022-08-09,205.0,205.0,47.0,48.0,60.0,1.0
B09DGBS1HV,2022-08-10,205.0,205.0,40.0,47.0,70.0,1.0
B09DGBS1HV,2022-08-11,210.0,205.0,36.0,40.0,73.0,1.0
B09DGBS1HV,2022-08-18,210.0,210.0,29.0,36.0,86.0,1.0
B09DGBS1HV,2022-08-22,205.0,210.0,41.0,29.0,70.0,1.0
B09DGBS1HV,2022-08-23,205.0,205.0,52.0,41.0,57.0,1.0
B092K383WY,2022-08-05,230.0,,13.0,,105.0,1.0
B092K383WY,2022-08-06,230.0,230.0,13.0,13.0,105.0,1.0
B092K383WY,2022-08-07,230.0,230.0,14.0,13.0,100.0,1.0
B092K383WY,2022-08-08,230.0,230.0,10.0,14.0,84.0,1.0
B092K383WY,2022-08-09,198.0,230.0,13.0,10.0,105.0,1.0
B092K383WY,2022-08-10,200.0,198.0,18.0,13.0,95.0,1.0
B092K383WY,2022-08-11,203.0,200.0,16.0,18.0,100.0,1.0
