ASIN,Sentiment Score
B092K383WY,4.0
B09DGBS1HV,3.75
B079H16264,1.0
B09HQS6FNG,1.0
B07CHSCH9C,2.75
B09QSBPKTF,3.0357142857142856
B09QRTXCWD,2.5972222222222223
B09QRL1M8Y,2.0625
B00I6F50PQ,4.0
B082LF3CPD,3.5
B09QRQQL51,2.5714285714285716
B07XC1SJD3,3.0
B09PNV9C37,3.3333333333333335
B01I6IQ02Y,3.2
B082LDRTD1,3.392857142857143
B0755J7HRX,4.111111111111111
B0B2PVXWZS,3.0357142857142856
B00I6F64T2,2.2857142857142856
B082LD6Q8T,3.2
B07JFW4CY4,4.125
B071D9RYQM,5.0
B07QL37M78,3.5
B00R1BOIJU,4.5
B00NOSVCC0,5.0
