ASIN,String,Rating,Frequency
B092K383WY,great,5.0,1
B092K383WY,"great buy,",5.0,1
B092K383WY,"buy,",5.0,1
B092K383WY,"buy, good",5.0,1
B092K383WY,good,5.0,4
B092K383WY,good price,5.0,1
B092K383WY,price,5.0,2
B092K383WY,got,5.0,1
B092K383WY,got original,5.0,1
B092K383WY,original,5.0,1
B092K383WY,original product,5.0,1
B092K383WY,product,5.0,3
B092K383WY,product cheaper,5.0,1
B092K383WY,cheaper,5.0,1
B092K383WY,cheaper rate,5.0,1
B092K383WY,rate,5.0,1
B092K383WY,rate retail,5.0,1
B092K383WY,retail,5.0,1
B092K383WY,retail price.,5.0,1
B092K383WY,price.,5.0,1
B092K383WY,price. delivered,5.0,1
B092K383WY,delivered,5.0,1
B092K383WY,delivered 2,5.0,1
B092K383WY,2,5.0,1
B092K383WY,2 days.,5.0,1
B092K383WY,days.,5.0,1
B092K383WY,days. satisfied.,5.0,1
B092K383WY,satisfied.,5.0,2
B092K383WY,good product,5.0,1
B092K383WY,value,5.0,2
B092K383WY,value money,5.0,2
B092K383WY,money,5.0,4
B09DGBS1HV,good,5.0,3
B09DGBS1HV,good buy,5.0,1
B09DGBS1HV,buy,5.0,2
B09DGBS1HV,prompt,5.0,1
B09DGBS1HV,prompt service.,5.0,1
B09DGBS1HV,service.,5.0,2
B09DGBS1HV,product,5.0,3
B09DGBS1HV,product &,5.0,1
B09DGBS1HV,&,5.0,1
B09DGBS1HV,& delivery,5.0,1
B09DGBS1HV,delivery,5.0,1
B09DGBS1HV,delivery good.,5.0,1
B09DGBS1HV,good.,5.0,2
B09DGBS1HV,excellent,5.0,1
B09DGBS1HV,excellent product,5.0,1
B09DGBS1HV,perfect,5.0,1
B09DGBS1HV,perfect day,5.0,1
B09DGBS1HV,day,5.0,2
B09DGBS1HV,day day,5.0,1
B09DGBS1HV,day use..,5.0,1
B09DGBS1HV,use..,5.0,2
B09DGBS1HV,highly,5.0,1
B09DGBS1HV,highly recommended,5.0,1
B09DGBS1HV,recommended,5.0,2
B09DGBS1HV,dentist,5.0,1
B09DGBS1HV,"dentist myself,",5.0,1
B09DGBS1HV,"myself,",5.0,1
B09DGBS1HV,"myself, recommend",5.0,1
B09DGBS1HV,recommend,5.0,1
B09DGBS1HV,recommend toothpaste,5.0,1
B09DGBS1HV,toothpaste,5.0,1
B09DGBS1HV,toothpaste use,5.0,1
B09DGBS1HV,use,5.0,1
B09DGBS1HV,use daily,5.0,1
B09DGBS1HV,daily,5.0,1
B09DGBS1HV,daily fight,5.0,1
B09DGBS1HV,fight,5.0,1
B09DGBS1HV,fight cavity,5.0,1
B09DGBS1HV,cavity,5.0,1
B09DGBS1HV,cavity fresh,5.0,1
B09DGBS1HV,fresh,5.0,1
B09DGBS1HV,fresh breath.,5.0,1
B09DGBS1HV,breath.,5.0,2
B09DGBS1HV,product,3.0,3
B09DGBS1HV,product good,3.0,1
B09DGBS1HV,good,3.0,1
B09DGBS1HV,good selling,3.0,1
B09DGBS1HV,selling,3.0,2
B09DGBS1HV,selling price,3.0,1
B09DGBS1HV,price,3.0,1
B09DGBS1HV,price higher,3.0,1
B09DGBS1HV,higher,3.0,1
B09DGBS1HV,higher mrp!!,3.0,1
B09DGBS1HV,mrp!!,3.0,2
B09DGBS1HV,box,3.0,1
B09DGBS1HV,box say,3.0,1
B09DGBS1HV,say,3.0,1
B09DGBS1HV,say cost,3.0,1
B09DGBS1HV,cost,3.0,1
B09DGBS1HV,cost rs.,3.0,1
B09DGBS1HV,rs.,3.0,2
B09DGBS1HV,rs. 210/-,3.0,1
B09DGBS1HV,210/-,3.0,1
B09DGBS1HV,210/- selling,3.0,1
B09DGBS1HV,selling rs.,3.0,1
B09DGBS1HV,rs. 226,3.0,1
B09DGBS1HV,226,3.0,1
B09DGBS1HV,226 2022,3.0,1
B09DGBS1HV,2022,3.0,1
B09DGBS1HV,2022 amazon,3.0,1
B09DGBS1HV,amazon,3.0,1
B09DGBS1HV,amazon prime,3.0,1
B09DGBS1HV,prime,3.0,1
B09DGBS1HV,prime day,3.0,1
B09DGBS1HV,day,3.0,1
B09DGBS1HV,day sale,3.0,1
B09DGBS1HV,sale,3.0,1
B09DGBS1HV,sale saying,3.0,1
B09DGBS1HV,saying,3.0,1
B09DGBS1HV,saying discounted,3.0,1
B09DGBS1HV,discounted,3.0,1
B09DGBS1HV,discounted rate?,3.0,1
B09DGBS1HV,rate?,3.0,1
B09DGBS1HV,rate? unfair..,3.0,1
B09DGBS1HV,unfair..,3.0,1
B09DGBS1HV,unfair.. plus,3.0,1
B09DGBS1HV,plus,3.0,1
B09DGBS1HV,plus cannot,3.0,1
B09DGBS1HV,cannot,3.0,1
B09DGBS1HV,cannot return,3.0,1
B09DGBS1HV,return,3.0,1
B09DGBS1HV,return product,3.0,1
B09DGBS1HV,product unless,3.0,1
B09DGBS1HV,unless,3.0,1
B09DGBS1HV,unless damaged.,3.0,1
B09DGBS1HV,damaged.,3.0,1
B09DGBS1HV,damaged. happy,3.0,1
B09DGBS1HV,happy,3.0,1
B09DGBS1HV,happy this..,3.0,1
B09DGBS1HV,this..,3.0,1
B09DGBS1HV,this.. otherwise,3.0,1
B09DGBS1HV,otherwise,3.0,1
B09DGBS1HV,otherwise colgate,3.0,1
B09DGBS1HV,colgate,3.0,1
B09DGBS1HV,colgate product,3.0,1
B09DGBS1HV,product excellent,3.0,1
B09DGBS1HV,excellent,3.0,1
B09DGBS1HV,excellent teeth,3.0,1
B09DGBS1HV,teeth,3.0,1
B09DGBS1HV,teeth gum,3.0,1
B09DGBS1HV,gum,3.0,1
B09DGBS1HV,gum care.,3.0,1
B09DGBS1HV,care.,3.0,2
B079H16264,much,3.0,1
B079H16264,much happy,3.0,1
B079H16264,happy,3.0,2
B079H16264,thing,3.0,1
B079H16264,thing showed,3.0,1
B079H16264,showed,3.0,1
B079H16264,showed add,3.0,1
B079H16264,add,3.0,1
B079H16264,add would,3.0,1
B079H16264,would,3.0,1
B079H16264,would make,3.0,1
B079H16264,make,3.0,1
B079H16264,make feel,3.0,1
B079H16264,feel,3.0,1
B079H16264,feel real,3.0,1
B079H16264,real,3.0,2
B079H16264,good,4.0,2
B079H16264,good product,4.0,2
B079H16264,product,4.0,4
B079H16264,nice,5.0,2
B079H16264,good,5.0,2
B09HQS6FNG,bad,1.0,4
B09HQS6FNG,h,4.0,2
B09HQS6FNG,good,4.0,3
B09HQS6FNG,amazing..,4.0,2
B09HQS6FNG,freshness,4.0,1
B09HQS6FNG,freshness good,4.0,1
B09HQS6FNG,good flavor,4.0,1
B09HQS6FNG,flavor,4.0,2
B09HQS6FNG,work,2.0,2
B09HQS6FNG,work sensitive,2.0,1
B09HQS6FNG,sensitive,2.0,3
B09HQS6FNG,sensitive teeth,2.0,1
B09HQS6FNG,teeth,2.0,2
B09HQS6FNG,please,2.0,1
B09HQS6FNG,please go,2.0,1
B09HQS6FNG,go,2.0,1
B09HQS6FNG,go name,2.0,1
B09HQS6FNG,name,2.0,1
B09HQS6FNG,name sensitive,2.0,1
B09HQS6FNG,sensitive plus,2.0,1
B09HQS6FNG,plus,2.0,1
B09HQS6FNG,plus work,2.0,1
B09HQS6FNG,work little,2.0,1
B09HQS6FNG,little,2.0,1
B09HQS6FNG,little bit,2.0,1
B09HQS6FNG,bit,2.0,1
B09HQS6FNG,bit also,2.0,1
B09HQS6FNG,also,2.0,1
B09HQS6FNG,also sensitive,2.0,1
B09HQS6FNG,sensitive teeth.,2.0,1
B09HQS6FNG,teeth.,2.0,1
B09HQS6FNG,teeth. using,2.0,1
B09HQS6FNG,using,2.0,1
B09HQS6FNG,using 15,2.0,1
B09HQS6FNG,15,2.0,1
B09HQS6FNG,15 day,2.0,1
B09HQS6FNG,day,2.0,1
B09HQS6FNG,day i'm,2.0,1
B09HQS6FNG,i'm,2.0,1
B09HQS6FNG,i'm writing,2.0,1
B09HQS6FNG,writing,2.0,1
B09HQS6FNG,writing review.,2.0,1
B09HQS6FNG,review.,2.0,2
B09HQS6FNG,getting,5.0,1
