ASIN,Question,Answer,Votes,Date
B08HZCFNX1,Does it require both wifi and power plug in to make this bulb work? what if the wifi gets disconnected inbetween?,Yes both are required. if wifi gets disconnected then it will also work but can't control it without wifi.,0,06-07-2022
B08HZCFNX1,Does rgb bulb contain pure white light? like normal bulb? or it consists only colors?,"YES , Pure white too ... Its a good buy !",0,06-07-2022
B08HZCFNX1,Do we have to pair it again after electricity is out,"No, we don't have to. The pairing need to do again only if the wifi network is changed or if you wish to connect it to any other network.",0,17-06-2022
B08HZCFNX1,What about its durability? How long will it last if it is used daily on an average of 6 hours?,With steady electric supply it’s lasted more than 1 year with a usage of ~8 hours daily,0,28-04-2022
B08HZCFNX1,Can i get shades of white if i purchase RGB varient,Yes ofcourse,0,06-07-2022
B08HZCFNX1,Does it have camera installation process?,"Sir, This is a bulb. So I am not sure what you are trying to do with camera with it.",0,10-07-2022
B08HZCFNX1,Ios compatible?,"Sir, you can install app on ios and use this bulb features. I am using it on iphone SE (2016) and iphone XR with iOS version 15.x",0,10-07-2022
B08BYJLB4Z,This is chargeable ?,no,0,15-06-2022
B08BYJLB4Z,"If any defect happen under warranty, where i get replace?","I didn't get defects so I don't know the way about replacement, I you need please contact with Havells customer care.",0,14-06-2022
B071DQ34X8,This torch has Charging indicator,yes,0,07-07-2022
B071DQ34X8,How to charge the torch,At the back end there is 2 pin which is to be pushed out and attach it to the AC Socket and after recharging push the two pin inside. Red light will glow while recharging which is located on the side of torch.,0,07-07-2022
B08WLT729V,Battery backup hour time,There is none,0,28-06-2022
B08WLT729V,How much years warranty,1 Year Warrenty,0,12-07-2022
B01L56DSKG,Minimum full charging time ?,About three hours.,0,22-05-2022
B01L56DSKG,How to change  content  number,All good,0,22-05-2022
B01L56DSKG,What are the correct dimensions of this torch?,Helpful,0,22-05-2022
B01L56DSKG,Charger vasthundha radha,Excellent,0,22-05-2022
B01L56DSKG,Is this made in india?,Yes,0,22-05-2022
B01L56DSKG,How long will the battery last in full charge,3-4 hours approximately,0,02-08-2022
B07P7H51FR,Is this bulb suitable for study?,"If you are planning to use it in Study Lamp, then I will say 'No, its not for study lamp. Its too bright and needs to be use for room. Not in Study Table Lamp'. If you are going to use in room, then enough light for study.",0,02-06-2022
B08HZDLGF3,Can we decrease the brightness?,Yes you can . for what it is its quite complete in all the functions. I have my two going on and off at a set time every evening and that was simple to set up/,0,27-06-2022
B08HZDLGF3,does it work without Wi-Fi,Yes,0,23-05-2022
B08HZDLGF3,Does it work without router,No,0,22-05-2022
B08HZDLGF3,How can we switch color from white to others?,App,0,22-05-2022
B08HZDLGF3,Can we create group or family in 'digi smart' app?,No,0,23-05-2022
B071DQ3TS5,This torch has Charging indicator,yes,0,07-07-2022
B071DQ3TS5,How to charge the torch,At the back end there is 2 pin which is to be pushed out and attach it to the AC Socket and after recharging push the two pin inside. Red light will glow while recharging which is located on the side of torch.,0,07-07-2022
B08WPJSXTF,जरुरत ना होनेपर बंद कर सकते है ?,"हाँ, लेकिन जब सप्लाई आ रही हो तब।",0,14-06-2022
B08WPJSXTF,How can we turn off while not in use?,Just off it's plug,0,27-04-2022
B08HZB57RX,Can we decrease the brightness?,Yes you can . for what it is its quite complete in all the functions. I have my two going on and off at a set time every evening and that was simple to set up/,0,27-06-2022
B08HZB57RX,does it work without Wi-Fi,Yes,0,23-05-2022
B08HZB57RX,Does it work without router,No,0,22-05-2022
B08HZB57RX,How can we switch color from white to others?,App,0,22-05-2022
B08HZB57RX,Can we create group or family in 'digi smart' app?,No,0,23-05-2022
B016VYAWA6,Is it chargeable with sunlight,"No, it's got USB connection for normal power supply.",0,02-07-2022
B016VYAWA6,what is the charging time and what is the working time,It doesn't have charging facility. It plug n switch on.,0,27-07-2022
B016VYAWA6,sleek table lamp price range of Rs.5000/-,I have purchased at Rs 889/- This much I know.,0,27-07-2022
B016VYAWA6,Where can I find the serial number ?,At the bottom there is model number etc. Below QR code there is long digit number. This may be serial number. I am not sure.,0,27-07-2022
B08J4N441J,How much range??,70 meters to above,0,30-05-2022
B08J4N441J,It have solar??,No solar charging,0,28-05-2022
B08J4N441J,"How long battery lasting, is it possible to change the battery",Battery life is good.... different mode ls of light available,0,28-05-2022
B08J4N441J,I have purchased the item on 21st March 2022. Now while charging the indicator is not glowing. What is the period of warranty for this product?,"One Year From date you Register, if not Register? You have to go for Authorized Service center.",0,23-05-2022
B08J4N441J,Can this lighting torch be used for forest camping and how many meter distance can the light be beamed? Thanks.,Yes...atleast 20 mtrs,0,28-05-2022
B08J4N441J,"I receive this torch without philips logo ,there is no company name on it. is it original or duplicate?",The only ne I received has a logo however when ever a brand sells their… they do emboss the logo if it does not have its duplicate for sure,0,30-07-2022
B07XD8G2HR,I dont have wifi how can i join it with my mobiles hostspot from single mobile,Yes you can do it. If you can't do this see the YouTube tutorial for more information.,0,01-07-2022
B07XD8G2HR,Unable to pair. Did all the efforts as mentioned like switching on off multiple times but no help?!!!,Not working with wiz... Waste of money... No support from wiz app...,0,20-06-2022
B07XD8G2HR,Including inverter bulb option there?,"Oh yes , of course",0,16-06-2022
B07XD8G2HR,Will this bulb turn on instantly when switched on using regular switch? Or does it take time to connect to wifi router after turning on manual switch?,"The bulb will turn on instantly. However, it takes about half a minute to connect to the internet. And only then you can control it as a smart bulb. Hope this helps..",0,03-06-2022
B07XD8G2HR,Can you control this with wifi available in my smart phone?,"You can control it with your phone, only if the bulb is connected to a router or hotspot of another mobile, not with the mobile you want to control the bulb with.",0,15-06-2022
B07XD8G2HR,Can it generate brown and black colours?,It can generate shades of brown but not black,0,25-05-2022
B07XD8G2HR,Is this rechargeable,No,0,17-05-2022
B07XD8G2HR,Difficulty in pairing the bulb though wifi connection is good. How to solve the issue,"Worst smart bulb, chinese bulb.. contact to Philips",0,14-05-2022
B07XD8G2HR,"Ye sale phle offer dete h, after booking order Cancle le dete h..Why?",Because stock runs out,0,15-06-2022
B07XD8G2HR,Does it work like normal bulb like in normal bulb you turn on/off siwth and normal bulb work so it work like that?,Yes,0,02-05-2022
