ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09T37S9Y5,Sarraf's,4.0 out of 5 stars,Sensor is too sensitive,03/07/2022 00:00,India,,"I have bought these lamps for toilets. Bulb gets On, even when toilet door is closed. Do not know what to do.",Bulb,0.079843014,-0.200000003,0.200000003,
B09T37S9Y5,Sarraf's,4.0 out of 5 stars,Sensor is too sensitive,03/07/2022 00:00,India,,"I have bought these lamps for toilets. Bulb gets On, even when toilet door is closed. Do not know what to do.",toilet door,0.123992845,0,0,
B09T37S9Y5,Sarraf's,4.0 out of 5 stars,Sensor is too sensitive,03/07/2022 00:00,India,,"I have bought these lamps for toilets. Bulb gets On, even when toilet door is closed. Do not know what to do.",lamps,0.366352886,0,0,Brightness
B09T37S9Y5,Sarraf's,4.0 out of 5 stars,Sensor is too sensitive,03/07/2022 00:00,India,,"I have bought these lamps for toilets. Bulb gets On, even when toilet door is closed. Do not know what to do.",toilets,0.429811239,0,0,
B09T37S9Y5,kesavaramc,5.0 out of 5 stars,Sensor superb,05/07/2022 00:00,India,,"Nice it’s useful sensor is superb , will write an another review after a month .",review,0.229107127,0.600000024,0.600000024,
B09T37S9Y5,kesavaramc,5.0 out of 5 stars,Sensor superb,05/07/2022 00:00,India,,"Nice it’s useful sensor is superb , will write an another review after a month .",sensor,0.770892859,0.600000024,0.600000024,Feature
B09RVYZM3W,Naresh ,3.0 out of 5 stars,"Only one bulb with 8watt is working, but 10 watt bulb is not working.",25/06/2022 00:00,India,, Bulb with 8watt is working but 10 watt bulb is not working.,bulb,0.18928127,-0.300000012,0.300000012,
B09RVYZM3W,Amazon Customer,1.0 out of 5 stars,U have to maintain good quality don't fool to public,21/06/2022 00:00,India,,The electric items are very very duplicate  especially on Recharge items it's doing froud business some one have to take the action on this products. Return items are not taking early it's too late,items,0.436436474,-0.200000003,0.200000003,
B09RVYZM3W,Susindhar,4.0 out of 5 stars,good,21/05/2022 00:00,India,,"Good, but Whether we can use for daily usage as if other normal bulb",usage,0.641623318,0,0,
B09RVYZM3W,Amazon Customer,1.0 out of 5 stars,U have to maintain good quality don't fool to public,21/06/2022 00:00,India,,The electric items are very very duplicate  especially on Recharge items it's doing froud business some one have to take the action on this products. Return items are not taking early it's too late,products,0.034490108,-0.200000003,0.200000003,Quality
B09RVYZM3W,Naresh ,3.0 out of 5 stars,"Only one bulb with 8watt is working, but 10 watt bulb is not working.",25/06/2022 00:00,India,, Bulb with 8watt is working but 10 watt bulb is not working.,Bulb,0.558816016,-0.300000012,0.300000012,
B09RVYZM3W,Naresh ,3.0 out of 5 stars,"Only one bulb with 8watt is working, but 10 watt bulb is not working.",25/06/2022 00:00,India,, Bulb with 8watt is working but 10 watt bulb is not working.,8watt,0.251902729,-0.200000003,0.200000003,Capacity
B09RVYZM3W,Amazon Customer,1.0 out of 5 stars,U have to maintain good quality don't fool to public,21/06/2022 00:00,India,,The electric items are very very duplicate  especially on Recharge items it's doing froud business some one have to take the action on this products. Return items are not taking early it's too late,action,0.115143657,-0.200000003,0.200000003,
B09RVYZM3W,Amazon Customer,1.0 out of 5 stars,U have to maintain good quality don't fool to public,21/06/2022 00:00,India,,The electric items are very very duplicate  especially on Recharge items it's doing froud business some one have to take the action on this products. Return items are not taking early it's too late,Return items,0.064006396,-0.300000012,0.300000012,Service
B09RVYZM3W,Amazon Customer,1.0 out of 5 stars,U have to maintain good quality don't fool to public,21/06/2022 00:00,India,,The electric items are very very duplicate  especially on Recharge items it's doing froud business some one have to take the action on this products. Return items are not taking early it's too late,one,0.106097698,-0.300000012,0.300000012,
