ASIN,Category,Latest BSR,Last Day BSR
B071DQ34X8,Home & Kitchen,611.0,921.0
B071DQ34X8,Emergency Lights,5.0,8.0
B077TRB2FT,Home & Kitchen,37262.0,72933.0
B077TRB2FT,Tube Lights & Battens,45.0,79.0
B08HZCFNX1,Home & Kitchen,29622.0,20737.0
B08HZCFNX1,LED Bulbs,425.0,314.0
B085WKZW5J,Home & Kitchen,50776.0,122756.0
B085WKZW5J,LED Bulbs,659.0,1587.0
B09TH2B549,Home & Kitchen,75547.0,76982.0
B09TH2B549,LED Bulbs,1007.0,1001.0
B08BYJLB4Z,Home & Kitchen,159318.0,140360.0
B08BYJLB4Z,LED Bulbs,2020.0,1817.0
B07NJDF7LW,Home & Kitchen,27976.0,32265.0
B07NJDF7LW,Tube Lights & Battens,36.0,42.0
B08HZF4SFT,Home & Kitchen,57857.0,25215.0
B08HZF4SFT,Tube Lights & Battens,68.0,32.0
B099QLH53H,Home & Kitchen,78421.0,86958.0
B099QLH53H,LED Bulbs,1045.0,1133.0
B083SSGH7P,Home & Kitchen,26845.0,105560.0
B083SSGH7P,Tube Lights & Battens,35.0,102.0
B08TWT2DQ3,Home & Kitchen,14620.0,19664.0
B08TWT2DQ3,Desk Lights,30.0,39.0
B08WLT729V,Home & Kitchen,34769.0,81150.0
B08WLT729V,Tube Lights & Battens,47.0,49.0
B08WLT729V,LED Bulbs,496.0,1060.0
B07P7H51FR,Home & Kitchen,44121.0,34895.0
B07P7H51FR,LED Bulbs,600.0,495.0
B08TWS4DMH,Home & Kitchen,25681.0,38332.0
B08TWS4DMH,Emergency Lights,113.0,146.0
B0933G4TWG,Home & Kitchen,46309.0,18779.0
B0933G4TWG,Desk Lights,70.0,35.0
B06XV5NXHW,Home & Kitchen,13631.0,10126.0
B06XV5NXHW,Emergency Lights,70.0,52.0
B08HZDLGF3,Home & Kitchen,15502.0,17561.0
B08HZDLGF3,LED Bulbs,245.0,264.0
B08WPJSXTF,Home & Kitchen,17726.0,13715.0
B08WPJSXTF,Tube Lights & Battens,27.0,25.0
B01L56DSKG,Home & Kitchen,1028.0,850.0
B01L56DSKG,Emergency Lights,9.0,5.0
B08357VZL5,Home & Kitchen,65840.0,151073.0
B08357VZL5,LED Bulbs,887.0,1968.0
B07RSJNVWH,Home & Kitchen,140882.0,125136.0
B07RSJNVWH,LED Bulbs,1805.0,1635.0
B08HZB57RX,Home & Kitchen,15502.0,17561.0
