ASIN,Date,Category,BSR,Last Known BSR
B071DQ34X8,2022-07-07,Home & Kitchen,12825.0,
B071DQ34X8,2022-07-09,Home & Kitchen,46188.0,12825.0
B071DQ34X8,2022-07-10,Home & Kitchen,6012.0,46188.0
B071DQ34X8,2022-07-11,Home & Kitchen,7695.0,6012.0
B071DQ34X8,2022-07-13,Home & Kitchen,6647.0,7695.0
B071DQ34X8,2022-07-14,Home & Kitchen,5766.0,6647.0
B071DQ34X8,2022-07-15,Home & Kitchen,6269.0,5766.0
B071DQ34X8,2022-07-16,Home & Kitchen,4419.0,6269.0
B071DQ34X8,2022-07-17,Home & Kitchen,3713.0,4419.0
B071DQ34X8,2022-07-18,Home & Kitchen,2982.0,3713.0
B071DQ34X8,2022-07-19,Home & Kitchen,3238.0,2982.0
B071DQ34X8,2022-07-20,Home & Kitchen,5185.0,3238.0
B071DQ34X8,2022-07-21,Home & Kitchen,5138.0,5185.0
B071DQ34X8,2022-07-22,Home & Kitchen,3483.0,5138.0
B071DQ34X8,2022-07-23,Home & Kitchen,3799.0,3483.0
B071DQ34X8,2022-07-24,Home & Kitchen,2379.0,3799.0
B071DQ34X8,2022-07-25,Home & Kitchen,2200.0,2379.0
B071DQ34X8,2022-07-26,Home & Kitchen,1573.0,2200.0
B071DQ34X8,2022-07-27,Home & Kitchen,1379.0,1573.0
B071DQ34X8,2022-07-28,Home & Kitchen,1359.0,1379.0
B071DQ34X8,2022-07-29,Home & Kitchen,1368.0,1359.0
B071DQ34X8,2022-07-30,Home & Kitchen,1554.0,1368.0
B071DQ34X8,2022-07-31,Home & Kitchen,1628.0,1554.0
B071DQ34X8,2022-08-01,Home & Kitchen,1609.0,1628.0
B071DQ34X8,2022-08-02,Home & Kitchen,996.0,1609.0
B071DQ34X8,2022-08-03,Home & Kitchen,921.0,996.0
B071DQ34X8,2022-08-04,Home & Kitchen,611.0,921.0
B071DQ34X8,2022-07-07,Emergency Lights,69.0,
B071DQ34X8,2022-07-09,Emergency Lights,206.0,69.0
B071DQ34X8,2022-07-10,Emergency Lights,42.0,206.0
B071DQ34X8,2022-07-11,Emergency Lights,50.0,42.0
B071DQ34X8,2022-07-13,Emergency Lights,44.0,50.0
B071DQ34X8,2022-07-14,Emergency Lights,36.0,44.0
B071DQ34X8,2022-07-15,Emergency Lights,38.0,36.0
B071DQ34X8,2022-07-16,Emergency Lights,32.0,38.0
B071DQ34X8,2022-07-17,Emergency Lights,28.0,32.0
B071DQ34X8,2022-07-18,Emergency Lights,26.0,28.0
B071DQ34X8,2022-07-19,Emergency Lights,29.0,26.0
B071DQ34X8,2022-07-20,Emergency Lights,32.0,29.0
B071DQ34X8,2022-07-21,Emergency Lights,34.0,32.0
B071DQ34X8,2022-07-22,Emergency Lights,29.0,34.0
B071DQ34X8,2022-07-23,Emergency Lights,26.0,29.0
B071DQ34X8,2022-07-24,Emergency Lights,16.0,26.0
B071DQ34X8,2022-07-25,Emergency Lights,14.0,16.0
B071DQ34X8,2022-07-26,Emergency Lights,15.0,14.0
B071DQ34X8,2022-07-27,Emergency Lights,11.0,15.0
B071DQ34X8,2022-07-28,Emergency Lights,10.0,11.0
B071DQ34X8,2022-07-29,Emergency Lights,12.0,10.0
B071DQ34X8,2022-07-30,Emergency Lights,10.0,12.0
B071DQ34X8,2022-07-31,Emergency Lights,13.0,10.0
B071DQ34X8,2022-08-01,Emergency Lights,9.0,13.0
B071DQ34X8,2022-08-02,Emergency Lights,5.0,9.0
B071DQ34X8,2022-08-03,Emergency Lights,8.0,5.0
B071DQ34X8,2022-08-04,Emergency Lights,5.0,8.0
B077TRB2FT,2022-07-07,Home & Kitchen,37097.0,
B077TRB2FT,2022-07-09,Home & Kitchen,32635.0,37097.0
B077TRB2FT,2022-07-10,Home & Kitchen,21119.0,32635.0
B077TRB2FT,2022-07-11,Home & Kitchen,16219.0,21119.0
B077TRB2FT,2022-07-13,Home & Kitchen,20434.0,16219.0
B077TRB2FT,2022-07-14,Home & Kitchen,16807.0,20434.0
B077TRB2FT,2022-07-15,Home & Kitchen,32706.0,16807.0
B077TRB2FT,2022-07-16,Home & Kitchen,37208.0,32706.0
B077TRB2FT,2022-07-17,Home & Kitchen,44588.0,37208.0
B077TRB2FT,2022-07-18,Home & Kitchen,39193.0,44588.0
B077TRB2FT,2022-07-19,Home & Kitchen,72468.0,39193.0
