ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B071DQ34X8,Havells Pathfinder 5 0.5-Watt Rechargeable LED Torch (Red),Havells,195.0,5.0,6171,4.1,NA,NA,195.0,195.0,8.0,76.0,Fulfilled,1.0,Emergency Lights,
B077TRB2FT,"Havells Rayline 6 Watt Rechargeable LED Batten (White, Pack of 1)",Havells,999.0,45.0,424,4.0,NA,NA,1200.0,999.0,79.0,33.0,Fulfilled,0.9375,Tube Lights & Battens,
B08HZCFNX1,"Havells Glamax 9W B22 Smart Wi-fi Enabled Bulb, LHLDAMED3W8R009 (16 Million Colors, Compatible with Alexa and Google Assistant)",Havells,,425.0,678,3.9,NA,NA,,830.0,314.0,11.0,NA,0.9375,LED Bulbs,
B085WKZW5J,"Havells Adore 0.5W B22 LED Light Bulb (Blue, Pack of 4)",Havells,180.0,659.0,11,3.9,NA,NA,180.0,180.0,1587.0,8.0,Fulfilled,1.0,LED Bulbs,
B09TH2B549,Havells LED 12W Inverter Bulb B22 CDL,Havells,629.0,1007.0,,,NA,NA,649.0,629.0,1001.0,8.0,Fulfilled,0.75,LED Bulbs,
B08BYJLB4Z,Havells LHLDEUEEML8R009 9W LED Bulb (White),Havells,,2020.0,241,4.3,NA,NA,,,1817.0,7.0,NA,0.6875,LED Bulbs,
B07NJDF7LW,"Havells 20W LED White Tubelight, Pack of 4, (LHEXBLP7PN1W020)",Havells,1149.0,36.0,45,4.1,NA,NA,1740.0,1149.0,42.0,33.0,Fulfilled,1.0,Tube Lights & Battens,
B08HZF4SFT,"Havells 20W LED White Smart Batten, 1 Piece, (RSB20A)",Havells,715.71,68.0,333,3.7,NA,NA,2299.0,716.41,32.0,28.0,Fulfilled,1.0,Tube Lights & Battens,
B099QLH53H,Havells b22d 15W LED Bulb (White) -Pack of 2,Havells,489.0,1045.0,59,4.0,NA,NA,489.0,489.0,1133.0,8.0,Fulfilled,1.0,LED Bulbs,
B083SSGH7P,Havells 20W LED White Tubelight - Pack of 4,Havells,1199.0,35.0,138,4.1,NA,NA,1740.0,1199.0,102.0,33.0,Fulfilled,1.0,Tube Lights & Battens,
B08TWT2DQ3,Havells Moderna Desktop Rechargeable LED Desklamp,Havells,899.0,30.0,43,4.2,NA,NA,1400.0,899.0,39.0,32.0,Fulfilled,1.0,Desk Lights,
B08WLT729V,"Havells 20W LED Cool Day Light Batten (LHEXACP7UN1W020-Pk1, White)",Havells,345.0,496.0,115,3.7,NA,NA,435.0,345.0,1060.0,10.0,Fulfilled,1.0,Tube Lights & Battens,
B07P7H51FR,"Havells 20W LED Bulb, LHLDEUEEML8R020 (White)",Havells,394.0,600.0,328,4.2,NA,NA,399.0,399.0,495.0,9.0,Fulfilled,1.0,LED Bulbs,
B08TWS4DMH,Havells Beam 10 1W Li-ion Rechargeable LED Torch,Havells,299.0,113.0,12,4.0,NA,NA,370.0,299.0,146.0,23.0,Fulfilled,1.0,Emergency Lights,
B0933G4TWG,Havells Moderna ClipOn Rechargeable LED Desklamp,Havells,720.0,70.0,19,3.5,NA,NA,1200.0,720.0,35.0,26.0,Fulfilled,1.0,Desk Lights,
B06XV5NXHW,Havells Pathfinder 10 1-Watt Rechargeable LED Torch (Blue),Havells,240.0,70.0,381,3.9,NA,NA,240.0,240.0,52.0,26.0,Fulfilled,1.0,Emergency Lights,
B08HZDLGF3,"Havells Glamax 9W E27 LED Smart Bulb, Shades of White, Wi-fi Enabled, Compatible with Google Assistant and Alexa (LHLDAMED3A8R009)",Havells,658.0,245.0,202,3.7,NA,NA,1299.0,656.08,264.0,16.0,Fulfilled,1.0,LED Bulbs,
B08WPJSXTF,"Havells 10W Pride Plus Inverter Batten 6500K (Cool Day Light, Pack of 1), Medium",Havells,435.0,27.0,74,3.3,NA,NA,700.0,435.0,25.0,33.0,Fulfilled,1.0,Tube Lights & Battens,
B01L56DSKG,Havells Ranger 10 1-Watt Rechargeable LED Torch (Black),Havells,240.0,9.0,8332,4.1,NA,NA,280.0,260.0,5.0,68.0,NA,1.0,Emergency Lights,
B08357VZL5,Havells Base B22 10W Adore LED Bulb (Cool Day Light),Havells,145.0,887.0,47,4.6,NA,NA,150.0,145.0,1968.0,7.0,NA,1.0,LED Bulbs,
B07RSJNVWH,"Havells 12W LED White Bulb, Pack of 1, (LHLDEUECNL8R012)",Havells,350.0,1805.0,460,4.1,NA,NA,350.0,350.0,1635.0,7.0,Fulfilled,1.0,LED Bulbs,
B08HZB57RX,"Havells Glamax Smart Bulb 9W WiFi Enabled (RGB and Shades of White, Compatible with Alexa and Google Assistant) E27 Base, Pack of 1",Havells,699.0,245.0,202,3.7,NA,NA,1999.0,675.0,264.0,16.0,Fulfilled,1.0,LED Bulbs,
B071DQ3TS5,Havells Pathfinder 30 3-Watt Rechargeable LED Torch,Havells,281.0,5.0,6171,4.1,NA,NA,350.0,281.0,8.0,76.0,Fulfilled,1.0,Emergency Lights,
B08TWS839R,"Havells Modern 3 in 1 Rechargeable LED Desk Lamp ( Off-White, Small ) , Pack of 1",Havells,1302.02,61.0,10,4.0,NA,NA,1800.0,1323.38,63.0,28.0,Fulfilled,1.0,Desk Lights,
B016W0ZPVU,"Philips 9-Watts Multipack B22 LED Cool Day White LED Bulb, Pack of 2, (Ace Saver)",Philips,248.33,4.0,24346,4.1,NA,NA,500.0,236.0,7.0,79.0,Fulfilled,1.0,LED Bulbs,
B075F9Z6XB,"Philips Stellar Bright 10W B22 LED T-Bulb,Cool Day Light , Pack of 3",Philips,539.0,9.0,29485,4.3,NA,NA,840.0,539.0,5.0,68.0,Fulfilled,1.0,LED Bulbs,
B08563PR4F,"Philips Ace Saver 10W B22 LED Bulb,900lm, Cool Day Light, Pack of 4",Philips,457.0,91.0,969,4.2,NA,NA,800.0,457.0,78.0,24.0,Fulfilled,1.0,LED Bulbs,
B08J4N441J,Philips Blaze Multi-Functional Emergency Rechargeable LED Torch Light and Lantern| 4 Lighting Modes | 2200 mAH Battery with up to 4 hrs. of Backup,Philips,1899.0,20.0,954,4.2,NA,NA,2200.0,1899.0,20.0,32.0,Fulfilled,1.0,Emergency Lights,
B016VYAWA6,"Philips Air Desk Light, 5 watt, Air-Light Minimalistic Design, Perfect Table lamp for Study and Office use, Black, Pack of 1",Philips,980.0,4.0,13642,4.4,NA,NA,1200.0,980.0,2.0,79.0,Fulfilled,1.0,Desk Lights,
B09M72TK2J,"PHILIPS Stellar Bright Rechargeable Emergency Inverter LED Bulb, B22 8-Watt-Crystal White(Pack of 1)",Philips,435.0,23.0,520,3.9,NA,NA,499.0,435.0,16.0,33.0,Fulfilled,1.0,LED Bulbs,
