ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B071DQ34X8,2022-07-07,210.0,,69.0,,33.0,1.0
B071DQ34X8,2022-07-09,210.0,210.0,206.0,69.0,23.0,1.0
B071DQ34X8,2022-07-10,210.0,210.0,42.0,206.0,42.0,1.0
B071DQ34X8,2022-07-11,210.0,210.0,50.0,42.0,42.0,1.0
B071DQ34X8,2022-07-13,210.0,210.0,44.0,50.0,42.0,1.0
B071DQ34X8,2022-07-14,210.0,210.0,36.0,44.0,43.0,1.0
B071DQ34X8,2022-07-15,210.0,210.0,38.0,36.0,43.0,1.0
B071DQ34X8,2022-07-16,210.0,210.0,32.0,38.0,43.0,1.0
B071DQ34X8,2022-07-17,210.0,210.0,28.0,32.0,42.0,1.0
B071DQ34X8,2022-07-18,210.0,210.0,26.0,28.0,42.0,1.0
B071DQ34X8,2022-07-19,210.0,210.0,29.0,26.0,42.0,1.0
B071DQ34X8,2022-07-20,205.0,210.0,32.0,29.0,43.0,1.0
B071DQ34X8,2022-07-21,208.0,205.0,34.0,32.0,43.0,1.0
B071DQ34X8,2022-07-22,210.0,208.0,29.0,34.0,42.0,1.0
B071DQ34X8,2022-07-23,210.0,210.0,26.0,29.0,42.0,1.0
B071DQ34X8,2022-07-24,204.0,210.0,16.0,26.0,42.0,1.0
B071DQ34X8,2022-07-25,210.0,204.0,14.0,16.0,52.0,1.0
B071DQ34X8,2022-07-26,210.0,210.0,15.0,14.0,42.0,1.0
B071DQ34X8,2022-07-27,210.0,210.0,11.0,15.0,82.0,1.0
B071DQ34X8,2022-07-28,210.0,210.0,10.0,11.0,84.0,1.0
B071DQ34X8,2022-07-29,210.0,210.0,12.0,10.0,52.0,1.0
B071DQ34X8,2022-07-30,210.0,210.0,10.0,12.0,84.0,1.0
B071DQ34X8,2022-07-31,210.0,210.0,13.0,10.0,52.0,1.0
B071DQ34X8,2022-08-01,210.0,210.0,9.0,13.0,86.0,1.0
B071DQ34X8,2022-08-02,195.0,210.0,5.0,9.0,96.0,1.0
B071DQ34X8,2022-08-03,195.0,195.0,8.0,5.0,88.0,1.0
B071DQ34X8,2022-08-04,195.0,195.0,5.0,8.0,96.0,1.0
B077TRB2FT,2022-07-07,999.0,,42.0,,42.0,1.0
B077TRB2FT,2022-07-09,999.0,999.0,46.0,42.0,42.0,1.0
B077TRB2FT,2022-07-10,999.0,999.0,30.0,46.0,41.0,1.0
B077TRB2FT,2022-07-11,999.0,999.0,26.0,30.0,40.0,1.0
B077TRB2FT,2022-07-13,999.0,999.0,31.0,26.0,41.0,1.0
B077TRB2FT,2022-07-14,999.0,999.0,28.0,31.0,40.0,0.0
B077TRB2FT,2022-07-15,999.0,999.0,44.0,28.0,42.0,1.0
B077TRB2FT,2022-07-16,999.0,999.0,48.0,44.0,42.0,1.0
B077TRB2FT,2022-07-17,999.0,999.0,56.0,48.0,38.0,1.0
B077TRB2FT,2022-07-18,999.0,999.0,56.0,56.0,38.0,1.0
B077TRB2FT,2022-07-19,999.0,999.0,81.0,56.0,31.0,1.0
B077TRB2FT,2022-07-20,999.0,999.0,47.0,81.0,42.0,1.0
B077TRB2FT,2022-07-21,999.0,999.0,51.0,47.0,42.0,1.0
B077TRB2FT,2022-07-22,999.0,999.0,42.0,51.0,42.0,1.0
B077TRB2FT,2022-07-23,999.0,999.0,43.0,42.0,42.0,1.0
B077TRB2FT,2022-07-24,999.0,999.0,41.0,43.0,42.0,1.0
B077TRB2FT,2022-07-25,999.0,999.0,54.0,41.0,38.0,0.0
B077TRB2FT,2022-07-26,999.0,999.0,49.0,54.0,42.0,1.0
B077TRB2FT,2022-07-27,999.0,999.0,36.0,49.0,42.0,1.0
B077TRB2FT,2022-07-28,999.0,999.0,60.0,36.0,36.0,1.0
B077TRB2FT,2022-07-29,999.0,999.0,50.0,60.0,42.0,1.0
B077TRB2FT,2022-07-30,999.0,999.0,49.0,50.0,42.0,1.0
B077TRB2FT,2022-07-31,999.0,999.0,42.0,49.0,42.0,1.0
B077TRB2FT,2022-08-01,999.0,999.0,54.0,42.0,38.0,1.0
B077TRB2FT,2022-08-02,999.0,999.0,53.0,54.0,42.0,1.0
B077TRB2FT,2022-08-03,999.0,999.0,79.0,53.0,31.0,1.0
B077TRB2FT,2022-08-04,999.0,999.0,45.0,79.0,42.0,1.0
B08HZCFNX1,2022-07-07,549.0,,89.0,,32.0,1.0
B08HZCFNX1,2022-07-09,549.0,549.0,114.0,89.0,30.0,1.0
B08HZCFNX1,2022-07-10,549.0,549.0,122.0,114.0,29.0,1.0
B08HZCFNX1,2022-07-11,549.0,549.0,72.0,122.0,33.0,1.0
B08HZCFNX1,2022-07-13,549.0,549.0,104.0,72.0,31.0,1.0
B08HZCFNX1,2022-07-14,549.0,549.0,123.0,104.0,29.0,1.0
B08HZCFNX1,2022-07-15,549.0,549.0,98.0,123.0,31.0,1.0
B08HZCFNX1,2022-07-16,549.0,549.0,102.0,98.0,31.0,1.0
B08HZCFNX1,2022-07-17,549.0,549.0,85.0,102.0,32.0,1.0
B08HZCFNX1,2022-07-18,549.0,549.0,77.0,85.0,32.0,1.0
B08HZCFNX1,2022-07-19,549.0,549.0,82.0,77.0,32.0,1.0
