ASIN,Category,Latest BSR,Last Day BSR
B071DQ34X8,Home & Kitchen,573.0,561.0
B071DQ34X8,Emergency Lights,4.0,4.0
B077TRB2FT,Home & Kitchen,93051.0,56965.0
B077TRB2FT,Tube Lights & Battens,92.0,68.0
B08HZCFNX1,Home & Kitchen,20006.0,43646.0
B08HZCFNX1,LED Bulbs,327.0,620.0
B085WKZW5J,Home & Kitchen,175557.0,54321.0
B085WKZW5J,LED Bulbs,2243.0,745.0
B09TH2B549,Home & Kitchen,61278.0,73387.0
B09TH2B549,LED Bulbs,848.0,982.0
B08BYJLB4Z,Home & Kitchen,190944.0,182830.0
B08BYJLB4Z,LED Bulbs,2420.0,2319.0
B07NJDF7LW,Home & Kitchen,58046.0,48343.0
B07NJDF7LW,Tube Lights & Battens,63.0,58.0
B08HZF4SFT,Home & Kitchen,41237.0,37305.0
B08HZF4SFT,Tube Lights & Battens,53.0,49.0
B099QLH53H,Home & Kitchen,40928.0,82498.0
B099QLH53H,LED Bulbs,583.0,1103.0
B083SSGH7P,Home & Kitchen,79519.0,56346.0
B083SSGH7P,Tube Lights & Battens,83.0,66.0
B08TWT2DQ3,Home & Kitchen,5139.0,5036.0
B08TWT2DQ3,Desk Lights,17.0,18.0
B08WLT729V,Home & Kitchen,36300.0,56377.0
B08WLT729V,Tube Lights & Battens,47.0,49.0
B08WLT729V,LED Bulbs,529.0,770.0
B07P7H51FR,Home & Kitchen,54716.0,71496.0
B07P7H51FR,LED Bulbs,760.0,958.0
B08TWS4DMH,Home & Kitchen,15392.0,28846.0
B08TWS4DMH,Emergency Lights,67.0,113.0
B0933G4TWG,Home & Kitchen,16847.0,25506.0
B0933G4TWG,Desk Lights,36.0,44.0
B06XV5NXHW,Home & Kitchen,9660.0,10669.0
B06XV5NXHW,Emergency Lights,48.0,50.0
B08HZDLGF3,Home & Kitchen,3765.0,2494.0
B08HZDLGF3,LED Bulbs,74.0,52.0
B08WPJSXTF,Home & Kitchen,26033.0,27639.0
B08WPJSXTF,Tube Lights & Battens,38.0,42.0
B01L56DSKG,Home & Kitchen,7923.0,7940.0
B01L56DSKG,Emergency Lights,38.0,37.0
B08357VZL5,Home & Kitchen,57295.0,99153.0
B08357VZL5,LED Bulbs,797.0,1332.0
B07RSJNVWH,Home & Kitchen,36596.0,23408.0
