ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B071DQ34X8,Havells Pathfinder 5 0.5-Watt Rechargeable LED Torch (Red),Havells,185.0,4.0,6188,4.1,NA,NA,210.0,185.0,4.0,79.0,Fulfilled,1.0,Emergency Lights,
B077TRB2FT,"Havells Rayline 6 Watt Rechargeable LED Batten (White, Pack of 1)",Havells,999.0,92.0,425,4.0,NA,NA,1200.0,999.0,68.0,24.0,Fulfilled,0.9375,Tube Lights & Battens,
B08HZCFNX1,"Havells Glamax 9W B22 Smart Wi-fi Enabled Bulb, LHLDAMED3W8R009 (16 Million Colors, Compatible with Alexa and Google Assistant)",Havells,683.0,327.0,679,3.9,NA,NA,1999.0,683.0,620.0,14.0,Fulfilled,0.875,LED Bulbs,
B085WKZW5J,"Havells Adore 0.5W B22 LED Light Bulb (Blue, Pack of 4)",Havells,171.0,2243.0,10,3.8,NA,NA,180.0,171.0,745.0,7.0,Fulfilled,1.0,LED Bulbs,
B09TH2B549,Havells LED 12W Inverter Bulb B22 CDL,Havells,629.0,848.0,1,4.0,NA,NA,649.0,600.0,982.0,8.0,Fulfilled,0.75,LED Bulbs,
B08BYJLB4Z,Havells LHLDEUEEML8R009 9W LED Bulb (White),Havells,,2420.0,235,4.3,NA,NA,,,2319.0,7.0,NA,0.4375,LED Bulbs,
B07NJDF7LW,"Havells 20W LED White Tubelight, Pack of 4, (LHEXBLP7PN1W020)",Havells,,63.0,46,4.2,NA,NA,,1149.0,58.0,28.0,NA,0.9375,Tube Lights & Battens,
B08HZF4SFT,"Havells 20W LED White Smart Batten, 1 Piece, (RSB20A)",Havells,715.0,53.0,333,3.7,NA,NA,2299.0,715.0,49.0,33.0,Fulfilled,1.0,Tube Lights & Battens,
B099QLH53H,Havells b22d 15W LED Bulb (White) -Pack of 2,Havells,489.0,583.0,59,4.0,NA,NA,489.0,489.0,1103.0,10.0,Fulfilled,1.0,LED Bulbs,
B083SSGH7P,Havells 20W LED White Tubelight - Pack of 4,Havells,1199.0,83.0,136,4.1,NA,NA,1740.0,1199.0,66.0,24.0,Fulfilled,1.0,Tube Lights & Battens,
B08TWT2DQ3,Havells Moderna Desktop Rechargeable LED Desklamp,Havells,999.0,17.0,47,4.2,NA,NA,1400.0,711.0,18.0,32.0,Fulfilled,1.0,Desk Lights,
B08WLT729V,"Havells 20W LED Cool Day Light Batten (LHEXACP7UN1W020-Pk1, White)",Havells,345.0,529.0,115,3.7,NA,NA,435.0,345.0,770.0,10.0,Fulfilled,1.0,Tube Lights & Battens,
