ASIN,String,Rating,Frequency
B08HZCFNX1,working,1.0,1
B08HZCFNX1,working properly.,1.0,1
B08HZCFNX1,properly.,1.0,2
B08HZCFNX1,change,1.0,1
B08HZCFNX1,change colour,1.0,1
B08HZCFNX1,colour,1.0,1
B08HZCFNX1,colour keep,1.0,1
B08HZCFNX1,keep,1.0,2
B08HZCFNX1,keep flashing,1.0,1
B08HZCFNX1,flashing,1.0,1
B08HZCFNX1,flashing white,1.0,1
B08HZCFNX1,white,1.0,1
B08HZCFNX1,white every,1.0,1
B08HZCFNX1,every,1.0,1
B08HZCFNX1,every 10,1.0,1
B08HZCFNX1,10,1.0,1
B08HZCFNX1,10 15,1.0,1
B08HZCFNX1,15,1.0,1
B08HZCFNX1,15 sec.,1.0,1
B08HZCFNX1,sec.,1.0,1
B08HZCFNX1,sec. bad,1.0,1
B08HZCFNX1,bad,1.0,3
B08HZCFNX1,bad connectivity,1.0,1
B08HZCFNX1,connectivity,1.0,1
B08HZCFNX1,connectivity wifi,1.0,1
B08HZCFNX1,wifi,1.0,1
B08HZCFNX1,wifi keep,1.0,1
B08HZCFNX1,keep dropping.,1.0,1
B08HZCFNX1,dropping.,1.0,1
B08HZCFNX1,dropping. ever,1.0,1
B08HZCFNX1,ever,1.0,1
B08HZCFNX1,ever try,1.0,1
B08HZCFNX1,try,1.0,1
B08HZCFNX1,try control,1.0,1
B08HZCFNX1,control,1.0,1
B08HZCFNX1,control alexa,1.0,1
B08HZCFNX1,alexa,1.0,1
B08HZCFNX1,alexa always,1.0,1
B08HZCFNX1,always,1.0,1
B08HZCFNX1,always disconnected,1.0,1
B08HZCFNX1,disconnected,1.0,1
B08HZCFNX1,disconnected wifi.,1.0,1
B08HZCFNX1,wifi.,1.0,1
B08HZCFNX1,wifi. bad,1.0,1
B08HZCFNX1,bad experience,1.0,1
B08HZCFNX1,experience,1.0,1
B08HZCFNX1,experience buy.,1.0,1
B08HZCFNX1,buy.,1.0,2
B08HZCFNX1,bad light,1.0,1
B08HZCFNX1,light,1.0,2
B08HZCFNX1,temple,1.0,2
B08HZCFNX1,started,1.0,2
B08HZCFNX1,started flickering,1.0,2
B08HZCFNX1,flickering,1.0,2
B08HZCFNX1,flickering one,1.0,2
B08HZCFNX1,one,1.0,2
B08HZCFNX1,one year,1.0,2
B08HZCFNX1,year,1.0,3
B08HZCFNX1,bulb,1.0,1
B08HZCFNX1,bulb started,1.0,1
B08HZCFNX1,year mean,1.0,1
B08HZCFNX1,mean,1.0,1
B08HZCFNX1,mean using,1.0,1
B08HZCFNX1,using,1.0,1
B08HZCFNX1,"using cheap,",1.0,1
B08HZCFNX1,"cheap,",1.0,1
B08HZCFNX1,"cheap, chinese",1.0,1
B08HZCFNX1,chinese,1.0,1
B08HZCFNX1,chinese parts.,1.0,1
B08HZCFNX1,parts.,1.0,2
B08HZCFNX1,good,5.0,6
B08HZCFNX1,value,5.0,1
B08HZCFNX1,value money.,5.0,1
B08HZCFNX1,money.,5.0,1
B08HZCFNX1,money. one,5.0,1
B08HZCFNX1,one,5.0,1
B08HZCFNX1,one touch,5.0,1
B08HZCFNX1,touch,5.0,1
B08HZCFNX1,touch operation,5.0,1
B08HZCFNX1,operation,5.0,2
B08HZCFNX1,worth,5.0,1
B08HZCFNX1,worth money,5.0,1
B08HZCFNX1,money,5.0,4
B08HZCFNX1,promised.,5.0,2
B08HZCFNX1,promised. brightness,5.0,1
B08HZCFNX1,brightness,5.0,2
B08HZCFNX1,brightness low,5.0,1
B08HZCFNX1,low,5.0,1
B08HZCFNX1,low soft,5.0,1
B08HZCFNX1,soft,5.0,1
B08HZCFNX1,soft sense.,5.0,1
B08HZCFNX1,sense.,5.0,1
B08HZCFNX1,sense. function,5.0,1
B08HZCFNX1,function,5.0,1
B08HZCFNX1,function feature,5.0,1
B08HZCFNX1,feature,5.0,1
B08HZCFNX1,feature work,5.0,1
B08HZCFNX1,work,5.0,1
B08HZCFNX1,work promised.,5.0,1
B08HZCFNX1,promised. would,5.0,1
B08HZCFNX1,would,5.0,1
B08HZCFNX1,would recommend.,5.0,1
B08HZCFNX1,recommend.,5.0,2
B08HZCFNX1,good product,5.0,1
B08HZCFNX1,product,5.0,2
B08HZCFNX1,easy,5.0,1
B08HZCFNX1,easy installation,5.0,1
B08HZCFNX1,installation,5.0,1
B08HZCFNX1,installation &,5.0,1
B08HZCFNX1,&,5.0,1
B08HZCFNX1,& good,5.0,1
B08HZCFNX1,good performance,5.0,1
B08HZCFNX1,performance,5.0,1
B08HZCFNX1,performance home,5.0,1
B08HZCFNX1,home,5.0,1
B08HZCFNX1,home use,5.0,1
B08HZCFNX1,use,5.0,1
B08HZCFNX1,use !,5.0,1
B08HZCFNX1,!,5.0,2
B08HZCFNX1,good product-value,5.0,1
B08HZCFNX1,product-value,5.0,1
B08HZCFNX1,product-value money,5.0,1
B08HZCFNX1,"good product,",5.0,1
B08HZCFNX1,"product,",5.0,1
B08HZCFNX1,"product, prompt",5.0,1
B08HZCFNX1,prompt,5.0,1
B08HZCFNX1,prompt shipping.,5.0,1
B08HZCFNX1,shipping.,5.0,1
B08HZCFNX1,shipping. controlled,5.0,1
B08HZCFNX1,controlled,5.0,1
B08HZCFNX1,controlled anywhere,5.0,1
B08HZCFNX1,anywhere,5.0,1
B08HZCFNX1,anywhere internet,5.0,1
B08HZCFNX1,internet,5.0,1
B08HZCFNX1,internet available.,5.0,1
B08HZCFNX1,available.,5.0,1
B08HZCFNX1,available. scheduled,5.0,1
B08HZCFNX1,scheduled,5.0,1
B08HZCFNX1,scheduled switch,5.0,1
B08HZCFNX1,switch,5.0,1
B08HZCFNX1,switch off.,5.0,1
B08HZCFNX1,off.,5.0,1
B08HZCFNX1,off. highly,5.0,1
B08HZCFNX1,highly,5.0,1
B08HZCFNX1,highly recommended.,5.0,1
B08HZCFNX1,recommended.,5.0,2
B08HZCFNX1,price,5.0,1
B08HZCFNX1,price could,5.0,1
B08HZCFNX1,could,5.0,1
B08HZCFNX1,could lower,5.0,1
B08HZCFNX1,lower,5.0,2
B08HZCFNX1,brightness superb,5.0,1
B08HZCFNX1,superb,5.0,1
B08HZCFNX1,superb satisfied,5.0,1
B08HZCFNX1,satisfied,5.0,2
B08HZCFNX1,best,5.0,1
B08HZCFNX1,best thing,5.0,1
B08HZCFNX1,thing,5.0,1
B08HZCFNX1,thing ever,5.0,1
B08HZCFNX1,ever,5.0,2
B08HZCFNX1,really,5.0,1
B08HZCFNX1,really like,5.0,1
B08HZCFNX1,like,5.0,1
B08HZCFNX1,like product.,5.0,1
B08HZCFNX1,product.,5.0,2
B08HZCFNX1,nice,4.0,1
B08HZCFNX1,nice one,4.0,1
B08HZCFNX1,one,4.0,1
B08HZCFNX1,one ..,4.0,1
B08HZCFNX1,..,4.0,2
B08HZCFNX1,like,4.0,1
B08HZCFNX1,like product,4.0,1
B08HZCFNX1,product,4.0,1
B08HZCFNX1,product worth,4.0,1
B08HZCFNX1,worth,4.0,1
B08HZCFNX1,worth penny,4.0,1
B08HZCFNX1,penny,4.0,2
B08HZCFNX1,received,3.0,1
B08HZCFNX1,received damaged,3.0,1
B08HZCFNX1,damaged,3.0,2
B08HZCFNX1,damaged bulb,3.0,1
B08HZCFNX1,bulb,3.0,3
B08HZCFNX1,bottom,3.0,1
B08HZCFNX1,bottom bulb,3.0,1
B08HZCFNX1,bulb damaged.,3.0,1
B08HZCFNX1,damaged.,3.0,1
B08HZCFNX1,damaged. ordered,3.0,1
B08HZCFNX1,ordered,3.0,1
B08HZCFNX1,ordered replacement,3.0,1
B08HZCFNX1,replacement,3.0,2
B08HZCFNX1,replacement also,3.0,1
B08HZCFNX1,also,3.0,1
B08HZCFNX1,also damaged,3.0,1
B08HZCFNX1,damaged used,3.0,1
B08HZCFNX1,used,3.0,1
B08HZCFNX1,used one.,3.0,1
B08HZCFNX1,one.,3.0,1
B08HZCFNX1,one. attached,3.0,1
B08HZCFNX1,attached,3.0,1
B08HZCFNX1,attached pic,3.0,1
B08HZCFNX1,pic,3.0,1
B08HZCFNX1,pic replacement,3.0,1
B08HZCFNX1,replacement too.,3.0,1
B08HZCFNX1,too.,3.0,2
B071DQ34X8,poor,1.0,5
B071DQ34X8,poor quality,1.0,1
B071DQ34X8,quality,1.0,3
B071DQ34X8,torch,1.0,4
B071DQ34X8,torch faulty,1.0,1
B071DQ34X8,faulty,1.0,1
B071DQ34X8,faulty switch,1.0,1
B071DQ34X8,switch,1.0,5
B071DQ34X8,cannot,1.0,1
B071DQ34X8,cannot use,1.0,1
B071DQ34X8,use,1.0,1
B071DQ34X8,use torch,1.0,1
B071DQ34X8,torch hard,1.0,1
B071DQ34X8,hard,1.0,2
B071DQ34X8,hard switch,1.0,2
B071DQ34X8,switch off.,1.0,1
B071DQ34X8,off.,1.0,2
B071DQ34X8,off. somehow,1.0,1
B071DQ34X8,somehow,1.0,1
B071DQ34X8,somehow get,1.0,1
B071DQ34X8,get,1.0,1
B071DQ34X8,get switch,1.0,1
B071DQ34X8,switch really,1.0,1
B071DQ34X8,really,1.0,1
B071DQ34X8,really hard,1.0,1
B071DQ34X8,switch back,1.0,1
B071DQ34X8,back,1.0,1
B071DQ34X8,back off.,1.0,1
B071DQ34X8,off. make,1.0,1
B071DQ34X8,make,1.0,1
B071DQ34X8,make pretty,1.0,1
B071DQ34X8,pretty,1.0,1
B071DQ34X8,pretty good,1.0,1
B071DQ34X8,good,1.0,2
B071DQ34X8,good torch,1.0,1
B071DQ34X8,torch fit,1.0,1
B071DQ34X8,fit,1.0,1
