ASIN,Question,Answer,Votes,Date
B09SGMJD2P,installation wale Deewar pe hol karke freme lagate hai,They did a very bad job in installing,0,14-06-2022
B09SGMJD2P,Does remote have display?,Nope very basic,0,14-06-2022
B09SGMJD2P,फैन ac है या dc,AC,0,06-06-2022
B09SGMJD2P,Colour ‎white with silver deco strip and gold strip any difference???,Not any difference for me atleast… because i think ac’s cooling and performance matter,0,23-05-2022
B09SGMJD2P,How much to should be paid to fill the remaining Window space?,At least 100,0,14-06-2022
B09SGMJD2P,Does the Stabilizer installation charges extra?,Yes,0,14-06-2022
B09SGMJD2P,Ac stand will came with this product??,no,0,17-05-2022
B09SGMJD2P,how much unit cunsum per day 24 temp??,LLYOD 1 Ton AC consumes 1 unit of electricity per hour,0,13-05-2022
B09SGMJD2P,How much time do you take to install after delivery,"With in 2 hours from the time of placing call for installation , the AC was installed .",0,13-05-2022
B09SGMJD2P,How much time do you take to install ac after delivery,You’ve to register and call Llyod they usually send someone in 2 days,0,12-05-2022
B09SGMJD2P,Room size 12 x 10 feet which size will be purchase?,1ton AC is sufficient for this room size,0,11-05-2022
B09SGMJD2P,How much electricity load is required? I have only 2KW can it work?,Yes,0,08-05-2022
B09SGMJD2P,Kya yeh Window AC hot and cold hai,No,0,08-05-2022
B09SGMJD2P,Exchenge offer,I got very good exchange offer with this ac,0,08-05-2022
B09SGMJD2P,Installation charges for window 1 ton AC,There is installation charges it's optional,0,08-05-2022
B09SGMJD2P,Does company provide installation or we have to arrange it ourself?,Company provide installation with charges,0,08-05-2022
B09SGMJD2P,Length of wire with the unit?,It's around 1.5m approximately,0,08-05-2022
B09SGMJD2P,What if i do not want installation,It affects your warranty,0,08-05-2022
B09SGMJD2P,Is Installation free for this AC?,No,0,08-05-2022
B09SGMJD2P,How to do installation?,With some mechanics,0,08-05-2022
B09SGMJD2P,Does it fit in window having 22 inch width ?,No,0,08-05-2022
B09SGMJD2P,What about it's installation,Not free,0,08-05-2022
B09SGMJD2P,Is installation of havells lloyd ac is free?,No,0,08-05-2022
B09SGMJD2P,Is there any charges for installation?,"Yes , very heavy charges for installation. The company charged me Rs 800/- in cash ,  No receipt was given",0,13-05-2022
B09SGMJD2P,Is remote digital?,Remote is not digital.... but advertisement shows this as digital,0,13-05-2022
B09SGMJD2P,Is installation included in this beacause nothing written about installation?,No installation,0,11-05-2022
B09SGMJD2P,Model year please,2021,0,11-05-2022
B09SGMJD2P,How to arrange installation?,Just give a phone call to LLYOD call center,0,13-05-2022
B09SGMJD2P,What about installation?,Installation of this window AC was done with in 30 minutes as it was just drilling 6 holes / fixing the outer  box &  just inserting the AC unit & plugging in the PIN for power,0,13-05-2022
B09SGMJD2P,Do we get warranty card?,no,0,17-05-2022
B09SGMJD2P,Is installation free?,"No, It is paid",0,17-05-2022
B09SGMJD2P,Will amazon send someone for installation ?,No,0,17-05-2022
B09SGMJD2P,Is it the inverter AC,No,0,17-05-2022
B09SGMJD2P,Is installation being offered?,No,0,17-05-2022
B09SGMJD2P,Can I install this myself? Or I have to get itinstalled by lloyd technitian only?,Get it installed by Lloyd technician only,0,09-07-2022
B09SGMJD2P,Does it require stabilizer? Or it can run without stabilizer?,It requires a stabilizer,0,09-07-2022
B09SGMJD2P,Does stabilizer is require with this AC?,It requires a stabilizer,0,09-07-2022
B09SGMJD2P,Konse year ka make ya model hai?,2022,0,09-07-2022
B09SGMJD2P,Fan motor in copper or aluminium?,Copper,0,28-07-2022
B09SGMJD2P,Can we unbox itself or wait for an engg,It's better to wait for technician,0,28-07-2022
B09SGMJD2P,What is actual dimension. The image shows width as 57 cm but specs field shows 60 cm.,60cm,0,28-07-2022
B09TNKLD47,Is it convertable?,No,0,28-06-2022
B09TNKLD47,Use alexa,No,0,25-06-2022
B09TNKLD47,Is it convertable?,Yes 4 ways swing,0,25-06-2022
B09TNKLD47,Will it work over inverter and is there specific inverter model for this?,Don’t buy Lloyd you can go for OG,0,12-06-2022
B09TNKLD47,"How much warranty on pcb, compressor and all over warranty",One on pcb 10 on compressor. Lelo Bhai mast ac hai. I got it at 36k,0,09-06-2022
B09TNKLD47,If i get the installation done from an outside vendor will the warranty get affected?,No,0,31-05-2022
B09TNKLD47,Is there a mistake in Wattage Rating (5100 Watt) ??,No,0,31-05-2022
B09TNKLD47,Is there a mistake in wattage rating (Wattage ‎5100 Watts) ??,No,0,31-05-2022
B09TNKLD47,Does it have auto clean?,Yes,0,09-06-2022
B09TNKLD47,exchange avalable,Yes,0,31-05-2022
B09TNKLD47,Outdoor and indoor both are copper.,Yes,0,19-05-2022
