ASIN,Category,Latest BSR,Last Day BSR
B09TNBCM4Q,Home & Kitchen,30313.0,20272.0
B09TNBCM4Q,Air Conditioners,59.0,36.0
B09TNBCM4Q,Large Appliances,896.0,624.0
B08X2Q1C58,Home & Kitchen,381500.0,369447.0
B08X2Q1C58,Air Conditioners,508.0,483.0
B09SGNCGFK,Home & Kitchen,8362.0,12817.0
B09SGNCGFK,Air Conditioners,16.0,22.0
B09SGNCGFK,Large Appliances,284.0,408.0
B09SGN2N8P,Home & Kitchen,60477.0,59219.0
B09SGN2N8P,Air Conditioners,97.0,88.0
B09SGN2N8P,Large Appliances,1575.0,1578.0
B09W3RF92L,Home & Kitchen,290691.0,284197.0
B09W3RF92L,Air Conditioners,363.0,353.0
B09SGQB576,Home & Kitchen,23991.0,56012.0
B09SGQB576,Air Conditioners,48.0,82.0
B09SGQB576,Large Appliances,750.0,1514.0
B09SGMJD2P,Home & Kitchen,37325.0,29320.0
B09SGMJD2P,Air Conditioners,71.0,49.0
B08V8FN59W,Home & Kitchen,9246.0,10772.0
B08V8FN59W,Air Conditioners,18.0,16.0
B09TNKLD47,Home & Kitchen,10043.0,12725.0
B09TNKLD47,Air Conditioners,21.0,21.0
B09TNKLD47,Large Appliances,337.0,402.0
B08V8J5N7P,Home & Kitchen,303003.0,300325.0
B08V8J5N7P,Air Conditioners,388.0,386.0
B09VLD3C63,Home & Kitchen,384831.0,375764.0
B09VLD3C63,Air Conditioners,513.0,495.0
B085CKNJ62,Home & Kitchen,411076.0,408304.0
B085CKNJ62,Air Conditioners,552.0,542.0
B09P5NCP8L,Home & Kitchen,18675.0,31520.0
B09P5NCP8L,Air Conditioners,39.0,56.0
B09P5NCP8L,Large Appliances,596.0,936.0
B09SGNMD7R,Home & Kitchen,9246.0,10772.0
B09SGNMD7R,Air Conditioners,18.0,16.0
B09TNS6Y93,Home & Kitchen,150897.0,115525.0
B09TNS6Y93,Air Conditioners,175.0,136.0
B089WBWNS1,Home & Kitchen,112017.0,55616.0
B089WBWNS1,Air Conditioners,137.0,80.0
B07DB7HWZC,Home & Kitchen,148925.0,116068.0
B07DB7HWZC,Air Conditioners,173.0,137.0
B08TB54NGQ,Home & Kitchen,83098.0,113441.0
B08TB54NGQ,Air Conditioners,117.0,133.0
B08TB54NGQ,Large Appliances,2035.0,2656.0
B08SW4FYZM,Home & Kitchen,9332.0,8800.0
B08SW4FYZM,Air Conditioners,19.0,14.0
B08SW4FYZM,Large Appliances,314.0,273.0
B089D2666Q,Home & Kitchen,35478.0,39461.0
B089D2666Q,Air Conditioners,69.0,65.0
B09WDMFCQT,Home & Kitchen,296672.0,287338.0
B09WDMFCQT,Air Conditioners,378.0,361.0
B079MNPXH7,Home & Kitchen,115463.0,113123.0
B079MNPXH7,Air Conditioners,140.0,132.0
B079MNPXH7,Large Appliances,2733.0,2650.0
B09G391BM1,Home & Kitchen,13716.0,8324.0
B09G391BM1,Air Conditioners,28.0,12.0
B09G391BM1,Large Appliances,442.0,255.0
B079MD9LHP,Home & Kitchen,6374.0,5849.0
B079MD9LHP,Air Conditioners,22.0,22.0
B07XV1CXHQ,Home & Kitchen,14988.0,15499.0
B07XV1CXHQ,Air Conditioners,33.0,27.0
B09SGLJVLS,Home & Kitchen,24490.0,14581.0
B09SGLJVLS,Air Conditioners,50.0,26.0
B09SGLJVLS,Large Appliances,763.0,448.0
B084Q7JW2J,Home & Kitchen,82820.0,123336.0
B084Q7JW2J,Air Conditioners,116.0,143.0
B079PW7PMC,Home & Kitchen,168565.0,165808.0
B079PW7PMC,Air Conditioners,189.0,183.0
B079PW7PMC,Large Appliances,3813.0,3734.0
B0B1BYQ8XP,Home & Kitchen,330836.0,319885.0
B0B1BYQ8XP,Air Conditioners,433.0,413.0
B08WLPZBG8,Home & Kitchen,151466.0,149680.0
B08WLPZBG8,Air Conditioners,176.0,167.0
B09RFX1NKP,Home & Kitchen,28779.0,30707.0
B09RFX1NKP,Air Conditioners,57.0,52.0
B09RFX1NKP,Large Appliances,872.0,910.0
B089QD4PDH,Home & Kitchen,37456.0,33694.0
B089QD4PDH,Air Conditioners,72.0,59.0
B00LWRFC1W,Home & Kitchen,12044.0,13489.0
B00LWRFC1W,Air Conditioners,24.0,25.0
B00LWRFC1W,Large Appliances,383.0,423.0
B08WLPN5TQ,Home & Kitchen,200645.0,199701.0
B08WLPN5TQ,Air Conditioners,227.0,216.0
B07NZNVN78,Home & Kitchen,191006.0,178514.0
B07NZNVN78,Air Conditioners,216.0,193.0
B07NZNVN78,Large Appliances,4274.0,4001.0
B09RG2SZVX,Home & Kitchen,20673.0,17884.0
B09RG2SZVX,Air Conditioners,43.0,31.0
B09RFDT8XR,Home & Kitchen,194527.0,181165.0
B09RFDT8XR,Air Conditioners,219.0,197.0
B09RG461YQ,Home & Kitchen,10107.0,22746.0
B09RG461YQ,Air Conditioners,22.0,39.0
B09RG461YQ,Large Appliances,339.0,699.0
B0843GL3NT,Home & Kitchen,226289.0,223704.0
B0843GL3NT,Air Conditioners,259.0,249.0
B09P79533V,Home & Kitchen,175719.0,166664.0
B09P79533V,Air Conditioners,196.0,184.0
B09RFD8SW4,Home & Kitchen,208810.0,187508.0
B09RFD8SW4,Air Conditioners,234.0,204.0
B09RFSMC58,Home & Kitchen,606514.0,591242.0
B09RFSMC58,Air Conditioners,778.0,766.0
B09RDSZVGV,Home & Kitchen,5452.0,4851.0
B09RDSZVGV,Air Conditioners,10.0,6.0
B09RDSZVGV,Large Appliances,183.0,147.0
B09RFCGW4X,Home & Kitchen,17273.0,22258.0
B09RFCGW4X,LED Bulbs,276.0,334.0
B0876SVTN8,Home & Kitchen,242693.0,234537.0
B0876SVTN8,Air Conditioners,280.0,272.0
B08XZKDGCM,Home & Kitchen,225295.0,223765.0
B08XZKDGCM,Air Conditioners,257.0,250.0
B08WLNTLH1,Home & Kitchen,226505.0,224860.0
B08WLNTLH1,Air Conditioners,260.0,252.0
B09R29RSFH,Home & Kitchen,2864.0,4134.0
B09R29RSFH,Air Conditioners,3.0,4.0
B09R29RSFH,Large Appliances,83.0,118.0
B09RN6WQHF,Home & Kitchen,72566.0,24384.0
B09RN6WQHF,Air Conditioners,109.0,43.0
B09RN6WQHF,Large Appliances,1833.0,740.0
B09RP8GB52,Home & Kitchen,106672.0,53689.0
B09RP8GB52,Air Conditioners,134.0,77.0
B09RP8GB52,Large Appliances,2537.0,1455.0
B09R3XHPVZ,Home & Kitchen,9974.0,12289.0
B09R3XHPVZ,Air Conditioners,20.0,20.0
B09R3XHPVZ,Large Appliances,334.0,388.0
B09R248ZWX,Home & Kitchen,6278.0,10332.0
B09R248ZWX,Air Conditioners,12.0,15.0
B09R248ZWX,Large Appliances,212.0,322.0
B09R4G1ZNJ,Home & Kitchen,21623.0,41547.0
B09R4G1ZNJ,Air Conditioners,44.0,67.0
B09TJBPHZR,Home & Kitchen,293840.0,265900.0
B09TJBPHZR,Air Conditioners,369.0,317.0
B09R45Q5WP,Home & Kitchen,37137.0,86917.0
B09R45Q5WP,Air Conditioners,70.0,106.0
B09R45Q5WP,Large Appliances,1066.0,2142.0
B09RKBM3XV,Home & Kitchen,140709.0,119579.0
B09RKBM3XV,Air Conditioners,163.0,141.0
B09R3T1QLW,Home & Kitchen,23801.0,32888.0
B09R3T1QLW,Air Conditioners,46.0,58.0
B09R3T1QLW,Large Appliances,745.0,974.0
B09R3S2NG6,Home & Kitchen,26486.0,12851.0
B09R3S2NG6,Air Conditioners,55.0,23.0
B09RP38FBT,Home & Kitchen,44091.0,74021.0
B09RP38FBT,Air Conditioners,77.0,96.0
B09RP38FBT,Large Appliances,1217.0,1879.0
B09TJCL73K,Home & Kitchen,329177.0,302644.0
B09TJCL73K,Air Conditioners,429.0,393.0
B09R4DDVQV,Home & Kitchen,101497.0,56968.0
B09R4DDVQV,Air Conditioners,129.0,83.0
B08Y8YV1RC,Home & Kitchen,25195.0,37863.0
B08Y8YV1RC,Air Conditioners,52.0,64.0
B09RK911MP,Home & Kitchen,355038.0,57725.0
B09RK911MP,Air Conditioners,471.0,84.0
B09RN3YRS6,Home & Kitchen,52080.0,80921.0
B09RN3YRS6,Air Conditioners,87.0,102.0
B09RPFQ8Z5,Home & Kitchen,24797.0,40813.0
B09RPFQ8Z5,Air Conditioners,51.0,66.0
B09ZB69182,Home & Kitchen,308160.0,291387.0
B09ZB69182,Air Conditioners,397.0,369.0
B09SD9RX33,Home & Kitchen,334053.0,320179.0
B09SD9RX33,Air Conditioners,440.0,414.0
B08Z47LWL4,Home & Kitchen,12491.0,12034.0
B08Z47LWL4,Air Conditioners,25.0,19.0
B08Z47WSKK,Home & Kitchen,79486.0,146682.0
B08Z47WSKK,Air Conditioners,114.0,165.0
B08KWF94JG,Home & Kitchen,261322.0,257695.0
B08KWF94JG,Air Conditioners,314.0,305.0
B08KWF94JG,Large Appliances,5794.0,5752.0
