ASIN,Date,Category,BSR,Last Known BSR
B09TNBCM4Q,2022-07-01,Home & Kitchen,9388.0,
B09TNBCM4Q,2022-07-02,Home & Kitchen,12397.0,9388.0
B09TNBCM4Q,2022-07-03,Home & Kitchen,25950.0,12397.0
B09TNBCM4Q,2022-07-04,Home & Kitchen,29847.0,25950.0
B09TNBCM4Q,2022-07-05,Home & Kitchen,19683.0,29847.0
B09TNBCM4Q,2022-07-06,Home & Kitchen,11843.0,19683.0
B09TNBCM4Q,2022-07-07,Home & Kitchen,11592.0,11843.0
B09TNBCM4Q,2022-07-08,Home & Kitchen,14310.0,11592.0
B09TNBCM4Q,2022-07-09,Home & Kitchen,16182.0,14310.0
B09TNBCM4Q,2022-07-10,Home & Kitchen,19021.0,16182.0
B09TNBCM4Q,2022-07-11,Home & Kitchen,25844.0,19021.0
B09TNBCM4Q,2022-07-13,Home & Kitchen,43329.0,25844.0
B09TNBCM4Q,2022-07-14,Home & Kitchen,18533.0,43329.0
B09TNBCM4Q,2022-07-15,Home & Kitchen,13715.0,18533.0
B09TNBCM4Q,2022-07-16,Home & Kitchen,9011.0,13715.0
B09TNBCM4Q,2022-07-17,Home & Kitchen,11764.0,9011.0
B09TNBCM4Q,2022-07-18,Home & Kitchen,11687.0,11764.0
B09TNBCM4Q,2022-07-19,Home & Kitchen,12686.0,11687.0
B09TNBCM4Q,2022-07-21,Home & Kitchen,17579.0,12686.0
B09TNBCM4Q,2022-07-22,Home & Kitchen,12034.0,17579.0
B09TNBCM4Q,2022-07-23,Home & Kitchen,10775.0,12034.0
B09TNBCM4Q,2022-07-24,Home & Kitchen,13328.0,10775.0
B09TNBCM4Q,2022-07-25,Home & Kitchen,22314.0,13328.0
B09TNBCM4Q,2022-07-26,Home & Kitchen,22746.0,22314.0
B09TNBCM4Q,2022-07-28,Home & Kitchen,22028.0,22746.0
B09TNBCM4Q,2022-07-29,Home & Kitchen,14011.0,22028.0
B09TNBCM4Q,2022-07-30,Home & Kitchen,19041.0,14011.0
B09TNBCM4Q,2022-07-31,Home & Kitchen,17679.0,19041.0
B09TNBCM4Q,2022-08-01,Home & Kitchen,17984.0,17679.0
B09TNBCM4Q,2022-08-02,Home & Kitchen,29999.0,17984.0
B09TNBCM4Q,2022-08-03,Home & Kitchen,20272.0,29999.0
B09TNBCM4Q,2022-08-04,Home & Kitchen,30313.0,20272.0
B09TNBCM4Q,2022-07-01,Air Conditioners,35.0,
B09TNBCM4Q,2022-07-02,Air Conditioners,44.0,35.0
B09TNBCM4Q,2022-07-03,Air Conditioners,72.0,44.0
B09TNBCM4Q,2022-07-04,Air Conditioners,82.0,72.0
B09TNBCM4Q,2022-07-05,Air Conditioners,64.0,82.0
B09TNBCM4Q,2022-07-06,Air Conditioners,45.0,64.0
B09TNBCM4Q,2022-07-07,Air Conditioners,49.0,45.0
B09TNBCM4Q,2022-07-08,Air Conditioners,52.0,49.0
B09TNBCM4Q,2022-07-09,Air Conditioners,60.0,52.0
B09TNBCM4Q,2022-07-10,Air Conditioners,57.0,60.0
B09TNBCM4Q,2022-07-11,Air Conditioners,66.0,57.0
B09TNBCM4Q,2022-07-13,Air Conditioners,84.0,66.0
B09TNBCM4Q,2022-07-14,Air Conditioners,50.0,84.0
B09TNBCM4Q,2022-07-15,Air Conditioners,42.0,50.0
B09TNBCM4Q,2022-07-16,Air Conditioners,29.0,42.0
B09TNBCM4Q,2022-07-17,Air Conditioners,33.0,29.0
B09TNBCM4Q,2022-07-18,Air Conditioners,26.0,33.0
B09TNBCM4Q,2022-07-19,Air Conditioners,33.0,26.0
B09TNBCM4Q,2022-07-21,Air Conditioners,42.0,33.0
B09TNBCM4Q,2022-07-22,Air Conditioners,31.0,42.0
B09TNBCM4Q,2022-07-23,Air Conditioners,33.0,31.0
B09TNBCM4Q,2022-07-24,Air Conditioners,46.0,33.0
B09TNBCM4Q,2022-07-25,Air Conditioners,63.0,46.0
B09TNBCM4Q,2022-07-26,Air Conditioners,52.0,63.0
B09TNBCM4Q,2022-07-28,Air Conditioners,42.0,52.0
B09TNBCM4Q,2022-07-29,Air Conditioners,25.0,42.0
B09TNBCM4Q,2022-07-30,Air Conditioners,33.0,25.0
B09TNBCM4Q,2022-07-31,Air Conditioners,33.0,33.0
B09TNBCM4Q,2022-08-01,Air Conditioners,25.0,33.0
B09TNBCM4Q,2022-08-02,Air Conditioners,44.0,25.0
B09TNBCM4Q,2022-08-03,Air Conditioners,36.0,44.0
B09TNBCM4Q,2022-08-04,Air Conditioners,59.0,36.0
B09TNBCM4Q,2022-07-01,Large Appliances,372.0,
B09TNBCM4Q,2022-07-02,Large Appliances,481.0,372.0
B09TNBCM4Q,2022-07-03,Large Appliances,936.0,481.0
B09TNBCM4Q,2022-07-04,Large Appliances,1065.0,936.0
B09TNBCM4Q,2022-07-05,Large Appliances,716.0,1065.0
B09TNBCM4Q,2022-07-06,Large Appliances,454.0,716.0
B09TNBCM4Q,2022-07-07,Large Appliances,440.0,454.0
B09TNBCM4Q,2022-07-08,Large Appliances,562.0,440.0
B09TNBCM4Q,2022-07-09,Large Appliances,618.0,562.0
B09TNBCM4Q,2022-07-10,Large Appliances,724.0,618.0
B09TNBCM4Q,2022-07-11,Large Appliances,930.0,724.0
B09TNBCM4Q,2022-07-13,Large Appliances,1390.0,930.0
B09TNBCM4Q,2022-07-14,Large Appliances,691.0,1390.0
B09TNBCM4Q,2022-07-15,Large Appliances,524.0,691.0
B09TNBCM4Q,2022-07-16,Large Appliances,352.0,524.0
B09TNBCM4Q,2022-07-17,Large Appliances,463.0,352.0
