ASIN,String,Rating,Frequency
B09TNBCM4Q,best,5.0,38
B09TNBCM4Q,best air,5.0,1
B09TNBCM4Q,air,5.0,4
B09TNBCM4Q,air conditioner,5.0,2
B09TNBCM4Q,conditioner,5.0,4
B09TNBCM4Q,bilkul,5.0,2
B09TNBCM4Q,bilkul khatam,5.0,2
B09TNBCM4Q,khatam,5.0,2
B09TNBCM4Q,khatam ac,5.0,2
B09TNBCM4Q,ac,5.0,41
B09TNBCM4Q,ac h..,5.0,1
B09TNBCM4Q,h..,5.0,2
B09TNBCM4Q,ac h..bhool,5.0,1
B09TNBCM4Q,h..bhool,5.0,1
B09TNBCM4Q,h..bhool kr,5.0,1
B09TNBCM4Q,kr,5.0,1
B09TNBCM4Q,kr b,5.0,1
B09TNBCM4Q,b,5.0,3
B09TNBCM4Q,b mat,5.0,1
B09TNBCM4Q,mat,5.0,1
B09TNBCM4Q,mat lena..,5.0,1
B09TNBCM4Q,lena..,5.0,2
B09TNBCM4Q,good,5.0,107
B09TNBCM4Q,good product,5.0,16
B09TNBCM4Q,product,5.0,90
B09TNBCM4Q,good product.,5.0,1
B09TNBCM4Q,product.,5.0,10
B09TNBCM4Q,product. receive,5.0,1
B09TNBCM4Q,receive,5.0,1
B09TNBCM4Q,receive good,5.0,1
B09TNBCM4Q,good prompt,5.0,1
B09TNBCM4Q,prompt,5.0,1
B09TNBCM4Q,prompt installation,5.0,1
B09TNBCM4Q,installation,5.0,9
B09TNBCM4Q,installation service,5.0,2
B09TNBCM4Q,service,5.0,17
B09TNBCM4Q,service lloyd,5.0,1
B09TNBCM4Q,lloyd,5.0,7
B09TNBCM4Q,lloyd company.,5.0,1
B09TNBCM4Q,company.,5.0,1
B09TNBCM4Q,company. cooling,5.0,1
B09TNBCM4Q,cooling,5.0,35
B09TNBCM4Q,cooling effective.,5.0,1
B09TNBCM4Q,effective.,5.0,2
B09TNBCM4Q,best split,5.0,1
B09TNBCM4Q,split,5.0,1
B09TNBCM4Q,split ac,5.0,1
B09TNBCM4Q,noise,5.0,7
B09TNBCM4Q,noise totally,5.0,1
B09TNBCM4Q,totally,5.0,1
B09TNBCM4Q,totally value,5.0,1
B09TNBCM4Q,value,5.0,32
B09TNBCM4Q,value money,5.0,25
B09TNBCM4Q,money,5.0,52
B09TNBCM4Q,wifi,5.0,10
B09TNBCM4Q,wifi .&.mobile,5.0,1
B09TNBCM4Q,.&.mobile,5.0,1
B09TNBCM4Q,.&.mobile control,5.0,1
B09TNBCM4Q,control,5.0,6
B09TNBCM4Q,control nice,5.0,1
B09TNBCM4Q,nice,5.0,32
B09TNBCM4Q,nice product,5.0,8
B09TNBCM4Q,think,5.0,2
B09TNBCM4Q,think wonderful,5.0,1
B09TNBCM4Q,wonderful,5.0,2
B09TNBCM4Q,wonderful choice,5.0,1
B09TNBCM4Q,choice,5.0,2
B09TNBCM4Q,nice prodect,5.0,1
B09TNBCM4Q,prodect,5.0,3
B09TNBCM4Q,excellent,5.0,10
B09TNBCM4Q,excellent product,5.0,3
B09TNBCM4Q,lucky,5.0,1
B09TNBCM4Q,lucky purchase,5.0,1
B09TNBCM4Q,purchase,5.0,7
B09TNBCM4Q,purchase low,5.0,1
B09TNBCM4Q,low,5.0,3
B09TNBCM4Q,low price,5.0,1
B09TNBCM4Q,price,5.0,9
B09TNBCM4Q,awesome,5.0,10
B09TNBCM4Q,awesome product,5.0,3
B09TNBCM4Q,really,5.0,5
B09TNBCM4Q,really good,5.0,1
B09TNBCM4Q,good ac,5.0,2
B09TNBCM4Q,ac lloyd,5.0,1
B09TNBCM4Q,lloyd havels',5.0,1
B09TNBCM4Q,havels',5.0,1
B09TNBCM4Q,havels' brand.,5.0,1
B09TNBCM4Q,brand.,5.0,2
B09TNBCM4Q,cooling capacity,5.0,2
B09TNBCM4Q,capacity,5.0,2
B09TNBCM4Q,capacity good,5.0,1
B09TNBCM4Q,good compare,5.0,1
B09TNBCM4Q,compare,5.0,2
B09TNBCM4Q,feather,5.0,1
B09TNBCM4Q,feather good,5.0,1
B09TNBCM4Q,product good,5.0,5
B09TNBCM4Q,good service,5.0,4
B09TNBCM4Q,service thanku,5.0,2
B09TNBCM4Q,thanku,5.0,4
B09TNBCM4Q,excellent work,5.0,1
B09TNBCM4Q,work,5.0,3
B09TNBCM4Q,ac worth,5.0,1
B09TNBCM4Q,worth,5.0,4
B09TNBCM4Q,worth money,5.0,2
B09TNBCM4Q,product worth,5.0,2
B09TNBCM4Q,worth money.,5.0,2
B09TNBCM4Q,money.,5.0,6
B09TNBCM4Q,money. low,5.0,1
B09TNBCM4Q,low noise.,5.0,1
B09TNBCM4Q,noise.,5.0,2
B09TNBCM4Q,superb,5.0,6
B09TNBCM4Q,superb service,5.0,1
B09TNBCM4Q,service product,5.0,1
B09TNBCM4Q,powerfull,5.0,1
B09TNBCM4Q,powerfull cooling,5.0,1
B09TNBCM4Q,cooling right,5.0,1
B09TNBCM4Q,right,5.0,1
B09TNBCM4Q,right budget.,5.0,1
B09TNBCM4Q,budget.,5.0,2
B09TNBCM4Q,completely,5.0,1
B09TNBCM4Q,completely value,5.0,1
B09TNBCM4Q,"value money,noise",5.0,1
B09TNBCM4Q,"money,noise",5.0,1
B09TNBCM4Q,"money,noise level",5.0,1
B09TNBCM4Q,level,5.0,4
B09TNBCM4Q,level decent,5.0,1
B09TNBCM4Q,decent,5.0,1
B09TNBCM4Q,decent &,5.0,1
B09TNBCM4Q,&,5.0,3
B09TNBCM4Q,& come,5.0,1
B09TNBCM4Q,come,5.0,2
B09TNBCM4Q,come many,5.0,1
B09TNBCM4Q,many,5.0,2
B09TNBCM4Q,many mode,5.0,1
B09TNBCM4Q,mode,5.0,1
B09TNBCM4Q,mode well,5.0,1
B09TNBCM4Q,well,5.0,4
B09TNBCM4Q,well wifi,5.0,1
B09TNBCM4Q,wifi connectivity,5.0,3
B09TNBCM4Q,connectivity,5.0,3
B09TNBCM4Q,connectivity controlled,5.0,1
B09TNBCM4Q,controlled,5.0,1
B09TNBCM4Q,controlled phone,5.0,1
B09TNBCM4Q,phone,5.0,1
B09TNBCM4Q,phone easily.,5.0,1
B09TNBCM4Q,easily.,5.0,2
B09TNBCM4Q,good efficient,5.0,2
B09TNBCM4Q,efficient,5.0,8
B09TNBCM4Q,super,5.0,7
B09TNBCM4Q,ac working,5.0,1
B09TNBCM4Q,working,5.0,1
B09TNBCM4Q,working fine.,5.0,1
B09TNBCM4Q,fine.,5.0,1
B09TNBCM4Q,fine. bewn,5.0,1
B09TNBCM4Q,bewn,5.0,1
B09TNBCM4Q,bewn two,5.0,1
B09TNBCM4Q,two,5.0,1
B09TNBCM4Q,two month,5.0,1
B09TNBCM4Q,month,5.0,7
B09TNBCM4Q,month issue....,5.0,1
B09TNBCM4Q,issue....,5.0,2
B09TNBCM4Q,nice ac,5.0,2
B09TNBCM4Q,nice value,5.0,1
B09TNBCM4Q,energy,5.0,3
