ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B09TNBCM4Q,"Lloyd 1.5 Ton 3 Star Inverter Split AC with Anti-Viral + PM 2.5 Filter (GLS18I3FWAVG, 100% Copper, Filter Indication, Installation Check & Chrome Deco Strip), White with Chrome Deco Strip",Lloyd,,102.0,1608,4.1,NA,NA,,,100.0,24.0,NA,0.0,Air Conditioners,
B08X2Q1C58,"Lloyd 1.5 Ton 3 Star Inverter Split AC (GLS18I36WSBP, White)",Lloyd,,555.0,21,3.8,NA,NA,,,538.0,10.0,NA,0.0,Air Conditioners,
B09SGNCGFK,"Lloyd 1.5 Ton 3 Star Split AC (GLS18B3YWBEP, 100% Copper, White with Blue Deco Strip)",Lloyd,32999.0,58.0,354,3.9,NA,NA,52990.0,32999.0,55.0,29.0,Fulfilled,1.0,Air Conditioners,
B09SGN2N8P,"Lloyd 0.8 Ton 3 Star Inverter Split AC with Anti-Viral Filter (GLS09I3FWSEL, 100% Copper, Turbo Cool & Silver Deco Strip)",Lloyd,26990.0,82.0,176,3.9,NA,NA,41990.0,26990.0,70.0,25.0,Fulfilled,1.0,Air Conditioners,
B09W3RF92L,"Lloyd 1.5 Ton 3 Star Window AC (Copper, Clean Air Filter, 2021, GLW18B3YWAZS, White)",Lloyd,,396.0,10,3.8,NA,NA,,,387.0,12.0,NA,1.0,Air Conditioners,
B09SGQB576,"Lloyd 1.0 Ton 3 Star Split AC (GLS12B3XWBEP, 100% Copper, White with Blue Deco Strip)",Lloyd,29499.0,114.0,377,3.9,NA,NA,41990.0,29499.0,87.0,22.0,Fulfilled,1.0,Air Conditioners,
B09SGMJD2P,"Lloyd 1.0 Ton 3 Star Window AC (GLW12B3YWSEW, 100% Copper, White with Silver Deco Strip)",Lloyd,,68.0,728,4.0,NA,NA,,,42.0,28.0,NA,0.0,Air Conditioners,
B08V8FN59W,"Lloyd 1.5 Ton 3 Star Window AC (Copper, Clean Air Filter, 2021 Model, GLW18B32WSEW, White)",Lloyd,,30.0,633,3.9,NA,NA,,,23.0,37.0,NA,1.0,Air Conditioners,
B09TNKLD47,"Lloyd 1.5 Ton 5 Star Inverter Split AC with Anti-Viral + PM 2.5 Filter (GLS18I5FWCVG, 100% Copper, Smart 4 Way Swing, Turbo Cool, Low Gas Detection, Clean Filter Indication & Chrome Deco Strip)",Lloyd,36490.0,4.0,842,4.2,NA,NA,60990.0,36490.0,7.0,79.0,Fulfilled,1.0,Air Conditioners,
B08V8J5N7P,"Lloyd 2.0 Ton 3 Star Inverter Split AC (Copper, Anti-Viral & PM 2.5 Filter, 2021 Model, GLS24I36WSEL, White)",Lloyd,,397.0,44,3.9,NA,NA,,,395.0,12.0,NA,0.0,Air Conditioners,
B09VLD3C63,"Lloyd 1.5 Ton 3 Star Inverter Wall Mounted Split AC (GLS18I3PWSBP, White)",Lloyd,32990.0,562.0,10,3.5,NA,NA,59990.0,32990.0,545.0,10.0,Fulfilled,1.0,Air Conditioners,
B085CKNJ62,"Lloyd 1.5 Ton 5 Star Inverter Split AC (LS18I52WBEL, White)",Lloyd,,565.0,19,4.0,NA,NA,,,562.0,10.0,NA,0.0,Air Conditioners,
B09P5NCP8L,"Lloyd 1.0 Ton 3 Star, Wi-Fi, Inverter Split AC (Copper, Automatic Humidity Control, Anti-Viral & HEPA Filter, 2021 Model, GLS12I35WSHL, White)",Lloyd,29999.0,43.0,710,4.1,NA,NA,53990.0,29999.0,52.0,33.0,Fulfilled,1.0,Air Conditioners,
B09SGNMD7R,"Lloyd 1.5 Ton 3 Star Window AC (GLW18B3YWSES, 100% Copper, White with Silver Deco Strip)",Lloyd,26500.0,30.0,633,3.9,NA,NA,40990.0,26500.0,23.0,37.0,Fulfilled,1.0,Air Conditioners,
B09TNS6Y93,"Lloyd 1.0 Ton 5 Star Inverter Split AC with Anti-Viral + PM 2.5 Filter (GLS12I5FWCVG, 100% Copper, Smart 4 Way Swing, Turbo Cool, Filter Indication & Chrome Deco Strip, White with Chrome Deco Strip",Lloyd,,303.0,5,4.6,NA,NA,,,280.0,15.0,NA,0.0,Air Conditioners,
B089WBWNS1,Voltas 2 Ton 5 Star Inverter Split AC (Copper SAC_245V_ADZ (R32) White),Voltas,55900.0,223.0,133,4.2,NA,NA,85990.0,55900.0,215.0,16.0,NA,1.0,Air Conditioners,
B07DB7HWZC,Voltas 2 Ton 2 Star Window AC (Copper 242LZH White),Voltas,,200.0,50,3.6,NA,NA,,,169.0,17.0,NA,1.0,Air Conditioners,
B08TB54NGQ,"Voltas 1.4 Ton 5 Star Inverter Adjustable Split AC (Copper, 2021 175V ADJ, White)",Voltas,,123.0,1409,4.3,NA,NA,,,95.0,22.0,NA,0.9375,Air Conditioners,
B08SW4FYZM,"Voltas 1.4 Ton 5 Star Fixed Speed Window AC (Copper, 2021 175 LZH, White), regular",Voltas,27590.0,27.0,1191,4.1,NA,NA,33990.0,27590.0,16.0,37.0,Fulfilled,0.8125,Air Conditioners,
B089D2666Q,"Voltas 1.5 Ton Inverter 5 Star Split AC (185V JZJT, R-32, White)",Voltas,44979.0,144.0,522,4.0,NA,NA,68990.0,44979.0,143.0,20.0,NA,1.0,Air Conditioners,
B09WDMFCQT,"Voltas 1.5 Ton Inverter 3 Star Split AC (183V CAZZ, R-32, White)",Voltas,35990.0,427.0,5,3.0,NA,NA,64990.0,35990.0,411.0,12.0,Fulfilled,1.0,Air Conditioners,
B079MNPXH7,Voltas 1.5 Ton 5 Star Window AC (Copper 185 LZH/185 LZH R32 White),Voltas,,148.0,2108,4.2,NA,NA,,,161.0,20.0,NA,0.0,Air Conditioners,
B09G391BM1,Voltas Split Inverter AC 1.5 Ton 3 Star (SAC 183V CZQ),Voltas,31999.0,13.0,1677,4.0,NA,NA,58990.0,31999.0,12.0,37.0,Fulfilled,1.0,Air Conditioners,
B079MD9LHP,Voltas 1.5 Ton 3 Star Window AC (Copper 183 DZA/ 183 DZA R32 White),Voltas,28960.0,22.0,1709,4.1,NA,NA,32590.0,28960.0,22.0,37.0,NA,1.0,Air Conditioners,
B07XV1CXHQ,Voltas 1 Ton 3 Star Inverter Split AC (Copper 123V_DZX White),Voltas,29490.0,21.0,355,4.0,NA,NA,48990.0,27499.0,31.0,37.0,NA,1.0,Air Conditioners,
B09SGLJVLS,"Lloyd 1.5 Ton 5 Star Window AC (GLW18B5YWGEW, 100% Copper, White with Golden Deco Strip)",Lloyd,29990.0,33.0,549,4.2,NA,NA,45990.0,29990.0,75.0,37.0,Fulfilled,1.0,Air Conditioners,
B084Q7JW2J,"Voltas 1 Ton 3 Star Inverter Split AC (Copper, 123V CZT3 (R32), White)",Voltas,,177.0,601,4.3,NA,NA,,,179.0,19.0,NA,0.9375,Air Conditioners,
B079PW7PMC,Voltas 1 Ton 3 Star Split AC (Copper 123 PZY-R Red),Voltas,30490.0,208.0,1069,4.1,NA,NA,45590.0,30490.0,211.0,17.0,NA,1.0,Air Conditioners,
B0B1BYQ8XP,"Voltas 2 Ton 5 Star Inverter Split AC (Copper Condenser, 245V CAZZ, White)",Voltas,57979.0,486.0,2,2.1,NA,NA,85990.0,57979.0,474.0,11.0,NA,0.875,Air Conditioners,
B08WLPZBG8,"Blue Star 1.5 Ton 5 Star Inverter Split AC (Copper, IC518EBTU, 2021, White)",Blue Star,,184.0,489,4.0,NA,NA,,,197.0,18.0,NA,0.9375,Air Conditioners,
B09RFX1NKP,"Blue Star 1.0 Tr 3 Star Fixed Speed Split AC (Copper, FA312PLU, 2022, White)",Blue Star,,106.0,357,4.0,NA,NA,,,130.0,23.0,NA,0.9375,Air Conditioners,
B089QD4PDH,Voltas 2 Ton 3 Star Inverter Split AC (SZS),Voltas,46990.0,163.0,65,3.8,NA,NA,72990.0,46990.0,145.0,20.0,NA,1.0,Air Conditioners,
B00LWRFC1W,Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF White),Voltas,25800.0,63.0,598,4.0,NA,NA,33490.0,25800.0,50.0,28.0,NA,1.0,Air Conditioners,
B08WLPN5TQ,"Blue Star 1.5 Ton 3 Star Fixed Speed Split AC (Copper, FS318EBTU, 2021, White)",Blue Star,,238.0,289,4.3,NA,NA,,,244.0,16.0,NA,0.875,Air Conditioners,
B07NZNVN78,Voltas 1.5 Ton 4 Star Inverter Split AC (Copper 184V SZS (R32) White),Voltas,38080.0,111.0,239,4.0,NA,NA,59990.0,38080.0,128.0,23.0,Fulfilled,1.0,Air Conditioners,
