ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B09TNBCM4Q,2022-07-01,33490.0,,35.0,,47.0,1.0
B09TNBCM4Q,2022-07-02,33490.0,33490.0,44.0,35.0,42.0,0.0
B09TNBCM4Q,2022-07-03,33490.0,33490.0,72.0,44.0,34.0,0.0
B09TNBCM4Q,2022-07-04,33490.0,33490.0,82.0,72.0,32.0,0.0
B09TNBCM4Q,2022-07-05,33490.0,33490.0,64.0,82.0,35.0,0.0
B09TNBCM4Q,2022-07-06,33490.0,33490.0,45.0,64.0,42.0,0.0
B09TNBCM4Q,2022-07-07,33490.0,33490.0,49.0,45.0,39.0,0.0
B09TNBCM4Q,2022-07-08,33490.0,33490.0,52.0,49.0,38.0,0.0
B09TNBCM4Q,2022-07-09,33490.0,33490.0,60.0,52.0,36.0,0.0
B09TNBCM4Q,2022-07-10,33490.0,33490.0,57.0,60.0,37.0,0.0
B09TNBCM4Q,2022-07-11,33490.0,33490.0,66.0,57.0,35.0,0.0
B09TNBCM4Q,2022-07-13,33490.0,33490.0,84.0,66.0,32.0,0.0
B09TNBCM4Q,2022-07-14,33490.0,33490.0,50.0,84.0,38.0,0.0
B09TNBCM4Q,2022-07-15,33490.0,33490.0,42.0,50.0,42.0,0.0
B09TNBCM4Q,2022-07-16,33490.0,33490.0,29.0,42.0,47.0,0.0
B09TNBCM4Q,2022-07-17,33490.0,33490.0,33.0,29.0,47.0,0.0
B09TNBCM4Q,2022-07-18,,33490.0,26.0,33.0,47.0,0.0
B09TNBCM4Q,2022-07-19,,,33.0,26.0,47.0,0.0
B09TNBCM4Q,2022-07-20,,,64.0,33.0,35.0,0.0
B09TNBCM4Q,2022-07-21,,,42.0,64.0,42.0,0.0
B09TNBCM4Q,2022-07-22,,,31.0,42.0,47.0,0.0
B09TNBCM4Q,2022-07-23,,,33.0,31.0,47.0,0.0
B09TNBCM4Q,2022-07-24,,,46.0,33.0,40.0,0.0
B09TNBCM4Q,2022-07-25,,,63.0,46.0,36.0,0.0
B09TNBCM4Q,2022-07-26,,,52.0,63.0,38.0,0.0
B09TNBCM4Q,2022-07-27,,,51.0,52.0,38.0,0.0
B09TNBCM4Q,2022-07-28,,,42.0,51.0,42.0,0.0
B09TNBCM4Q,2022-07-29,,,25.0,42.0,47.0,0.0
B09TNBCM4Q,2022-07-30,,,33.0,25.0,47.0,0.0
B09TNBCM4Q,2022-07-31,,,33.0,33.0,47.0,0.0
B09TNBCM4Q,2022-08-01,,,25.0,33.0,47.0,0.0
B09TNBCM4Q,2022-08-02,,,44.0,25.0,42.0,0.0
B09TNBCM4Q,2022-08-03,,,36.0,44.0,46.0,0.0
B09TNBCM4Q,2022-08-04,,,59.0,36.0,36.0,0.0
B09TNBCM4Q,2022-08-05,,,77.0,59.0,33.0,0.0
B09TNBCM4Q,2022-08-06,,,66.0,77.0,35.0,0.0
B09TNBCM4Q,2022-08-07,,,100.0,66.0,30.0,0.0
B09TNBCM4Q,2022-08-08,,,102.0,100.0,30.0,0.0
B08X2Q1C58,2022-07-01,,,416.0,,15.0,1.0
B08X2Q1C58,2022-07-02,,,427.0,416.0,15.0,1.0
B08X2Q1C58,2022-07-03,,,442.0,427.0,15.0,1.0
B08X2Q1C58,2022-07-04,,,457.0,442.0,15.0,1.0
B08X2Q1C58,2022-07-05,,,472.0,457.0,14.0,1.0
B08X2Q1C58,2022-07-06,,,479.0,472.0,14.0,1.0
B08X2Q1C58,2022-07-07,,,488.0,479.0,14.0,1.0
B08X2Q1C58,2022-07-08,,,495.0,488.0,14.0,1.0
B08X2Q1C58,2022-07-09,,,500.0,495.0,14.0,1.0
B08X2Q1C58,2022-07-10,,,521.0,500.0,14.0,0.0
B08X2Q1C58,2022-07-11,,,531.0,521.0,13.0,0.0
B08X2Q1C58,2022-07-13,,,541.0,531.0,13.0,0.0
B08X2Q1C58,2022-07-14,,,551.0,541.0,13.0,0.0
B08X2Q1C58,2022-07-15,,,564.0,551.0,13.0,0.0
B08X2Q1C58,2022-07-16,,,581.0,564.0,13.0,0.0
B08X2Q1C58,2022-07-17,,,580.0,581.0,13.0,0.0
B08X2Q1C58,2022-07-18,,,592.0,580.0,12.0,0.0
B08X2Q1C58,2022-07-19,,,592.0,592.0,12.0,0.0
B08X2Q1C58,2022-07-20,,,600.0,592.0,12.0,0.0
B08X2Q1C58,2022-07-21,,,605.0,600.0,12.0,0.0
B08X2Q1C58,2022-07-22,,,604.0,605.0,12.0,0.0
B08X2Q1C58,2022-07-23,,,617.0,604.0,12.0,0.0
B08X2Q1C58,2022-07-24,,,629.0,617.0,12.0,0.0
B08X2Q1C58,2022-07-25,,,144.0,629.0,26.0,0.0
B08X2Q1C58,2022-07-26,,,193.0,144.0,22.0,0.0
B08X2Q1C58,2022-07-27,,,232.0,193.0,21.0,0.0
B08X2Q1C58,2022-07-28,,,277.0,232.0,19.0,0.0
B08X2Q1C58,2022-07-29,,,326.0,277.0,18.0,0.0
B08X2Q1C58,2022-07-30,,,385.0,326.0,16.0,0.0
B08X2Q1C58,2022-07-31,,,425.0,385.0,15.0,0.0
B08X2Q1C58,2022-08-01,,,560.0,425.0,13.0,0.0
B08X2Q1C58,2022-08-02,,,477.0,560.0,14.0,0.0
B08X2Q1C58,2022-08-03,,,483.0,477.0,14.0,0.0
B08X2Q1C58,2022-08-04,,,508.0,483.0,14.0,0.0
B08X2Q1C58,2022-08-05,,,525.0,508.0,14.0,0.0
B08X2Q1C58,2022-08-06,,,531.0,525.0,13.0,0.0
B08X2Q1C58,2022-08-07,,,538.0,531.0,13.0,0.0
