ASIN,Category,Latest BSR,Last Day BSR
B084TH4783,Home & Kitchen,12635.0,23913.0
B084TH4783,Refrigerators,48.0,70.0
B08W8JX2R2,Home & Kitchen,3987.0,6163.0
B08W8JX2R2,Refrigerators,16.0,19.0
B08HRX87FJ,Home & Kitchen,14489.0,28919.0
B08HRX87FJ,Refrigerators,54.0,81.0
B079QY27NK,Home & Kitchen,28413.0,21307.0
B079QY27NK,Refrigerators,90.0,56.0
B08523BC7W,Home & Kitchen,90199.0,119996.0
B08523BC7W,Refrigerators,172.0,205.0
B079QP11T3,Home & Kitchen,1352.0,2069.0
B079QP11T3,Refrigerators,6.0,5.0
B09SPZMNHK,Home & Kitchen,106497.0,57253.0
B09SPZMNHK,Refrigerators,194.0,136.0
B06XG9N37B,Home & Kitchen,36554.0,32153.0
B06XG9N37B,Refrigerators,105.0,86.0
B09TRLHWM1,Home & Kitchen,119726.0,318778.0
B09TRLHWM1,Refrigerators,207.0,549.0
B0999S3MD4,Home & Kitchen,1250.0,1797.0
B0999S3MD4,Refrigerators,4.0,4.0
B084PPZXBX,Home & Kitchen,30649.0,34088.0
B084PPZXBX,Refrigerators,94.0,92.0
B084TGSM2N,Home & Kitchen,28413.0,34834.0
B084TGSM2N,Refrigerators,90.0,95.0
B09RTQ1TBV,Home & Kitchen,14717.0,11757.0
B09RTQ1TBV,Refrigerators,55.0,32.0
B084S8LB1D,Home & Kitchen,36554.0,32153.0
B084S8LB1D,Refrigerators,105.0,86.0
B08X14KW3R,Home & Kitchen,22727.0,24584.0
B08X14KW3R,Refrigerators,80.0,72.0
B09HKV19LC,Home & Kitchen,113813.0,90377.0
B09HKV19LC,Refrigerators,201.0,168.0
B07612F52G,Home & Kitchen,216652.0,213278.0
B07612F52G,Refrigerators,332.0,342.0
B08W9BRBMP,Home & Kitchen,138412.0,95995.0
B08W9BRBMP,Refrigerators,230.0,180.0
B088QGY2G5,Home & Kitchen,27817.0,25355.0
B088QGY2G5,Refrigerators,89.0,74.0
B079QNTQ84,Home & Kitchen,1352.0,2069.0
B079QNTQ84,Refrigerators,6.0,5.0
B08W8TJ3FM,Home & Kitchen,49335.0,53699.0
B08W8TJ3FM,Refrigerators,125.0,130.0
B09SPZRH84,Home & Kitchen,3987.0,6163.0
B09SPZRH84,Refrigerators,16.0,19.0
B07W7B94GZ,Home & Kitchen,113813.0,90377.0
B07W7B94GZ,Refrigerators,201.0,168.0
B07NBZ43PH,Home & Kitchen,5620.0,6659.0
B07NBZ43PH,Refrigerators,23.0,21.0
B083JNGPHH,Home & Kitchen,12301.0,16959.0
B083JNGPHH,Refrigerators,44.0,53.0
B084Y86B9Z,Home & Kitchen,14717.0,11757.0
B084Y86B9Z,Refrigerators,55.0,32.0
B083JN87RJ,Home & Kitchen,9306.0,9815.0
B083JN87RJ,Refrigerators,35.0,28.0
B084XMM69M,Home & Kitchen,22858.0,57350.0
B084XMM69M,Refrigerators,81.0,137.0
B091Q3T3KQ,Home & Kitchen,17957.0,19077.0
B091Q3T3KQ,Refrigerators,67.0,59.0
B08CS3FKFY,Home & Kitchen,15116.0,16585.0
B08CS3FKFY,Refrigerators,57.0,51.0
B0892Q3WBW,Home & Kitchen,17369.0,34488.0
B0892Q3WBW,Refrigerators,65.0,93.0
B083JNJRS5,Home & Kitchen,12345.0,27058.0
B083JNJRS5,Refrigerators,45.0,77.0
B08CS2BTX4,Home & Kitchen,8598.0,21895.0
B08CS2BTX4,Refrigerators,33.0,66.0
B083KSSS1H,Home & Kitchen,9704.0,13836.0
B083KSSS1H,Refrigerators,38.0,43.0
B07NBZSVCL,Home & Kitchen,12172.0,14802.0
B07NBZSVCL,Refrigerators,43.0,46.0
B078YJ5SW8,Home & Kitchen,42226.0,43685.0
B078YJ5SW8,Refrigerators,114.0,115.0
B078YHT1FR,Home & Kitchen,5599.0,14861.0
B078YHT1FR,Refrigerators,22.0,47.0
B083KVZQ7Z,Home & Kitchen,6987.0,7714.0
B083KVZQ7Z,Refrigerators,29.0,23.0
B09PMPK18J,Home & Kitchen,15281.0,27477.0
B09PMPK18J,Refrigerators,59.0,79.0
B083RPPSQF,Home & Kitchen,76302.0,47895.0
B083RPPSQF,Refrigerators,156.0,124.0
B09PMTJPPQ,Home & Kitchen,11493.0,20008.0
B09PMTJPPQ,Refrigerators,42.0,60.0
B078YJXPCF,Home & Kitchen,45431.0,58445.0
B078YJXPCF,Refrigerators,117.0,139.0
B08R4YV223,Home & Kitchen,20778.0,43982.0
B08R4YV223,Refrigerators,71.0,116.0
B091Q56ZR8,Home & Kitchen,21053.0,11888.0
B091Q56ZR8,Refrigerators,72.0,33.0
B098Q5FF7G,Home & Kitchen,167628.0,160487.0
B098Q5FF7G,Refrigerators,269.0,262.0
B078YL5K8D,Home & Kitchen,29917.0,29298.0
B078YL5K8D,Refrigerators,93.0,82.0
B083KRV6DK,Home & Kitchen,20008.0,31540.0
B083KRV6DK,Refrigerators,68.0,85.0
B086H3NR1F,Home & Kitchen,7888.0,13101.0
B086H3NR1F,Refrigerators,32.0,39.0
B0982Y9C1C,Home & Kitchen,14439.0,12522.0
B0982Y9C1C,Refrigerators,53.0,36.0
B09NKRCQK6,Home & Kitchen,425469.0,387751.0
B09NKRCQK6,Refrigerator Covers,1096.0,1012.0
B091TZ4TNZ,Home & Kitchen,154051.0,150354.0
B091TZ4TNZ,Refrigerators,249.0,249.0
B07G5YV3LC,Home & Kitchen,13496.0,5946.0
B07G5YV3LC,Washer Floor Trays,51.0,19.0
B08SBSL8Y2,Home & Kitchen,527.0,623.0
B08SBSL8Y2,Refrigerators,2.0,2.0
B083KVTQ6Z,Home & Kitchen,12933.0,13547.0
B083KVTQ6Z,Refrigerators,49.0,41.0
B09NKTZ3MR,Home & Kitchen,441719.0,407061.0
B09NKTZ3MR,Refrigerator Covers,1135.0,1056.0
B08448TTJM,Home & Kitchen,43138.0,56220.0
B08448TTJM,Refrigerators,116.0,133.0
B003297I1U,Toys & Games,71311.0,71027.0
B003297I1U,Kids' Play Trucks,253.0,251.0
B09NKVJ2WR,Home & Kitchen,1795594.0,1792721.0
B09NKVJ2WR,Refrigerator Covers,4999.0,4998.0
B09NKTBP8D,Home & Kitchen,589883.0,575829.0
B09NKTBP8D,Refrigerator Covers,1543.0,1510.0
B07R9NJMGB,Home & Kitchen,17155.0,17823.0
B07R9NJMGB,Refrigerators,63.0,56.0
B0846CTVMN,Home & Kitchen,71229.0,284084.0
B0846CTVMN,Refrigerators,150.0,479.0
B08VSB3V64,Home & Kitchen,126644.0,63749.0
B08VSB3V64,Refrigerators,220.0,147.0
B08VRCMQ76,Home & Kitchen,14172.0,20425.0
B08VRCMQ76,Refrigerators,52.0,63.0
B08X72GY5Q,Home & Kitchen,1300.0,1742.0
B08X72GY5Q,Refrigerators,5.0,3.0
B091TZLL6D,Home & Kitchen,116704.0,68492.0
B091TZLL6D,Refrigerators,204.0,151.0
B00K4AG0DW,Garden & Outdoors,102.0,96.0
B00K4AG0DW,Coco,2.0,2.0
B084499HPN,Home & Kitchen,16177.0,18004.0
B084499HPN,Refrigerators,60.0,57.0
B09HFMN7QG,Home & Kitchen,470712.0,449765.0
B09HFMN7QG,Refrigerator Covers,1213.0,1157.0
B0861T3GGJ,Home & Kitchen,220310.0,192228.0
B0861T3GGJ,Refrigerators,342.0,292.0
B08SC9GVVR,Home & Kitchen,15088.0,17154.0
B08SC9GVVR,Refrigerators,56.0,54.0
B08446154L,Home & Kitchen,1056.0,2151.0
B08446154L,Refrigerators,3.0,6.0
B0834624G1,Home & Kitchen,6840.0,14315.0
B0834624G1,Refrigerators,28.0,44.0
B08SBN4PG4,Home & Kitchen,21926.0,32520.0
B08SBN4PG4,Refrigerators,75.0,88.0
B08RZ23BT2,Home & Kitchen,13242.0,12535.0
B08RZ23BT2,Refrigerators,50.0,37.0
B08SC3SN2R,Home & Kitchen,9957.0,11069.0
B08SC3SN2R,Refrigerators,39.0,31.0
B08345R1ZN,Home & Kitchen,78028.0,40255.0
B08345R1ZN,Refrigerators,159.0,106.0
B084ZX7XS4,Home & Kitchen,12634.0,20190.0
B084ZX7XS4,Refrigerators,47.0,61.0
B08RZ1FLSD,Home & Kitchen,21580.0,30186.0
B08RZ1FLSD,Refrigerators,73.0,83.0
B08346545V,Home & Kitchen,1691.0,3584.0
B08346545V,Refrigerators,7.0,10.0
B08RZ2JKK5,Home & Kitchen,4632.0,7805.0
B08RZ2JKK5,Refrigerators,18.0,24.0
B08445QGNJ,Home & Kitchen,12568.0,45152.0
B08445QGNJ,Refrigerators,46.0,120.0
B08SC2ZTDP,Home & Kitchen,350.0,555.0
B08SC2ZTDP,Refrigerators,1.0,1.0
B08SC26TC4,Home & Kitchen,3412.0,4552.0
B08SC26TC4,Refrigerators,14.0,13.0
B08346HPXM,Home & Kitchen,35773.0,26938.0
B08346HPXM,Refrigerators,104.0,76.0
B09ZYKRQLP,Home & Kitchen,7735.0,21883.0
B09ZYKRQLP,Refrigerators,31.0,65.0
B08346C9R3,Home & Kitchen,6520.0,12490.0
B08346C9R3,Refrigerators,26.0,35.0
B08SM5GCD8,Home & Kitchen,3426.0,5366.0
B08SM5GCD8,Refrigerators,15.0,16.0
B08445PP98,Home & Kitchen,2052.0,3922.0
B08445PP98,Refrigerators,8.0,11.0
B08346JDBY,Home & Kitchen,3278.0,4867.0
B08346JDBY,Refrigerators,12.0,15.0
B08345R1ZW,Home & Kitchen,6330.0,9370.0
B08345R1ZW,Refrigerators,24.0,27.0
B08125V275,Home & Kitchen,2100794.0,2098572.0
B08125V275,Refrigerators,2093.0,2095.0
B08345Q835,Home & Kitchen,3324.0,4398.0
B08345Q835,Refrigerators,13.0,12.0
B09BQMYHYW,Home & Kitchen,670090.0,667679.0
B09BQMYHYW,Refrigerators,1081.0,1083.0
B08SBFB2CH,Home & Kitchen,37042.0,35581.0
B08SBFB2CH,Refrigerators,107.0,96.0
B07R9NJCVZ,Home & Kitchen,11491.0,9345.0
B07R9NJCVZ,Refrigerators,41.0,26.0
B083JNJZ9Y,Home & Kitchen,33064.0,53181.0
B083JNJZ9Y,Refrigerators,100.0,129.0
B08126ZT9R,Home & Kitchen,959235.0,957339.0
B08126ZT9R,Refrigerators,1416.0,1418.0
B09BM1PF53,Home & Kitchen,361752.0,346860.0
B09BM1PF53,Refrigerators,625.0,610.0
B08NF8P8H5,Home & Kitchen,1121909.0,1119208.0
B08NF8P8H5,Refrigerators,1567.0,1569.0
B08HCSLQXG,Home & Kitchen,981038.0,979036.0
B08HCSLQXG,Refrigerators,1436.0,1440.0
B08JCP1FCL,Home & Kitchen,175106.0,133360.0
B08JCP1FCL,Refrigerators,278.0,221.0
B07R9NK33K,Home & Kitchen,85230.0,93397.0
B07R9NK33K,Refrigerators,162.0,175.0
B07R9NJFYF,Home & Kitchen,41435.0,44404.0
B07R9NJFYF,Refrigerators,112.0,118.0
B083JPFHNP,Home & Kitchen,52818.0,23888.0
B083JPFHNP,Refrigerators,128.0,69.0
B09BN4SR7Q,Home & Kitchen,1914052.0,1913091.0
B09BN4SR7Q,Refrigerators,2019.0,2020.0
B09H61P1Q7,Home & Kitchen,2369568.0,2367817.0
B09H61P1Q7,Refrigerators,2198.0,2200.0
B09BNCZLPF,Home & Kitchen,2004414.0,2001980.0
B09BNCZLPF,Refrigerators,2046.0,2047.0
B09YYND5MJ,Home & Kitchen,1459278.0,1435530.0
B09YYND5MJ,Refrigerators,1802.0,1788.0
B08126P14W,Home & Kitchen,528939.0,506771.0
B08126P14W,Refrigerators,883.0,861.0
B0868WJXFL,Industrial & Scientific,14445.0,14171.0
B0868WJXFL,Food Service Equipment & Supplies,156.0,159.0
B09H37BN1P,Home & Kitchen,49576.0,42702.0
B09H37BN1P,Refrigerators,126.0,112.0
B07TCHXCXH,Home & Kitchen,458703.0,454963.0
B07TCHXCXH,Refrigerators,781.0,781.0
B088TSC5M1,Home & Kitchen,371397.0,363153.0
B088TSC5M1,Refrigerators,641.0,628.0
B08VRPLLF3,Home & Kitchen,72557.0,159119.0
B08VRPLLF3,Refrigerators,153.0,259.0
B09RLVY6PJ,Home & Kitchen,333768.0,321177.0
B09RLVY6PJ,Refrigerators,574.0,555.0
B08448TTJH,Home & Kitchen,29829.0,23061.0
B08448TTJH,Refrigerators,92.0,68.0
B08VRZV63K,Home & Kitchen,16177.0,18004.0
B08VRZV63K,Refrigerators,60.0,57.0
B08448V646,Home & Kitchen,27514.0,15540.0
B08448V646,Refrigerators,88.0,49.0
B07PHM6MCR,Home & Kitchen,463958.0,462227.0
B07PHM6MCR,Refrigerators,785.0,790.0
B088PG3L6S,Home & Kitchen,421850.0,419519.0
B088PG3L6S,Refrigerators,705.0,706.0
B088PGZ7SS,Home & Kitchen,699930.0,693644.0
B088PGZ7SS,Refrigerators,1130.0,1127.0
B088PDZG4L,Home & Kitchen,219993.0,200199.0
B088PDZG4L,Refrigerators,341.0,315.0
B07SKJK7LK,Home & Kitchen,339505.0,336797.0
B07SKJK7LK,Refrigerators,588.0,586.0
B09BK34W53,Home & Kitchen,26420.0,25671.0
B09BK34W53,Refrigerators,85.0,75.0
B084499BQ1,Home & Kitchen,318847.0,310850.0
B084499BQ1,Refrigerators,537.0,535.0
B08JCVNVV3,Home & Kitchen,830338.0,828405.0
B08JCVNVV3,Refrigerators,1292.0,1294.0
B08LF1Z4S2,Home & Kitchen,2182.0,3100.0
B08LF1Z4S2,Refrigerators,9.0,9.0
B097S85TCD,Home & Kitchen,68418.0,77459.0
B097S85TCD,Refrigerators,148.0,159.0
B09PMTDDLR,Home & Kitchen,15281.0,27477.0
B09PMTDDLR,Refrigerators,59.0,79.0
B091TZRL28,Home & Kitchen,39341.0,170141.0
B091TZRL28,Refrigerators,110.0,270.0
B0B4H8SRLQ,Home & Kitchen,2363525.0,2361750.0
B0B4H8SRLQ,Refrigerators,2190.0,2192.0
B0B4F7C5CP,Home & Kitchen,2355438.0,2355278.0
B0B4F7C5CP,Refrigerators,2176.0,2178.0
