ASIN,Details Tag,Present
B084TH4783,Drawer Type,False
B084TH4783,Best Sellers Rank,True
B084TH4783,Batteries,False
B084TH4783,Number Of Shelves,False
B084TH4783,Brand,True
B084TH4783,Bottle Count,False
B084TH4783,Item Model Number,False
B084TH4783,Color,False
B084TH4783,Generic Name,True
B084TH4783,Shelf Type,True
B084TH4783,Number Of Memory Sticks,False
B084TH4783,Included Components,True
B084TH4783,Model,True
B084TH4783,Item Weight,True
B084TH4783,Capacity Name,True
B084TH4783,Net Quantity,True
B084TH4783,Part Number,True
B084TH4783,Form Factor,True
B084TH4783,Assembly Required,False
B084TH4783,Package Dimensions,False
B084TH4783,Annual Energy Consumption,True
B084TH4783,Refrigerator Fresh Food Capacity,True
B084TH4783,Item Dimensions Lxwxh,True
B084TH4783,Country Of Origin,True
B084TH4783,Number Of Drawers,False
B084TH4783,Number Of Puzzle Pieces,False
B084TH4783,Manufacturer,True
B084TH4783,Special Features,True
B084TH4783,Scale,False
B084TH4783,Installation Type,True
B084TH4783,Ice Storage Capacity,False
B084TH4783,Batteries Required,True
B084TH4783,Product Dimensions,False
B084TH4783,Material Type(S),False
B084TH4783,Item Height,False
B084TH4783,Defrost System,True
B084TH4783,Packer,True
B084TH4783,Customer Reviews,True
B084TH4783,Cooling Type,False
B084TH4783,Model Number,False
B084TH4783,Volume Capacity Name,True
B084TH4783,Language:,False
B084TH4783,Date First Available,True
B084TH4783,Control Console,False
B084TH4783,Door Material,False
B084TH4783,Certification,True
B084TH4783,Colour,True
B084TH4783,Noise Level,False
B084TH4783,Voltage,True
B084TH4783,Asin,True
B084TH4783,Freezer Capacity,True
B084TH4783,Capacity,True
B084TH4783,Importer,True
B084TH4783,Manufacturer'S Suggested Maximum Weight,False
B084TH4783,Imported By,False
B084TH4783,Temperature Rating,False
B084TH4783,Material,True
B084TH4783,Remote Control Included?,False
B084TH4783,Wattage,False
B084TH4783,Special Feature,False
B084TH4783,Manufacturer Recommended Age,False
B084TH4783,Item Width,False
B084TH4783,Energy Efficiency,True
B084TH4783,Batteries Included,False
B084TH4783,Door Orientation,False
B08W8JX2R2,Drawer Type,False
B08W8JX2R2,Best Sellers Rank,True
B08W8JX2R2,Batteries,False
B08W8JX2R2,Number Of Shelves,False
B08W8JX2R2,Brand,True
B08W8JX2R2,Bottle Count,False
B08W8JX2R2,Item Model Number,False
B08W8JX2R2,Color,False
B08W8JX2R2,Generic Name,True
B08W8JX2R2,Shelf Type,True
B08W8JX2R2,Number Of Memory Sticks,False
B08W8JX2R2,Included Components,True
B08W8JX2R2,Model,True
B08W8JX2R2,Item Weight,True
B08W8JX2R2,Capacity Name,False
B08W8JX2R2,Net Quantity,True
B08W8JX2R2,Part Number,True
B08W8JX2R2,Form Factor,True
B08W8JX2R2,Assembly Required,False
B08W8JX2R2,Package Dimensions,False
B08W8JX2R2,Annual Energy Consumption,True
B08W8JX2R2,Refrigerator Fresh Food Capacity,True
B08W8JX2R2,Item Dimensions Lxwxh,True
B08W8JX2R2,Country Of Origin,True
B08W8JX2R2,Number Of Drawers,False
