ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B084TH4783,2022-07-01,38490.0,,36.0,,0.0,1.0
B084TH4783,2022-07-02,38490.0,38490.0,43.0,36.0,0.0,1.0
B084TH4783,2022-07-03,38490.0,38490.0,44.0,43.0,0.0,1.0
B084TH4783,2022-07-04,38490.0,38490.0,67.0,44.0,0.0,1.0
B084TH4783,2022-07-05,38490.0,38490.0,63.0,67.0,0.0,1.0
B084TH4783,2022-07-06,38490.0,38490.0,38.0,63.0,0.0,1.0
B084TH4783,2022-07-07,38490.0,38490.0,42.0,38.0,0.0,1.0
B084TH4783,2022-07-08,38490.0,38490.0,34.0,42.0,0.0,1.0
B084TH4783,2022-07-09,38490.0,38490.0,59.0,34.0,0.0,1.0
B084TH4783,2022-07-10,38490.0,38490.0,48.0,59.0,0.0,1.0
B084TH4783,2022-07-11,38990.0,38490.0,30.0,48.0,0.0,1.0
B084TH4783,2022-07-13,38990.0,38990.0,52.0,30.0,0.0,1.0
B084TH4783,2022-07-14,38490.0,38990.0,42.0,52.0,0.0,1.0
B084TH4783,2022-07-15,38490.0,38490.0,54.0,42.0,0.0,1.0
B084TH4783,2022-07-16,38490.0,38490.0,79.0,54.0,0.0,1.0
B084TH4783,2022-07-17,38490.0,38490.0,61.0,79.0,0.0,1.0
B084TH4783,2022-07-18,38490.0,38490.0,64.0,61.0,0.0,1.0
B084TH4783,2022-07-19,38490.0,38490.0,94.0,64.0,0.0,1.0
B084TH4783,2022-07-20,37554.0,38490.0,54.0,94.0,0.0,1.0
B084TH4783,2022-07-21,38557.0,37554.0,89.0,54.0,0.0,1.0
B084TH4783,2022-07-22,38540.0,38557.0,47.0,89.0,0.0,1.0
B084TH4783,2022-07-23,37860.0,38540.0,24.0,47.0,0.0,1.0
B084TH4783,2022-07-24,38148.0,37860.0,33.0,24.0,0.0,1.0
B084TH4783,2022-07-25,36490.0,38148.0,33.0,33.0,0.0,1.0
B084TH4783,2022-07-26,36490.0,36490.0,37.0,33.0,0.0,1.0
B084TH4783,2022-07-27,36490.0,36490.0,46.0,37.0,0.0,1.0
B084TH4783,2022-07-28,38490.0,36490.0,36.0,46.0,0.0,1.0
B084TH4783,2022-07-29,38490.0,38490.0,48.0,36.0,0.0,1.0
B084TH4783,2022-07-30,38490.0,38490.0,38.0,48.0,0.0,1.0
B084TH4783,2022-07-31,38490.0,38490.0,41.0,38.0,0.0,1.0
B084TH4783,2022-08-01,38490.0,38490.0,42.0,41.0,0.0,1.0
B084TH4783,2022-08-02,38490.0,38490.0,46.0,42.0,0.0,1.0
B084TH4783,2022-08-03,38490.0,38490.0,70.0,46.0,0.0,1.0
B084TH4783,2022-08-04,35990.0,38490.0,48.0,70.0,0.0,1.0
B08W8JX2R2,2022-07-01,17990.0,,88.0,,0.0,1.0
B08W8JX2R2,2022-07-02,17990.0,17990.0,150.0,88.0,0.0,1.0
B08W8JX2R2,2022-07-03,17990.0,17990.0,96.0,150.0,0.0,1.0
B08W8JX2R2,2022-07-04,17990.0,17990.0,80.0,96.0,0.0,1.0
B08W8JX2R2,2022-07-05,17990.0,17990.0,92.0,80.0,0.0,1.0
B08W8JX2R2,2022-07-06,17990.0,17990.0,83.0,92.0,0.0,1.0
B08W8JX2R2,2022-07-07,17990.0,17990.0,107.0,83.0,0.0,1.0
B08W8JX2R2,2022-07-08,17990.0,17990.0,88.0,107.0,0.0,1.0
B08W8JX2R2,2022-07-09,17990.0,17990.0,69.0,88.0,0.0,1.0
B08W8JX2R2,2022-07-10,17990.0,17990.0,73.0,69.0,0.0,1.0
B08W8JX2R2,2022-07-11,17990.0,17990.0,151.0,73.0,0.0,1.0
B08W8JX2R2,2022-07-13,17990.0,17990.0,100.0,151.0,0.0,1.0
B08W8JX2R2,2022-07-14,17990.0,17990.0,57.0,100.0,0.0,1.0
B08W8JX2R2,2022-07-15,17990.0,17990.0,83.0,57.0,0.0,1.0
B08W8JX2R2,2022-07-16,17990.0,17990.0,82.0,83.0,0.0,1.0
B08W8JX2R2,2022-07-17,17990.0,17990.0,66.0,82.0,0.0,1.0
B08W8JX2R2,2022-07-18,17990.0,17990.0,83.0,66.0,0.0,1.0
B08W8JX2R2,2022-07-19,17990.0,17990.0,114.0,83.0,0.0,1.0
B08W8JX2R2,2022-07-20,17990.0,17990.0,59.0,114.0,0.0,1.0
B08W8JX2R2,2022-07-21,17990.0,17990.0,144.0,59.0,0.0,1.0
B08W8JX2R2,2022-07-22,17990.0,17990.0,99.0,144.0,0.0,1.0
B08W8JX2R2,2022-07-23,17990.0,17990.0,95.0,99.0,0.0,1.0
B08W8JX2R2,2022-07-24,17990.0,17990.0,154.0,95.0,0.0,1.0
B08W8JX2R2,2022-07-25,17990.0,17990.0,147.0,154.0,0.0,1.0
B08W8JX2R2,2022-07-26,17990.0,17990.0,103.0,147.0,0.0,1.0
B08W8JX2R2,2022-07-27,17990.0,17990.0,96.0,103.0,0.0,1.0
B08W8JX2R2,2022-07-28,15240.0,17990.0,15.0,96.0,0.0,1.0
B08W8JX2R2,2022-07-29,15240.0,15240.0,7.0,15.0,0.0,1.0
B08W8JX2R2,2022-07-30,15240.0,15240.0,3.0,7.0,0.0,1.0
B08W8JX2R2,2022-07-31,15240.0,15240.0,3.0,3.0,0.0,1.0
B08W8JX2R2,2022-08-01,17990.0,15240.0,3.0,3.0,0.0,1.0
B08W8JX2R2,2022-08-02,17990.0,17990.0,16.0,3.0,0.0,1.0
B08W8JX2R2,2022-08-03,16490.0,17990.0,19.0,16.0,0.0,1.0
B08W8JX2R2,2022-08-04,16490.0,16490.0,16.0,19.0,0.0,1.0
B08HRX87FJ,2022-07-01,42490.0,,68.0,,0.0,1.0
B08HRX87FJ,2022-07-02,42490.0,42490.0,72.0,68.0,0.0,1.0
B08HRX87FJ,2022-07-03,42490.0,42490.0,74.0,72.0,0.0,1.0
B08HRX87FJ,2022-07-04,42490.0,42490.0,93.0,74.0,0.0,1.0
B08HRX87FJ,2022-07-05,42490.0,42490.0,71.0,93.0,0.0,1.0
B08HRX87FJ,2022-07-06,42490.0,42490.0,61.0,71.0,0.0,1.0
B08HRX87FJ,2022-07-07,42490.0,42490.0,55.0,61.0,0.0,1.0
B08HRX87FJ,2022-07-08,42490.0,42490.0,48.0,55.0,0.0,1.0
B08HRX87FJ,2022-07-09,42490.0,42490.0,71.0,48.0,0.0,1.0
B08HRX87FJ,2022-07-10,42490.0,42490.0,91.0,71.0,0.0,1.0
B08HRX87FJ,2022-07-11,42490.0,42490.0,112.0,91.0,0.0,1.0
B08HRX87FJ,2022-07-13,42490.0,42490.0,82.0,112.0,0.0,1.0
B08HRX87FJ,2022-07-14,43290.0,42490.0,91.0,82.0,0.0,1.0
B08HRX87FJ,2022-07-15,43290.0,43290.0,131.0,91.0,0.0,1.0
B08HRX87FJ,2022-07-16,43290.0,43290.0,89.0,131.0,0.0,1.0
B08HRX87FJ,2022-07-17,43490.0,43290.0,51.0,89.0,0.0,1.0
B08HRX87FJ,2022-07-18,43490.0,43490.0,98.0,51.0,0.0,1.0
B08HRX87FJ,2022-07-19,43490.0,43490.0,107.0,98.0,0.0,1.0
B08HRX87FJ,2022-07-20,43490.0,43490.0,88.0,107.0,0.0,1.0
B08HRX87FJ,2022-07-21,43490.0,43490.0,74.0,88.0,0.0,1.0
B08HRX87FJ,2022-07-22,43490.0,43490.0,81.0,74.0,0.0,1.0
B08HRX87FJ,2022-07-23,42290.0,43490.0,83.0,81.0,0.0,1.0
B08HRX87FJ,2022-07-24,42490.0,42290.0,97.0,83.0,0.0,1.0
B08HRX87FJ,2022-07-25,42290.0,42490.0,74.0,97.0,0.0,1.0
B08HRX87FJ,2022-07-26,42000.0,42290.0,80.0,74.0,0.0,1.0
B08HRX87FJ,2022-07-27,42000.0,42000.0,84.0,80.0,0.0,1.0
B08HRX87FJ,2022-07-28,42000.0,42000.0,45.0,84.0,0.0,1.0
B08HRX87FJ,2022-07-29,43000.0,42000.0,64.0,45.0,0.0,1.0
B08HRX87FJ,2022-07-30,43000.0,43000.0,76.0,64.0,0.0,1.0
B08HRX87FJ,2022-07-31,43000.0,43000.0,80.0,76.0,0.0,1.0
B08HRX87FJ,2022-08-01,43000.0,43000.0,103.0,80.0,0.0,1.0
B08HRX87FJ,2022-08-02,43000.0,43000.0,124.0,103.0,0.0,1.0
B08HRX87FJ,2022-08-03,43000.0,43000.0,81.0,124.0,0.0,1.0
B08HRX87FJ,2022-08-04,43000.0,43000.0,54.0,81.0,0.0,1.0
B079QY27NK,2022-07-01,18790.0,,124.0,,0.0,1.0
B079QY27NK,2022-07-02,18790.0,18790.0,204.0,124.0,0.0,1.0
B079QY27NK,2022-07-03,18790.0,18790.0,187.0,204.0,0.0,1.0
B079QY27NK,2022-07-04,18790.0,18790.0,264.0,187.0,0.0,1.0
B079QY27NK,2022-07-05,18790.0,18790.0,122.0,264.0,0.0,1.0
B079QY27NK,2022-07-06,18790.0,18790.0,208.0,122.0,0.0,1.0
B079QY27NK,2022-07-07,18780.0,18790.0,234.0,208.0,0.0,1.0
B079QY27NK,2022-07-08,18780.0,18780.0,234.0,234.0,0.0,1.0
B079QY27NK,2022-07-09,18780.0,18780.0,258.0,234.0,0.0,1.0
B079QY27NK,2022-07-10,18790.0,18780.0,269.0,258.0,0.0,1.0
B079QY27NK,2022-07-11,18790.0,18790.0,286.0,269.0,0.0,1.0
B079QY27NK,2022-07-13,18790.0,18790.0,285.0,286.0,0.0,1.0
B079QY27NK,2022-07-14,18790.0,18790.0,308.0,285.0,0.0,1.0
B079QY27NK,2022-07-15,18790.0,18790.0,283.0,308.0,0.0,1.0
B079QY27NK,2022-07-16,18790.0,18790.0,276.0,283.0,0.0,1.0
B079QY27NK,2022-07-17,18790.0,18790.0,167.0,276.0,0.0,1.0
B079QY27NK,2022-07-18,18790.0,18790.0,228.0,167.0,0.0,1.0
B079QY27NK,2022-07-19,18790.0,18790.0,238.0,228.0,0.0,1.0
B079QY27NK,2022-07-20,18790.0,18790.0,244.0,238.0,0.0,1.0
B079QY27NK,2022-07-21,18790.0,18790.0,241.0,244.0,0.0,1.0
B079QY27NK,2022-07-22,18780.0,18790.0,262.0,241.0,0.0,1.0
B079QY27NK,2022-07-23,18780.0,18780.0,141.0,262.0,0.0,1.0
B079QY27NK,2022-07-24,18780.0,18780.0,187.0,141.0,0.0,1.0
B079QY27NK,2022-07-25,18390.0,18780.0,178.0,187.0,0.0,1.0
B079QY27NK,2022-07-26,18790.0,18390.0,201.0,178.0,0.0,1.0
B079QY27NK,2022-07-27,18790.0,18790.0,87.0,201.0,0.0,1.0
B079QY27NK,2022-07-28,18655.0,18790.0,81.0,87.0,0.0,1.0
B079QY27NK,2022-07-29,18780.0,18655.0,81.0,81.0,0.0,1.0
B079QY27NK,2022-07-30,18770.0,18780.0,120.0,81.0,0.0,1.0
B079QY27NK,2022-07-31,18770.0,18770.0,85.0,120.0,0.0,1.0
B079QY27NK,2022-08-01,18770.0,18770.0,79.0,85.0,0.0,1.0
B079QY27NK,2022-08-02,18770.0,18770.0,56.0,79.0,0.0,1.0
B079QY27NK,2022-08-03,18638.0,18770.0,146.0,56.0,0.0,1.0
B079QY27NK,2022-08-04,18760.0,18638.0,90.0,146.0,0.0,1.0
B08523BC7W,2022-07-01,24990.0,,117.0,,0.0,1.0
B08523BC7W,2022-07-02,24990.0,24990.0,190.0,117.0,0.0,1.0
B08523BC7W,2022-07-03,24990.0,24990.0,140.0,190.0,0.0,1.0
B08523BC7W,2022-07-04,24990.0,24990.0,206.0,140.0,0.0,1.0
B08523BC7W,2022-07-05,24990.0,24990.0,82.0,206.0,0.0,1.0
B08523BC7W,2022-07-06,24990.0,24990.0,190.0,82.0,0.0,1.0
B08523BC7W,2022-07-07,24990.0,24990.0,232.0,190.0,0.0,1.0
B08523BC7W,2022-07-08,24990.0,24990.0,249.0,232.0,0.0,1.0
B08523BC7W,2022-07-09,24990.0,24990.0,135.0,249.0,0.0,1.0
B08523BC7W,2022-07-10,24990.0,24990.0,240.0,135.0,0.0,1.0
B08523BC7W,2022-07-11,25490.0,24990.0,155.0,240.0,0.0,1.0
B08523BC7W,2022-07-13,25490.0,25490.0,316.0,155.0,0.0,1.0
B08523BC7W,2022-07-14,24990.0,25490.0,338.0,316.0,0.0,1.0
B08523BC7W,2022-07-15,24990.0,24990.0,331.0,338.0,0.0,1.0
B08523BC7W,2022-07-16,24990.0,24990.0,115.0,331.0,0.0,1.0
B08523BC7W,2022-07-17,24990.0,24990.0,98.0,115.0,0.0,1.0
B08523BC7W,2022-07-18,24990.0,24990.0,241.0,98.0,0.0,1.0
B08523BC7W,2022-07-19,25490.0,24990.0,270.0,241.0,0.0,1.0
B08523BC7W,2022-07-20,24990.0,25490.0,285.0,270.0,0.0,1.0
B08523BC7W,2022-07-21,24990.0,24990.0,283.0,285.0,0.0,1.0
B08523BC7W,2022-07-22,24990.0,24990.0,149.0,283.0,0.0,1.0
B08523BC7W,2022-07-23,24990.0,24990.0,245.0,149.0,0.0,1.0
B08523BC7W,2022-07-24,24990.0,24990.0,369.0,245.0,0.0,1.0
B08523BC7W,2022-07-25,24990.0,24990.0,415.0,369.0,0.0,1.0
B08523BC7W,2022-07-26,24990.0,24990.0,168.0,415.0,0.0,1.0
B08523BC7W,2022-07-27,24990.0,24990.0,235.0,168.0,0.0,1.0
B08523BC7W,2022-07-28,24990.0,24990.0,180.0,235.0,0.0,1.0
B08523BC7W,2022-07-29,24990.0,24990.0,140.0,180.0,0.0,1.0
B08523BC7W,2022-07-30,24990.0,24990.0,207.0,140.0,0.0,1.0
B08523BC7W,2022-07-31,24990.0,24990.0,111.0,207.0,0.0,1.0
B08523BC7W,2022-08-01,24990.0,24990.0,146.0,111.0,0.0,1.0
B08523BC7W,2022-08-02,25490.0,24990.0,180.0,146.0,0.0,1.0
B08523BC7W,2022-08-03,25490.0,25490.0,205.0,180.0,0.0,1.0
B08523BC7W,2022-08-04,24990.0,25490.0,172.0,205.0,0.0,1.0
B079QP11T3,2022-07-01,15790.0,,10.0,,0.0,1.0
B079QP11T3,2022-07-02,15790.0,15790.0,8.0,10.0,0.0,1.0
B079QP11T3,2022-07-03,15790.0,15790.0,10.0,8.0,0.0,1.0
B079QP11T3,2022-07-04,15790.0,15790.0,11.0,10.0,0.0,1.0
B079QP11T3,2022-07-05,15790.0,15790.0,8.0,11.0,0.0,1.0
B079QP11T3,2022-07-06,15990.0,15790.0,11.0,8.0,0.0,1.0
B079QP11T3,2022-07-07,15990.0,15990.0,10.0,11.0,0.0,1.0
B079QP11T3,2022-07-08,15990.0,15990.0,11.0,10.0,0.0,1.0
B079QP11T3,2022-07-09,15990.0,15990.0,9.0,11.0,0.0,1.0
B079QP11T3,2022-07-10,15990.0,15990.0,7.0,9.0,0.0,1.0
B079QP11T3,2022-07-11,16490.0,15990.0,12.0,7.0,0.0,1.0
B079QP11T3,2022-07-13,16490.0,16490.0,26.0,12.0,0.0,1.0
B079QP11T3,2022-07-14,15790.0,16490.0,23.0,26.0,0.0,1.0
B079QP11T3,2022-07-15,15790.0,15790.0,16.0,23.0,0.0,1.0
B079QP11T3,2022-07-16,15990.0,15790.0,24.0,16.0,0.0,1.0
B079QP11T3,2022-07-17,15990.0,15990.0,12.0,24.0,0.0,1.0
B079QP11T3,2022-07-18,15990.0,15990.0,18.0,12.0,0.0,1.0
B079QP11T3,2022-07-19,15990.0,15990.0,27.0,18.0,0.0,1.0
B079QP11T3,2022-07-20,15990.0,15990.0,14.0,27.0,0.0,1.0
B079QP11T3,2022-07-21,15990.0,15990.0,19.0,14.0,0.0,1.0
B079QP11T3,2022-07-22,15756.0,15990.0,28.0,19.0,0.0,1.0
B079QP11T3,2022-07-23,15898.0,15756.0,25.0,28.0,0.0,1.0
B079QP11T3,2022-07-24,15962.0,15898.0,24.0,25.0,0.0,1.0
B079QP11T3,2022-07-25,15490.0,15962.0,46.0,24.0,0.0,1.0
B079QP11T3,2022-07-26,15490.0,15490.0,3.0,46.0,0.0,1.0
B079QP11T3,2022-07-27,15490.0,15490.0,5.0,3.0,0.0,1.0
B079QP11T3,2022-07-28,15990.0,15490.0,5.0,5.0,0.0,1.0
B079QP11T3,2022-07-29,15990.0,15990.0,6.0,5.0,0.0,1.0
B079QP11T3,2022-07-30,15790.0,15990.0,5.0,6.0,0.0,1.0
B079QP11T3,2022-07-31,15790.0,15790.0,7.0,5.0,0.0,1.0
B079QP11T3,2022-08-01,15790.0,15790.0,5.0,7.0,0.0,1.0
B079QP11T3,2022-08-02,15990.0,15790.0,3.0,5.0,0.0,1.0
B079QP11T3,2022-08-03,15990.0,15990.0,5.0,3.0,0.0,1.0
B079QP11T3,2022-08-04,15990.0,15990.0,6.0,5.0,0.0,1.0
B09SPZMNHK,2022-07-01,47590.0,,145.0,,0.0,1.0
B09SPZMNHK,2022-07-02,47590.0,47590.0,83.0,145.0,0.0,1.0
B09SPZMNHK,2022-07-03,47590.0,47590.0,107.0,83.0,0.0,1.0
B09SPZMNHK,2022-07-04,47590.0,47590.0,107.0,107.0,0.0,1.0
B09SPZMNHK,2022-07-05,47590.0,47590.0,95.0,107.0,0.0,1.0
B09SPZMNHK,2022-07-06,48090.0,47590.0,107.0,95.0,0.0,1.0
B09SPZMNHK,2022-07-07,47590.0,48090.0,123.0,107.0,0.0,1.0
B09SPZMNHK,2022-07-08,47590.0,47590.0,131.0,123.0,0.0,1.0
B09SPZMNHK,2022-07-09,47590.0,47590.0,91.0,131.0,0.0,1.0
B09SPZMNHK,2022-07-10,47590.0,47590.0,95.0,91.0,0.0,1.0
B09SPZMNHK,2022-07-11,48590.0,47590.0,118.0,95.0,0.0,1.0
B09SPZMNHK,2022-07-13,48590.0,48590.0,190.0,118.0,0.0,1.0
B09SPZMNHK,2022-07-14,48590.0,48590.0,102.0,190.0,0.0,1.0
B09SPZMNHK,2022-07-15,48590.0,48590.0,115.0,102.0,0.0,1.0
B09SPZMNHK,2022-07-16,48590.0,48590.0,189.0,115.0,0.0,1.0
B09SPZMNHK,2022-07-17,47590.0,48590.0,156.0,189.0,0.0,1.0
B09SPZMNHK,2022-07-18,47590.0,47590.0,130.0,156.0,0.0,1.0
B09SPZMNHK,2022-07-19,48090.0,47590.0,98.0,130.0,0.0,1.0
B09SPZMNHK,2022-07-20,48590.0,48090.0,90.0,98.0,0.0,1.0
B09SPZMNHK,2022-07-21,48090.0,48590.0,81.0,90.0,0.0,1.0
B09SPZMNHK,2022-07-22,47490.0,48090.0,157.0,81.0,0.0,1.0
B09SPZMNHK,2022-07-23,47490.0,47490.0,120.0,157.0,0.0,1.0
B09SPZMNHK,2022-07-24,47490.0,47490.0,135.0,120.0,0.0,1.0
B09SPZMNHK,2022-07-25,48590.0,47490.0,125.0,135.0,0.0,1.0
B09SPZMNHK,2022-07-26,48590.0,48590.0,145.0,125.0,0.0,1.0
B09SPZMNHK,2022-07-27,47590.0,48590.0,102.0,145.0,0.0,1.0
B09SPZMNHK,2022-07-28,48590.0,47590.0,136.0,102.0,0.0,1.0
B09SPZMNHK,2022-07-29,47590.0,48590.0,167.0,136.0,0.0,1.0
B09SPZMNHK,2022-07-30,48590.0,47590.0,197.0,167.0,0.0,1.0
B09SPZMNHK,2022-07-31,47590.0,48590.0,162.0,197.0,0.0,1.0
B09SPZMNHK,2022-08-01,47590.0,47590.0,122.0,162.0,0.0,1.0
B09SPZMNHK,2022-08-02,48090.0,47590.0,182.0,122.0,0.0,1.0
B09SPZMNHK,2022-08-03,47590.0,48090.0,136.0,182.0,0.0,1.0
B09SPZMNHK,2022-08-04,48590.0,47590.0,194.0,136.0,0.0,1.0
B06XG9N37B,2022-07-01,22990.0,,153.0,,0.0,1.0
B06XG9N37B,2022-07-02,22990.0,22990.0,192.0,153.0,0.0,1.0
B06XG9N37B,2022-07-03,22990.0,22990.0,70.0,192.0,0.0,1.0
B06XG9N37B,2022-07-04,22990.0,22990.0,92.0,70.0,0.0,1.0
B06XG9N37B,2022-07-05,22990.0,22990.0,86.0,92.0,0.0,1.0
B06XG9N37B,2022-07-06,22990.0,22990.0,101.0,86.0,0.0,1.0
B06XG9N37B,2022-07-07,22980.0,22990.0,137.0,101.0,0.0,1.0
B06XG9N37B,2022-07-08,22990.0,22980.0,172.0,137.0,0.0,1.0
B06XG9N37B,2022-07-09,22990.0,22990.0,151.0,172.0,0.0,1.0
B06XG9N37B,2022-07-10,22990.0,22990.0,105.0,151.0,0.0,1.0
B06XG9N37B,2022-07-11,22990.0,22990.0,221.0,105.0,0.0,1.0
B06XG9N37B,2022-07-13,22990.0,22990.0,110.0,221.0,0.0,1.0
B06XG9N37B,2022-07-14,22990.0,22990.0,105.0,110.0,0.0,1.0
B06XG9N37B,2022-07-15,22990.0,22990.0,146.0,105.0,0.0,1.0
B06XG9N37B,2022-07-16,22990.0,22990.0,133.0,146.0,0.0,1.0
B06XG9N37B,2022-07-17,22990.0,22990.0,211.0,133.0,0.0,1.0
B06XG9N37B,2022-07-18,22990.0,22990.0,230.0,211.0,0.0,1.0
B06XG9N37B,2022-07-19,23490.0,22990.0,137.0,230.0,0.0,1.0
B06XG9N37B,2022-07-20,23490.0,23490.0,168.0,137.0,0.0,1.0
B06XG9N37B,2022-07-21,23490.0,23490.0,189.0,168.0,0.0,1.0
B06XG9N37B,2022-07-22,21990.0,23490.0,226.0,189.0,0.0,1.0
B06XG9N37B,2022-07-23,21990.0,21990.0,152.0,226.0,0.0,1.0
B06XG9N37B,2022-07-24,20990.0,21990.0,91.0,152.0,0.0,1.0
B06XG9N37B,2022-07-25,22990.0,20990.0,63.0,91.0,0.0,1.0
B06XG9N37B,2022-07-26,22990.0,22990.0,82.0,63.0,0.0,1.0
B06XG9N37B,2022-07-27,22990.0,22990.0,67.0,82.0,0.0,1.0
B06XG9N37B,2022-07-28,22990.0,22990.0,57.0,67.0,0.0,1.0
B06XG9N37B,2022-07-29,22990.0,22990.0,78.0,57.0,0.0,1.0
B06XG9N37B,2022-07-30,21990.0,22990.0,68.0,78.0,0.0,1.0
B06XG9N37B,2022-07-31,21990.0,21990.0,63.0,68.0,0.0,1.0
B06XG9N37B,2022-08-01,21990.0,21990.0,69.0,63.0,0.0,1.0
B06XG9N37B,2022-08-02,23490.0,21990.0,67.0,69.0,0.0,1.0
B06XG9N37B,2022-08-03,22990.0,23490.0,86.0,67.0,0.0,1.0
B06XG9N37B,2022-08-04,22990.0,22990.0,105.0,86.0,0.0,1.0
B09TRLHWM1,2022-07-01,15938.0,,248.0,,0.0,1.0
B09TRLHWM1,2022-07-02,15928.0,15938.0,302.0,248.0,0.0,1.0
B09TRLHWM1,2022-07-03,15912.0,15928.0,344.0,302.0,0.0,1.0
B09TRLHWM1,2022-07-04,15951.0,15912.0,388.0,344.0,0.0,1.0
B09TRLHWM1,2022-07-05,15928.0,15951.0,426.0,388.0,0.0,1.0
B09TRLHWM1,2022-07-06,15595.0,15928.0,461.0,426.0,0.0,1.0
B09TRLHWM1,2022-07-07,15590.0,15595.0,493.0,461.0,0.0,1.0
B09TRLHWM1,2022-07-08,15590.0,15590.0,517.0,493.0,0.0,1.0
B09TRLHWM1,2022-07-09,15590.0,15590.0,537.0,517.0,0.0,1.0
B09TRLHWM1,2022-07-10,15590.0,15590.0,178.0,537.0,0.0,1.0
B09TRLHWM1,2022-07-11,16090.0,15590.0,267.0,178.0,0.0,1.0
B09TRLHWM1,2022-07-13,16090.0,16090.0,366.0,267.0,0.0,1.0
B09TRLHWM1,2022-07-14,16090.0,16090.0,257.0,366.0,0.0,1.0
B09TRLHWM1,2022-07-15,15590.0,16090.0,292.0,257.0,0.0,1.0
B09TRLHWM1,2022-07-16,15590.0,15590.0,328.0,292.0,0.0,1.0
B09TRLHWM1,2022-07-17,15590.0,15590.0,367.0,328.0,0.0,1.0
B09TRLHWM1,2022-07-18,15590.0,15590.0,408.0,367.0,0.0,1.0
B09TRLHWM1,2022-07-19,16090.0,15590.0,438.0,408.0,0.0,1.0
B09TRLHWM1,2022-07-20,16090.0,16090.0,465.0,438.0,0.0,1.0
B09TRLHWM1,2022-07-21,16090.0,16090.0,496.0,465.0,0.0,1.0
B09TRLHWM1,2022-07-22,16090.0,16090.0,514.0,496.0,0.0,1.0
B09TRLHWM1,2022-07-23,15590.0,16090.0,536.0,514.0,0.0,1.0
B09TRLHWM1,2022-07-24,15590.0,15590.0,329.0,536.0,0.0,1.0
B09TRLHWM1,2022-07-25,15590.0,15590.0,236.0,329.0,0.0,1.0
B09TRLHWM1,2022-07-26,15590.0,15590.0,278.0,236.0,0.0,1.0
