ASIN,String,Rating,Frequency
B08W8JX2R2,good,5.0,10
B08W8JX2R2,electricity,5.0,2
B08W8JX2R2,electricity bill,5.0,2
B08W8JX2R2,bill,5.0,2
B08W8JX2R2,bill went,5.0,2
B08W8JX2R2,went,5.0,3
B08W8JX2R2,emergency,5.0,1
B08W8JX2R2,emergency efficient.,5.0,1
B08W8JX2R2,efficient.,5.0,1
B08W8JX2R2,efficient. electricity,5.0,1
B08W8JX2R2,went down.,5.0,1
B08W8JX2R2,down.,5.0,1
B08W8JX2R2,down. space,5.0,1
B08W8JX2R2,space,5.0,1
B08W8JX2R2,space less.,5.0,1
B08W8JX2R2,less.,5.0,1
B08W8JX2R2,less. useful,5.0,1
B08W8JX2R2,useful,5.0,1
B08W8JX2R2,useful small,5.0,1
B08W8JX2R2,small,5.0,1
B08W8JX2R2,small family,5.0,1
B08W8JX2R2,family,5.0,1
B08W8JX2R2,family two,5.0,1
B08W8JX2R2,two,5.0,1
B08W8JX2R2,two people.,5.0,1
B08W8JX2R2,people.,5.0,2
B08W8JX2R2,good buy,5.0,1
B08W8JX2R2,buy,5.0,2
B08W8JX2R2,work,5.0,1
B08W8JX2R2,work well.,5.0,1
B08W8JX2R2,well.,5.0,1
B08W8JX2R2,well. exactly,5.0,1
B08W8JX2R2,exactly,5.0,1
B08W8JX2R2,exactly shown,5.0,1
B08W8JX2R2,shown,5.0,1
B08W8JX2R2,shown defined,5.0,1
B08W8JX2R2,defined,5.0,1
B08W8JX2R2,defined amazon,5.0,1
B08W8JX2R2,amazon,5.0,2
B08W8JX2R2,amazon page.,5.0,1
B08W8JX2R2,page.,5.0,1
B08W8JX2R2,page. good,5.0,1
B08W8JX2R2,good buy.,5.0,1
B08W8JX2R2,buy.,5.0,1
B08W8JX2R2,buy. excellent,5.0,1
B08W8JX2R2,excellent,5.0,1
B08W8JX2R2,excellent service.,5.0,1
B08W8JX2R2,service.,5.0,2
B08W8JX2R2,nice,5.0,1
B08W8JX2R2,nice product,5.0,1
B08W8JX2R2,product,5.0,10
B08W8JX2R2,value,5.0,1
B08W8JX2R2,value money,5.0,1
B08W8JX2R2,money,5.0,1
B08W8JX2R2,money 💵.,5.0,1
B08W8JX2R2,💵.,5.0,1
B08W8JX2R2,💵. i'm,5.0,1
B08W8JX2R2,i'm,5.0,1
B08W8JX2R2,i'm happy,5.0,1
B08W8JX2R2,happy,5.0,2
B08W8JX2R2,happy get,5.0,2
B08W8JX2R2,get,5.0,2
B08W8JX2R2,get product.,5.0,1
B08W8JX2R2,product.,5.0,2
B08W8JX2R2,get product,5.0,1
B08W8JX2R2,good product,5.0,2
B08W8JX2R2,"product range,",5.0,1
B08W8JX2R2,"range,",5.0,1
B08W8JX2R2,"range, thanks",5.0,1
B08W8JX2R2,thanks,5.0,1
B08W8JX2R2,thanks amazon,5.0,1
B08W8JX2R2,amazon lg.,5.0,1
B08W8JX2R2,lg.,5.0,2
B08W8JX2R2,90%,5.0,1
B08W8JX2R2,90% राहत,5.0,1
B08W8JX2R2,राहत,5.0,1
B08W8JX2R2,राहत मिल,5.0,1
B08W8JX2R2,मिल,5.0,1
B08W8JX2R2,मिल गया,5.0,1
B08W8JX2R2,गया,5.0,2
B08W8JX2R2,बहुत,5.0,1
B08W8JX2R2,बहुत ही,5.0,1
B08W8JX2R2,ही,5.0,1
B08W8JX2R2,ही अच्छी,5.0,1
B08W8JX2R2,अच्छी,5.0,1
B08W8JX2R2,अच्छी दवा,5.0,1
B08W8JX2R2,दवा,5.0,1
B08W8JX2R2,दवा हैं,5.0,1
B08W8JX2R2,हैं,5.0,2
B08W8JX2R2,good quality,5.0,1
B08W8JX2R2,quality,5.0,1
B08W8JX2R2,quality product,5.0,1
B08W8JX2R2,product good,5.0,1
B08W8JX2R2,good quality.,5.0,1
B08W8JX2R2,quality.,5.0,2
B08W8JX2R2,thank,5.0,1
B08W8JX2R2,thank amezon,5.0,1
B08W8JX2R2,amezon,5.0,2
B08W8JX2R2,like,5.0,2
B08W8JX2R2,front,2.0,2
B08W8JX2R2,front door,2.0,2
B08W8JX2R2,door,2.0,2
B08W8JX2R2,door size,2.0,1
B08W8JX2R2,size,2.0,1
B08W8JX2R2,size displaying,2.0,1
B08W8JX2R2,displaying,2.0,2
B08W8JX2R2,displaying big,2.0,2
B08W8JX2R2,big,2.0,2
B08W8JX2R2,big back,2.0,2
B08W8JX2R2,back,2.0,2
B08W8JX2R2,back storage,2.0,2
B08W8JX2R2,storage,2.0,3
B08W8JX2R2,storage box,2.0,2
B08W8JX2R2,box,2.0,3
B08W8JX2R2,door displaying,2.0,1
B08W8JX2R2,box size.,2.0,1
B08W8JX2R2,size.,2.0,1
B08W8JX2R2,size. storage,2.0,1
B08W8JX2R2,storage capacity,2.0,1
B08W8JX2R2,capacity,2.0,1
B08W8JX2R2,capacity also,2.0,1
B08W8JX2R2,also,2.0,1
B08W8JX2R2,also less.,2.0,1
B08W8JX2R2,less.,2.0,2
B08W8JX2R2,damage,1.0,2
B08W8JX2R2,damage hai,1.0,2
B08W8JX2R2,hai,1.0,4
B084TH4783,amazing,5.0,2
B084TH4783,amazing product,5.0,1
B084TH4783,product,5.0,16
B084TH4783,perfectly,5.0,1
B084TH4783,perfectly packed,5.0,1
B084TH4783,packed,5.0,1
B084TH4783,packed delivery,5.0,1
B084TH4783,delivery,5.0,4
B084TH4783,delivery time,5.0,1
B084TH4783,time,5.0,1
B084TH4783,time utmost,5.0,1
B084TH4783,utmost,5.0,1
B084TH4783,utmost care,5.0,1
B084TH4783,care,5.0,1
B084TH4783,care remote,5.0,1
B084TH4783,remote,5.0,1
B084TH4783,remote place,5.0,1
B084TH4783,place,5.0,1
B084TH4783,place too.,5.0,1
B084TH4783,too.,5.0,2
B084TH4783,go,5.0,4
B084TH4783,work,5.0,1
B084TH4783,work like,5.0,1
B084TH4783,like,5.0,3
B084TH4783,like charm,5.0,1
B084TH4783,charm,5.0,1
B084TH4783,charm quietly,5.0,1
B084TH4783,quietly,5.0,2
B084TH4783,super,5.0,1
B084TH4783,super cool,5.0,1
B084TH4783,cool,5.0,1
B084TH4783,cool effortless,5.0,1
B084TH4783,effortless,5.0,1
B084TH4783,effortless product,5.0,1
B084TH4783,बहुत,5.0,1
B084TH4783,बहुत अच्छा,5.0,1
B084TH4783,अच्छा,5.0,1
B084TH4783,अच्छा है।,5.0,1
B084TH4783,है।,5.0,2
B084TH4783,good,5.0,9
B084TH4783,value,5.0,4
