ASIN,Question,Answer,Votes,Date
B08HRX87FJ,Is door alarm available in this model?,no,0,24-06-2022
B08HRX87FJ,"What amps socket is needed, 5 or 15amps?",15 amp is always stable and useful.,0,07-06-2022
B08HRX87FJ,which year manufactured product will i get if i place the order now ?,2022,0,11-05-2022
B08HRX87FJ,"Ice box , ice tray is removable?",yes,0,09-07-2022
B084TH4783,is there any installation charges?,No installation charges. Its free. The LG installation engineer will visit your house and gives clear demo on the refrigerator.,0,30-06-2022
B084TH4783,How do I contact the customer service of lg for repair?,U can call LG to customer service number. U can find it in Google.,0,30-06-2022
B084TH4783,What is the installation process after delivery? If they take more than 7 days?,Ideally the installation guy will visit within 24 hrs.,0,30-06-2022
B084TH4783,"What is difference between this fridge and  lg 335l frost-free inverter double door refrigerator (gl-t372jpz3, shiny steel, convertible refrigerator?",Direct cool refrigerators use less electricity as compared to the frost-free ones. The refrigerators can keep food products fresh. Their exterior part does not heat up as opposed to the frost-free refrigerators.,0,30-06-2022
B084TH4783,Can you ship it any where in India,Yes  you can.,0,30-06-2022
B084TH4783,Which year model is this? Does it mean it was manufactured in the model year and been sitting in stock for so long? If so how good will the compressor,Good enough that you will get 10 years of warranty from the date of purchase..,0,27-05-2022
B084TH4783,Can i get GST credit on this purchase,Yes .you can .it's already added in your invoice bill,0,30-06-2022
B084TH4783,Is it solar Compitable or not?,it is inverter compatible...it may means it can run on battery capacity ..mean you may supply power through solar as well through inverter battery.. but i am not 100% sure ...kindly research more and share your findings.,0,10-05-2022
B084TH4783,Adjustable shelves?,"YES,,, even you can convert freezer section to refrigeration to increase space to put more stuff..",0,10-05-2022
B084TH4783,Froost type,"Running smoothly till now , good product.",0,23-04-2022
B084TH4783,What mins lenier compressur,Good,0,23-04-2022
B084TH4783,is ice tray movable,Yes,0,23-04-2022
B079QP11T3,"क्या gl-b201aspy,aspzebn स्कारलेट प्लुमेरिया 5 star है",Haa,0,11-06-2022
B079QP11T3,क्या स्कारलेट प्लुमेरिया फ्रीज 5 star है,"हाँ है, 4 भी, 5 भी",0,11-06-2022
B079QP11T3,how many watts is the refrigerator,90 तो 310 watt,0,26-05-2022
B079QP11T3,Market mein yah 13000 mein uplabdh hai,No,0,26-05-2022
B079QP11T3,Does it need  stabilizer?,No need,0,26-05-2022
B079QP11T3,Is this frost free ?,Manual defrost in week 2 times,0,26-05-2022
B079QP11T3,क्या रेट है,16000 के अंदर,0,11-06-2022
B079QP11T3,Kya mujhe EMI pr refrigerator mil sakta h kya,Yes,0,26-05-2022
B079QP11T3,कितने स्टार है इसकी रेटिंग में ?,4,0,11-06-2022
B079QP11T3,Is This fridge must need home inverter for run,No,0,16-04-2022
B079QP11T3,Under 10000,No,0,16-04-2022
B079QP11T3,I am staying in 2nd floor with no lift facility. Will it be delivered to 2nd floor?,Chala jayega by courier boys,0,26-05-2022
B079QP11T3,मैं इसे डेबिट कार्ड ईएमआई पर कैसे करेगा,"डेबिट कार्ड से emi पर नही मिलता, use क्रेडिट या ऐमज़ॉन पे लेटर।",0,11-06-2022
B079QP11T3,वह इस प्रोडक्ट को डेबिट कार्ड ईएमआई में कैसे खरीदें,डेबिट कार्ड से emi नही,0,11-06-2022
B079QP11T3,क्या या डेबिट कार्ड की माई में उपलब्ध है मेरे,नही,0,11-06-2022
B09SPZMNHK,It have lock feature?,"No there is no option of lock, you might need to purchase an external lock facility.",0,19-04-2022
B09SPZMNHK,Is light there inside fridge?,Light is only present in the below door which is main fridge.,0,04-07-2022
B09SPZMNHK,Which years model it is?,We got 2022 one,0,04-07-2022
B0999S3MD4,Is there any fridge auto defrost without water collecting tray,No,0,28-06-2022
B0999S3MD4,what is the connected power for this Fridge??,Maybye 198 units per year,0,28-06-2022
B0999S3MD4,How many days door delivery,3 to 5 days,0,28-06-2022
B0999S3MD4,Whatvis the difference between convertible refrigerator and non convertible refrigerator??,U can convert your freezer to non freezer,0,15-06-2022
B0999S3MD4,Amazon Gift card are accepted,Yes,0,28-06-2022
B0999S3MD4,Convertible refrigerator means?,"Convertible means,you can use the upper unit as a normal refrigerator or as a ice chamber.",0,12-06-2022
B0999S3MD4,It's Dorcooling are not,Yes,0,12-06-2022
B0999S3MD4,Manufacturing year of this product gl-i292rozx (date of question 09/06/2022),April 2022,0,10-06-2022
B0999S3MD4,How much electricity power is used in 24hrs fridge,Year-1500k,0,09-06-2022
B0999S3MD4,Manufacturing year please?? Seems pretty old and that might change the power rating?,April 2022,0,10-06-2022
B0999S3MD4,What is one year warranty??,"One year warranty for ligt weight parts covered under warranty. But no need anything, it is best working refrigerator so far in my case. No Electrical consumption, minimal charges",0,03-06-2022
B0999S3MD4,Can we run this LG refrigerator inverters in power cut,No,0,03-06-2022
B0999S3MD4,Is it delivered fast,Within 6days,0,10-06-2022
B0999S3MD4,kiya yea solar sai b chalti hai,Yes bro,0,31-05-2022
B0999S3MD4,"Delivery person told that technician will do installation, when do the technician will come?","Installation is not provided,  leave the fridge unattended for a minimum of 3hrs for the internal oil and gas to settle and then switch on the fridge,  by doing this the performance of fridge will be good",0,25-05-2022
B0999S3MD4,What is the Door size or dimensions?,DIMENSIONS (W X D X H) (MM),0,23-05-2022
B0999S3MD4,In retail shops we get 10 years warranty why is not mentioned here,"10 year warranty on compressor only, and it is mentioned on warranty card.",0,10-06-2022
B0999S3MD4,State the power,48 Watt. Total consumption in a year . 104 kilowatt hour. 90-310v,0,21-05-2022
B0999S3MD4,Is fredge back is open,Yes,0,16-05-2022
B0999S3MD4,What is the storage capacity of refrigerator for food,"190 L, for a small family of 3 or 4 it's sufficient",0,25-05-2022
B0999S3MD4,If no installation service is provided for some day can we ask reduced rate?,No,0,23-05-2022
B0999S3MD4,Return policy,10days from the delivery date.,0,25-05-2022
B0999S3MD4,"If we put this refrigerator in poor ventilated room, does it have any adverse effect?","Definitely it will have bad effects,  so keep the fridge in ventilated area but away from sun light",0,25-05-2022
B0999S3MD4,Does it has dry storage in shiny silver one,"Not specifically,  if needed wrap the required item in a double polythene.",0,25-05-2022
B0999S3MD4,Does it have door cooling?,Yes,0,07-05-2022
B0999S3MD4,Is it delivery including installation on same day,May be next working day,0,23-05-2022
B0999S3MD4,power  of motor in watts?,Details are provided in product description.,0,25-05-2022
B0999S3MD4,How to raise warranty on this product,"Preseve your order invoice,  that can be used for any warranty issue",0,25-05-2022
B0999S3MD4,Does Amazon provide open and check product for physical damages before delivery,"Yes, we have to do the open box inspection,  if no damage then only we should accept the product,  till then do not share the delivery OTP to the delivery associate",0,25-05-2022
B0999S3MD4,Total hight of including stand,Please see seller's specifications,0,02-05-2022
B0999S3MD4,How long will the ice be frozen in this fridge?,Very nice refizer,0,30-04-2022
B0999S3MD4,Can I get fridge handle ?,May be,0,23-05-2022
B0999S3MD4,Autocut option available?,Yes it's one.of the built in option in a fridge,0,25-05-2022
B0999S3MD4,i have received semi defrost. why it is semi ? i ordered fully defrost. And no where it mentioned semi defrost on product details. what the hell amazo,You need to contact Amazon customer support,0,25-05-2022
B0999S3MD4,We did not recd base stand,Contact customer care,0,25-05-2022
B0999S3MD4,2022 star reating?,3,0,23-05-2022
B0999S3MD4,year of manufacture ?,2021 you can purchase blindly awesome product,0,24-04-2022
B0999S3MD4,Who will provide warrenty for this product? Is that amazon send a warrenty card?,"No one sends warranty, we can take advantage of warranty from the bill.",0,25-04-2022
B0999S3MD4,How many design s in red colour,2,0,15-04-2022
B0999S3MD4,I need a 165 ltr refrigerator. Can you show me one of good brand?,Go for LG,0,24-04-2022
B0999S3MD4,Is required Inverter or without inverter?,Work on both with or without inverter.,0,15-04-2022
B0999S3MD4,Can we get single door refrigiratoroor with back side closed,Not completely closed posible.,0,12-04-2022
B0999S3MD4,Does this product require the any stabilizer required,"stabilizer not required for this product inbuilt stabilizer disined by LG,",0,08-04-2022
B0999S3MD4,How many years warranty or guarantee,One year and 10 year on compresure.,0,06-04-2022
B0999S3MD4,This is Door cooling or no,No it's not the door cooling one.,0,06-07-2022
B0999S3MD4,What is this offer duration?,1 years + 10 years compressor,0,07-07-2022
B06XG9N37B,Exchange available,I have no discount,0,17-06-2022
B084PPZXBX,month and year of manufacture?,Normally it should be same as you purchase in local shops. As most of authorised sellers in Amazon will directly order to company and company will deliver from your nearest godown.,0,07-06-2022
B084PPZXBX,Is it door stainless steel?,Not stainless.,0,29-04-2022
B07612F52G,Is this display pannel working,"Yes , display panel works it shows the temperature of refrigerator and freezer.... it disappears after 20seconds after closing the door..",0,21-06-2022
B07612F52G,What is the door dimension when open??,91+65,0,16-06-2022
B07612F52G,How to Stop The Freezer?,you cant,0,16-06-2022
B084S8LB1D,How much discount you will give if i pay prepayment,No I have no discount.,0,17-06-2022
B08X14KW3R,Procedure to claim warranty?,Pls check the toll free number on carton/manual or sticker and call to register your complaint. You will be contacted by authorized service personnel to plan appointment to visit and accept complaint.,0,30-06-2022
B08X14KW3R,Can it make ice?,Yes,0,22-06-2022
B08X14KW3R,Can we store milk,Yes  and if any quiry call me on this number 7014579722,0,20-06-2022
B08X14KW3R,Is it 1star or 2star?,2 star,0,17-07-2022
B08X14KW3R,Does it has a freezer?,Yes,0,17-07-2022
B079QNTQ84,Can we plug this to a 16amp plug point? pls advise,You can plug 16anp also,0,27-06-2022
B079QNTQ84,Can it run on home inverter when no power supply?,Yes 90v above means you can run,0,27-06-2022
B079QNTQ84,How much Watts taking this product,90v to 240v,0,27-06-2022
B079QNTQ84,Is it automatic defrost ?,"No, it's manual",0,27-06-2022
B079QNTQ84,"Is it 5 star refrigerator or 4 star? Mentioned 5 star but sticker is 4 star , why?",It's a 4 star refrigerator. When I brought it was showing 4 star only.,0,01-06-2022
B079QNTQ84,Will this be delivered to 2nd floor building without lift?,"Yes it can be delivered to 2nd floor, if the stairs are fairly spaced.",0,01-06-2022
