ASIN,Category,Latest BSR,Last Day BSR
B084TH4783,Home & Kitchen,9332.0,12428.0
B084TH4783,Refrigerators,62.0,70.0
B08W8JX2R2,Home & Kitchen,4046.0,3002.0
B08W8JX2R2,Refrigerators,26.0,18.0
B08HRX87FJ,Home & Kitchen,10288.0,5960.0
B08HRX87FJ,Refrigerators,70.0,42.0
B079QY27NK,Home & Kitchen,2088.0,6700.0
B079QY27NK,Refrigerators,12.0,48.0
B08523BC7W,Home & Kitchen,136435.0,87469.0
B08523BC7W,Refrigerators,284.0,220.0
B079QP11T3,Home & Kitchen,635.0,881.0
B079QP11T3,Refrigerators,4.0,6.0
B09SPZMNHK,Home & Kitchen,19203.0,66858.0
B09SPZMNHK,Refrigerators,97.0,190.0
B06XG9N37B,Home & Kitchen,11587.0,28639.0
B06XG9N37B,Refrigerators,74.0,112.0
B09TRLHWM1,Home & Kitchen,181775.0,134115.0
B09TRLHWM1,Refrigerators,336.0,275.0
B0999S3MD4,Home & Kitchen,542.0,671.0
B0999S3MD4,Refrigerators,3.0,4.0
B084PPZXBX,Home & Kitchen,9862.0,6784.0
B084PPZXBX,Refrigerators,67.0,45.0
B084TGSM2N,Home & Kitchen,2088.0,6700.0
B084TGSM2N,Refrigerators,12.0,48.0
B09RTQ1TBV,Home & Kitchen,8413.0,19138.0
B09RTQ1TBV,Refrigerators,52.0,97.0
B084S8LB1D,Home & Kitchen,11587.0,28639.0
B084S8LB1D,Refrigerators,74.0,112.0
B08X14KW3R,Home & Kitchen,8803.0,15231.0
B08X14KW3R,Refrigerators,55.0,80.0
B09HKV19LC,Home & Kitchen,29925.0,104419.0
B09HKV19LC,Refrigerators,117.0,239.0
B07612F52G,Home & Kitchen,147289.0,95389.0
B07612F52G,Refrigerators,298.0,230.0
B08W9BRBMP,Home & Kitchen,64666.0,92055.0
B08W9BRBMP,Refrigerators,176.0,226.0
B088QGY2G5,Home & Kitchen,42500.0,30545.0
B088QGY2G5,Refrigerators,137.0,115.0
B079QNTQ84,Home & Kitchen,635.0,881.0
B079QNTQ84,Refrigerators,4.0,6.0
B08W8TJ3FM,Home & Kitchen,65233.0,150079.0
B08W8TJ3FM,Refrigerators,179.0,299.0
B09SPZRH84,Home & Kitchen,4046.0,3002.0
B09SPZRH84,Refrigerators,26.0,18.0
B07W7B94GZ,Home & Kitchen,29925.0,104419.0
B07W7B94GZ,Refrigerators,117.0,239.0
B07NBZ43PH,Home & Kitchen,4075.0,4253.0
B07NBZ43PH,Refrigerators,27.0,28.0
B083JNGPHH,Home & Kitchen,5973.0,5720.0
B083JNGPHH,Refrigerators,41.0,33.0
B084Y86B9Z,Home & Kitchen,8413.0,19138.0
B084Y86B9Z,Refrigerators,52.0,97.0
B083JN87RJ,Home & Kitchen,5207.0,5972.0
B083JN87RJ,Refrigerators,36.0,39.0
B084XMM69M,Home & Kitchen,19544.0,17974.0
B084XMM69M,Refrigerators,98.0,90.0
B091Q3T3KQ,Home & Kitchen,12813.0,12434.0
B091Q3T3KQ,Refrigerators,79.0,74.0
B08CS3FKFY,Home & Kitchen,5807.0,5526.0
B08CS3FKFY,Refrigerators,38.0,38.0
B0892Q3WBW,Home & Kitchen,14299.0,14607.0
B0892Q3WBW,Refrigerators,83.0,79.0
B083JNJRS5,Home & Kitchen,9989.0,12930.0
B083JNJRS5,Refrigerators,68.0,76.0
B08CS2BTX4,Home & Kitchen,5932.0,8937.0
B08CS2BTX4,Refrigerators,40.0,60.0
B083KSSS1H,Home & Kitchen,10997.0,8831.0
B083KSSS1H,Refrigerators,73.0,59.0
B07NBZSVCL,Home & Kitchen,4354.0,4866.0
B07NBZSVCL,Refrigerators,29.0,32.0
B078YJ5SW8,Home & Kitchen,29859.0,20094.0
B078YJ5SW8,Refrigerators,116.0,94.0
B078YHT1FR,Home & Kitchen,7689.0,5874.0
B078YHT1FR,Refrigerators,50.0,41.0
B083KVZQ7Z,Home & Kitchen,2526.0,2075.0
B083KVZQ7Z,Refrigerators,15.0,10.0
B09PMPK18J,Home & Kitchen,9091.0,6365.0
B09PMPK18J,Refrigerators,57.0,46.0
B083RPPSQF,Home & Kitchen,9690.0,8754.0
B083RPPSQF,Refrigerators,65.0,57.0
B09PMTJPPQ,Home & Kitchen,5320.0,10076.0
B09PMTJPPQ,Refrigerators,37.0,64.0
B078YJXPCF,Home & Kitchen,10530.0,9646.0
B078YJXPCF,Refrigerators,72.0,63.0
B08R4YV223,Home & Kitchen,14816.0,10318.0
B08R4YV223,Refrigerators,85.0,65.0
B091Q56ZR8,Home & Kitchen,6937.0,8029.0
B091Q56ZR8,Refrigerators,48.0,51.0
B098Q5FF7G,Home & Kitchen,54329.0,76330.0
B098Q5FF7G,Refrigerators,159.0,205.0
B078YL5K8D,Home & Kitchen,26459.0,18151.0
B078YL5K8D,Refrigerators,110.0,92.0
B083KRV6DK,Home & Kitchen,15843.0,8747.0
B083KRV6DK,Refrigerators,90.0,46.0
B086H3NR1F,Home & Kitchen,4968.0,3481.0
B086H3NR1F,Refrigerators,33.0,25.0
B0982Y9C1C,Home & Kitchen,8964.0,8662.0
B0982Y9C1C,Refrigerators,56.0,55.0
B09NKRCQK6,Home & Kitchen,533306.0,509099.0
