ASIN,Date,Category,BSR,Last Known BSR
B084TH4783,2022-07-01,Home & Kitchen,7403.0,
B084TH4783,2022-07-02,Home & Kitchen,9968.0,7403.0
B084TH4783,2022-07-03,Home & Kitchen,10252.0,9968.0
B084TH4783,2022-07-04,Home & Kitchen,15564.0,10252.0
B084TH4783,2022-07-05,Home & Kitchen,13105.0,15564.0
B084TH4783,2022-07-06,Home & Kitchen,9739.0,13105.0
B084TH4783,2022-07-07,Home & Kitchen,9289.0,9739.0
B084TH4783,2022-07-08,Home & Kitchen,7793.0,9289.0
B084TH4783,2022-07-09,Home & Kitchen,12515.0,7793.0
B084TH4783,2022-07-10,Home & Kitchen,11539.0,12515.0
B084TH4783,2022-07-11,Home & Kitchen,5695.0,11539.0
B084TH4783,2022-07-13,Home & Kitchen,13249.0,5695.0
B084TH4783,2022-07-14,Home & Kitchen,10232.0,13249.0
B084TH4783,2022-07-15,Home & Kitchen,14035.0,10232.0
B084TH4783,2022-07-16,Home & Kitchen,22878.0,14035.0
B084TH4783,2022-07-17,Home & Kitchen,15206.0,22878.0
B084TH4783,2022-07-18,Home & Kitchen,19635.0,15206.0
B084TH4783,2022-07-19,Home & Kitchen,29901.0,19635.0
B084TH4783,2022-07-20,Home & Kitchen,16133.0,29901.0
B084TH4783,2022-07-21,Home & Kitchen,29431.0,16133.0
B084TH4783,2022-07-22,Home & Kitchen,9310.0,29431.0
B084TH4783,2022-07-23,Home & Kitchen,3211.0,9310.0
B084TH4783,2022-07-24,Home & Kitchen,3471.0,3211.0
B084TH4783,2022-07-25,Home & Kitchen,3989.0,3471.0
B084TH4783,2022-07-26,Home & Kitchen,6278.0,3989.0
B084TH4783,2022-07-27,Home & Kitchen,10920.0,6278.0
B084TH4783,2022-07-28,Home & Kitchen,9007.0,10920.0
B084TH4783,2022-07-29,Home & Kitchen,13372.0,9007.0
B084TH4783,2022-07-30,Home & Kitchen,11508.0,13372.0
B084TH4783,2022-07-31,Home & Kitchen,12924.0,11508.0
B084TH4783,2022-08-02,Home & Kitchen,16368.0,12924.0
B084TH4783,2022-08-03,Home & Kitchen,23913.0,16368.0
B084TH4783,2022-08-04,Home & Kitchen,12635.0,23913.0
B084TH4783,2022-08-05,Home & Kitchen,11884.0,12635.0
B084TH4783,2022-08-06,Home & Kitchen,8483.0,11884.0
