ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B084TH4783,"LG 335 L 3 Star Inverter Frost-Free Double Door Refrigerator (GL-T372JDS3, Dazzle Steel, Convertible)",Lg,35990.0,62.0,1143,4.5,NA,NA,59199.0,35990.0,70.0,0.0,Fulfilled,1.0,Refrigerators,
B08W8JX2R2,"LG 190L 5 Star Smart Inverter Direct-Cool Single Door Refrigerator (GL-B201ASCZ, Scarlet Charm, Fastest Ice Making)",Lg,16490.0,26.0,639,4.4,NA,NA,23299.0,16490.0,18.0,0.0,Fulfilled,1.0,Refrigerators,
B08HRX87FJ,"LG 437 L 2 Star Frost-Free Smart Inverter Double Door Refrigerator (GL-T432APZY, Shiny Steel, Convertible with Door Cooling+)",Lg,42990.0,70.0,324,4.4,NA,NA,64199.0,42990.0,42.0,0.0,NA,1.0,Refrigerators,
B079QY27NK,"LG 215 L 4 Star Inverter Direct Cool Single Door Refrigerator (GL-B221APZY, Shiny Steel)",Lg,17990.0,12.0,887,4.3,NA,NA,26399.0,17990.0,48.0,0.0,Fulfilled,1.0,Refrigerators,
B08523BC7W,"LG 260 L 2 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-S292RDSY, Dazzle Steel, Convertible)",Lg,24990.0,284.0,135,4.2,NA,NA,28890.0,24990.0,220.0,0.0,Fulfilled,1.0,Refrigerators,
B079QP11T3,"LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-B201ASPY, Scarlet Plumeria, Moist 'N' Fresh)",Lg,14990.0,4.0,6198,4.4,NA,NA,22799.0,15790.0,6.0,0.0,Fulfilled,1.0,Refrigerators,
B09SPZMNHK,"LG 408L 3 Star Frost-Free Smart Inverter Wi-Fi Double Door Refrigerator (GL-T412VDSX, Dazzle Steel, Convertible with Door Cooling+)",Lg,47490.0,97.0,19,4.1,NA,NA,62999.0,47490.0,190.0,0.0,Fulfilled,1.0,Refrigerators,
B06XG9N37B,"LG 270 L 3 Star Inverter Direct Cool Single Door Refrigerator(GL-B281BPZX, Shiny Steel)",Lg,21990.0,74.0,940,4.2,NA,NA,32999.0,22990.0,112.0,0.0,Fulfilled,1.0,Refrigerators,
B09TRLHWM1,"LG 190L 2 Star Direct-Cool Single Door Refrigerator (GL-D199OSPC, Scarlet Plumeria, Base stand with drawer)",Lg,15590.0,336.0,3,4.6,NA,NA,20699.0,15590.0,275.0,0.0,Fulfilled,1.0,Refrigerators,
B0999S3MD4,"LG 190L 5 Star Direct-Cool Smart Inverter Single Door Refrigerator (GL-D201ASPZ, Scarlet Plumeria, Base stand with drawer)",Lg,17390.0,3.0,2260,4.4,NA,NA,24399.0,17390.0,4.0,0.0,Fulfilled,1.0,Refrigerators,
B084PPZXBX,"LG 360 L 3 Star Inverter Linear Frost-Free Double Door Refrigerator (GL-T402JDS3, Dazzle Steel, Convertible)",Lg,40250.0,67.0,684,4.4,NA,NA,63599.0,40250.0,45.0,0.0,Fulfilled,1.0,Refrigerators,
B084TGSM2N,"LG 215 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D221ABCY, Blue Charm, Base Stand with Drawer)",Lg,18990.0,12.0,887,4.3,NA,NA,28599.0,18990.0,48.0,0.0,Fulfilled,1.0,Refrigerators,
B09RTQ1TBV,"LG 190L 3 Star Direct-Cool Single Door Refrigerator (GL-B201ASPD, Scarlet Plumeria, Fastest Ice Making)",Lg,14590.0,52.0,531,4.2,NA,NA,21199.0,14590.0,97.0,0.0,Fulfilled,1.0,Refrigerators,
B084S8LB1D,"LG 270 L 3 Star Inverter Direct-Cool Single Door Refrigerator (GL-B281BSCX, Scarlet Charm, Moist 'N' Fresh)",Lg,23490.0,74.0,940,4.2,NA,NA,33799.0,23490.0,112.0,0.0,Fulfilled,1.0,Refrigerators,
B08X14KW3R,LG Mini Refrigerator 45L GL-M051RSWC White,Lg,9200.0,55.0,256,3.9,NA,NA,10890.0,9200.0,80.0,0.0,NA,1.0,Refrigerators,
B09HKV19LC,"LG 235L 3 Star Direct-Cool Single Door Refrigerator (GL-D241ABCD, Blue Charm, Base stand with drawer)",Lg,20790.0,117.0,242,4.3,NA,NA,27899.0,20790.0,239.0,0.0,Fulfilled,1.0,Refrigerators,
B07612F52G,"LG 679 L Frost Free Inverter Linear Side-by-Side Refrigerator (GC-B247KQDV, Graphite steel, Multi Air Flow)",Lg,87990.0,298.0,189,4.2,NA,NA,105990.0,87990.0,230.0,0.0,Fulfilled,1.0,Refrigerators,
B08W9BRBMP,"LG 215L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-B221ASCZ, Scarlet Charm, Fastest Ice Making)",Lg,19790.0,176.0,35,4.0,NA,NA,27999.0,19790.0,226.0,0.0,Fulfilled,1.0,Refrigerators,
B088QGY2G5,"LG 235L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D241APZZ, Shiny Steel, Base Stand with Drawer)",Lg,21490.0,137.0,167,4.2,NA,NA,30399.0,21490.0,115.0,0.0,Fulfilled,1.0,Refrigerators,
B079QNTQ84,"LG 190 L 4 Star Inverter Direct Cool Single Door Refrigerator (GL-D201APZY, Shiny Steel, Base Stand with Drawer)",Lg,14990.0,4.0,6198,4.4,NA,NA,22799.0,15990.0,6.0,0.0,Fulfilled,1.0,Refrigerators,
B08W8TJ3FM,"LG 215L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D221APGZ, Purple Glow, Base stand with drawer)",Lg,,179.0,30,4.2,NA,NA,,,299.0,0.0,NA,0.0,Refrigerators,
B09SPZRH84,"LG 190 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-B201ABCZ, Blue Charm, Smart Connect)",Lg,16490.0,26.0,639,4.4,NA,NA,21490.0,16490.0,18.0,0.0,Fulfilled,1.0,Refrigerators,
B07W7B94GZ,"LG 235 L 3 Star Direct-Cool Single Door Refrigerator (GL-D241APZD, Shiny Steel, Base stand with Drawer)",Lg,19790.0,117.0,242,4.3,NA,NA,27299.0,19790.0,239.0,0.0,Fulfilled,1.0,Refrigerators,
B07NBZ43PH,"Whirlpool 240 L Frost Free Multi-Door Refrigerator (FP 263D PROTTON ROY, German Steel)",Whirlpool,26890.0,27.0,1960,4.2,NA,NA,30800.0,26890.0,28.0,0.0,Fulfilled,1.0,Refrigerators,
B083JNGPHH,"Whirlpool 265 L 3 Star Inverter Frost-Free Double Door Refrigerator (INTELLIFRESH INV CNV 278 3S, Black Sparkle, Convertible)",Whirlpool,27940.0,41.0,1998,4.1,NA,NA,36150.0,27940.0,33.0,0.0,Fulfilled,1.0,Refrigerators,
B084Y86B9Z,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201RPZD, Shiny Steel, Moist 'N' Fresh)",Lg,13990.0,52.0,531,4.2,NA,NA,18899.0,14990.0,97.0,0.0,Fulfilled,1.0,Refrigerators,
B083JN87RJ,"Whirlpool 265 L 3 Star Inverter Frost-Free Double Door Refrigerator with Intellisense inverter technology(INTELLIFRESH INV CNV 278 3S, German Steel, Convertible)",Whirlpool,27490.0,36.0,3385,4.1,NA,NA,28250.0,27490.0,39.0,0.0,Fulfilled,1.0,Refrigerators,
B084XMM69M,"Whirlpool 265 L 2 Star Frost-Free Double Door Refrigerator (NEOFRESH GD PRM 278 2S, Crystal Black, Glass Door)",Whirlpool,24140.0,98.0,618,4.2,NA,NA,27700.0,25000.0,90.0,0.0,Fulfilled,1.0,Refrigerators,
B091Q3T3KQ,"Whirlpool 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (WDE 205 PRM 4S INV, Sapphire Magnolia)",Whirlpool,15490.0,79.0,1884,4.3,NA,NA,18500.0,15490.0,74.0,0.0,Fulfilled,1.0,Refrigerators,
B08CS3FKFY,"Whirlpool 200 L 4 Star Inverter Direct-Cool Single Door Refrigerator (215 ICEMAGIC PRO ROY 4S INV, Sapphire Mulia, Base Stand)",Whirlpool,17490.0,38.0,1959,4.2,NA,NA,20150.0,17490.0,38.0,0.0,Fulfilled,1.0,Refrigerators,
B0892Q3WBW,"Whirlpool 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator with Anti-bacterial gasket(WDE 205 PRM 4S INV MAGNUM STEEL, Magnum Steel)",Whirlpool,15290.0,83.0,450,4.2,NA,NA,17300.0,15290.0,79.0,0.0,Fulfilled,1.0,Refrigerators,
B083JNJRS5,"Whirlpool 265 L 2 Star Frost-Free Double Door Refrigerator (NEOFRESH DF 278 PRM 2S, German Steel)",Whirlpool,23490.0,68.0,1141,4.2,NA,NA,26800.0,23490.0,76.0,0.0,Fulfilled,1.0,Refrigerators,
B08CS2BTX4,"Whirlpool 200 L 3 Star Inverter Direct-Cool Single Door Refrigerator with Auto-Defrost Technology (215 VITAMAGIC PRO PRM 3S INV, Magnum Steel)",Whirlpool,16840.0,40.0,796,4.1,NA,NA,18600.0,16840.0,60.0,0.0,Fulfilled,1.0,Refrigerators,
B083KSSS1H,"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 3S, Wine)",Whirlpool,13490.0,73.0,1588,4.2,NA,NA,14900.0,13490.0,59.0,0.0,Fulfilled,1.0,Refrigerators,
B07NBZSVCL,"Whirlpool 260 L Frost-Free Multi-Door Refrigerator (FP 283D PROTTON ROY, German Steel)",Whirlpool,27480.0,29.0,1290,4.2,NA,NA,36300.0,27480.0,32.0,0.0,Fulfilled,1.0,Refrigerators,
