ASIN,Category,Latest BSR,Last Day BSR
B08SR4L6X2,Home & Kitchen,15878.0,10786.0
B08SR4L6X2,Washing Machines & Dryers,61.0,48.0
B09R1R7NMR,Home & Kitchen,12452.0,19344.0
B09R1R7NMR,Washing Machines & Dryers,56.0,65.0
B09R1QQPTQ,Home & Kitchen,27250.0,31883.0
B09R1QQPTQ,Washing Machines & Dryers,95.0,102.0
B08SR372S7,Home & Kitchen,6001.0,3544.0
B08SR372S7,Washing Machines & Dryers,32.0,16.0
B08J3QXFLY,Home & Kitchen,202737.0,198627.0
B08J3QXFLY,Washing Machines & Dryers,378.0,381.0
B08SR52BSM,Home & Kitchen,22137.0,21873.0
B08SR52BSM,Washing Machines & Dryers,79.0,74.0
B08SR624PS,Home & Kitchen,48540.0,31080.0
B08SR624PS,Washing Machines & Dryers,144.0,101.0
B08JYPDFXV,Home & Kitchen,312689.0,305121.0
B08JYPDFXV,Washing Machines & Dryers,585.0,586.0
B08J3KFLBT,Home & Kitchen,2635.0,4314.0
B08J3KFLBT,Washing Machines & Dryers,14.0,20.0
B08KRZ69XY,Home & Kitchen,85742.0,63991.0
B08KRZ69XY,Washing Machines & Dryers,199.0,172.0
B08PZCS9J6,Home & Kitchen,8660.0,8921.0
B08PZCS9J6,Washing Machines & Dryers,44.0,38.0
B07H187SQW,Home & Kitchen,80653.0,170829.0
B07H187SQW,Washing Machines & Dryers,191.0,333.0
B00ZCJRXOK,Home & Kitchen,283930.0,278542.0
B00ZCJRXOK,Washing Machines & Dryers,533.0,534.0
B08V8CD9BH,Home & Kitchen,127244.0,126680.0
B08V8CD9BH,Washing Machines & Dryers,281.0,268.0
B09R1QJ566,Home & Kitchen,291311.0,274397.0
B09R1QJ566,Washing Machines & Dryers,544.0,526.0
B08L3HH6SC,Home & Kitchen,280482.0,276193.0
B08L3HH6SC,Washing Machines & Dryers,527.0,528.0
B08TBG2C78,Home & Kitchen,344080.0,340730.0
B08TBG2C78,Washing Machines & Dryers,632.0,637.0
B08PZBZD5M,Home & Kitchen,4884.0,3541.0
B08PZBZD5M,Washing Machines & Dryers,30.0,15.0
B0992FHPYT,Home & Kitchen,113910.0,75208.0
B0992FHPYT,Washing Machines & Dryers,258.0,183.0
B08HZ8RBF7,Home & Kitchen,39778.0,59020.0
B08HZ8RBF7,Washing Machines & Dryers,131.0,160.0
B08HZ5XQD3,Home & Kitchen,20081.0,41870.0
B08HZ5XQD3,Washing Machines & Dryers,76.0,120.0
B09KGW3NWL,Home & Kitchen,23688.0,27768.0
B09KGW3NWL,Washing Machines & Dryers,86.0,88.0
B09KGY7S81,Home & Kitchen,2950.0,5066.0
B09KGY7S81,Washing Machines & Dryers,16.0,25.0
B09KGXPHKF,Home & Kitchen,15581.0,37356.0
