ASIN,Date,Category,BSR,Last Known BSR
B08SR4L6X2,2022-07-30,Home & Kitchen,9308.0,
B08SR4L6X2,2022-07-31,Home & Kitchen,8905.0,9308.0
B08SR4L6X2,2022-08-01,Home & Kitchen,8388.0,8905.0
B08SR4L6X2,2022-08-02,Home & Kitchen,12080.0,8388.0
B08SR4L6X2,2022-08-03,Home & Kitchen,10786.0,12080.0
B08SR4L6X2,2022-08-04,Home & Kitchen,15878.0,10786.0
B08SR4L6X2,2022-07-30,Washing Machines & Dryers,44.0,
B08SR4L6X2,2022-07-31,Washing Machines & Dryers,38.0,44.0
B08SR4L6X2,2022-08-01,Washing Machines & Dryers,38.0,38.0
B08SR4L6X2,2022-08-02,Washing Machines & Dryers,47.0,38.0
B08SR4L6X2,2022-08-03,Washing Machines & Dryers,48.0,47.0
B08SR4L6X2,2022-08-04,Washing Machines & Dryers,61.0,48.0
B09R1R7NMR,2022-07-07,Home & Kitchen,121381.0,
B09R1R7NMR,2022-07-09,Home & Kitchen,59134.0,121381.0
B09R1R7NMR,2022-07-10,Home & Kitchen,113991.0,59134.0
B09R1R7NMR,2022-07-13,Home & Kitchen,33419.0,113991.0
B09R1R7NMR,2022-07-14,Home & Kitchen,42184.0,33419.0
B09R1R7NMR,2022-07-15,Home & Kitchen,19104.0,42184.0
B09R1R7NMR,2022-07-16,Home & Kitchen,36377.0,19104.0
B09R1R7NMR,2022-07-17,Home & Kitchen,19153.0,36377.0
B09R1R7NMR,2022-07-18,Home & Kitchen,16250.0,19153.0
B09R1R7NMR,2022-07-19,Home & Kitchen,22046.0,16250.0
B09R1R7NMR,2022-07-20,Home & Kitchen,46851.0,22046.0
B09R1R7NMR,2022-07-21,Home & Kitchen,77765.0,46851.0
B09R1R7NMR,2022-07-22,Home & Kitchen,21910.0,77765.0
B09R1R7NMR,2022-07-23,Home & Kitchen,17019.0,21910.0
B09R1R7NMR,2022-07-24,Home & Kitchen,13477.0,17019.0
B09R1R7NMR,2022-07-25,Home & Kitchen,25628.0,13477.0
B09R1R7NMR,2022-07-26,Home & Kitchen,37820.0,25628.0
B09R1R7NMR,2022-07-27,Home & Kitchen,24607.0,37820.0
B09R1R7NMR,2022-07-28,Home & Kitchen,19209.0,24607.0
B09R1R7NMR,2022-07-29,Home & Kitchen,27917.0,19209.0
B09R1R7NMR,2022-07-30,Home & Kitchen,57096.0,27917.0
B09R1R7NMR,2022-07-31,Home & Kitchen,84015.0,57096.0
B09R1R7NMR,2022-08-01,Home & Kitchen,109781.0,84015.0
B09R1R7NMR,2022-08-02,Home & Kitchen,70028.0,109781.0
B09R1R7NMR,2022-08-03,Home & Kitchen,19344.0,70028.0
B09R1R7NMR,2022-08-04,Home & Kitchen,12452.0,19344.0
B09R1R7NMR,2022-07-07,Washing Machines & Dryers,294.0,
B09R1R7NMR,2022-07-09,Washing Machines & Dryers,179.0,294.0
B09R1R7NMR,2022-07-10,Washing Machines & Dryers,282.0,179.0
B09R1R7NMR,2022-07-13,Washing Machines & Dryers,134.0,282.0
B09R1R7NMR,2022-07-14,Washing Machines & Dryers,157.0,134.0
B09R1R7NMR,2022-07-15,Washing Machines & Dryers,86.0,157.0
B09R1R7NMR,2022-07-16,Washing Machines & Dryers,139.0,86.0
B09R1R7NMR,2022-07-17,Washing Machines & Dryers,84.0,139.0
B09R1R7NMR,2022-07-18,Washing Machines & Dryers,74.0,84.0
B09R1R7NMR,2022-07-19,Washing Machines & Dryers,85.0,74.0
B09R1R7NMR,2022-07-20,Washing Machines & Dryers,136.0,85.0
B09R1R7NMR,2022-07-21,Washing Machines & Dryers,198.0,136.0
B09R1R7NMR,2022-07-22,Washing Machines & Dryers,89.0,198.0
B09R1R7NMR,2022-07-23,Washing Machines & Dryers,99.0,89.0
B09R1R7NMR,2022-07-24,Washing Machines & Dryers,102.0,99.0
B09R1R7NMR,2022-07-25,Washing Machines & Dryers,154.0,102.0
B09R1R7NMR,2022-07-26,Washing Machines & Dryers,165.0,154.0
B09R1R7NMR,2022-07-27,Washing Machines & Dryers,106.0,165.0
B09R1R7NMR,2022-07-28,Washing Machines & Dryers,88.0,106.0
B09R1R7NMR,2022-07-29,Washing Machines & Dryers,99.0,88.0
B09R1R7NMR,2022-07-30,Washing Machines & Dryers,172.0,99.0
B09R1R7NMR,2022-07-31,Washing Machines & Dryers,204.0,172.0
B09R1R7NMR,2022-08-01,Washing Machines & Dryers,251.0,204.0
B09R1R7NMR,2022-08-02,Washing Machines & Dryers,179.0,251.0
B09R1R7NMR,2022-08-03,Washing Machines & Dryers,65.0,179.0
B09R1R7NMR,2022-08-04,Washing Machines & Dryers,56.0,65.0
B09R1QQPTQ,2022-07-07,Home & Kitchen,24804.0,
B09R1QQPTQ,2022-07-09,Home & Kitchen,31685.0,24804.0
B09R1QQPTQ,2022-07-10,Home & Kitchen,23265.0,31685.0
B09R1QQPTQ,2022-07-13,Home & Kitchen,54347.0,23265.0
B09R1QQPTQ,2022-07-14,Home & Kitchen,87721.0,54347.0
B09R1QQPTQ,2022-07-15,Home & Kitchen,21290.0,87721.0
B09R1QQPTQ,2022-07-16,Home & Kitchen,27229.0,21290.0
B09R1QQPTQ,2022-07-17,Home & Kitchen,17532.0,27229.0
B09R1QQPTQ,2022-07-18,Home & Kitchen,22298.0,17532.0
B09R1QQPTQ,2022-07-19,Home & Kitchen,33620.0,22298.0
B09R1QQPTQ,2022-07-20,Home & Kitchen,39818.0,33620.0
B09R1QQPTQ,2022-07-21,Home & Kitchen,99810.0,39818.0
B09R1QQPTQ,2022-07-22,Home & Kitchen,53337.0,99810.0
B09R1QQPTQ,2022-07-23,Home & Kitchen,15543.0,53337.0
B09R1QQPTQ,2022-07-24,Home & Kitchen,15569.0,15543.0
B09R1QQPTQ,2022-07-25,Home & Kitchen,22395.0,15569.0
B09R1QQPTQ,2022-07-26,Home & Kitchen,31569.0,22395.0
B09R1QQPTQ,2022-07-27,Home & Kitchen,56541.0,31569.0
B09R1QQPTQ,2022-07-28,Home & Kitchen,26989.0,56541.0
B09R1QQPTQ,2022-07-29,Home & Kitchen,30932.0,26989.0
B09R1QQPTQ,2022-07-30,Home & Kitchen,19631.0,30932.0
B09R1QQPTQ,2022-07-31,Home & Kitchen,35638.0,19631.0
B09R1QQPTQ,2022-08-01,Home & Kitchen,23768.0,35638.0
B09R1QQPTQ,2022-08-02,Home & Kitchen,18411.0,23768.0
B09R1QQPTQ,2022-08-03,Home & Kitchen,31883.0,18411.0
B09R1QQPTQ,2022-08-04,Home & Kitchen,27250.0,31883.0
B09R1QQPTQ,2022-07-07,Washing Machines & Dryers,98.0,
B09R1QQPTQ,2022-07-09,Washing Machines & Dryers,123.0,98.0
B09R1QQPTQ,2022-07-10,Washing Machines & Dryers,101.0,123.0
B09R1QQPTQ,2022-07-13,Washing Machines & Dryers,178.0,101.0
B09R1QQPTQ,2022-07-14,Washing Machines & Dryers,252.0,178.0
B09R1QQPTQ,2022-07-15,Washing Machines & Dryers,94.0,252.0
B09R1QQPTQ,2022-07-16,Washing Machines & Dryers,118.0,94.0
B09R1QQPTQ,2022-07-17,Washing Machines & Dryers,80.0,118.0
B09R1QQPTQ,2022-07-18,Washing Machines & Dryers,93.0,80.0
B09R1QQPTQ,2022-07-19,Washing Machines & Dryers,111.0,93.0
B09R1QQPTQ,2022-07-20,Washing Machines & Dryers,123.0,111.0
B09R1QQPTQ,2022-07-21,Washing Machines & Dryers,238.0,123.0
B09R1QQPTQ,2022-07-22,Washing Machines & Dryers,162.0,238.0
B09R1QQPTQ,2022-07-23,Washing Machines & Dryers,95.0,162.0
B09R1QQPTQ,2022-07-24,Washing Machines & Dryers,108.0,95.0
B09R1QQPTQ,2022-07-25,Washing Machines & Dryers,145.0,108.0
B09R1QQPTQ,2022-07-26,Washing Machines & Dryers,149.0,145.0
B09R1QQPTQ,2022-07-27,Washing Machines & Dryers,189.0,149.0
B09R1QQPTQ,2022-07-28,Washing Machines & Dryers,115.0,189.0
B09R1QQPTQ,2022-07-29,Washing Machines & Dryers,111.0,115.0
B09R1QQPTQ,2022-07-30,Washing Machines & Dryers,77.0,111.0
B09R1QQPTQ,2022-07-31,Washing Machines & Dryers,119.0,77.0
B09R1QQPTQ,2022-08-01,Washing Machines & Dryers,90.0,119.0
