ASIN,Details Tag,Present
B08SR4L6X2,Package Dimensions,False
B08SR4L6X2,Noise Level Spinning,False
B08SR4L6X2,Batteries Included,False
B08SR4L6X2,Country Of Origin,True
B08SR4L6X2,"Noise Level For Washing In Program ""Cotton 60°C""",False
B08SR4L6X2,Noise Level Washing,False
B08SR4L6X2,Form Factor,False
B08SR4L6X2,Date First Available,False
B08SR4L6X2,Imported By,False
B08SR4L6X2,Annual Energy Consumption,False
B08SR4L6X2,Part Number,False
B08SR4L6X2,Number Of Option Cycles,False
B08SR4L6X2,Item Weight,True
B08SR4L6X2,Generic Name,True
B08SR4L6X2,Model,False
B08SR4L6X2,Maximum Rotational Speed,False
B08SR4L6X2,Capacity Per Drying Program,False
B08SR4L6X2,Energy Efficiency,False
B08SR4L6X2,Importer,False
B08SR4L6X2,Best Sellers Rank,False
B08SR4L6X2,Battery Cell Type,False
B08SR4L6X2,Item Part Number,False
B08SR4L6X2,Material,False
B08SR4L6X2,Item Model Number,True
B08SR4L6X2,Colour,False
B08SR4L6X2,Product Dimensions,True
B08SR4L6X2,Manufacturer,True
B08SR4L6X2,Wattage,False
B08SR4L6X2,Capacity Per Washing Program,False
B08SR4L6X2,Batteries Required,False
B08SR4L6X2,Capacity,False
B08SR4L6X2,Standard Capacity Cycle,False
B08SR4L6X2,Certification,False
B08SR4L6X2,Compatible Devices,False
B08SR4L6X2,Asin,True
B08SR4L6X2,Noise Level Drying,False
B08SR4L6X2,Net Quantity,True
B08SR4L6X2,Washing Performance Rating,False
B08SR4L6X2,Special Features,False
B08SR4L6X2,Included Components,True
B08SR4L6X2,Noise Level,False
B08SR4L6X2,Control Console,False
B08SR4L6X2,Voltage,False
B08SR4L6X2,Number Of Standard Cycles,False
B08SR4L6X2,Item Dimensions Lxwxh,True
B08SR4L6X2,Packer,True
B08SR4L6X2,Installation Type,False
B08SR4L6X2,Brand,False
B08SR4L6X2,Access Location,False
B08SR4L6X2,Customer Reviews,False
B09R1R7NMR,Package Dimensions,False
B09R1R7NMR,Noise Level Spinning,False
B09R1R7NMR,Batteries Included,False
B09R1R7NMR,Country Of Origin,True
B09R1R7NMR,"Noise Level For Washing In Program ""Cotton 60°C""",False
B09R1R7NMR,Noise Level Washing,False
B09R1R7NMR,Form Factor,True
B09R1R7NMR,Date First Available,True
B09R1R7NMR,Imported By,False
B09R1R7NMR,Annual Energy Consumption,True
B09R1R7NMR,Part Number,True
B09R1R7NMR,Number Of Option Cycles,False
B09R1R7NMR,Item Weight,True
B09R1R7NMR,Generic Name,True
B09R1R7NMR,Model,True
B09R1R7NMR,Maximum Rotational Speed,False
B09R1R7NMR,Capacity Per Drying Program,False
B09R1R7NMR,Energy Efficiency,True
B09R1R7NMR,Importer,False
B09R1R7NMR,Best Sellers Rank,True
B09R1R7NMR,Battery Cell Type,False
B09R1R7NMR,Item Part Number,False
