ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B08SR4L6X2,2022-07-07,32990.0,,44.0,,0.0,1.0
B08SR4L6X2,2022-07-09,32990.0,32990.0,58.0,44.0,0.0,1.0
B08SR4L6X2,2022-07-10,32990.0,32990.0,46.0,58.0,0.0,1.0
B08SR4L6X2,2022-07-13,33490.0,32990.0,54.0,46.0,0.0,1.0
B08SR4L6X2,2022-07-14,32990.0,33490.0,42.0,54.0,0.0,1.0
B08SR4L6X2,2022-07-15,32990.0,32990.0,59.0,42.0,0.0,1.0
B08SR4L6X2,2022-07-16,32990.0,32990.0,58.0,59.0,0.0,1.0
B08SR4L6X2,2022-07-17,32990.0,32990.0,39.0,58.0,0.0,1.0
B08SR4L6X2,2022-07-18,32990.0,32990.0,57.0,39.0,0.0,1.0
B08SR4L6X2,2022-07-19,33490.0,32990.0,58.0,57.0,0.0,1.0
B08SR4L6X2,2022-07-20,33137.0,33490.0,53.0,58.0,0.0,1.0
B08SR4L6X2,2022-07-21,33207.0,33137.0,53.0,53.0,0.0,1.0
B08SR4L6X2,2022-07-22,33432.0,33207.0,47.0,53.0,0.0,1.0
B08SR4L6X2,2022-07-23,33110.0,33432.0,45.0,47.0,0.0,1.0
B08SR4L6X2,2022-07-24,33077.0,33110.0,52.0,45.0,0.0,1.0
B08SR4L6X2,2022-07-25,32490.0,33077.0,53.0,52.0,0.0,1.0
B08SR4L6X2,2022-07-26,32490.0,32490.0,59.0,53.0,0.0,1.0
B08SR4L6X2,2022-07-27,32490.0,32490.0,52.0,59.0,0.0,1.0
B08SR4L6X2,2022-07-28,32990.0,32490.0,48.0,52.0,0.0,1.0
B08SR4L6X2,2022-07-29,32990.0,32990.0,42.0,48.0,0.0,1.0
B08SR4L6X2,2022-07-30,32990.0,32990.0,44.0,42.0,0.0,1.0
B08SR4L6X2,2022-07-31,32990.0,32990.0,38.0,44.0,0.0,1.0
B08SR4L6X2,2022-08-01,32990.0,32990.0,38.0,38.0,0.0,1.0
B08SR4L6X2,2022-08-02,32990.0,32990.0,47.0,38.0,0.0,1.0
B08SR4L6X2,2022-08-03,32990.0,32990.0,48.0,47.0,0.0,1.0
B08SR4L6X2,2022-08-04,32990.0,32990.0,61.0,48.0,0.0,1.0
B09R1R7NMR,2022-07-07,17990.0,,294.0,,0.0,1.0
B09R1R7NMR,2022-07-09,19290.0,17990.0,179.0,294.0,0.0,1.0
B09R1R7NMR,2022-07-10,17990.0,19290.0,282.0,179.0,0.0,1.0
B09R1R7NMR,2022-07-13,18490.0,17990.0,134.0,282.0,0.0,1.0
B09R1R7NMR,2022-07-14,17990.0,18490.0,157.0,134.0,0.0,1.0
B09R1R7NMR,2022-07-15,19290.0,17990.0,86.0,157.0,0.0,1.0
B09R1R7NMR,2022-07-16,17990.0,19290.0,139.0,86.0,0.0,1.0
B09R1R7NMR,2022-07-17,17990.0,17990.0,84.0,139.0,0.0,1.0
