ASIN,Category,Latest BSR,Last Day BSR
B08SR4L6X2,Home & Kitchen,4847.0,4978.0
B08SR4L6X2,Washing Machines & Dryers,48.0,43.0
B09R1R7NMR,Home & Kitchen,14274.0,13522.0
B09R1R7NMR,Washing Machines & Dryers,91.0,86.0
B09R1QQPTQ,Home & Kitchen,23440.0,17478.0
B09R1QQPTQ,Washing Machines & Dryers,122.0,95.0
B08SR372S7,Home & Kitchen,1250.0,1903.0
B08SR372S7,Washing Machines & Dryers,14.0,21.0
B08J3QXFLY,Home & Kitchen,209378.0,202603.0
B08J3QXFLY,Washing Machines & Dryers,452.0,424.0
B08SR52BSM,Home & Kitchen,10229.0,9736.0
B08SR52BSM,Washing Machines & Dryers,72.0,71.0
B08SR624PS,Home & Kitchen,9140.0,10763.0
B08SR624PS,Washing Machines & Dryers,68.0,76.0
B08JYPDFXV,Home & Kitchen,219868.0,182673.0
B08JYPDFXV,Washing Machines & Dryers,467.0,400.0
B08J3KFLBT,Home & Kitchen,1000.0,1242.0
B08J3KFLBT,Washing Machines & Dryers,12.0,13.0
B08KRZ69XY,Home & Kitchen,23075.0,21637.0
B08KRZ69XY,Washing Machines & Dryers,121.0,107.0
B08PZCS9J6,Home & Kitchen,4493.0,7497.0
B08PZCS9J6,Washing Machines & Dryers,45.0,55.0
B07H187SQW,Home & Kitchen,74203.0,40988.0
B07H187SQW,Washing Machines & Dryers,226.0,160.0
B00ZCJRXOK,Home & Kitchen,192692.0,155254.0
B00ZCJRXOK,Washing Machines & Dryers,426.0,361.0
B08V8CD9BH,Home & Kitchen,109328.0,75914.0
B08V8CD9BH,Washing Machines & Dryers,288.0,233.0
B09R1QJ566,Home & Kitchen,153394.0,90925.0
B09R1QJ566,Washing Machines & Dryers,362.0,256.0
B08L3HH6SC,Home & Kitchen,136988.0,83110.0
B08L3HH6SC,Washing Machines & Dryers,342.0,244.0
B08TBG2C78,Home & Kitchen,192543.0,147228.0
B08TBG2C78,Washing Machines & Dryers,425.0,350.0
B08PZBZD5M,Home & Kitchen,1864.0,1640.0
B08PZBZD5M,Washing Machines & Dryers,20.0,15.0
B0992FHPYT,Home & Kitchen,12322.0,29993.0
B0992FHPYT,Washing Machines & Dryers,82.0,135.0
B08HZ8RBF7,Home & Kitchen,44592.0,48856.0
B08HZ8RBF7,Washing Machines & Dryers,179.0,182.0
B08HZ5XQD3,Home & Kitchen,22796.0,14467.0
