ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B08SR4L6X2,"Bosch 8 kg 5 Star Touch Control Fully Automatic Front Load with Heater (WAJ2426AIN, White)",Bosch,32490.0,48.0,1985,4.4,NA,NA,41799.0,32490.0,43.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B09R1R7NMR,Bosch 6.5 Kg 5 Star Fully Automatic Top Load Washing Machine WOE651D0IN (Dark Grey),Bosch,19490.0,91.0,15,4.5,NA,NA,23090.0,19490.0,86.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B09R1QQPTQ,Bosch 7 Kg 5 Star Fully Automatic Top Load Washing MachineWOE701W0IN (White),Bosch,,122.0,14,3.7,NA,NA,,20490.0,95.0,0.0,NA,0.9375,Washing Machines & Dryers,
B08SR372S7,"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In - built Heater (WAJ2416SIN, Silver)",Bosch,31490.0,14.0,1840,4.5,NA,NA,48590.0,31490.0,21.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B08J3QXFLY,"Bosch 8 Kg Inverter Fully-Automatic Front Loading Washing Machine (WAJ24267IN, White)",Bosch,39990.0,452.0,424,4.5,NA,NA,42699.0,39990.0,424.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B08SR52BSM,"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading with In-built Heater (WAJ2416WIN, White)",Bosch,30990.0,72.0,5144,4.4,NA,NA,38799.0,30990.0,71.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B08SR624PS,Bosch 7 kg 5 Star 1000RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2006EIN),Bosch,28490.0,68.0,397,4.3,NA,NA,36599.0,28490.0,76.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B08JYPDFXV,"Bosch 7 kg Fully Automatic Condenser Tumble Dryer WTG86409IN, Silver, Inbuilt Heater)",Bosch,,467.0,9,4.3,NA,NA,,,400.0,0.0,NA,0.75,Washing Machines & Dryers,
B08J3KFLBT,Bosch 8 kg 5 Star 1400RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater Silver  (WAJ28262IN),Bosch,35990.0,12.0,945,4.4,NA,NA,58490.0,,13.0,0.0,Fulfilled,0.4375,Washing Machines & Dryers,
B08KRZ69XY,"Bosch 8 Kg Fully Automatic Front Load Washing Machine (WAJ2846SIN, Silver)",Bosch,40390.0,121.0,495,4.5,NA,NA,58390.0,40390.0,107.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
B08PZCS9J6,"Bosch 6 kg 5 Star Fully Automatic Front Loading Washing Machine with In - built Heater (WLJ2016TIN, Luxe Silver )",Bosch,26990.0,45.0,611,4.4,NA,NA,35090.0,26990.0,55.0,0.0,Fulfilled,1.0,Washing Machines & Dryers,
