ASIN,String,Rating,Frequency
B08J3KFLBT,great,5.0,4
B08J3KFLBT,must,5.0,1
B08J3KFLBT,must buy,5.0,1
B08J3KFLBT,buy,5.0,1
B08J3KFLBT,buy product,5.0,1
B08J3KFLBT,product,5.0,3
B08J3KFLBT,good,5.0,13
B08J3KFLBT,bosch,5.0,3
B08J3KFLBT,bosch machine,5.0,1
B08J3KFLBT,machine,5.0,9
B08J3KFLBT,machine awesome,5.0,1
B08J3KFLBT,awesome,5.0,5
B08J3KFLBT,awesome &,5.0,1
B08J3KFLBT,&,5.0,3
B08J3KFLBT,& service,5.0,1
B08J3KFLBT,service,5.0,4
B08J3KFLBT,service &,5.0,1
B08J3KFLBT,& installation,5.0,1
B08J3KFLBT,installation,5.0,6
B08J3KFLBT,installation bosch,5.0,1
B08J3KFLBT,bosch person,5.0,1
B08J3KFLBT,person,5.0,2
B08J3KFLBT,person also,5.0,1
B08J3KFLBT,also,5.0,4
B08J3KFLBT,also good,5.0,2
B08J3KFLBT,person visited,5.0,1
B08J3KFLBT,visited,5.0,1
B08J3KFLBT,visited installation,5.0,1
B08J3KFLBT,installation friendly,5.0,1
B08J3KFLBT,friendly,5.0,1
B08J3KFLBT,friendly given,5.0,1
B08J3KFLBT,given,5.0,1
B08J3KFLBT,given good,5.0,1
B08J3KFLBT,good information,5.0,1
B08J3KFLBT,information,5.0,1
B08J3KFLBT,information &,5.0,1
B08J3KFLBT,& detailed,5.0,1
B08J3KFLBT,detailed,5.0,1
B08J3KFLBT,detailed demo,5.0,1
B08J3KFLBT,demo,5.0,2
B08J3KFLBT,demo instructions.,5.0,1
B08J3KFLBT,instructions.,5.0,1
B08J3KFLBT,instructions. machine,5.0,1
B08J3KFLBT,machine also,5.0,1
B08J3KFLBT,best,5.0,3
B08J3KFLBT,best class,5.0,2
B08J3KFLBT,class,5.0,4
B08J3KFLBT,lot,5.0,1
B08J3KFLBT,lot discussion,5.0,1
B08J3KFLBT,discussion,5.0,1
B08J3KFLBT,discussion selecting,5.0,1
B08J3KFLBT,selecting,5.0,1
B08J3KFLBT,selecting best,5.0,1
B08J3KFLBT,best washing,5.0,1
B08J3KFLBT,washing,5.0,3
B08J3KFLBT,washing machine,5.0,2
B08J3KFLBT,machine considering,5.0,1
B08J3KFLBT,considering,5.0,1
B08J3KFLBT,considering multiple,5.0,1
B08J3KFLBT,multiple,5.0,1
B08J3KFLBT,multiple options.,5.0,1
B08J3KFLBT,options.,5.0,1
B08J3KFLBT,options. thanks,5.0,1
B08J3KFLBT,thanks,5.0,1
B08J3KFLBT,thanks cousin,5.0,1
B08J3KFLBT,cousin,5.0,1
B08J3KFLBT,cousin mine,5.0,1
B08J3KFLBT,mine,5.0,1
B08J3KFLBT,mine already,5.0,1
B08J3KFLBT,already,5.0,1
B08J3KFLBT,already using,5.0,1
B08J3KFLBT,using,5.0,2
B08J3KFLBT,"using bosch,",5.0,1
B08J3KFLBT,"bosch,",5.0,1
B08J3KFLBT,"bosch, proceeded",5.0,1
B08J3KFLBT,proceeded,5.0,1
B08J3KFLBT,proceeded product.,5.0,1
B08J3KFLBT,product.,5.0,2
B08J3KFLBT,product. trust,5.0,1
B08J3KFLBT,trust,5.0,1
B08J3KFLBT,"trust me,",5.0,1
B08J3KFLBT,"me,",5.0,1
B08J3KFLBT,"me, world",5.0,1
B08J3KFLBT,world,5.0,1
B08J3KFLBT,world class,5.0,1
B08J3KFLBT,class best,5.0,1
B08J3KFLBT,class features.,5.0,1
B08J3KFLBT,features.,5.0,1
B08J3KFLBT,features. blindly,5.0,1
B08J3KFLBT,blindly,5.0,1
B08J3KFLBT,blindly purchase,5.0,1
B08J3KFLBT,purchase,5.0,1
B08J3KFLBT,purchase family,5.0,1
B08J3KFLBT,family,5.0,1
B08J3KFLBT,family 4-6.,5.0,1
B08J3KFLBT,4-6.,5.0,1
B08J3KFLBT,4-6. used,5.0,1
B08J3KFLBT,used,5.0,1
B08J3KFLBT,used top,5.0,1
B08J3KFLBT,top,5.0,2
B08J3KFLBT,top loader,5.0,1
B08J3KFLBT,loader,5.0,2
B08J3KFLBT,"loader previously,",5.0,1
B08J3KFLBT,"previously,",5.0,1
B08J3KFLBT,"previously, front",5.0,1
B08J3KFLBT,front,5.0,1
B08J3KFLBT,front loader,5.0,1
B08J3KFLBT,loader better,5.0,1
B08J3KFLBT,better,5.0,1
B08J3KFLBT,better washing,5.0,1
B08J3KFLBT,washing quality,5.0,1
B08J3KFLBT,quality,5.0,1
B08J3KFLBT,quality top,5.0,1
B08J3KFLBT,top loading,5.0,1
B08J3KFLBT,loading,5.0,1
B08J3KFLBT,loading machines.,5.0,1
B08J3KFLBT,machines.,5.0,2
B08J3KFLBT,strong,5.0,2
B08J3KFLBT,strong smooth,5.0,1
B08J3KFLBT,smooth,5.0,1
B08J3KFLBT,smooth machine,5.0,1
B08J3KFLBT,machine powerful,5.0,1
B08J3KFLBT,powerful,5.0,1
B08J3KFLBT,powerful strong,5.0,1
B08J3KFLBT,strong body,5.0,1
B08J3KFLBT,body,5.0,1
B08J3KFLBT,"body ,",5.0,1
B08J3KFLBT,",",5.0,2
B08J3KFLBT,", motor",5.0,1
B08J3KFLBT,motor,5.0,1
B08J3KFLBT,motor drum,5.0,1
B08J3KFLBT,drum,5.0,1
B08J3KFLBT,drum .,5.0,1
B08J3KFLBT,.,5.0,1
B08J3KFLBT,. overall,5.0,1
B08J3KFLBT,overall,5.0,1
B08J3KFLBT,overall machine,5.0,1
B08J3KFLBT,machine performance,5.0,1
B08J3KFLBT,performance,5.0,1
B08J3KFLBT,performance like,5.0,1
B08J3KFLBT,like,5.0,1
B08J3KFLBT,like water,5.0,1
B08J3KFLBT,water,5.0,1
B08J3KFLBT,water consumption,5.0,1
B08J3KFLBT,consumption,5.0,2
B08J3KFLBT,consumption le,5.0,2
B08J3KFLBT,le,5.0,2
B08J3KFLBT,"le ,",5.0,1
B08J3KFLBT,", power",5.0,1
B08J3KFLBT,power,5.0,1
B08J3KFLBT,power consumption,5.0,1
B08J3KFLBT,le much,5.0,1
B08J3KFLBT,much,5.0,1
B08J3KFLBT,much awesome,5.0,1
B08J3KFLBT,awesome product,5.0,1
B08J3KFLBT,product also,5.0,1
B08J3KFLBT,also look,5.0,1
B08J3KFLBT,look,5.0,1
B08J3KFLBT,look also,5.0,1
B08J3KFLBT,also decent,5.0,1
B08J3KFLBT,decent,5.0,2
B08J3KFLBT,work,5.0,2
B08J3KFLBT,work per,5.0,1
B08J3KFLBT,per,5.0,1
B08J3KFLBT,per expectation.,5.0,1
B08J3KFLBT,expectation.,5.0,2
B08J3KFLBT,complaint,5.0,1
B08J3KFLBT,"complaint washing-machine,",5.0,1
B08J3KFLBT,"washing-machine,",5.0,1
B08J3KFLBT,"washing-machine, work",5.0,1
B08J3KFLBT,work perfectly.,5.0,1
B08J3KFLBT,perfectly.,5.0,1
B08J3KFLBT,perfectly. delivery,5.0,1
B08J3KFLBT,delivery,5.0,1
B08J3KFLBT,delivery done,5.0,1
B08J3KFLBT,done,5.0,3
B08J3KFLBT,done 24,5.0,1
B08J3KFLBT,24,5.0,1
B08J3KFLBT,24 hour,5.0,1
B08J3KFLBT,hour,5.0,2
B08J3KFLBT,hour putting,5.0,1
B08J3KFLBT,putting,5.0,1
B08J3KFLBT,putting order.,5.0,1
B08J3KFLBT,order.,5.0,1
B08J3KFLBT,order. installation,5.0,1
B08J3KFLBT,installation wasn’t,5.0,1
B08J3KFLBT,wasn’t,5.0,1
B08J3KFLBT,wasn’t done,5.0,1
B08J3KFLBT,done amazon.,5.0,1
B08J3KFLBT,amazon.,5.0,1
B08J3KFLBT,amazon. took,5.0,1
B08J3KFLBT,took,5.0,1
B08J3KFLBT,took close,5.0,1
B08J3KFLBT,close,5.0,1
B08J3KFLBT,close 10,5.0,1
B08J3KFLBT,10,5.0,1
B08J3KFLBT,10 day,5.0,1
B08J3KFLBT,day,5.0,1
B08J3KFLBT,day fro,5.0,1
B08J3KFLBT,fro,5.0,1
B08J3KFLBT,fro call,5.0,1
B08J3KFLBT,call,5.0,1
B08J3KFLBT,call amazon,5.0,1
B08J3KFLBT,amazon,5.0,1
B08J3KFLBT,amazon home,5.0,1
B08J3KFLBT,home,5.0,1
B08J3KFLBT,home service,5.0,1
B08J3KFLBT,service still,5.0,1
B08J3KFLBT,still,5.0,1
B08J3KFLBT,still installation,5.0,1
B08J3KFLBT,installation guy(3pp,5.0,1
B08J3KFLBT,guy(3pp,5.0,1
B08J3KFLBT,guy(3pp service,5.0,1
B08J3KFLBT,service sucks),5.0,1
B08J3KFLBT,sucks),5.0,1
B08J3KFLBT,sucks) didn’t,5.0,1
B08J3KFLBT,didn’t,5.0,1
B08J3KFLBT,didn’t turn,5.0,1
B08J3KFLBT,turn,5.0,1
B08J3KFLBT,turn up.,5.0,1
B08J3KFLBT,up.,5.0,1
B08J3KFLBT,up. contacted,5.0,1
B08J3KFLBT,contacted,5.0,1
B08J3KFLBT,contacted bosch,5.0,1
B08J3KFLBT,bosch directly,5.0,1
B08J3KFLBT,directly,5.0,1
B08J3KFLBT,directly official,5.0,1
B08J3KFLBT,official,5.0,1
B08J3KFLBT,official whatsapp,5.0,1
B08J3KFLBT,whatsapp,5.0,1
B08J3KFLBT,whatsapp free,5.0,1
B08J3KFLBT,free,5.0,1
B08J3KFLBT,free installation,5.0,1
B08J3KFLBT,installation done,5.0,1
B08J3KFLBT,done within,5.0,1
B08J3KFLBT,within,5.0,1
B08J3KFLBT,within 15,5.0,1
B08J3KFLBT,15,5.0,1
B08J3KFLBT,15 hour,5.0,1
B08J3KFLBT,hour bosch.,5.0,1
B08J3KFLBT,bosch.,5.0,2
B08J3KFLBT,great washing,5.0,1
B08J3KFLBT,month,5.0,1
B08J3KFLBT,month two,5.0,1
B08J3KFLBT,two,5.0,1
B08J3KFLBT,two since,5.0,1
B08J3KFLBT,since,5.0,1
B08J3KFLBT,since using,5.0,1
B08J3KFLBT,using it.,5.0,1
B08J3KFLBT,it.,5.0,1
B08J3KFLBT,it. great,5.0,1
B08J3KFLBT,great product.,5.0,1
B08J3KFLBT,product. installation,5.0,1
B08J3KFLBT,installation demo,5.0,1
B08J3KFLBT,demo service,5.0,1
B08J3KFLBT,service need,5.0,1
B08J3KFLBT,need,5.0,1
B08J3KFLBT,need improved.,5.0,1
B08J3KFLBT,improved.,5.0,2
B08J3KFLBT,good!!,5.0,2
B08J3KFLBT,totally,5.0,1
B08J3KFLBT,totally depend,5.0,1
B08J3KFLBT,depend,5.0,1
B08J3KFLBT,depend awesome,5.0,1
B08J3KFLBT,awesome usese,5.0,1
B08J3KFLBT,usese,5.0,2
B08J3KFLBT,bosch,4.0,1
B08J3KFLBT,bosch nice,4.0,1
B08J3KFLBT,nice,4.0,1
B08J3KFLBT,nice product,4.0,1
B08J3KFLBT,product,4.0,4
B08J3KFLBT,good,4.0,4
B08J3KFLBT,good product,4.0,1
B08J3KFLBT,work,4.0,1
B08J3KFLBT,work good,4.0,1
B08J3KFLBT,good working,4.0,1
B08J3KFLBT,working,4.0,2
B08J3KFLBT,received,1.0,2
B08J3KFLBT,received front,1.0,1
B08J3KFLBT,front,1.0,1
B08J3KFLBT,front side,1.0,1
B08J3KFLBT,side,1.0,1
B08J3KFLBT,side broken,1.0,1
B08J3KFLBT,broken,1.0,1
B08J3KFLBT,broken damaged,1.0,1
B08J3KFLBT,damaged,1.0,1
B08J3KFLBT,damaged product,1.0,1
B08J3KFLBT,product,1.0,5
B08J3KFLBT,totally,1.0,1
B08J3KFLBT,totally disappointed.,1.0,1
B08J3KFLBT,disappointed.,1.0,2
B08J3KFLBT,product experience,1.0,1
B08J3KFLBT,experience,1.0,1
B08J3KFLBT,experience buying,1.0,1
B08J3KFLBT,buying,1.0,1
B08J3KFLBT,buying amazon,1.0,1
B08J3KFLBT,amazon,1.0,1
B08J3KFLBT,amazon pathetic,1.0,1
B08J3KFLBT,pathetic,1.0,2
B08J3KFLBT,pay,1.0,1
B08J3KFLBT,pay extra,1.0,1
B08J3KFLBT,extra,1.0,1
B08J3KFLBT,extra buy,1.0,1
B08J3KFLBT,buy,1.0,2
B08J3KFLBT,buy appliance,1.0,1
B08J3KFLBT,appliance,1.0,1
B08J3KFLBT,appliance offline,1.0,1
B08J3KFLBT,offline,1.0,1
B08J3KFLBT,offline store,1.0,1
B08J3KFLBT,store,1.0,1
B08J3KFLBT,store better,1.0,1
B08J3KFLBT,better,1.0,1
B08J3KFLBT,better brand,1.0,1
B08J3KFLBT,brand,1.0,1
B08J3KFLBT,brand itself.,1.0,1
B08J3KFLBT,itself.,1.0,2
B08J3KFLBT,look,1.0,2
B08J3KFLBT,received damage,1.0,1
B08J3KFLBT,damage,1.0,1
B08J3KFLBT,damage item,1.0,1
B08J3KFLBT,item,1.0,1
B08J3KFLBT,item return,1.0,1
B08J3KFLBT,return,1.0,2
B08J3KFLBT,waste,1.0,2
B08J3KFLBT,waste money.,1.0,1
B08J3KFLBT,money.,1.0,1
B08J3KFLBT,money. think,1.0,1
B08J3KFLBT,think,1.0,2
B08J3KFLBT,think twice,1.0,1
B08J3KFLBT,twice,1.0,2
B08J3KFLBT,product waste,1.0,1
B08J3KFLBT,"waste money,",1.0,1
B08J3KFLBT,"money,",1.0,1
B08J3KFLBT,"money, facing",1.0,1
B08J3KFLBT,facing,1.0,1
B08J3KFLBT,facing issue,1.0,1
B08J3KFLBT,issue,1.0,1
B08J3KFLBT,issue e56,1.0,1
B08J3KFLBT,e56,1.0,1
B08J3KFLBT,e56 error,1.0,1
B08J3KFLBT,error,1.0,2
B08J3KFLBT,error completely,1.0,1
B08J3KFLBT,completely,1.0,1
B08J3KFLBT,completely hang,1.0,1
B08J3KFLBT,hang,1.0,1
B08J3KFLBT,hang system.,1.0,1
B08J3KFLBT,system.,1.0,1
B08J3KFLBT,system. called,1.0,1
B08J3KFLBT,called,1.0,2
B08J3KFLBT,called foe,1.0,1
B08J3KFLBT,foe,1.0,1
B08J3KFLBT,foe service,1.0,1
B08J3KFLBT,service,1.0,2
B08J3KFLBT,service initially,1.0,1
B08J3KFLBT,initially,1.0,1
B08J3KFLBT,initially informed,1.0,1
B08J3KFLBT,informed,1.0,2
B08J3KFLBT,informed 5.8k,1.0,1
B08J3KFLBT,5.8k,1.0,1
B08J3KFLBT,5.8k service,1.0,1
B08J3KFLBT,service charge,1.0,1
B08J3KFLBT,charge,1.0,2
B08J3KFLBT,charge later,1.0,1
B08J3KFLBT,later,1.0,1
B08J3KFLBT,later called,1.0,1
B08J3KFLBT,called informed,1.0,1
B08J3KFLBT,informed new,1.0,1
B08J3KFLBT,new,1.0,2
B08J3KFLBT,new error,1.0,1
B08J3KFLBT,error new,1.0,1
B08J3KFLBT,new model,1.0,1
B08J3KFLBT,model,1.0,1
B08J3KFLBT,model bosch,1.0,1
B08J3KFLBT,bosch,1.0,1
B08J3KFLBT,bosch washing,1.0,1
B08J3KFLBT,washing,1.0,1
B08J3KFLBT,washing machine,1.0,1
B08J3KFLBT,machine,1.0,1
B08J3KFLBT,machine said,1.0,1
B08J3KFLBT,said,1.0,1
B08J3KFLBT,said replace,1.0,1
B08J3KFLBT,replace,1.0,1
B08J3KFLBT,replace complete,1.0,1
B08J3KFLBT,complete,1.0,1
B08J3KFLBT,complete mother,1.0,1
