ASIN,Category,Latest BSR,Last Day BSR
B00JJHFF6O,Beauty,156.0,
B00JJHFF6O,Shampoos,20.0,
B015Z96HQ6,Beauty,114688.0,108933.0
B015Z96HQ6,Shampoos,6612.0,6354.0
B0744GC2CK,Beauty,47.0,
B0744GC2CK,Shampoos,5.0,
B07J68MNQM,Beauty,6160.0,5818.0
B07J68MNQM,Shampoos,562.0,532.0
B0B8519S4B,Beauty,100851.0,96826.0
B0B8519S4B,Shampoos,5924.0,5733.0
B07J5XZ81C,Beauty,4048.0,8216.0
B07J5XZ81C,Shampoos,374.0,716.0
B08CSHBPD5,Beauty,14.0,15.0
B08CSHBPD5,Shampoos,3.0,2.0
B0744HSSPR,Beauty,936.0,
B0744HSSPR,Shampoos,100.0,
B08LH1GDWN,Beauty,70553.0,62481.0
B08LH1GDWN,Shampoos,4389.0,3956.0
B07PHT1DRH,Beauty,13365.0,12298.0
B07PHT1DRH,Shampoos,1079.0,990.0
B08PD6R565,Beauty,12190.0,29238.0
B08PD6R565,Shampoos,1002.0,2038.0
B08LGXDR8F,Beauty,60819.0,57854.0
B08LGXDR8F,Shampoos,3861.0,3712.0
B07M67K6BQ,Beauty,6763.0,5766.0
B07M67K6BQ,Shampoos,620.0,528.0
B07B5BTHW9,Beauty,55175.0,42684.0
B07B5BTHW9,Shampoos,3560.0,2822.0
B01KC4BWN2,Beauty,6294.0,7748.0
B01KC4BWN2,Shampoos,584.0,690.0
B09YQVSVTD,Beauty,56545.0,51934.0
B09YQVSVTD,Shampoos,3630.0,3351.0
B07R51C4VQ,Beauty,94349.0,91222.0
B07R51C4VQ,Shampoos,5612.0,5458.0
B0B6Y7PXTF,Beauty,212.0,222.0
B0B6Y7PXTF,Shampoos,28.0,30.0
B00IF3W4DK,Beauty,1366.0,1601.0
B00IF3W4DK,Shampoos,149.0,171.0
B01M1O4JAA,Beauty,11403.0,17273.0
B01M1O4JAA,Shampoos,950.0,1298.0
B09BZWK2PS,Beauty,15606.0,10475.0
B09BZWK2PS,Shampoos,1223.0,874.0
B09YQX68LH,Beauty,51099.0,40789.0
B09YQX68LH,Shampoos,3344.0,2710.0
B0777NWH53,Beauty,18974.0,15562.0
B0777NWH53,Shampoos,1432.0,1196.0
B08T2Y2Q4T,Beauty,124.0,97.0
B08T2Y2Q4T,Shampoos,17.0,13.0
B006LXAG4K,Beauty,458.0,358.0
B006LXAG4K,Shampoos,58.0,46.0
B01M112TLH,Beauty,23247.0,10959.0
B01M112TLH,Shampoos,1707.0,904.0
B08QV7QXF2,Beauty,18562.0,20024.0
B08QV7QXF2,Conditioners,313.0,350.0
B08QV7QXF2,Shampoos,1393.0,1477.0
B017RBFW3E,Beauty,1644.0,1396.0
B017RBFW3E,Chemical Hair Dyes,13.0,12.0
B0B6XZBQ1G,Beauty,1065.0,1143.0
B0B6XZBQ1G,Conditioners,25.0,26.0
B0B6XZBQ1G,Shampoos,116.0,125.0
B077PT2S31,Beauty,12191.0,36936.0
B077PT2S31,Shampoos,1002.0,2484.0
B000MJ79R6,Beauty,7825.0,10647.0
B000MJ79R6,Shampoos,697.0,877.0
B09YQTSBTH,Beauty,4433.0,5272.0
B09YQTSBTH,Shampoos,410.0,485.0
B09FXSYNY3,Beauty,1105.0,2090.0
B09FXSYNY3,Shampoos,121.0,216.0
B008KH5U28,Beauty,232.0,256.0
B008KH5U28,Shampoos,30.0,33.0
B08MM9WKGV,Beauty,6970.0,10824.0
B08MM9WKGV,Shampoos,636.0,892.0
B00JLD7GOU,Beauty,33045.0,31336.0
B00JLD7GOU,Shampoos,2254.0,2147.0
B08DP1NJN5,Beauty,6237.0,11488.0
B08DP1NJN5,Shampoos,563.0,941.0
B00IF3W3FE,Beauty,2384.0,2296.0
B00IF3W3FE,Shampoos,243.0,233.0
B07MMKGWVM,Beauty,21194.0,19560.0
B07MMKGWVM,Conditioners,353.0,343.0
B07MMKGWVM,Shampoos,1572.0,1448.0
B08MMF37J8,Beauty,1224.0,986.0
B08MMF37J8,Shampoos,134.0,104.0
B09YHWBP1J,Beauty,5313.0,6376.0
B09YHWBP1J,Shampoos,487.0,576.0
B09YHWSNPK,Beauty,5316.0,4561.0
B09YHWSNPK,Shampoos,490.0,425.0
B01LX41O04,Beauty,31895.0,17338.0
B01LX41O04,Shampoos,2193.0,1306.0
B09BZRYMF3,Beauty,1474.0,1588.0
B09BZRYMF3,Shampoos,162.0,172.0
B07J68V1MG,Beauty,9124.0,5388.0
B07J68V1MG,Shampoos,798.0,498.0
B074VDVQ2S,Beauty,318.0,404.0
B074VDVQ2S,Shampoos,40.0,50.0
B09NLZC97Z,Beauty,26179.0,17773.0
B09NLZC97Z,Shampoos,1876.0,1310.0
B07MW4ZRJL,Beauty,1050.0,
B07MW4ZRJL,Shampoos,115.0,
B084MJPK42,Beauty,2414.0,
B084MJPK42,Shampoos,244.0,
B0B9RFWVND,Beauty,29935.0,
B0B9RFWVND,Shampoos,2126.0,
B0B9QYBBBZ,Beauty,28879.0,
B0B9QYBBBZ,Shampoos,2011.0,
B09HKMGYHG,Beauty,832.0,
B09HKMGYHG,Shampoos,87.0,
B0744KHS4K,Beauty,270.0,
B0744KHS4K,Shampoos,35.0,
B0B9R9DDHW,Beauty,116004.0,
B0B9R9DDHW,Shampoos,6673.0,
B092566RWC,Beauty,838.0,
B092566RWC,Shampoos,87.0,
B0B9QX7BX6,Beauty,42301.0,
B0B9QX7BX6,Shampoos,2822.0,
B099QX3SHY,Beauty,30024.0,
B099QX3SHY,Shampoos,2131.0,
B099QWPSL3,Beauty,32932.0,
B099QWPSL3,Shampoos,2254.0,
B0B9RC1KTC,Beauty,52178.0,
B0B9RC1KTC,Shampoos,3408.0,
B076CH85SL,Beauty,858.0,
B076CH85SL,Shampoos,90.0,
B0B9RFC2TD,Beauty,73633.0,
B0B9RFC2TD,Shampoos,4566.0,
B0B9QXX1WQ,Beauty,43585.0,
B0B9QXX1WQ,Shampoos,2898.0,
B099FG63Y3,Beauty,2432.0,
B099FG63Y3,Shampoos,243.0,
B0B9RCCV48,Beauty,8151.0,
B0B9RCCV48,Shampoos,725.0,
B0B9R5PQRV,Beauty,13343.0,
B0B9R5PQRV,Shampoos,1089.0,
B099QXFJTF,Beauty,58530.0,
B099QXFJTF,Shampoos,3742.0,
B09MG3G5X2,Beauty,6928.0,
B09MG3G5X2,Shampoos,637.0,
B0B9RB1KDP,Beauty,33788.0,
B0B9RB1KDP,Shampoos,2306.0,
B096VKRKLB,Beauty,1470.0,
B096VKRKLB,Shampoos,161.0,
B09HKNHTW2,Beauty,1719.0,
B09HKNHTW2,Shampoos,193.0,
B099QY1XC7,Beauty,20912.0,
B099QY1XC7,Shampoos,1570.0,
B06Y3WVH2X,Beauty,6905.0,
B06Y3WVH2X,Shampoos,635.0,
B0B9R1PNP5,Beauty,42188.0,
B0B9R1PNP5,Shampoos,2821.0,
B0B9RN6DF7,Beauty,41077.0,
B0B9RN6DF7,Shampoos,2749.0,
B099QXF6KK,Beauty,71478.0,
B099QXF6KK,Shampoos,4442.0,
B08RZVDQN9,Beauty,258.0,
B08RZVDQN9,Shampoos,34.0,
B09253F1C5,Beauty,4280.0,
B09253F1C5,Shampoos,398.0,
B0B9R295YW,Beauty,3480.0,
B0B9R295YW,Conditioners,84.0,
B099QXFRXL,Beauty,61348.0,
B099QXFRXL,Shampoos,3892.0,
B00MCIL2SC,Beauty,1013.0,
B00MCIL2SC,Shampoos,109.0,
B07H9YBYSK,Beauty,671.0,702.0
B07H9YBYSK,Shampoos,74.0,78.0
B092554RDC,Beauty,13083.0,
B092554RDC,Shampoos,1067.0,
B00GSGO6OQ,Beauty,6455.0,8012.0
B00GSGO6OQ,Shampoos,586.0,702.0
B07PYS251K,Beauty,5607.0,4008.0
B07PYS251K,Shampoos,512.0,374.0
B07H9YCB5L,Beauty,2217.0,2371.0
B07H9YCB5L,Shampoos,229.0,239.0
B07HB2L7QD,Beauty,1694.0,1413.0
B07HB2L7QD,Shampoos,186.0,154.0
B07HB4FKZS,Beauty,639.0,622.0
B07HB4FKZS,Shampoos,72.0,71.0
B085WKPQZ7,Beauty,15305.0,13156.0
B085WKPQZ7,Shampoos,1206.0,1046.0
B09QBV3P1G,Beauty,505.0,678.0
B09QBV3P1G,Shampoos,60.0,76.0
B075766WW1,Beauty,12014.0,13648.0
B075766WW1,Shampoos,995.0,1086.0
B0811TY3W5,Beauty,38949.0,59904.0
B0811TY3W5,Shampoos,2613.0,3810.0
B07H9T25WH,Beauty,65.0,61.0
B07H9T25WH,Shampoos,9.0,9.0
B085WJY6NH,Beauty,1894.0,1751.0
B085WJY6NH,Shampoos,202.0,189.0
B09QC4BM5M,Beauty,1152.0,564.0
B09QC4BM5M,Shampoos,124.0,68.0
B07PZX21D6,Beauty,12046.0,15036.0
B07PZX21D6,Shampoos,984.0,1164.0
B07H9SV624,Beauty,201.0,196.0
B07H9SV624,Shampoos,27.0,27.0
B017BFNGLG,Beauty,12700.0,11232.0
B017BFNGLG,Shampoos,1034.0,923.0
B00CQ41JE4,Beauty,1278.0,1269.0
B00CQ41JE4,Shampoos,140.0,138.0
B07H9X7WTG,Beauty,19000.0,17487.0
B07H9X7WTG,Shampoos,1440.0,1293.0
B09PK839YJ,Beauty,46881.0,40492.0
B09PK839YJ,Shampoos,3065.0,2668.0
B07Y4V67MP,Beauty,5565.0,6880.0
B07Y4V67MP,Shampoos,412.0,434.0
B07Y4V67MP,Conditioners,113.0,136.0
B0B9R627QB,Beauty,102765.0,91334.0
B0B9R627QB,Shampoos,6020.0,5461.0
B0B53H7GB9,Beauty,65324.0,85656.0
B0B53H7GB9,Shampoos,4020.0,5164.0
B00GQV7MT4,Beauty,12391.0,8221.0
B00GQV7MT4,Shampoos,1018.0,717.0
B0B6HP54G8,Beauty,3084.0,3628.0
B0B6HP54G8,Shampoos,293.0,343.0
B085WKPQZ8,Beauty,11173.0,13959.0
B085WKPQZ8,Shampoos,934.0,1083.0
B085WKBKDT,Beauty,22181.0,15064.0
B085WKBKDT,Shampoos,1635.0,1169.0
B00CQ416YW,Beauty,2396.0,2931.0
B00CQ416YW,Shampoos,242.0,282.0
B078B5LLBV,Beauty,4519.0,5694.0
B078B5LLBV,Shampoos,418.0,505.0
B07HB4L36F,Beauty,5148.0,4662.0
B07HB4L36F,Shampoos,473.0,426.0
B074MKRYBP,Beauty,8594.0,9221.0
B074MKRYBP,Shampoos,752.0,784.0
B07H9SV61Y,Beauty,780.0,734.0
B07H9SV61Y,Shampoos,82.0,81.0
B07H9STZWF,Beauty,59310.0,57721.0
B07H9STZWF,Shampoos,3781.0,3702.0
B09TR1T6QS,Beauty,25848.0,47318.0
B09TR1T6QS,Shampoos,1850.0,3094.0
B00OJ2B9AU,Beauty,83362.0,75594.0
B00OJ2B9AU,Shampoos,5059.0,4659.0
B006T8BXF8,Beauty,3575.0,3739.0
B006T8BXF8,Shampoos,339.0,348.0
B093SXXN5V,Beauty,376.0,356.0
B093SXXN5V,Shampoos,49.0,44.0
B00QKAQN3M,Beauty,1166.0,1017.0
B00QKAQN3M,Shampoos,127.0,107.0
B085WK7VZV,Beauty,36477.0,34216.0
B085WK7VZV,Shampoos,2470.0,2330.0
B09PK8NV5V,Beauty,24458.0,
B09PK8NV5V,Shampoos,1768.0,
B09QKRZF6S,Beauty,12688.0,13612.0
B09QKRZF6S,Shampoos,1014.0,1100.0
B09PKB1M63,Beauty,46932.0,35295.0
B09PKB1M63,Shampoos,3068.0,2398.0
B0B9R5Y7C4,Beauty,110430.0,100361.0
B0B9R5Y7C4,Shampoos,6409.0,5914.0
B09F3KRXL8,Beauty,45956.0,33864.0
B09F3KRXL8,Shampoos,3034.0,2302.0
B07HB4TKXS,Beauty,1862.0,2041.0
B07HB4TKXS,Conditioners,46.0,50.0
B0811VC9NG,Beauty,4823.0,7449.0
B0811VC9NG,Shampoos,440.0,664.0
B09PL4K1HX,Beauty,28042.0,31334.0
B09PL4K1HX,Shampoos,1965.0,2176.0
B088CGMLCK,Beauty,39084.0,37902.0
B088CGMLCK,Shampoos,2626.0,2545.0
B07F2Q61L9,Beauty,2552.0,2757.0
B07F2Q61L9,Shampoos,259.0,265.0
B07H9X7WT9,Beauty,1374.0,1033.0
B07H9X7WT9,Shampoos,150.0,110.0
B07HB1YHZP,Beauty,722.0,966.0
B07HB1YHZP,Shampoos,76.0,103.0
B074ZCKWSN,Beauty,437.0,483.0
B074ZCKWSN,Shampoos,56.0,60.0
B00TBJSJM2,Beauty,18582.0,20032.0
B00TBJSJM2,Shampoos,1408.0,1472.0
B08QTWMZPY,Beauty,38034.0,32227.0
B08QTWMZPY,Shampoos,2565.0,2212.0
B0B6HNDWYW,Beauty,1446.0,2178.0
B0B6HNDWYW,Shampoos,158.0,224.0
B07H8Z4YRX,Beauty,64200.0,57053.0
B07H8Z4YRX,Shampoos,4060.0,3661.0
B07FYGXP1F,Beauty,1644.0,1792.0
B07FYGXP1F,Conditioners,39.0,42.0
B07F2Q47ST,Beauty,11477.0,12304.0
B07F2Q47ST,Shampoos,953.0,996.0
B01LZKXTRI,Beauty,38250.0,57920.0
B01LZKXTRI,Shampoos,2580.0,3714.0
B088CF4HYG,Beauty,2774.0,3028.0
B088CF4HYG,Shampoos,276.0,289.0
B09D81FMDZ,Beauty,11413.0,9180.0
B09D81FMDZ,Shampoos,947.0,783.0
B0B8ZTMRHW,Beauty,11195.0,16146.0
B0B8ZTMRHW,Shampoos,944.0,1230.0
B07FHDQLC6,Beauty,8596.0,6857.0
B07FHDQLC6,Shampoos,756.0,618.0
B088CDWWYM,Beauty,4309.0,4502.0
B088CDWWYM,Shampoos,399.0,413.0
B0B6HLBWD8,Beauty,1088.0,1230.0
