ASIN,Date,Category,BSR,Last Known BSR
B00JJHFF6O,2022-08-29,Beauty,156.0,
B00JJHFF6O,2022-08-29,Shampoos,20.0,
B015Z96HQ6,2022-08-25,Beauty,90605.0,
B015Z96HQ6,2022-08-26,Beauty,98782.0,90605.0
B015Z96HQ6,2022-08-27,Beauty,104446.0,98782.0
B015Z96HQ6,2022-08-28,Beauty,108933.0,104446.0
B015Z96HQ6,2022-08-29,Beauty,114688.0,108933.0
B015Z96HQ6,2022-08-25,Shampoos,5438.0,
B015Z96HQ6,2022-08-26,Shampoos,5840.0,5438.0
B015Z96HQ6,2022-08-27,Shampoos,6115.0,5840.0
B015Z96HQ6,2022-08-28,Shampoos,6354.0,6115.0
B015Z96HQ6,2022-08-29,Shampoos,6612.0,6354.0
B0744GC2CK,2022-08-29,Beauty,47.0,
B0744GC2CK,2022-08-29,Shampoos,5.0,
B07J68MNQM,2022-08-25,Beauty,7572.0,
B07J68MNQM,2022-08-26,Beauty,6638.0,7572.0
B07J68MNQM,2022-08-27,Beauty,6040.0,6638.0
B07J68MNQM,2022-08-28,Beauty,5818.0,6040.0
B07J68MNQM,2022-08-29,Beauty,6160.0,5818.0
B07J68MNQM,2022-08-25,Shampoos,658.0,
B07J68MNQM,2022-08-26,Shampoos,589.0,658.0
B07J68MNQM,2022-08-27,Shampoos,510.0,589.0
B07J68MNQM,2022-08-28,Shampoos,532.0,510.0
B07J68MNQM,2022-08-29,Shampoos,562.0,532.0
B0B8519S4B,2022-08-25,Beauty,92819.0,
B0B8519S4B,2022-08-26,Beauty,96826.0,92819.0
B0B8519S4B,2022-08-27,Beauty,100851.0,96826.0
B0B8519S4B,2022-08-25,Shampoos,5548.0,
B0B8519S4B,2022-08-26,Shampoos,5733.0,5548.0
B0B8519S4B,2022-08-27,Shampoos,5924.0,5733.0
B07J5XZ81C,2022-08-24,Beauty,4017.0,
B07J5XZ81C,2022-08-25,Beauty,3624.0,4017.0
B07J5XZ81C,2022-08-26,Beauty,4582.0,3624.0
B07J5XZ81C,2022-08-27,Beauty,4671.0,4582.0
B07J5XZ81C,2022-08-28,Beauty,8216.0,4671.0
B07J5XZ81C,2022-08-29,Beauty,4048.0,8216.0
B07J5XZ81C,2022-08-24,Shampoos,388.0,
B07J5XZ81C,2022-08-25,Shampoos,334.0,388.0
B07J5XZ81C,2022-08-26,Shampoos,418.0,334.0
B07J5XZ81C,2022-08-27,Shampoos,407.0,418.0
B07J5XZ81C,2022-08-28,Shampoos,716.0,407.0
B07J5XZ81C,2022-08-29,Shampoos,374.0,716.0
B08CSHBPD5,2022-08-24,Beauty,16.0,
B08CSHBPD5,2022-08-25,Beauty,18.0,16.0
B08CSHBPD5,2022-08-26,Beauty,20.0,18.0
B08CSHBPD5,2022-08-27,Beauty,15.0,20.0
B08CSHBPD5,2022-08-28,Beauty,15.0,15.0
B08CSHBPD5,2022-08-29,Beauty,14.0,15.0
B08CSHBPD5,2022-08-24,Shampoos,3.0,
B08CSHBPD5,2022-08-25,Shampoos,3.0,3.0
B08CSHBPD5,2022-08-26,Shampoos,3.0,3.0
B08CSHBPD5,2022-08-27,Shampoos,2.0,3.0
B08CSHBPD5,2022-08-28,Shampoos,2.0,2.0
B08CSHBPD5,2022-08-29,Shampoos,3.0,2.0
B0744HSSPR,2022-08-29,Beauty,936.0,
B0744HSSPR,2022-08-29,Shampoos,100.0,
B08LH1GDWN,2022-08-24,Beauty,60361.0,
B08LH1GDWN,2022-08-25,Beauty,29160.0,60361.0
B08LH1GDWN,2022-08-26,Beauty,42836.0,29160.0
B08LH1GDWN,2022-08-27,Beauty,53656.0,42836.0
B08LH1GDWN,2022-08-28,Beauty,62481.0,53656.0
B08LH1GDWN,2022-08-29,Beauty,70553.0,62481.0
B08LH1GDWN,2022-08-24,Shampoos,3815.0,
B08LH1GDWN,2022-08-25,Shampoos,2042.0,3815.0
B08LH1GDWN,2022-08-26,Shampoos,2834.0,2042.0
B08LH1GDWN,2022-08-27,Shampoos,3466.0,2834.0
B08LH1GDWN,2022-08-28,Shampoos,3956.0,3466.0
B08LH1GDWN,2022-08-29,Shampoos,4389.0,3956.0
B07PHT1DRH,2022-08-24,Beauty,12203.0,
B07PHT1DRH,2022-08-25,Beauty,12422.0,12203.0
B07PHT1DRH,2022-08-26,Beauty,10198.0,12422.0
B07PHT1DRH,2022-08-27,Beauty,10178.0,10198.0
B07PHT1DRH,2022-08-28,Beauty,12298.0,10178.0
B07PHT1DRH,2022-08-29,Beauty,13365.0,12298.0
B07PHT1DRH,2022-08-24,Shampoos,990.0,
B07PHT1DRH,2022-08-25,Shampoos,1020.0,990.0
B07PHT1DRH,2022-08-26,Shampoos,850.0,1020.0
B07PHT1DRH,2022-08-27,Shampoos,841.0,850.0
B07PHT1DRH,2022-08-28,Shampoos,990.0,841.0
B07PHT1DRH,2022-08-29,Shampoos,1079.0,990.0
B08PD6R565,2022-08-25,Beauty,18006.0,
B08PD6R565,2022-08-26,Beauty,24438.0,18006.0
B08PD6R565,2022-08-27,Beauty,19564.0,24438.0
B08PD6R565,2022-08-28,Beauty,29238.0,19564.0
B08PD6R565,2022-08-29,Beauty,12190.0,29238.0
B08PD6R565,2022-08-25,Shampoos,1384.0,
B08PD6R565,2022-08-26,Shampoos,1748.0,1384.0
B08PD6R565,2022-08-27,Shampoos,1455.0,1748.0
B08PD6R565,2022-08-28,Shampoos,2038.0,1455.0
B08PD6R565,2022-08-29,Shampoos,1002.0,2038.0
B08LGXDR8F,2022-08-25,Beauty,53618.0,
B08LGXDR8F,2022-08-26,Beauty,54727.0,53618.0
B08LGXDR8F,2022-08-27,Beauty,55896.0,54727.0
B08LGXDR8F,2022-08-28,Beauty,57854.0,55896.0
B08LGXDR8F,2022-08-29,Beauty,60819.0,57854.0
B08LGXDR8F,2022-08-25,Shampoos,3416.0,
B08LGXDR8F,2022-08-26,Shampoos,3510.0,3416.0
B08LGXDR8F,2022-08-27,Shampoos,3606.0,3510.0
B08LGXDR8F,2022-08-28,Shampoos,3712.0,3606.0
B08LGXDR8F,2022-08-29,Shampoos,3861.0,3712.0
B07M67K6BQ,2022-08-24,Beauty,8071.0,
B07M67K6BQ,2022-08-25,Beauty,9774.0,8071.0
B07M67K6BQ,2022-08-26,Beauty,9898.0,9774.0
B07M67K6BQ,2022-08-27,Beauty,7330.0,9898.0
B07M67K6BQ,2022-08-28,Beauty,5766.0,7330.0
B07M67K6BQ,2022-08-29,Beauty,6763.0,5766.0
B07M67K6BQ,2022-08-24,Shampoos,719.0,
B07M67K6BQ,2022-08-25,Shampoos,821.0,719.0
B07M67K6BQ,2022-08-26,Shampoos,835.0,821.0
B07M67K6BQ,2022-08-27,Shampoos,618.0,835.0
B07M67K6BQ,2022-08-28,Shampoos,528.0,618.0
B07M67K6BQ,2022-08-29,Shampoos,620.0,528.0
B07B5BTHW9,2022-08-24,Beauty,45317.0,
B07B5BTHW9,2022-08-25,Beauty,53298.0,45317.0
B07B5BTHW9,2022-08-26,Beauty,58915.0,53298.0
B07B5BTHW9,2022-08-27,Beauty,25360.0,58915.0
B07B5BTHW9,2022-08-28,Beauty,42684.0,25360.0
B07B5BTHW9,2022-08-29,Beauty,55175.0,42684.0
B07B5BTHW9,2022-08-24,Shampoos,2952.0,
B07B5BTHW9,2022-08-25,Shampoos,3398.0,2952.0
B07B5BTHW9,2022-08-26,Shampoos,3721.0,3398.0
B07B5BTHW9,2022-08-27,Shampoos,1810.0,3721.0
B07B5BTHW9,2022-08-28,Shampoos,2822.0,1810.0
B07B5BTHW9,2022-08-29,Shampoos,3560.0,2822.0
B01KC4BWN2,2022-08-24,Beauty,5791.0,
B01KC4BWN2,2022-08-25,Beauty,6306.0,5791.0
B01KC4BWN2,2022-08-26,Beauty,6106.0,6306.0
B01KC4BWN2,2022-08-27,Beauty,7664.0,6106.0
B01KC4BWN2,2022-08-28,Beauty,7748.0,7664.0
B01KC4BWN2,2022-08-29,Beauty,6294.0,7748.0
