ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B00JJHFF6O,"L'Oréal Professionnel Xtenso Care Shampoo 250 Ml, For Straightened Hair",L'Oréal Professionnel,580.0,20.0,5549,4.2,NA,NA,580.0,580.0,,57.0,Fulfilled,1.0,Shampoos,
B015Z96HQ6,L'oreal Paris Total Repairing Shampoo 5 for Damage Hair 640 mL with Ayur Soap,L'Oreal Paris,429.0,6661.0,1,2.0,NA,NA,699.0,429.0,6561.0,8.0,NA,1.0,Shampoos,
B0744GC2CK,"L'Oréal Professionnel Absolut Repair Shampoo With Protein And Gold Quinoa For Dry And Damaged Hair, Serie Expert, 300Ml",L'Oréal Professionnel,695.0,4.0,7135,4.3,NA,NA,695.0,695.0,5.0,79.0,Fulfilled,1.0,Shampoos,
B07J68MNQM,"L'Oreal Paris Fall Resist 3X Anti-Hairfall Shampoo, 360ml (With 10% Extra) And L'Oreal Paris Fall Resist 3X Anti-Hairfall Conditioner, 175ml (With 10% Extra)",L'Oreal Paris,428.0,594.0,93,4.2,NA,NA,548.0,428.0,478.0,11.0,Fulfilled,1.0,Shampoos,
B0B8519S4B,L'Oréal Paris Elvive Extraordinary Oil Shampoo For Dry Hair 680ml,L'Oreal Paris,,5924.0,,,NA,NA,,,5733.0,8.0,NA,1.0,Shampoos,
B07J5XZ81C,"L'Oreal Paris Extraordinary Clay Shampoo, 175ml (With 10% Extra) And L'Oreal Paris Extraordinary Clay Conditioner, 175ml (With 10% Extra)",L'Oreal Paris,338.0,286.0,51,4.3,NA,NA,388.0,278.0,440.0,17.0,Fulfilled,1.0,Shampoos,
B08CSHBPD5,"L'Oréal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 1l",L'Oreal Paris,490.0,3.0,35486,4.3,NA,NA,799.0,490.0,3.0,81.0,Fulfilled,1.0,Shampoos,
B0744HSSPR,"L'Oréal Professionnel Liss Unlimited Shampoo With Pro-Keratin And Kukui Nut Oil For Rebellious Frizzy Hair, Serie Expert, 300Ml",L'Oréal Professionnel,695.0,92.0,1920,3.9,NA,NA,695.0,695.0,107.0,30.0,Fulfilled,1.0,Shampoos,
B08LH1GDWN,"L'Oreal Paris 6 Oil Nourish Shampoo, 360ml (With 10% Extra) & L'Oreal Paris 6 Oil Nourish Shampoo, 175ml (With 10% Extra)",L'Oreal Paris,444.0,4388.0,5,4.6,NA,NA,514.0,444.0,4316.0,8.0,Fulfilled,1.0,Shampoos,
B07PHT1DRH,"L'Oreal Paris Total Repair 5 Shampoo 704ml Combo with Conditioner, 192.5ml + Serum, 40ml FREE",L'Oreal Paris,,1113.0,7395,4.3,NA,NA,,,1090.0,8.0,NA,0.3333333333333333,Shampoos,
B0B9RDWZJX,"L'Oreal Paris 6 Oil Nourish Conditioner, 175ml (With 10% Extra) & L'Oreal Paris Dream Lengths Shampoo, 192.5 ml",L'Oreal Paris,336.0,,,,NA,NA,348.0,336.0,,,Fulfilled,1.0,Shampoos,
B08PD6R565,"L'Oreal Paris 6 Oil Nourish Shampoo, 1 Litre and L'Oreal Paris 6 Oil Nourish Conditioner, 175ml (With 10% Extra)",L'Oreal Paris,727.0,1102.0,74,4.5,NA,NA,1048.0,727.0,1040.0,8,Fulfilled,1.0,Shampoos,
