ASIN,String,Rating,Frequency
B0744GC2CK,good,3.0,1
B0744GC2CK,good shampoo,3.0,1
B0744GC2CK,shampoo,3.0,1
B0744GC2CK,shampoo silicon,3.0,1
B0744GC2CK,silicon,3.0,2
B0744GC2CK,used,3.0,1
B0744GC2CK,used priduct,3.0,1
B0744GC2CK,priduct,3.0,1
B0744GC2CK,priduct lot.,3.0,1
B0744GC2CK,lot.,3.0,1
B0744GC2CK,lot. sulphate,3.0,1
B0744GC2CK,sulphate,3.0,1
B0744GC2CK,sulphate parabins,3.0,1
B0744GC2CK,parabins,3.0,1
B0744GC2CK,parabins leaf,3.0,1
B0744GC2CK,leaf,3.0,1
B0744GC2CK,leaf hair,3.0,1
B0744GC2CK,hair,3.0,3
B0744GC2CK,hair soft.,3.0,1
B0744GC2CK,soft.,3.0,1
B0744GC2CK,soft. especially,3.0,1
B0744GC2CK,especially,3.0,1
B0744GC2CK,especially suited,3.0,1
B0744GC2CK,suited,3.0,1
B0744GC2CK,suited dry,3.0,1
B0744GC2CK,dry,3.0,1
B0744GC2CK,dry damage,3.0,1
B0744GC2CK,damage,3.0,1
B0744GC2CK,damage prone,3.0,1
B0744GC2CK,prone,3.0,1
B0744GC2CK,prone hair,3.0,1
B0744GC2CK,product,3.0,1
B0744GC2CK,product opened,3.0,1
B0744GC2CK,opened,3.0,1
B0744GC2CK,opened sealed,3.0,1
B0744GC2CK,sealed,3.0,1
B0744GC2CK,sealed wth,3.0,1
B0744GC2CK,wth,3.0,1
B0744GC2CK,wth tin,3.0,1
B0744GC2CK,tin,3.0,1
B0744GC2CK,tin foil…,3.0,1
B0744GC2CK,foil…,3.0,2
B0744GC2CK,good,5.0,12
B0744GC2CK,good product,5.0,3
B0744GC2CK,product,5.0,8
B0744GC2CK,desired,5.0,2
B0744GC2CK,best,5.0,2
B0744GC2CK,best dry,5.0,1
B0744GC2CK,dry,5.0,3
B0744GC2CK,dry damage,5.0,1
B0744GC2CK,damage,5.0,2
B0744GC2CK,damage hair,5.0,1
B0744GC2CK,hair,5.0,10
B0744GC2CK,put,5.0,1
B0744GC2CK,"put palm,",5.0,1
B0744GC2CK,"palm,",5.0,1
B0744GC2CK,"palm, know",5.0,1
B0744GC2CK,know,5.0,1
B0744GC2CK,know good,5.0,1
B0744GC2CK,good quality.,5.0,1
B0744GC2CK,quality.,5.0,2
B0744GC2CK,love,5.0,3
B0744GC2CK,3rd,5.0,1
B0744GC2CK,3rd bottle,5.0,1
B0744GC2CK,bottle,5.0,1
B0744GC2CK,bottle love,5.0,1
B0744GC2CK,love it.,5.0,1
B0744GC2CK,it.,5.0,1
B0744GC2CK,it. made,5.0,1
B0744GC2CK,made,5.0,1
B0744GC2CK,made hair,5.0,1
B0744GC2CK,hair much,5.0,1
B0744GC2CK,much,5.0,1
B0744GC2CK,much better,5.0,1
B0744GC2CK,better,5.0,2
B0744GC2CK,better before.,5.0,1
B0744GC2CK,before.,5.0,1
B0744GC2CK,before. must,5.0,1
B0744GC2CK,must,5.0,1
B0744GC2CK,must buy,5.0,1
B0744GC2CK,buy,5.0,2
B0744GC2CK,nice,5.0,3
B0744GC2CK,like,5.0,3
B0744GC2CK,use,5.0,3
B0744GC2CK,use weekly,5.0,1
B0744GC2CK,weekly,5.0,1
B0744GC2CK,weekly twice,5.0,1
B0744GC2CK,twice,5.0,3
B0744GC2CK,costly-has,5.0,1
B0744GC2CK,costly-has think,5.0,1
B0744GC2CK,think,5.0,2
B0744GC2CK,think twice,5.0,1
B0744GC2CK,twice buying,5.0,1
B0744GC2CK,buying,5.0,1
B0744GC2CK,buying yet,5.0,1
B0744GC2CK,yet,5.0,1
B0744GC2CK,yet use,5.0,1
B0744GC2CK,use intends,5.0,1
B0744GC2CK,intends,5.0,1
B0744GC2CK,intends buy.,5.0,1
B0744GC2CK,buy.,5.0,2
B0744GC2CK,price,5.0,1
B0744GC2CK,price high-although,5.0,1
B0744GC2CK,high-although,5.0,1
B0744GC2CK,high-although quality,5.0,1
B0744GC2CK,quality,5.0,2
B0744GC2CK,quality good,5.0,1
B0744GC2CK,good damaged,5.0,1
B0744GC2CK,damaged,5.0,1
B0744GC2CK,damaged hair,5.0,1
B0744GC2CK,barber,5.0,1
B0744GC2CK,barber recommended,5.0,1
B0744GC2CK,recommended,5.0,1
B0744GC2CK,"recommended ,",5.0,1
B0744GC2CK,",",5.0,7
B0744GC2CK,", also",5.0,1
B0744GC2CK,also,5.0,1
B0744GC2CK,also use,5.0,1
B0744GC2CK,use conditioner,5.0,1
B0744GC2CK,conditioner,5.0,2
B0744GC2CK,conditioner see,5.0,1
B0744GC2CK,see,5.0,1
B0744GC2CK,see difference,5.0,1
B0744GC2CK,difference,5.0,2
B0744GC2CK,"better results,",5.0,1
B0744GC2CK,"results,",5.0,1
B0744GC2CK,"results, compared",5.0,1
B0744GC2CK,compared,5.0,1
B0744GC2CK,compared l’oréal,5.0,1
B0744GC2CK,l’oréal,5.0,2
B0744GC2CK,l’oréal professional,5.0,1
B0744GC2CK,professional,5.0,1
B0744GC2CK,professional range,5.0,1
B0744GC2CK,range,5.0,2
B0744GC2CK,used,5.0,3
B0744GC2CK,used lipidium,5.0,1
B0744GC2CK,lipidium,5.0,1
B0744GC2CK,lipidium earlier,5.0,1
B0744GC2CK,earlier,5.0,1
B0744GC2CK,earlier l’oréal,5.0,1
B0744GC2CK,l’oréal while.,5.0,1
B0744GC2CK,while.,5.0,1
B0744GC2CK,"while. good,",5.0,1
B0744GC2CK,"good,",5.0,1
B0744GC2CK,"good, like",5.0,1
B0744GC2CK,like more.,5.0,1
B0744GC2CK,more.,5.0,1
B0744GC2CK,more. chemically,5.0,1
B0744GC2CK,chemically,5.0,1
B0744GC2CK,chemically treated,5.0,1
B0744GC2CK,treated,5.0,1
B0744GC2CK,"treated hairs,",5.0,1
B0744GC2CK,"hairs,",5.0,1
B0744GC2CK,"hairs, still",5.0,1
B0744GC2CK,still,5.0,1
B0744GC2CK,still fill,5.0,1
B0744GC2CK,fill,5.0,1
B0744GC2CK,fill softness,5.0,1
B0744GC2CK,softness,5.0,1
B0744GC2CK,softness using.,5.0,1
B0744GC2CK,using.,5.0,1
B0744GC2CK,using. even,5.0,1
B0744GC2CK,even,5.0,1
B0744GC2CK,even miss,5.0,1
B0744GC2CK,miss,5.0,1
B0744GC2CK,"miss oiling,",5.0,1
B0744GC2CK,"oiling,",5.0,1
B0744GC2CK,"oiling, doesn’t",5.0,1
B0744GC2CK,doesn’t,5.0,2
B0744GC2CK,doesn’t dry,5.0,1
B0744GC2CK,dry out.,5.0,1
B0744GC2CK,out.,5.0,1
B0744GC2CK,out. used,5.0,1
B0744GC2CK,used followed,5.0,1
B0744GC2CK,followed,5.0,1
B0744GC2CK,followed hair,5.0,1
B0744GC2CK,hair oil,5.0,1
B0744GC2CK,oil,5.0,1
B0744GC2CK,oil little,5.0,1
B0744GC2CK,little,5.0,1
B0744GC2CK,little head,5.0,1
B0744GC2CK,head,5.0,1
B0744GC2CK,head massage.,5.0,1
