ASIN,Question,Answer,Votes,Date
B0744GC2CK,Can I use the serum everyday ??,yes,0,17-08-2022
B0744GC2CK,Can I use the mask everyday?,yes,0,17-08-2022
B0744GC2CK,Its best for colourd hair?,Well I dont have coloured hair so can’t say exactly. But its good overall. For coloured hair Xtenso version is better I think!,0,14-08-2022
B0744GC2CK,Kya ye sulphate free hai,Yes sulphate free,0,14-08-2022
B0744GC2CK,Can i use this product for keratin treated hair,Well it is a mild shampoo. Best for all hair types especially for dry and damaged hair. Specifically it is not recommended for any type of treated hair but I don’t think it will do any harm. It is quite mild,0,10-06-2022
B0744GC2CK,Is it good for coloured hair?,yes it is,0,28-05-2022
B0744GC2CK,Is absolute loreal shampoo is sulphate free?,yes,0,13-06-2022
B0744GC2CK,Can I use this shampoo for smoothening hair?,"Its for repair contorl of your hair damage , i have been using it for about 18 months or so , i find that hair is not frizzy after use , and they do have a smoothe look and feel. if that's what you are trying to ask. if you are refrring to smoothening as straightening , then no , this shampoo will not do that",0,10-06-2022
B08CSHBPD5,Seram is oil,"no, its not oil actually",0,19-08-2022
B08CSHBPD5,At 712 price shampoo + conditioner and serum  you are giving or only shampoo and conditioner,plz contact dealer,0,19-08-2022
B08CSHBPD5,1l(pake of 5) means total 5l,No its only 1 l and its associated sub items but idint receive those.better to don't buy this.,0,31-07-2022
B08CSHBPD5,1l pack of 5 it means 5pack 1liter each total 5ltr right?,"Yes, videos get shared after due quality check by Amazon team. Mine got posted!",0,25-07-2022
B08CSHBPD5,How many shampoo bottles comes in pack of 5?,1,0,26-07-2022
B08CSHBPD5,This product is only for women ?,It can use man too,0,26-07-2022
B08CSHBPD5,1l (pack of 5) does that mean total we will get 5l shampoo?,Yes,0,25-07-2022
B08CSHBPD5,Din't get my product but it is showing in my order that product has been delivered what is this ?,talk to amazon customer care,0,19-08-2022
B08CSHBPD5,What does pack of  5 mean ?,5 nos,0,25-07-2022
B08CSHBPD5,"Can I get the product without packet or sealed bag? I received the loose bottles today,not packed.I doubt if it's original",Of course original,0,25-07-2022
B08CSHBPD5,Will it also work on oiled hair?,Yes,0,25-07-2022
