ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B0B9RCCV48,Biju Vakkachan,4.0 out of 5 stars,The Result is seen,05-08-2022 00:00,India,,The product is awesome for dry hair treatment,hair treatment,0.201984286,0.699999988,0.699999988,
B0B9RCCV48,Daruwalla,4.0 out of 5 stars,Value for money,18-07-2022 00:00,India,,Great product. Highly recommended for dry hair,product,0.874775767,0.899999976,0.899999976,Quality
B0B9RCCV48,Biju Vakkachan,4.0 out of 5 stars,The Result is seen,05-08-2022 00:00,India,,The product is awesome for dry hair treatment,product,0.798015714,0.800000012,0.800000012,Quality
B0B9RCCV48,Amazon Customer,4.0 out of 5 stars,Nice,01-06-2022 00:00,India,,It suits my hair type,hair type,1,0.300000012,0.300000012,
B0B9RCCV48,Public screen name,4.0 out of 5 stars,Ok ok,11-07-2022 00:00,India,,The one from loreal saying rapid golden one is better than this.,one,1,0.5,0.5,
B0B9RCCV48,Harish R.,1.0 out of 5 stars,Worst product it's duplicate,14-07-2022 00:00,India,, Duplicate product at all...after use these cream creats rough hair,cream,0.090395138,-0.100000001,0.100000001,
B0B9RCCV48,Harish R.,1.0 out of 5 stars,Worst product it's duplicate,14-07-2022 00:00,India,, Duplicate product at all...after use these cream creats rough hair,hair,0.140757248,-0.400000006,0.400000006,
B0B9RCCV48,Harish R.,1.0 out of 5 stars,Worst product it's duplicate,14-07-2022 00:00,India,, Duplicate product at all...after use these cream creats rough hair,product,0.768847644,-0.200000003,0.200000003,Quality
B0B9RCCV48,Daruwalla,4.0 out of 5 stars,Value for money,18-07-2022 00:00,India,,Great product. Highly recommended for dry hair,hair,0.125224218,0.5,0.5,
B0B6Y7PXTF,AB,5.0 out of 5 stars,Great Shampoo,19-08-2022 00:00,India,,Keeps my hair feeling nice and soft for a long time after using the shampoo. No dry hair after a shower with this.,shower,0.058305122,0.300000012,0.300000012,
B0B6Y7PXTF,AB,5.0 out of 5 stars,Great Shampoo,19-08-2022 00:00,India,,Keeps my hair feeling nice and soft for a long time after using the shampoo. No dry hair after a shower with this.,shampoo,0.156242162,0.899999976,0.899999976,
