ASIN,Category,Latest BSR,Last Day BSR
B00JJHFF6O,Beauty,178.0,156.0
B00JJHFF6O,Shampoos,23.0,20.0
B015Z96HQ6,Beauty,117686.0,114688.0
B015Z96HQ6,Shampoos,6720.0,6612.0
B0744GC2CK,Beauty,52.0,47.0
B0744GC2CK,Shampoos,5.0,5.0
B07J68MNQM,Beauty,6109.0,6160.0
B07J68MNQM,Shampoos,540.0,562.0
B0B8519S4B,Beauty,100851.0,96826.0
B0B8519S4B,Shampoos,5924.0,5733.0
B07J5XZ81C,Beauty,4096.0,4048.0
B07J5XZ81C,Shampoos,384.0,374.0
B08CSHBPD5,Beauty,13.0,14.0
B08CSHBPD5,Shampoos,2.0,3.0
B0744HSSPR,Beauty,962.0,936.0
B0744HSSPR,Shampoos,100.0,100.0
B08LH1GDWN,Beauty,75356.0,70553.0
B08LH1GDWN,Shampoos,4660.0,4389.0
B07PHT1DRH,Beauty,10256.0,13365.0
B07PHT1DRH,Shampoos,870.0,1079.0
B08PD6R565,Beauty,20110.0,12190.0
B08PD6R565,Shampoos,1498.0,1002.0
B08LGXDR8F,Beauty,62337.0,60819.0
B08LGXDR8F,Shampoos,3954.0,3861.0
B07M67K6BQ,Beauty,7706.0,6763.0
B07M67K6BQ,Shampoos,675.0,620.0
B07B5BTHW9,Beauty,60918.0,55175.0
B07B5BTHW9,Shampoos,3883.0,3560.0
B01KC4BWN2,Beauty,6977.0,6294.0
B01KC4BWN2,Shampoos,610.0,584.0
B09YQVSVTD,Beauty,33989.0,56545.0
B09YQVSVTD,Shampoos,2312.0,3630.0
B07R51C4VQ,Beauty,95973.0,94349.0
B07R51C4VQ,Shampoos,5707.0,5612.0
B0B6Y7PXTF,Beauty,200.0,212.0
B0B6Y7PXTF,Shampoos,27.0,28.0
B00IF3W4DK,Beauty,1356.0,1366.0
B00IF3W4DK,Shampoos,146.0,149.0
B01M1O4JAA,Beauty,20438.0,11403.0
B01M1O4JAA,Shampoos,1511.0,950.0
B09BZWK2PS,Beauty,14044.0,15606.0
B09BZWK2PS,Shampoos,1129.0,1223.0
B09YQX68LH,Beauty,38160.0,51099.0
B09YQX68LH,Shampoos,2552.0,3344.0
B0777NWH53,Beauty,14406.0,18974.0
B0777NWH53,Shampoos,1145.0,1432.0
B08T2Y2Q4T,Beauty,124.0,97.0
B08T2Y2Q4T,Shampoos,17.0,13.0
B006LXAG4K,Beauty,474.0,458.0
B006LXAG4K,Shampoos,57.0,58.0
B01M112TLH,Beauty,29606.0,23247.0
B01M112TLH,Shampoos,2052.0,1707.0
B08QV7QXF2,Beauty,9935.0,18562.0
B08QV7QXF2,Conditioners,200.0,313.0
B08QV7QXF2,Shampoos,850.0,1393.0
B017RBFW3E,Beauty,1695.0,1644.0
B017RBFW3E,Chemical Hair Dyes,13.0,13.0
B0B6XZBQ1G,Beauty,868.0,1065.0
B0B6XZBQ1G,Conditioners,21.0,25.0
B0B6XZBQ1G,Shampoos,91.0,116.0
B077PT2S31,Beauty,18910.0,12191.0
B077PT2S31,Shampoos,1400.0,1002.0
B000MJ79R6,Beauty,12691.0,7825.0
B000MJ79R6,Shampoos,1044.0,697.0
B09YQTSBTH,Beauty,5804.0,4433.0
B09YQTSBTH,Shampoos,513.0,410.0
B09FXSYNY3,Beauty,1734.0,1105.0
B09FXSYNY3,Shampoos,183.0,121.0
B008KH5U28,Beauty,302.0,232.0
B008KH5U28,Shampoos,36.0,30.0
B08MM9WKGV,Beauty,6893.0,6970.0
B08MM9WKGV,Shampoos,603.0,636.0
B00JLD7GOU,Beauty,42147.0,33045.0
B00JLD7GOU,Shampoos,2807.0,2254.0
B08DP1NJN5,Beauty,5966.0,6237.0
B08DP1NJN5,Shampoos,529.0,563.0
B00IF3W3FE,Beauty,2612.0,2384.0
B00IF3W3FE,Shampoos,260.0,243.0
B07MMKGWVM,Beauty,21590.0,21194.0
B07MMKGWVM,Conditioners,350.0,353.0
B07MMKGWVM,Shampoos,1574.0,1572.0
B08MMF37J8,Beauty,1144.0,1224.0
B08MMF37J8,Shampoos,119.0,134.0
B09YHWBP1J,Beauty,7720.0,5313.0
B09YHWBP1J,Shampoos,682.0,487.0
B09YHWSNPK,Beauty,6322.0,5316.0
B09YHWSNPK,Shampoos,554.0,490.0
B01LX41O04,Beauty,37236.0,31895.0
B01LX41O04,Shampoos,2498.0,2193.0
B09BZRYMF3,Beauty,1296.0,1474.0
B09BZRYMF3,Shampoos,139.0,162.0
B07J68V1MG,Beauty,7974.0,9124.0
B07J68V1MG,Shampoos,692.0,798.0
B074VDVQ2S,Beauty,262.0,318.0
B074VDVQ2S,Shampoos,32.0,40.0
B09NLZC97Z,Beauty,25009.0,26179.0
B09NLZC97Z,Shampoos,1790.0,1876.0
B07MW4ZRJL,Beauty,1100.0,1050.0
B07MW4ZRJL,Shampoos,118.0,115.0
B084MJPK42,Beauty,3056.0,2414.0
B084MJPK42,Shampoos,295.0,244.0
B0B9RFWVND,Beauty,12790.0,29935.0
B0B9RFWVND,Shampoos,1047.0,2126.0
B0B9QYBBBZ,Beauty,17262.0,28879.0
B0B9QYBBBZ,Shampoos,1327.0,2011.0
B09HKMGYHG,Beauty,757.0,832.0
B09HKMGYHG,Shampoos,80.0,87.0
B0744KHS4K,Beauty,316.0,270.0
B0744KHS4K,Shampoos,38.0,35.0
B0B9R9DDHW,Beauty,121068.0,116004.0
B0B9R9DDHW,Shampoos,6888.0,6673.0
B092566RWC,Beauty,983.0,838.0
B092566RWC,Shampoos,103.0,87.0
B0B9R93LNJ,Beauty,27885.0,
B0B9R93LNJ,Shampoos,1943.0,
B0B9QX7BX6,Beauty,49380.0,42301.0
B0B9QX7BX6,Shampoos,3229.0,2822.0
B099QX3SHY,Beauty,22510.0,30024.0
B099QX3SHY,Shampoos,1645.0,2131.0
B099QWPSL3,Beauty,25214.0,32932.0
B099QWPSL3,Shampoos,1801.0,2254.0
B0B9RC1KTC,Beauty,60128.0,52178.0
B0B9RC1KTC,Shampoos,3840.0,3408.0
B076CH85SL,Beauty,962.0,858.0
B076CH85SL,Shampoos,100.0,90.0
B0B9RFC2TD,Beauty,82785.0,73633.0
B0B9RFC2TD,Shampoos,5037.0,4566.0
B0B9QXX1WQ,Beauty,53397.0,43585.0
B0B9QXX1WQ,Shampoos,3459.0,2898.0
B099FG63Y3,Beauty,2177.0,2432.0
B099FG63Y3,Shampoos,219.0,243.0
B0B9RCCV48,Beauty,6415.0,8151.0
B0B9RCCV48,Shampoos,562.0,725.0
B0B9R5PQRV,Beauty,16250.0,13343.0
B0B9R5PQRV,Shampoos,1259.0,1089.0
B099QXFJTF,Beauty,63350.0,58530.0
B099QXFJTF,Shampoos,4013.0,3742.0
B09MG3G5X2,Beauty,6801.0,6928.0
B09MG3G5X2,Shampoos,596.0,637.0
B0B9RB1KDP,Beauty,46660.0,33788.0
B0B9RB1KDP,Shampoos,3061.0,2306.0
B096VKRKLB,Beauty,1206.0,1470.0
B096VKRKLB,Shampoos,128.0,161.0
B09HKNHTW2,Beauty,2197.0,1719.0
B09HKNHTW2,Shampoos,222.0,193.0
B099QY1XC7,Beauty,35186.0,20912.0
B099QY1XC7,Shampoos,2376.0,1570.0
B06Y3WVH2X,Beauty,6498.0,6905.0
B06Y3WVH2X,Shampoos,572.0,635.0
B0B9R1PNP5,Beauty,32004.0,42188.0
