ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B00JJHFF6O,2022-08-24,580.0,,23.0,,69.0,1.0
B00JJHFF6O,2022-08-25,580.0,580.0,23.0,23.0,69.0,1.0
B00JJHFF6O,2022-08-26,580.0,580.0,23.0,23.0,69.0,1.0
B00JJHFF6O,2022-08-27,580.0,580.0,23.0,23.0,69.0,1.0
B00JJHFF6O,2022-08-28,580.0,580.0,23.0,23.0,69.0,1.0
B00JJHFF6O,2022-08-29,580.0,580.0,23.0,23.0,69.0,1.0
B00JJHFF6O,2022-08-30,580.0,580.0,23.0,23.0,69.0,1.0
B015Z96HQ6,2022-08-24,429.0,,,,,1.0
B015Z96HQ6,2022-08-25,429.0,429.0,,,,1.0
B015Z96HQ6,2022-08-26,429.0,429.0,5840.0,,11.0,1.0
B015Z96HQ6,2022-08-27,429.0,429.0,6115.0,5840.0,11.0,1.0
B015Z96HQ6,2022-08-28,429.0,429.0,5876.0,6115.0,11.0,1.0
B015Z96HQ6,2022-08-29,429.0,429.0,6612.0,5876.0,11.0,1.0
B015Z96HQ6,2022-08-30,429.0,429.0,6720.0,6612.0,11.0,1.0
B0744GC2CK,2022-08-24,695.0,,5.0,,96.0,1.0
B0744GC2CK,2022-08-25,695.0,695.0,5.0,5.0,96.0,1.0
B0744GC2CK,2022-08-26,695.0,695.0,5.0,5.0,96.0,1.0
B0744GC2CK,2022-08-27,695.0,695.0,5.0,5.0,96.0,1.0
B0744GC2CK,2022-08-28,695.0,695.0,5.0,5.0,96.0,1.0
B0744GC2CK,2022-08-29,695.0,695.0,5.0,5.0,96.0,1.0
B0744GC2CK,2022-08-30,695.0,695.0,5.0,5.0,96.0,1.0
B07J68MNQM,2022-08-24,433.0,,,,,1.0
B07J68MNQM,2022-08-25,433.0,433.0,658.0,,13.0,1.0
B07J68MNQM,2022-08-26,433.0,433.0,589.0,658.0,14.0,1.0
B07J68MNQM,2022-08-27,428.0,433.0,,589.0,,1.0
B07J68MNQM,2022-08-28,428.0,428.0,532.0,,15.0,1.0
B07J68MNQM,2022-08-29,428.0,428.0,,532.0,,1.0
B07J68MNQM,2022-08-30,428.0,428.0,540.0,,15.0,1.0
B0B8519S4B,2022-08-24,,,,,,1.0
B0B8519S4B,2022-08-25,,,5548.0,,11.0,1.0
B0B8519S4B,2022-08-26,,,,5548.0,,1.0
B0B8519S4B,2022-08-27,,,,,,1.0
B0B8519S4B,2022-08-28,,,,,,1.0
B0B8519S4B,2022-08-29,,,,,,1.0
B0B8519S4B,2022-08-30,,,,,,1.0
B07J5XZ81C,2022-08-24,283.0,,388.0,,18.0,1.0
B07J5XZ81C,2022-08-25,283.0,283.0,334.0,388.0,20.0,1.0
B07J5XZ81C,2022-08-26,282.0,283.0,418.0,334.0,17.0,1.0
B07J5XZ81C,2022-08-27,278.0,282.0,,418.0,,1.0
B07J5XZ81C,2022-08-28,278.0,278.0,716.0,,12.0,1.0
B07J5XZ81C,2022-08-29,328.0,278.0,,716.0,,1.0
B07J5XZ81C,2022-08-30,278.0,328.0,384.0,,18.0,1.0
B08CSHBPD5,2022-08-24,559.0,,3.0,,102.0,1.0
B08CSHBPD5,2022-08-25,559.0,559.0,3.0,3.0,102.0,1.0
B08CSHBPD5,2022-08-26,559.0,559.0,2.0,3.0,106.0,1.0
B08CSHBPD5,2022-08-27,559.0,559.0,2.0,2.0,106.0,1.0
B08CSHBPD5,2022-08-28,559.0,559.0,2.0,2.0,106.0,1.0
B08CSHBPD5,2022-08-29,490.0,559.0,3.0,2.0,102.0,1.0
B08CSHBPD5,2022-08-30,490.0,490.0,3.0,3.0,102.0,1.0
B0744HSSPR,2022-08-24,695.0,,,,,1.0
B0744HSSPR,2022-08-25,695.0,695.0,,,,1.0
B0744HSSPR,2022-08-26,695.0,695.0,,,,1.0
B0744HSSPR,2022-08-27,695.0,695.0,,,,1.0
B0744HSSPR,2022-08-28,695.0,695.0,,,,1.0
B0744HSSPR,2022-08-29,695.0,695.0,,,,1.0
B0744HSSPR,2022-08-30,695.0,695.0,100.0,,36.0,1.0
B08LH1GDWN,2022-08-24,444.0,,3815.0,,11.0,1.0
B08LH1GDWN,2022-08-25,444.0,444.0,2042.0,3815.0,11.0,1.0
B08LH1GDWN,2022-08-26,444.0,444.0,2834.0,2042.0,11.0,1.0
B08LH1GDWN,2022-08-27,444.0,444.0,3466.0,2834.0,11.0,1.0
B08LH1GDWN,2022-08-28,444.0,444.0,3956.0,3466.0,11.0,0.5
B08LH1GDWN,2022-08-29,444.0,444.0,,3956.0,,1.0
B08LH1GDWN,2022-08-30,444.0,444.0,4660.0,,11.0,0.0
B07PHT1DRH,2022-08-24,,,990.0,,11.0,1.0
B07PHT1DRH,2022-08-25,,,1020.0,990.0,11.0,1.0
B07PHT1DRH,2022-08-26,,,850.0,1020.0,11.0,0.0
B07PHT1DRH,2022-08-27,,,841.0,850.0,11.0,0.0
B07PHT1DRH,2022-08-28,,,990.0,841.0,11.0,0.0
B07PHT1DRH,2022-08-29,,,1079.0,990.0,11.0,0.0
B07PHT1DRH,2022-08-30,,,,1079.0,,0.0
B0B9RDWZJX,2022-08-24,304.0,,,,,1.0
B0B9RDWZJX,2022-08-25,304.0,304.0,,,,1.0
B0B9RDWZJX,2022-08-26,304.0,304.0,,,,1.0
B0B9RDWZJX,2022-08-27,331.0,304.0,,,,1.0
B0B9RDWZJX,2022-08-28,331.0,331.0,,,,1.0
B0B9RDWZJX,2022-08-29,336.0,331.0,,,,1.0
B0B9RDWZJX,2022-08-30,298.0,336.0,,,,1.0
B08PD6R565,2022-08-24,715.0,,,,,1.0
B08PD6R565,2022-08-25,715.0,715.0,1384.0,,11.0,1.0
B08PD6R565,2022-08-26,715.0,715.0,1748.0,1384.0,11.0,1.0
B08PD6R565,2022-08-27,722.0,715.0,,1748.0,,1.0
B08PD6R565,2022-08-28,722.0,722.0,2038.0,,11.0,1.0
B08PD6R565,2022-08-29,727.0,722.0,1002.0,2038.0,11.0,1.0
B08PD6R565,2022-08-30,689.0,727.0,,1002.0,,1.0
B08LGXDR8F,2022-08-24,324.0,,3620.0,,11,1.0
B08LGXDR8F,2022-08-25,324.0,324.0,3416.0,3620.0,11,1.0
B08LGXDR8F,2022-08-26,323.0,324.0,3635.0,3416.0,11,1.0
B08LGXDR8F,2022-08-27,321.0,323.0,3606.0,3635.0,11,1.0
B08LGXDR8F,2022-08-28,322.0,321.0,3712.0,3606.0,11,0.5
B08LGXDR8F,2022-08-29,321.0,322.0,3861.0,3712.0,11,1.0
B08LGXDR8F,2022-08-30,321.0,321.0,3455.0,3861.0,11,0.0
B07M67K6BQ,2022-08-24,440.0,,719.0,,12.0,1.0
