ASIN,Sentiment Score
B0744GC2CK,3.3125
B00JJHFF6O,2.5454545454545454
B07J68MNQM,4.0
B0744HSSPR,1.2222222222222223
B07PHT1DRH,1.0
B00IF3W5AM,3.0
B00IF3W4DK,2.0
B08CSFFD26,2.8181818181818183
B006LXAG4K,4.25
B0B6Y7PXTF,5.0
B08T2Y2Q4T,3.8771929824561404
B017RBFW3E,2.8
B0B6XZBQ1G,3.8
B008KH5U28,3.8333333333333335
B09FXSYNY3,3.5
B074VDVQ2S,3.3636363636363638
B09BZRYMF3,5.0
B084MJPK42,4.0
B092566RWC,5.0
B0744KHS4K,1.7272727272727273
B076CH85SL,3.0
B0B9RCCV48,4.0
B09HKNHTW2,5.0
B06Y3WVH2X,3.0
B08RZVDQN9,3.75
B00MCIL2SC,4.0
B00GSGO6OQ,1.0
B092554RDC,4.0
B07H9YCB5L,5.0
B075766WW1,3.0
B07H9YBYSK,2.6666666666666665
B085WKPQZ7,1.5
B07HB4FKZS,5.0
B07HB2L7QD,2.0
B085WJY6NH,2.3333333333333335
B07H9T25WH,3.3636363636363638
B09QC4BM5M,4.582278481012659
B09QBV3P1G,4.584905660377358
B00CQ41JE4,2.3333333333333335
B07PZX21D6,5.0
B07H9X7WTG,3.0
B085WKPQZ8,4.0
B078B5LLBV,2.5
B074MKRYBP,3.25
B093SXXN5V,2.857142857142857
B00QKAQN3M,5.0
B07HB4L36F,3.0
B006T8BXF8,3.0
B07H9SV61Y,2.0
B085WK7VZV,4.5
B07HB4TKXS,4.0
B09PL4K1HX,2.0
B07H9X7WT9,5.0
B074ZCKWSN,4.333333333333333
B08QTWMZPY,4.0
B07HB1YHZP,4.5
B09D81FMDZ,5.0
B088CF4HYG,4.0
B07FYGXP1F,3.6666666666666665
B07L3YNL2V,3.111111111111111
B0B6HQB6KR,4.0
B088CGPPC5,2.5
B088CF9VRW,4.2
B074Z3CF8S,1.0
B07F2RZ8TV,2.0
B088CCYM9D,2.3333333333333335
B07F2QCLP2,1.0
B00TBJSJV8,5.0
B07L3ZCJ53,3.1176470588235294
B07FHD9Y8M,2.0
B07F2ZXJN7,2.2857142857142856
B07F2Q4C35,2.25
B07J5NLHWW,3.5
B07F2Q4C34,3.6666666666666665
B088CGPPC7,2.5
B07F2RZBVZ,2.0
B07F31KJXB,3.3333333333333335
B007E9JLH8,3.0
B07YWMQHYJ,3.625
B07YWMZ8K9,4.0
B07YWMQHZ7,1.0
B007E9JHUO,2.0
B006W84474,2.6666666666666665
B08JR4RHCX,3.0
B07YWM9WLX,1.0
B07YWMV2SD,5.0
B07YWMQWWK,2.625
B07YWNMLWX,3.3333333333333335
B07YWMQRNJ,2.1818181818181817
B07YWMTML2,1.0
B07YWMQRNK,2.5555555555555554
B00791CV8C,2.3333333333333335
B00791CQ3W,3.3333333333333335
B008TO71NS,5.0
B07YWNB9T5,2.923076923076923
B00MM0AW6S,2.3333333333333335
B07YWNQPWB,2.8333333333333335
B07YWNN6PZ,4.0
B00791CVYG,4.0
B00791CQE6,3.0
B07YWNQPWM,2.75
B07WDWW3C7,4.0
B007E9IYLW,4.666666666666667
B08194DMZP,2.5
B07YWN1PFV,3.3333333333333335
B07WQJBPZC,2.75
B09GY32G62,3.3333333333333335
B074ZF7PVZ,3.3097826086956523
B092HH5QLB,4.0
B077P1B5X4,2.0
B0B293BVRT,4.5
B09MKP6HYJ,4.383333333333334
B098FJX2T6,3.5
B00C9TT7AY,3.875
B082YYVTWX,4.00990099009901
B09G6T3JDK,1.5
B00ENZRLRS,3.823529411764706
B098FGDDKT,4.0
B00PBGPVAM,3.7142857142857144
B08KHZH344,2.6666666666666665
B012RBB148,4.0
B09F3RZCZW,4.25
B07QWK8JJR,1.0
B077P66WKX,3.6
B01EJIEC8O,3.75
B09B2BRGPQ,2.75
B07X93R9P3,3.8
B0B211X4WB,3.6666666666666665
B00ENZRCBI,3.3076923076923075
B07NZW6WNN,5.0
B07MWH55SV,4.0
B081X55K5F,2.4285714285714284
B07F1NVDZ2,3.857142857142857
B00JS3PICK,3.25
B08194PS69,2.625
B0B2LKTW4F,4.277777777777778
B09W3Q2VB5,3.9246575342465753
B07FMGBNHN,3.75
B07PR1CL3S,3.1023489932885906
B0764MLHRM,2.923076923076923
B08CSHBPD5,2.8636363636363638
B096VKRKLB,3.5
B07H9SV624,2.8181818181818183
B09YHWSNPK,5.0
B07MW4ZRJL,2.3333333333333335
B07FHD9PDZ,2.0
B00791CW6I,4.333333333333333
B07P21CHH8,5.0
