Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Shampoo,1,B00JS3PICK,"Head & Shoulders Smooth and Silky Anti Dandruff Shampoo, 650ml",Head & Shoulders,416.00,450.00,Fulfilled,False,True
Shampoo,2,B0764M9QVV,"Head & Shoulders Cool Menthol Anti Dandruff Shampoo for Women & Men, 1L",Head & Shoulders,520.00,750.00,Fulfilled,True,True
Shampoo,3,B09LCZP6NS,"Kesh King Ayurvedic Anti-dandruff Shampoo|Dandruff free hair|Up to 100% Dandruff Free Reduces Hair Fall |Soothes itchy scalp | No Paraben & No Silicon|21 Natural Ingredients | With the goodness of Curd, Lemon and Neem for women and men  - 600 ml",Kesh King,275.00,550.00,Fulfilled,True,True
Shampoo,4,B0744GC2CK,"L'Oréal Professionnel Absolut Repair Shampoo With Protein And Gold Quinoa For Dry And Damaged Hair, Serie Expert, 300Ml",L'Oréal Professionnel,695.00,695.00,Fulfilled,True,True
Shampoo,5,B07L3ZCJ53,"Tresemme Keratin Smooth Shampoo,With Keratin And Argan Oil For Smoother And Shinier Hair, 1 Ltr",Tresemme,562.00,799.00,Fulfilled,False,True
Shampoo,6,B08CSHBPD5,"L'Oréal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 1l",L'Oreal Paris,559.00,799.00,Fulfilled,False,True
Shampoo,7,B0933B5N19,"Clinic Plus Strong & Long Protein Shampoo 1 l, With Milk Proteins & Multivitamins for Strong, Healthy and Long Hair - Hair Growth Shampoo for Women",Clinic Plus,490.56,699.00,Fulfilled,False,True
Shampoo,8,B07H9T25WH,"Dove Hair Fall Rescue Shampoo For Weak Hair, 1 Ltr",Dove,559.00,799.00,Fulfilled,False,True
Shampoo,9,B093SWNYYS,"Sunsilk Stunning Black Shine Shampoo 1 L, With Amla + Oil & Pearl Protein, Gives Shiny, Moisturised and Fuller Hair - Paraben Free",Sunsilk,489.00,770.00,Fulfilled,False,True
Shampoo,10,B07PB4G6RG,"Herbal Essences Moroccan Argan oil Shampoo for Frizz Free, Soft Hair. With Argan Oil for Hair. Paraben Free , 400 ml",Herbal Essences,348.00,600.00,Fulfilled,False,True
Shampoo,11,B08T2Y2Q4T,"L'Oréal Paris Shampoo, Nourishes, Repair & Shine, For Long and Lifeless Hair, Dream Lengths, 192.5ml",L'Oreal Paris,M.R.P.:,149.00,Fulfilled,False,True
Shampoo,12,B006G84P60,"Himalaya Protein Shampoo-Gentle daily care, 400ml",Himalaya,213.00,230.00,Fulfilled,False,True
Shampoo,13,B093SXXN5V,"Dove Daily Shine Shampoo 1 L, For Damaged or Frizzy Hair, Makes Hair Soft, Shiny And Smooth - Mild Daily Shampoo for Men & Women",Dove,599.00,799.00,Fulfilled,False,True
Shampoo,14,B0744GC2CK,"L'Oréal Professionnel Absolut Repair Shampoo With Protein And Gold Quinoa For Dry And Damaged Hair, Serie Expert, 300Ml",L'Oréal Professionnel,695.00,695.00,Fulfilled,False,True
Shampoo,15,B082MXPRC7,"Kesh King Ayurvedic Anti Hairfall Shampoo| Reduces hairfall | 21 Natural Ingredients |No Paraben & No Silicon | With the goodness of Aloe Vera, Bhringraja and Amla for Silky, Shiney, Smooth Hair - 600 ml",Kesh King,249.00,549.00,Fulfilled,False,True
Shampoo,16,B00ENZRCBI,"Head & Shoulders, Anti-Hairfall, Anti-Dandruff Shampoo for Women & Men , 650ml",Head & Shoulders,435.00,600.00,Fulfilled,False,True
Shampoo,17,B07L3YNL2V,"Tresemme Hair Fall Defence Shampoo, With Keratin Protein, Upto 97% Less Hair Breakage, 1 Ltr",Tresemme,M.R.P.:,865.00,Fulfilled,False,True
Shampoo,18,B07TP5TS2D,"DABUR Vatika Ayurvedic Shampoo, 640ml : Power of Dus Poshan for 10 Hair Problems",Dabur,240.00,445.00,Fulfilled,False,True
Shampoo,19,B07H9SV624,"Dove Intense Repair Shampoo 1 L, Repairs Dry and Damaged Hair, Strengthening Shampoo for Smooth & Strong Hair - Mild Daily Shampoo for Men & Women",Dove,611.32,690.00,Fulfilled,False,True
Shampoo,20,B0764M9QVV,"Head & Shoulders Cool Menthol Anti Dandruff Shampoo for Women & Men, 1L",Head & Shoulders,520.00,750.00,Fulfilled,False,True
Shampoo,21,B08HP7LJ7K,"L'Oréal Paris Shampoo 640ml + Conditioner 175ml + Serum 40ml, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, Bundle pack",,873.00,1093.00,Fulfilled,True,True
Shampoo,22,B09QC4BM5M,"Dove Hair Therapy Breakage Repair Sulphate-Free Shampoo, No Parabens & Dyes, With Nutri-Lock Serum, 380 ml",Dove,328.50,450.00,Fulfilled,True,True
Shampoo,23,B09QBV3P1G,"Dove Hair Therapy Dry Scalp Care Sulphate-Free Shampoo, No Parabens & Dyes, With Niacinamide, 380 ml",Dove,328.50,450.00,Fulfilled,True,True
Shampoo,24,B07NVN576J,MATRIX Opti Care Professional Shampoo | Controls frizz leaving hair salon like Smooth Straight | With Shea Butter | For Unruly Hair | Paraben Free,Matrix,342.00,360.00,Fulfilled,True,True
Shampoo,25,B093STTTYZ,"Sunsilk Lusciously Thick & Long Shampoo 1 L, With Keratin, Yoghut Protein and Macadamia Oil - Thickening Shampoo for Fuller Hair",Sunsilk,535.00,734.00,Fulfilled,False,True
Shampoo,26,B015MXZURM,"Head & Shoulders , Anti Dandruff Shampoo, Lemon Fresh, 180 ML",Head & Shoulders,155.00,155.00,Fulfilled,False,True
Shampoo,27,B083ZYSZZ4,"Pantene 2 in 1 Anti Hair Fall Shampoo + Conditioner, 180 ml",Pantene,M.R.P.:,150.00,Fulfilled,False,True
Shampoo,28,B010HXPBEE,"Biolage Smoothproof Shampoo | Paraben Free|Cleanses, Smooths & Controls Frizz | For Frizzy Hair",Biolage,225.00,225.00,Fulfilled,False,True
Shampoo,29,B07HB4FKZS,"Dove Daily Shine Shampoo, 650 ml",Dove,M.R.P.:,675.00,Fulfilled,False,True
Shampoo,30,B00I6F6HE4,Halo Shampoo - 1 litre,Halo,261.00,329.00,Fulfilled,False,True
