ASIN,Marketplace,username,rating,title,date,likes,dislikes,verified,description,Counts
SMPFKXTYAXBTFDR9,FLIPKART,Safinaz Banu,5,Best in the market!,2022-08-05 00:00:00,0,0,"Certified Buyer , Chamarajanagar District",It's very good shampoo for hair fall control I am using it from  one month and it's control my hair fall problem it's awesome,7
SMPFKXTYAXBTFDR9,FLIPKART,Poornima gupta,1,Worst experience ever!,2022-02-26 00:00:00,0,0,"Certified Buyer , Mumbai",After applying this shamppo more hair fall started not a good shampoo,7
SMPFKXTYAXBTFDR9,FLIPKART,Jayanta  Ghosh,5,Must buy!,2021-12-26 00:00:00,0,0,"Certified Buyer , Adra",I just love it❤ it's really awsome product,7
SMPFKXTYAXBTFDR9,FLIPKART,Aarohi Maddheshiya,4,Nice product,2021-10-26 00:00:00,0,0,"Certified Buyer , Bakshi Ka Talab","Packaging is good and delivery is super fast in 2 days  , fragrance is also mild and overall good product, I reviewed on this  after using it",7
SMPFKXTYAXBTFDR9,FLIPKART,Flipkart Customer,2,Could be way better,2021-08-31 00:00:00,0,0,"Certified Buyer , Thane","It makes your very dry,frizzy after washing lots of hairfall.i would recommned not to purchase.",7
SMPFKXTYAXBTFDR9,FLIPKART,Flipkart Customer,1,Waste of money!,2021-08-31 00:00:00,0,0,"Certified Buyer , Hazaribagh",I don't want to buy it again .,7
SMPFKXTYAXBTFDR9,FLIPKART,Flipkart Customer,4,Pretty good,2021-07-31 00:00:00,0,0,"Certified Buyer , Udaipur",My hairs are very thin when I used this shampoo we feel very heavy and volumes hair.,7
SMPFYG2TZBXARJAG,FLIPKART,Shilpi Bera,5,Awesome,2022-08-20 00:00:00,0,0,"Certified Buyer , Ghatal",It's really good for hair ☺️,5
SMPFYG2TZBXARJAG,FLIPKART,Flipkart Customer,5,Must buy!,2022-08-20 00:00:00,0,0,"Certified Buyer , Nayabazar",It is really best 👌 my hair is totally free from dandruff and itching.,5
SMPFYG2TZBXARJAG,FLIPKART,Arbaz Ohdar,5,Worth every penny,2022-07-26 00:00:00,0,0,"Certified Buyer , Gumla District",Best price on this product,5
SMPFYG2TZBXARJAG,FLIPKART,Puja Dey,5,Just wow!,2022-07-26 00:00:00,0,0,"Certified Buyer , Maslandapur",Awesome product. It's really worked,5
SMPFYG2TZBXARJAG,FLIPKART,Taraknath Mondal,5,Wonderful,2022-07-26 00:00:00,0,0,"Certified Buyer , Nalahati",It is very good and useful product.  Head & shoulders company is great company for me.❤️❤️❤️,5
SMPFWPEAKPM6DMZG,FLIPKART,Flipkart Customer,5,Just wow!,2022-06-26 00:00:00,0,0,"Certified Buyer , North Delhi",I love this product... ❤️ also Fragrance....😌,5
SMPFWPEAKPM6DMZG,FLIPKART,Flipkart Customer,5,Just wow!,2021-09-26 00:00:00,0,0,"Certified Buyer , Bulandshahr District",Best shampoo for hair fall I liked it,5
SMPFWPEAKPM6DMZG,FLIPKART,Flipkart Customer,2,Not good,2021-07-31 00:00:00,0,1,"Certified Buyer , Narayanpet District",I didn't like this product. More hairfall after using this shampoo. I suggest to go for loreal hair color protect shampoo instead of this.,5
SMPFWPEAKPM6DMZG,FLIPKART,Flipkart Customer,5,Great product,2021-07-31 00:00:00,0,0,"Certified Buyer , Kolkata",Nice product thank you flipkart,5
SMPFWPEAKPM6DMZG,FLIPKART,Aakash Vijay,4,Wonderful,2021-07-31 00:00:00,0,0,"Certified Buyer , Navi Mumbai",Very effective for hair fall,5
SMPFVWAZA427QJHQ,FLIPKART,Flipkart Customer,1,Absolute rubbish!,2022-07-26 00:00:00,1,0,"Certified Buyer , Peddapuram",Ordered bio kelp shampoo received ocean kelp...don't you have eyes to check before sending the product...this product don't have return policy...what I have to do with this...waste of money by using this app,5
SMPFVWAZA427QJHQ,FLIPKART,Flipkart Customer,1,Don't waste your money,2022-07-26 00:00:00,0,0,"Certified Buyer , Patna","worst product , hair fall start",5
SMPFVWAZA427QJHQ,FLIPKART,Simranjeet Singh,5,Best in the market!,2022-05-26 00:00:00,0,0,"Certified Buyer , Pehowa",It really works on my hair...hair damage control & also my hairs got silky,5
SMPFVWAZA427QJHQ,FLIPKART,Flipkart Customer,5,Simply awesome,2022-02-26 00:00:00,1,0,"Certified Buyer , Ranchi","I thought that it will be so small but it's very large feel the good result in first wash got soft hair , feel free Lil of dandruff etc love it go for it",5
SMPFVWAZA427QJHQ,FLIPKART,Chaithanya Nitilapur,1,Useless product,2022-02-26 00:00:00,0,0,"Certified Buyer , Madikeri","Not received the product till today. Only delivered message received. I never had this type of bad experience with flipkart and Ecom express Madikeri, Kodagu district, Karnataka.",5
SMPFVGZGJETBMFFW,FLIPKART,satya bhushan,1,Very poor,2022-07-26 00:00:00,0,0,"Certified Buyer , Barabanki","Product is very good, Flipkart service very bad.",5
SMPFVGZGJETBMFFW,FLIPKART,Jasmine O.V,5,Best in the market!,2022-05-26 00:00:00,0,0,"Certified Buyer , Thrissur","Very aromatic, gentle on hair",5
SMPFVGZGJETBMFFW,FLIPKART,Rohit Raj,5,Just wow!,2022-04-26 00:00:00,0,0,"Certified Buyer , Hajipur",Thanks the selling the best product this is really good,5
SMPFVGZGJETBMFFW,FLIPKART,Equbal karim,5,Just wow!,2022-04-26 00:00:00,0,0,"Certified Buyer , Patna",Good shampoo with soothing smell and gentle to hair.,5
SMPFVGZGJETBMFFW,FLIPKART,Flipkart Customer,5,Worth every penny,2021-07-31 00:00:00,0,0,"Certified Buyer , Dharmanagar",This is my 6th buy. This shampoo is a magic for oily scalp peoples but if u have dry scalp then plz avoid.,5
SMPFRGHPZXAYBSM9,FLIPKART,Flipkart Customer,4,Very Good,2022-08-14 00:00:00,0,0,"Certified Buyer , Kanchipuram",Thanks Flipkart . My mom liked it,5
SMPFRGHPZXAYBSM9,FLIPKART,Flipkart Customer,4,Good quality product,2022-07-30 00:00:00,0,0,"Certified Buyer , Motihari",That is good product I think buy the product ❤,5
SMPFRGHPZXAYBSM9,FLIPKART,Flipkart Customer,4,Good choice,2022-07-26 00:00:00,0,0,"Certified Buyer , Ranchi",First time using this product.hope it will reduce the hairfall,5
SMPFRGHPZXAYBSM9,FLIPKART,sujiya Premkumar,4,Very Good,2022-07-26 00:00:00,0,0,"Certified Buyer , Chettipalayam Coimbatore District",Over all good.i liked it.,5
SMPFRGHPZXAYBSM9,FLIPKART,Murtuza Khan,5,Brilliant,2022-07-26 00:00:00,0,0,"Certified Buyer , Hyderabad",Thnx for the nice products,5
SMPFKXTYYBRQGUKZ,FLIPKART,Flipkart Customer,4,Good choice,2022-08-24 00:00:00,0,0,"Certified Buyer , Bankura",Good shampoo but need conditioer,5
SMPFKXTYYBRQGUKZ,FLIPKART,Flipkart Customer,5,Best in the market!,2022-07-26 00:00:00,0,0,"Certified Buyer , Thanjavur",Middle smell I love it.when I use this shampoo after my hair looks like very smooth and shine,5
SMPFKXTYYBRQGUKZ,FLIPKART,Sumona Saha,3,Nice,2022-06-26 00:00:00,0,0,"Certified Buyer , Burdwan  District",Hair becomes brown after using this shampoo otherwise it's good,5
SMPFKXTYYBRQGUKZ,FLIPKART,Flipkart Customer,3,Decent product,2022-05-26 00:00:00,0,0,"Certified Buyer , Siliguri",It's not suitable for dry hair,5
SMPFKXTYYBRQGUKZ,FLIPKART,Shilpa sangee,4,Wonderful,2022-05-26 00:00:00,0,0,"Certified Buyer , Krishnarajanagara",It's a good product to use,5
SMPFKXTHQ5M8JMXF,FLIPKART,R.K. Upadhyay,1,Did not meet expectations,2022-08-04 00:00:00,0,0,"Certified Buyer , Arrah",Hair dry and rough washes from it and it increases hair falls,5
SMPFKXTHQ5M8JMXF,FLIPKART,Flipkart Customer,5,Best in the market!,2022-07-26 00:00:00,0,0,"Certified Buyer , Koduvally",Amazing... Awesome product.. I like it very much...,5
SMPFKXTHQ5M8JMXF,FLIPKART,Flipkart Customer,5,Awesome,2022-07-26 00:00:00,0,0,"Certified Buyer , Kanpur",Oily hair scalp use this sampoo... Sampoo is very nice,5
SMPFKXTHQ5M8JMXF,FLIPKART,Manju  Manesh,4,Value-for-money,2022-07-26 00:00:00,0,0,"Certified Buyer , Alappuzha District",Good shamboo as it says it condition the hair,5
