ASIN,Details Tag,Marketplace,Present
SMPFTD9CGCKUHYKB,pack_of,FLIPKART,False
SMPFTD9CGCKUHYKB,Ideal For,FLIPKART,True
SMPFTD9CGCKUHYKB,Hair Type,FLIPKART,True
SMPFTD9CGCKUHYKB,Applied For,FLIPKART,True
SMPFTD9CGCKUHYKB,Country of Origin,FLIPKART,False
SMPFTD9CGCKUHYKB,Container Type,FLIPKART,False
SMPFTD9CGCKUHYKB,Composition,FLIPKART,False
SMPEH27GCVTBTJEE,pack_of,FLIPKART,True
SMPEH27GCVTBTJEE,Ideal For,FLIPKART,True
SMPEH27GCVTBTJEE,Hair Type,FLIPKART,True
SMPEH27GCVTBTJEE,Applied For,FLIPKART,True
SMPEH27GCVTBTJEE,Country of Origin,FLIPKART,False
SMPEH27GCVTBTJEE,Container Type,FLIPKART,True
SMPEH27GCVTBTJEE,Composition,FLIPKART,True
SMPFGGV2WCMPRMBJ,pack_of,FLIPKART,False
SMPFGGV2WCMPRMBJ,Ideal For,FLIPKART,True
SMPFGGV2WCMPRMBJ,Hair Type,FLIPKART,True
SMPFGGV2WCMPRMBJ,Applied For,FLIPKART,True
SMPFGGV2WCMPRMBJ,Country of Origin,FLIPKART,False
SMPFGGV2WCMPRMBJ,Container Type,FLIPKART,True
SMPFGGV2WCMPRMBJ,Composition,FLIPKART,True
SMPFEJW2DRRWGPF6,pack_of,FLIPKART,True
SMPFEJW2DRRWGPF6,Ideal For,FLIPKART,True
SMPFEJW2DRRWGPF6,Hair Type,FLIPKART,True
SMPFEJW2DRRWGPF6,Applied For,FLIPKART,True
SMPFEJW2DRRWGPF6,Country of Origin,FLIPKART,False
SMPFEJW2DRRWGPF6,Container Type,FLIPKART,True
SMPFEJW2DRRWGPF6,Composition,FLIPKART,True
SMPFRGHP978V5TZ2,pack_of,GROCERY,True
SMPFRGHP978V5TZ2,Ideal For,GROCERY,True
SMPFRGHP978V5TZ2,Hair Type,GROCERY,True
SMPFRGHP978V5TZ2,Applied For,GROCERY,True
SMPFRGHP978V5TZ2,Country of Origin,GROCERY,False
SMPFRGHP978V5TZ2,Container Type,GROCERY,True
