ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Marketplace,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Assured,Availability,Category
SMPFTD9CGCKUHYKB,TRESemme Repair & 7 protect with biotin shampoo 650ml,Tresemme ,925.0,,19,4.4,NA,NA,FLIPKART,,925.0,,,True,1.0,Shampoo
SMPEH27GCVTBTJEE,TRESemme Healthy Volume Shampoo,Tresemme ,1093.0,,24,3.8,NA,NA,FLIPKART,1095.0,1093.0,,,True,1.0,Shampoo
SMPFGGV2WCMPRMBJ,"TRESemme Shampoo, Keratin Smooth, 22 oz  (650 ml)",Tresemme ,750.0,,70,4.3,NA,NA,FLIPKART,,750.0,,,True,1.0,Shampoo
SMPFEJW2DRRWGPF6,TRESemme Cleanse & Replenish 2-in-1 Shampoo Plus Conditione,Tresemme ,993.0,,54,4.2,NA,NA,FLIPKART,995.0,993.0,,,True,1.0,Shampoo
SMPFRGHP978V5TZ2,TRESemme Pro Protect Sulphate Free Shampoo  (580 ml),Tresemme ,593.0,176.0,3504,4.3,NA,NA,GROCERY,580.0,464.0,176.0,22,True,1.0,Shampoo
SMPF34GDSPR4PTYG,TRESemme Imported 24 Hour Body Healthy Volume Shampoo,Tresemme ,925.0,,117,4.2,NA,NA,FLIPKART,995.0,925.0,,,False,1.0,Shampoo
SMPF6JX8TA3JZYXW,TRESemme Keratin Smooth Shampoo,Tresemme ,160.0,38.0,11237,4.3,NA,NA,GROCERY,164.0,160.0,38.0,45,True,1.0,Shampoo
SMPF6FE78WGZZ6DZ,TRESemme Hair Fall Defense Shampoo  (340 ml),Tresemme ,251.0,,9946,4.3,NA,NA,GROCERY,265.0,251.0,,,True,1.0,Shampoo
SMPGECV7ZPXZWKVE,TRESemme ProPure Damage Recovery Shampoo,Tresemme ,465.0,602.0,6,4.0,NA,NA,FLIPKART,500.0,465.0,790.5,11,True,1.0,Shampoo
SMPF95SBSFXBA8DU,TRESemme Biotin + Repair 7 Repair 7 Types Of Damage Shampoo  (700 ml),Tresemme ,995.0,,10,4.4,NA,NA,FLIPKART,1195.0,1094.0,,,False,1.0,Shampoo
