ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
SMPFTD9CGCKUHYKB,2022-08-26,925.0,,,,,1.0
SMPFTD9CGCKUHYKB,2022-08-27,925.0,925.0,,,,1.0
SMPFTD9CGCKUHYKB,2022-08-28,,,,,,
SMPFTD9CGCKUHYKB,2022-08-29,925.0,925.0,,,,1.0
SMPEH27GCVTBTJEE,2022-08-26,1093.0,,,,,1.0
SMPEH27GCVTBTJEE,2022-08-27,1093.0,1093.0,,,,1.0
SMPEH27GCVTBTJEE,2022-08-28,,,,,,
SMPEH27GCVTBTJEE,2022-08-29,1093.0,1093.0,,,,1.0
SMPFGGV2WCMPRMBJ,2022-08-26,750.0,,,,,1.0
SMPFGGV2WCMPRMBJ,2022-08-27,750.0,750.0,,,,1.0
SMPFGGV2WCMPRMBJ,2022-08-28,,,,,,
SMPFGGV2WCMPRMBJ,2022-08-29,750.0,750.0,,,,1.0
SMPFEJW2DRRWGPF6,2022-08-26,993.0,,,,,1.0
SMPFEJW2DRRWGPF6,2022-08-27,993.0,993.0,,,,1.0
SMPFEJW2DRRWGPF6,2022-08-28,,,,,,
SMPFEJW2DRRWGPF6,2022-08-29,993.0,993.0,,,,1.0
SMPFRGHP978V5TZ2,2022-08-26,464.0,,176.0,,28.0,1.0
SMPFRGHP978V5TZ2,2022-08-27,464.0,464.0,176.0,176.0,28.0,1.0
SMPFRGHP978V5TZ2,2022-08-28,,,,,,
SMPFRGHP978V5TZ2,2022-08-29,593.0,464.0,176.0,176.0,28.0,1.0
SMPF34GDSPR4PTYG,2022-08-26,925.0,,,,,1.0
SMPF34GDSPR4PTYG,2022-08-27,925.0,925.0,,,,1.0
SMPF34GDSPR4PTYG,2022-08-28,,,,,,
SMPF34GDSPR4PTYG,2022-08-29,925.0,925.0,,,,1.0
SMPF6JX8TA3JZYXW,2022-08-26,160.0,,14.0,,79.0,1.0
SMPF6JX8TA3JZYXW,2022-08-27,160.0,160.0,38.0,14.0,57.0,1.0
SMPF6JX8TA3JZYXW,2022-08-28,,,,,,
SMPF6JX8TA3JZYXW,2022-08-29,160.0,160.0,27.0,38.0,67.0,1.0
SMPF6FE78WGZZ6DZ,2022-08-26,251.0,,,,,1.0
SMPF6FE78WGZZ6DZ,2022-08-27,251.0,251.0,,,,1.0
SMPF6FE78WGZZ6DZ,2022-08-28,,,,,,
SMPF6FE78WGZZ6DZ,2022-08-29,251.0,251.0,,,,1.0
SMPGECV7ZPXZWKVE,2022-08-26,465.0,,790.0,,11.0,1.0
SMPGECV7ZPXZWKVE,2022-08-27,465.0,465.0,602.0,790.0,14.0,1.0
SMPGECV7ZPXZWKVE,2022-08-28,,,,,,
SMPGECV7ZPXZWKVE,2022-08-29,465.0,465.0,,602.0,,1.0
SMPF95SBSFXBA8DU,2022-08-26,1094.0,,,,,1.0
SMPF95SBSFXBA8DU,2022-08-27,1094.0,1094.0,,,,1.0
SMPF95SBSFXBA8DU,2022-08-28,,,,,,
SMPF95SBSFXBA8DU,2022-08-29,995.0,1094.0,,,,1.0
SMPF34GD2AEBWP9G,2022-08-26,828.0,,,,,1.0
