ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPFKXTYAXBTFDR9,Safinaz Banu,5,Best in the market!,2022-08-05 00:00:00,It's very good shampoo for hair fall control I am using it from  one month and it's control my hair fall problem it's awesome,shampoo,0.9021971821784973,0.699999988079071,3.799999952316284,FLIPKART,0,0,"Certified Buyer , Chamarajanagar District"
SMPFKXTYAXBTFDR9,Safinaz Banu,5,Best in the market!,2022-08-05 00:00:00,It's very good shampoo for hair fall control I am using it from  one month and it's control my hair fall problem it's awesome,hair fall control,0.05718369781970978,0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Chamarajanagar District"
SMPFKXTYAXBTFDR9,Safinaz Banu,5,Best in the market!,2022-08-05 00:00:00,It's very good shampoo for hair fall control I am using it from  one month and it's control my hair fall problem it's awesome,hair fall problem,0.04061911627650261,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Chamarajanagar District"
SMPFKXTYAXBTFDR9,Poornima gupta,1,Worst experience ever!,2022-02-26 00:00:00,After applying this shamppo more hair fall started not a good shampoo,hair fall,0.7066824436187744,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Mumbai"
SMPFKXTYAXBTFDR9,Poornima gupta,1,Worst experience ever!,2022-02-26 00:00:00,After applying this shamppo more hair fall started not a good shampoo,shampoo,0.293317586183548,-0.5,0.5,FLIPKART,0,0,"Certified Buyer , Mumbai"
SMPFKXTYAXBTFDR9,Jayanta  Ghosh,5,Must buy!,2021-12-26 00:00:00,I just love it❤ it's really awsome product,product,1.0,0.8999999761581421,2.799999952316284,FLIPKART,0,0,"Certified Buyer , Adra"
SMPFKXTYAXBTFDR9,Aarohi Maddheshiya,4,Nice product,2021-10-26 00:00:00,"Packaging is good and delivery is super fast in 2 days  , fragrance is also mild and overall good product, I reviewed on this  after using it",fragrance,0.46916863322257996,0.699999988079071,1.399999976158142,FLIPKART,0,0,"Certified Buyer , Bakshi Ka Talab"
SMPFKXTYAXBTFDR9,Aarohi Maddheshiya,4,Nice product,2021-10-26 00:00:00,"Packaging is good and delivery is super fast in 2 days  , fragrance is also mild and overall good product, I reviewed on this  after using it",Packaging,0.3673742711544037,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Bakshi Ka Talab"
SMPFKXTYAXBTFDR9,Aarohi Maddheshiya,4,Nice product,2021-10-26 00:00:00,"Packaging is good and delivery is super fast in 2 days  , fragrance is also mild and overall good product, I reviewed on this  after using it",delivery,0.16345709562301636,0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Bakshi Ka Talab"
SMPFKXTYAXBTFDR9,Flipkart Customer,2,Could be way better,2021-08-31 00:00:00,"It makes your very dry,frizzy after washing lots of hairfall.i would recommned not to purchase.",lots,1.0,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Thane"
SMPFKXTYAXBTFDR9,Flipkart Customer,4,Pretty good,2021-07-31 00:00:00,My hairs are very thin when I used this shampoo we feel very heavy and volumes hair.,hairs,0.6050958633422852,-0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Udaipur"
SMPFKXTYAXBTFDR9,Flipkart Customer,4,Pretty good,2021-07-31 00:00:00,My hairs are very thin when I used this shampoo we feel very heavy and volumes hair.,shampoo,0.17831498384475708,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Udaipur"
SMPFKXTYAXBTFDR9,Flipkart Customer,4,Pretty good,2021-07-31 00:00:00,My hairs are very thin when I used this shampoo we feel very heavy and volumes hair.,volumes,0.12005900591611862,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Udaipur"
SMPFKXTYAXBTFDR9,Flipkart Customer,4,Pretty good,2021-07-31 00:00:00,My hairs are very thin when I used this shampoo we feel very heavy and volumes hair.,hair,0.09653013199567795,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Udaipur"
SMPFYG2TZBXARJAG,Shilpi Bera,5,Awesome,2022-08-20 00:00:00,It's really good for hair ☺️,hair,1.0,0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Ghatal"
SMPFYG2TZBXARJAG,Flipkart Customer,5,Must buy!,2022-08-20 00:00:00,It is really best 👌 my hair is totally free from dandruff and itching.,hair,0.7831270098686218,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Nayabazar"
SMPFYG2TZBXARJAG,Flipkart Customer,5,Must buy!,2022-08-20 00:00:00,It is really best 👌 my hair is totally free from dandruff and itching.,dandruff,0.2168729603290558,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Nayabazar"
SMPFYG2TZBXARJAG,Arbaz Ohdar,5,Worth every penny,2022-07-26 00:00:00,Best price on this product,price,0.6507119536399841,0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Gumla District"
SMPFYG2TZBXARJAG,Arbaz Ohdar,5,Worth every penny,2022-07-26 00:00:00,Best price on this product,product,0.34928804636001587,0.4000000059604645,0.4000000059604645,FLIPKART,0,0,"Certified Buyer , Gumla District"
SMPFYG2TZBXARJAG,Puja Dey,5,Just wow!,2022-07-26 00:00:00,Awesome product. It's really worked,product,1.0,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Maslandapur"
SMPFYG2TZBXARJAG,Taraknath Mondal,5,Wonderful,2022-07-26 00:00:00,It is very good and useful product.  Head & shoulders company is great company for me.❤️❤️❤️,company,0.459584504365921,0.699999988079071,1.5,FLIPKART,0,0,"Certified Buyer , Nalahati"
SMPFYG2TZBXARJAG,Taraknath Mondal,5,Wonderful,2022-07-26 00:00:00,It is very good and useful product.  Head & shoulders company is great company for me.❤️❤️❤️,product,0.2995305061340332,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Nalahati"
SMPFYG2TZBXARJAG,Taraknath Mondal,5,Wonderful,2022-07-26 00:00:00,It is very good and useful product.  Head & shoulders company is great company for me.❤️❤️❤️,Head,0.12044248729944229,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Nalahati"
SMPFYG2TZBXARJAG,Taraknath Mondal,5,Wonderful,2022-07-26 00:00:00,It is very good and useful product.  Head & shoulders company is great company for me.❤️❤️❤️,shoulders,0.12044248729944229,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Nalahati"
SMPFWPEAKPM6DMZG,Flipkart Customer,5,Just wow!,2022-06-26 00:00:00,I love this product... ❤️ also Fragrance....😌,product,0.6920413970947266,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , North Delhi"
SMPFWPEAKPM6DMZG,Flipkart Customer,5,Just wow!,2022-06-26 00:00:00,I love this product... ❤️ also Fragrance....😌,❤️,0.20253145694732666,0.5,0.5,FLIPKART,0,0,"Certified Buyer , North Delhi"
