ASIN,Marketplace,Sentiment Score
SMPFGGV2WCMPRMBJ,FLIPKART,4.0
SMPF34GDSPR4PTYG,FLIPKART,4.0
SMPF6JX8TA3JZYXW,FLIPKART,3.6666666666666665
SMPDDHGCUXMT4BFU,FLIPKART,5.0
SMPF6FE78WGZZ6DZ,FLIPKART,2.6666666666666665
SMPFRGHP978V5TZ2,FLIPKART,4.25
SMPEJWV5KGXNFUWG,FLIPKART,2.5
SMPEGGWSGTPEPME7,FLIPKART,5.0
SMPER3KZZXUGXT5C,FLIPKART,2.0
SMPF34GD2AEBWP9G,FLIPKART,1.0
SMPER3KW25ZFHTB6,FLIPKART,1.5
SMPFCQ6VVGPYGJGK,FLIPKART,2.0
SMPF6JX8JMVBWQSU,FLIPKART,4.6
SMPFVZPKU8QUJ675,FLIPKART,4.0
SMPECGNC8YAJ6KKA,FLIPKART,2.0
SMPF6FE7TPSFZZUR,FLIPKART,3.0
SMPFRGHPZXAYBSM9,FLIPKART,4.0
SMPEXH68GUSEHJ87,FLIPKART,5.0
SMPDFZTBHVEVJZVP,FLIPKART,5.0
SMPFXVKCCEZPGFDF,FLIPKART,3.6666666666666665
SMPG2VPN3GWYSJHG,FLIPKART,2.6666666666666665
SMPFEQJTHRJM6EH7,FLIPKART,2.6666666666666665
SMPFHG88YXBVN52U,FLIPKART,1.3333333333333333
SMPFEQJTZ3EESNDH,FLIPKART,4.6
SMPFG5TGQJFCBXGU,FLIPKART,1.5
SMPFTGSJKXAS2UZZ,FLIPKART,5.0
SMPFAF5DZZZM2ZEQ,FLIPKART,4.5
SMPD9FYFA5QGANXK,FLIPKART,4.0
SMPFRP6EWKVJSMGD,FLIPKART,4.0
SMPED9GAQZHGZEM9,FLIPKART,1.0
SMPFTFV9PHZZXYYD,FLIPKART,3.25
SMPFRP6DTJPDUZ9H,FLIPKART,2.0
SMPFEZC98F7EYQG8,FLIPKART,1.6666666666666667
SMPDFG4K2UFHSXGP,FLIPKART,2.0
SMPDG2X8P8HGAXTA,FLIPKART,4.0
SMPG2KHYFHGHVPJD,FLIPKART,3.333333333333333
SMPFV3G2VFZSDKCF,FLIPKART,3.0
SMPETEEWBMTGXJQ7,FLIPKART,4.5
SMPD9FYFGBTBHSWQ,FLIPKART,4.25
SMPDTZ7U86XVUFGM,FLIPKART,4.25
SMPG9GUQCGZZE3GU,FLIPKART,3.0
SMPFTZCHXWVWWAM6,FLIPKART,2.333333333333333
SMPGB9JWGKVNTSGX,FLIPKART,4.0
SMPFHW86EBXX8ZPK,FLIPKART,4.0
SMPFGUN3WC37PWZQ,FLIPKART,3.6666666666666665
SMPGFMY5CPAZ54CS,FLIPKART,4.0
SMPFWVKB2HTHT6PV,FLIPKART,1.0
SMPFYG2TMAX6ZHAS,FLIPKART,1.5
SMPFYG2TJBYJVKZG,FLIPKART,2.5
SMPFHXFMHPGMFAFY,FLIPKART,1.0
SMPGYYFGH6ZE4QHJ,FLIPKART,5.0
SMPFJRHZU3FKAFG9,FLIPKART,4.0
SMPETEEWZJHVGQSG,FLIPKART,5.0
SMPFGUN2ET6Q2U2D,FLIPKART,4.5
SMPFGUN2DQXFF8G3,FLIPKART,3.6666666666666665
SMPFVD3Z74QAQQVZ,FLIPKART,4.4
SMPFGUN22R6MGVQR,FLIPKART,4.666666666666667
SMPFYG2TZBXARJAG,FLIPKART,4.8
SMPFHW86PHVFZVQR,FLIPKART,3.6666666666666665
SMPGYYYN9MZ6MC4A,FLIPKART,2.0
SMPFYG2TVPRFSR8A,FLIPKART,1.25
SMPGFG4HG64FGRFP,FLIPKART,1.75
SMPFGUN2VYZNNFS5,FLIPKART,4.0
