ASIN,String,Rating,Frequency,Marketplace
SMPFTD9CGCKUHYKB,simply,5,2,FLIPKART
SMPFTD9CGCKUHYKB,simply awesome,5,2,FLIPKART
SMPFTD9CGCKUHYKB,awesome,5,4,FLIPKART
SMPFTD9CGCKUHYKB,nice,5,4,FLIPKART
SMPFGGV2WCMPRMBJ,good,4,10,FLIPKART
SMPFGGV2WCMPRMBJ,good product,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,product,4,4,FLIPKART
SMPFGGV2WCMPRMBJ,delightful,4,4,FLIPKART
SMPFGGV2WCMPRMBJ,good product.,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,product.,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,product. harmful,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,harmful,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,harmful chemical,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,chemical,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,chemical like,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,like,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,"like sulphate,",4,2,FLIPKART
SMPFGGV2WCMPRMBJ,"sulphate,",4,2,FLIPKART
SMPFGGV2WCMPRMBJ,"sulphate, parabens",4,2,FLIPKART
SMPFGGV2WCMPRMBJ,parabens,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,parabens it.,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,it.,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,it. good,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,good hair,4,2,FLIPKART
SMPFGGV2WCMPRMBJ,hair,4,4,FLIPKART
SMPFGGV2WCMPRMBJ,terrific,5,4,FLIPKART
SMPFGGV2WCMPRMBJ,nice,5,4,FLIPKART
SMPFGGV2WCMPRMBJ,poor,1,4,FLIPKART
SMPFGGV2WCMPRMBJ,bad,1,4,FLIPKART
SMPF34GDSPR4PTYG,poor,1,4,FLIPKART
SMPF34GDSPR4PTYG,somehow,1,2,FLIPKART
SMPF34GDSPR4PTYG,somehow feel,1,2,FLIPKART
SMPF34GDSPR4PTYG,feel,1,2,FLIPKART
SMPF34GDSPR4PTYG,feel headache,1,2,FLIPKART
SMPF34GDSPR4PTYG,headache,1,2,FLIPKART
SMPF34GDSPR4PTYG,headache applying,1,2,FLIPKART
SMPF34GDSPR4PTYG,applying,1,2,FLIPKART
SMPF34GDSPR4PTYG,applying shampoo.,1,2,FLIPKART
SMPF34GDSPR4PTYG,shampoo.,1,2,FLIPKART
SMPF34GDSPR4PTYG,shampoo. want,1,2,FLIPKART
SMPF34GDSPR4PTYG,want,1,2,FLIPKART
SMPF34GDSPR4PTYG,want know,1,2,FLIPKART
SMPF34GDSPR4PTYG,know,1,2,FLIPKART
SMPF34GDSPR4PTYG,know others,1,2,FLIPKART
SMPF34GDSPR4PTYG,others,1,2,FLIPKART
SMPF34GDSPR4PTYG,others feedback,1,2,FLIPKART
SMPF34GDSPR4PTYG,feedback,1,2,FLIPKART
SMPF34GDSPR4PTYG,feedback well,1,2,FLIPKART
SMPF34GDSPR4PTYG,well,1,4,FLIPKART
SMPF34GDSPR4PTYG,excellent,5,10,FLIPKART
SMPF34GDSPR4PTYG,superb,5,2,FLIPKART
SMPF34GDSPR4PTYG,superb product,5,2,FLIPKART
SMPF34GDSPR4PTYG,product,5,4,FLIPKART
SMPF34GDSPR4PTYG,brilliant,5,4,FLIPKART
SMPF34GDSPR4PTYG,look,5,2,FLIPKART
SMPF34GDSPR4PTYG,look original...,5,2,FLIPKART
SMPF34GDSPR4PTYG,original...,5,2,FLIPKART
SMPF34GDSPR4PTYG,original... go,5,2,FLIPKART
SMPF34GDSPR4PTYG,go,5,4,FLIPKART
SMPF34GDSPR4PTYG,perfect,5,2,FLIPKART
SMPF34GDSPR4PTYG,perfect product!,5,2,FLIPKART
SMPF34GDSPR4PTYG,product!,5,4,FLIPKART
SMPF34GDSPR4PTYG,nice,5,4,FLIPKART
SMPF34GDSPR4PTYG,nice ⭐⭐⭐⭐⭐,5,2,FLIPKART
SMPF34GDSPR4PTYG,⭐⭐⭐⭐⭐,5,4,FLIPKART
SMPF34GDSPR4PTYG,worth,5,2,FLIPKART
SMPF34GDSPR4PTYG,worth every,5,2,FLIPKART
SMPF34GDSPR4PTYG,every,5,2,FLIPKART
SMPF34GDSPR4PTYG,every penny,5,2,FLIPKART
SMPF34GDSPR4PTYG,penny,5,4,FLIPKART
SMPF34GDSPR4PTYG,excellent nice,5,2,FLIPKART
SMPF34GDSPR4PTYG,nice packing,5,2,FLIPKART
SMPF34GDSPR4PTYG,packing,5,2,FLIPKART
SMPF34GDSPR4PTYG,packing thanks,5,2,FLIPKART
SMPF34GDSPR4PTYG,thanks,5,2,FLIPKART
SMPF34GDSPR4PTYG,thanks flipkart,5,2,FLIPKART
SMPF34GDSPR4PTYG,flipkart,5,4,FLIPKART
SMPF34GDSPR4PTYG,must,5,2,FLIPKART
SMPF34GDSPR4PTYG,must buy!,5,2,FLIPKART
SMPF34GDSPR4PTYG,buy!,5,4,FLIPKART
SMPF34GDSPR4PTYG,good,4,12,FLIPKART
SMPF34GDSPR4PTYG,good choice,4,4,FLIPKART
SMPF34GDSPR4PTYG,choice,4,8,FLIPKART
SMPF34GDSPR4PTYG,awesome,4,4,FLIPKART
SMPF34GDSPR4PTYG,average,4,2,FLIPKART
SMPF34GDSPR4PTYG,average product,4,2,FLIPKART
SMPF34GDSPR4PTYG,product,4,4,FLIPKART
SMPF34GDSPR4PTYG,nice,4,6,FLIPKART
SMPF34GDSPR4PTYG,nice price,4,2,FLIPKART
SMPF34GDSPR4PTYG,price,4,2,FLIPKART
SMPF34GDSPR4PTYG,price higher,4,2,FLIPKART
SMPF34GDSPR4PTYG,higher,4,2,FLIPKART
SMPF34GDSPR4PTYG,higher tresemme,4,2,FLIPKART
SMPF34GDSPR4PTYG,tresemme,4,2,FLIPKART
SMPF34GDSPR4PTYG,tresemme sampoo.,4,2,FLIPKART
SMPF34GDSPR4PTYG,sampoo.,4,4,FLIPKART
SMPF34GDSPR4PTYG,really,4,2,FLIPKART
SMPF34GDSPR4PTYG,really nice,4,2,FLIPKART
SMPF6JX8TA3JZYXW,fair,3,4,FLIPKART
SMPF6JX8TA3JZYXW,seriously,3,2,FLIPKART
SMPF6JX8TA3JZYXW,seriously good,3,2,FLIPKART
SMPF6JX8TA3JZYXW,good,3,2,FLIPKART
SMPF6JX8TA3JZYXW,good product,3,2,FLIPKART
SMPF6JX8TA3JZYXW,product,3,4,FLIPKART
SMPF6JX8TA3JZYXW,worth,5,4,FLIPKART
SMPF6JX8TA3JZYXW,worth every,5,4,FLIPKART
SMPF6JX8TA3JZYXW,every,5,4,FLIPKART
SMPF6JX8TA3JZYXW,every penny,5,4,FLIPKART
SMPF6JX8TA3JZYXW,penny,5,8,FLIPKART
SMPF6JX8TA3JZYXW,good,5,4,FLIPKART
SMPF6JX8TA3JZYXW,good product,5,2,FLIPKART
SMPF6JX8TA3JZYXW,product,5,8,FLIPKART
SMPF6JX8TA3JZYXW,product 👍,5,2,FLIPKART
SMPF6JX8TA3JZYXW,👍,5,4,FLIPKART
SMPF6JX8TA3JZYXW,excellent,5,4,FLIPKART
SMPF6JX8TA3JZYXW,best,5,2,FLIPKART
SMPF6JX8TA3JZYXW,best puility,5,2,FLIPKART
SMPF6JX8TA3JZYXW,puility,5,4,FLIPKART
SMPF6JX8TA3JZYXW,highly,5,4,FLIPKART
SMPF6JX8TA3JZYXW,highly recommended,5,4,FLIPKART
SMPF6JX8TA3JZYXW,recommended,5,8,FLIPKART
SMPF6JX8TA3JZYXW,good depends,5,2,FLIPKART
SMPF6JX8TA3JZYXW,depends,5,2,FLIPKART
SMPF6JX8TA3JZYXW,depends suiting,5,2,FLIPKART
SMPF6JX8TA3JZYXW,suiting,5,2,FLIPKART
SMPF6JX8TA3JZYXW,suiting you..genuinely,5,2,FLIPKART
SMPF6JX8TA3JZYXW,you..genuinely,5,2,FLIPKART
SMPF6JX8TA3JZYXW,you..genuinely would,5,2,FLIPKART
SMPF6JX8TA3JZYXW,would,5,2,FLIPKART
SMPF6JX8TA3JZYXW,would say,5,2,FLIPKART
SMPF6JX8TA3JZYXW,say,5,2,FLIPKART
SMPF6JX8TA3JZYXW,say hairfall,5,2,FLIPKART
SMPF6JX8TA3JZYXW,hairfall,5,2,FLIPKART
SMPF6JX8TA3JZYXW,hairfall increased,5,2,FLIPKART
SMPF6JX8TA3JZYXW,increased,5,2,FLIPKART
SMPF6JX8TA3JZYXW,increased lot,5,2,FLIPKART
SMPF6JX8TA3JZYXW,lot,5,2,FLIPKART
